Sector_Code,Sector_Name,Category,Water_2015_m3_per_million_EUR,Water_2015_m3_per_million_INR,Water_2015_m3_per_INR_crore,Water_2019_m3_per_million_EUR,Water_2019_m3_per_million_INR,Water_2019_m3_per_INR_crore,Water_2022_m3_per_million_EUR,Water_2022_m3_per_million_INR,Water_2022_m3_per_INR_crore,Absolute_Change_EUR_2015_2019,Absolute_Change_INR_crore_2015_2019,Percent_Change_2015_2019,Absolute_Change_EUR_2019_2022,Absolute_Change_INR_crore_2019_2022,Percent_Change_2019_2022,Absolute_Change_EUR_2015_2022,Absolute_Change_INR_crore_2015_2022,Percent_Change_2015_2022
IN.51,Re-processing of paper,Manufacturing,806.4170500706344,11.520243572437636,115.20243572437636,1439.8615069615093,18.272354149257733,182.72354149257734,1701.6763212774026,20.626379651847305,206.26379651847304,633.4444568908749,67.52110576820098,58.61032298528394,261.8148143158933,23.540255025895704,12.88291919279598,895.2592712067682,91.06136079409669,79.0439627269108
IN.61,Petroleum Refinery,Manufacturing,1249.6746434946567,17.852494907066525,178.52494907066526,1574.6266956771801,19.98257228016726,199.8257228016726,2545.1868627183603,30.85074985113164,308.5074985113164,324.9520521825234,21.300773731007354,11.9314720587627,970.5601670411802,108.68177570964377,54.38800886381452,1295.5122192237036,129.98254944065113,72.80877100348063
IN.60,Other recovered gases,Manufacturing,834.6826128093322,11.924037325847603,119.24037325847604,1065.1535973605307,13.517177631478816,135.17177631478816,1556.6519175712417,18.868508091772625,188.68508091772625,230.4709845511985,15.93140305631212,13.360633663433314,491.498320210711,53.51330460293809,39.58881814953418,721.9693047619095,69.44470765925021,58.23876877760955
IN.71,Refinery Gas,Manufacturing,853.17686777795,12.188240968256428,121.88240968256429,1230.56319893804,15.61628425048274,156.1628425048274,1442.1069460190802,17.48008419417067,174.8008419417067,377.38633116009,34.28043282226312,28.125593886439344,211.54374708104024,18.637999436879284,11.934900638925516,588.9300782411302,52.918432259142406,43.41725620981911
IN,Paddy rice,Agriculture & Livestock,104531.527460986,1493.307535156943,14933.07535156943,142373.63282944,1806.7719902213198,18067.719902213197,168774.96064862754,2045.757098771243,20457.570987712428,37842.105368453995,3134.6445506437667,20.991284560828774,26401.327819187543,2389.851085499231,13.227186198157884,64243.43318764154,5524.495636142998,36.99502705323265
IN.95,Electricity - hydro,Electricity & Utilities,994.796,14.211371428571429,142.11371428571428,2010.8429999999998,25.518312182741116,255.18312182741116,1605.657,19.46250909090909,194.62509090909091,1016.0469999999998,113.06940754169688,79.56206935361857,-405.1859999999999,-60.55803091832024,-23.731112455059993,610.8609999999999,52.511376623376634,36.949992748678525
IN.2,Cereal grains nec,Agriculture & Livestock,8488.5620492,121.26517213142857,1212.6517213142856,11591.90212714,147.105356943401,1471.0535694340101,12752.898259496,154.58058496358788,1545.8058496358788,3103.34007794,258.4018481197245,21.30880866202699,1160.996132356,74.75228020186864,5.081543659568637,4264.336210296,333.15412832159313,27.473168737090468
IN.8,Cattle,Agriculture & Livestock,2332.517,33.32167142857143,333.21671428571426,2725.58,34.58857868020305,345.8857868020305,3118.31,37.79769696969697,377.9769696969697,393.0630000000001,12.669072516316248,3.802040519806602,392.73,32.09118289493921,9.277944148039026,785.7930000000001,44.76025541125546,13.432735863759095
IN.3,"Vegetables, fruit, nuts",Agriculture & Livestock,37921.23,541.7318571428572,5417.318571428572,38132.058,483.9093654822335,4839.093654822335,49719.9309,602.665829090909,6026.65829090909,210.82799999999406,-578.2249166062365,-10.67363497726526,11587.872900000002,1187.564636086755,24.541049944193656,11798.700899999996,609.3397194805184,11.247992876296806
IN.72,Liquefied Refinery Gases,Manufacturing,1763.7021662095399,25.195745231564857,251.95745231564857,2281.07476719279,28.947649329857743,289.47649329857745,2306.24669284196,27.954505367781334,279.5450536778133,517.3726009832503,37.519040982928885,14.890963425956343,25.17192564916968,-9.931439620764138,-3.430815814934703,542.54452663242,27.587601362164747,10.94926608280779
