Category,Sector_Group,Num_Subsectors,Water_2015_m3_per_INR_crore,Water_2019_m3_per_INR_crore,Water_2022_m3_per_INR_crore,Percent_Change_2015_2019,Percent_Change_2019_2022,Percent_Change_2015_2022,Absolute_Change_INR_crore_2015_2022,Subsectors
Agriculture,Cereals (All),3,31300.063944312285,33366.0897178401,35220.00584751173,6.600707625379043,5.556288105038289,12.523750063054623,3919.9419031994476,"IN, IN.1, IN.2"
Agriculture,Sugar Crops,1,9484.29686768857,8617.432333135788,6118.780765819394,-9.139996936473766,-28.99531067688762,-35.48513710577281,-3365.516101869176,IN.5
Agriculture,Vegetables & Fruits,1,5417.318571428572,4839.093654822335,6026.65829090909,-10.67363497726526,24.541049944193656,11.247992876296806,609.3397194805184,IN.3
Agriculture,Other Crops,1,7484.17834,6535.4219936548225,5033.604269380365,-12.676825383839315,-22.979656033474154,-32.74339054814306,-2450.5740706196357,IN.7
Agriculture,Oil Seeds,1,4291.114285714286,4225.35532994924,4350.89696969697,-1.5324443970071577,2.9711491752279824,1.3931735691583191,59.78268398268392,IN.4
Manufacturing,Other Petroleum Products,12,400.99256773060887,470.092980204058,517.0986880750728,17.232299476651807,9.999215018794882,28.95460917279977,116.10612034446393,"IN.70, IN.71, IN.72, IN.73, IN.74, IN.75, IN.76, IN.77, IN.78, IN.79, IN.80, IN.81"
Agriculture,Cattle,1,333.21671428571426,345.8857868020305,377.9769696969697,3.802040519806602,9.277944148039026,13.432735863759095,44.76025541125546,IN.8
Manufacturing,Petroleum Refining,5,212.02490078738145,250.4430322560348,369.4184322090678,18.119546397861484,47.50578358018197,74.23316247552219,157.39353142168636,"IN.61, IN.62, IN.63, IN.64, IN.65"
Manufacturing,Pulp & Paper,4,172.55400128865938,246.96070677183042,282.76816037851523,43.12057310857044,14.499192637896515,63.87190070804358,110.21415908985585,"IN.50, IN.51, IN.52, IN.53"
Manufacturing,Coke Production,6,158.79902779268429,142.66398942702966,233.16902584152842,-10.16060172654324,63.4388554458838,46.832484277606824,74.36999804884414,"IN.54, IN.55, IN.56, IN.57, IN.58, IN.59"
Electricity,Electricity - Renewable,8,146.44750685714283,259.63594505076145,197.2943302787879,77.28889875540442,-24.011072368682044,34.719932973604834,50.84682342164507,"IN.95, IN.96, IN.98, IN.99, IN.100, IN.101, IN.102, IN.103"
Manufacturing,Recovered Gases,1,119.24037325847604,135.17177631478816,188.68508091772625,13.360633663433314,39.58881814953418,58.23876877760955,69.44470765925021,IN.60
Manufacturing,Fish Products,1,42.02262969763724,50.523582869800315,144.86021166442916,20.228983629753035,186.71431496570747,244.713706804279,102.83758196679192,IN.44
Manufacturing,Biofuels,7,204.50454938301084,208.63050989605028,137.9636021746047,2.0175298545625706,-33.87163701046648,-32.53747754481913,-66.54094720840615,"IN.82, IN.83, IN.84, IN.85, IN.86, IN.87, IN.88"
Manufacturing,Other Food Products,1,16.2146073683564,18.233167412106273,108.32497293170654,12.448254313859051,494.0823646260114,568.0352482084448,92.11036556335014,IN.42
Manufacturing,Textiles & Apparel,3,59.568770981431015,63.093021270912736,89.05483836502097,5.9161722991688075,41.14782442322631,49.498372912632654,29.486067383589955,"IN.46, IN.47, IN.48"
Manufacturing,Dairy Products,1,2.5732378003145575,2.913933293672754,72.80979546750102,13.234810448225321,2397.8546035872046,2728.4409256442414,70.23655766718646,IN.39
Agriculture,Other Meat Animals,1,435.28705428571425,333.9509035532995,48.6560806060606,-23.280250798221942,-85.42991368267653,-88.82186631886685,-386.63097367965366,IN.11
Manufacturing,Wood Products,1,4.808443161706428,8.616599452367133,40.63128782670304,79.18081496381674,371.5035556165461,744.8439135371002,35.82284466499661,IN.49
Agriculture,Fibers,1,47.50208714285715,24.776903553299494,39.372532121212124,-47.83938256731753,58.90582525077686,-17.113740412695336,-8.129555021645025,IN.6
Manufacturing,Processed Rice & Sugar,2,3.0517121781551566,2.6869992562773986,39.15306712504366,-11.947176824844483,1356.6249240436177,1182.59936869337,36.101354946888506,"IN.40, IN.41"
Electricity,Electricity - Fossil Fuels,3,29.939178713122427,34.806794166887215,26.83948048837271,16.257803603661756,-22.889452978016745,-10.352971685473456,-3.099698224749716,"IN.92, IN.93, IN.97"
Manufacturing,Kerosene & Diesel,2,14.480018936769998,16.133371755354062,22.82057733152943,11.417379024247351,41.44695360670782,57.596488418236966,8.340558394759434,"IN.68, IN.69"
Manufacturing,Meat Products (All),4,2.4372109590216087,1.650371695814278,22.506900505414556,-32.27117244699241,1262.9820931571735,823.1317914527953,20.069689546392947,"IN.34, IN.35, IN.36, IN.37"
Manufacturing,Jet Fuels,2,12.686983051348214,15.399171648398159,22.144793548491347,21.376042087018316,43.802251391105955,74.54148117054865,9.457810497143132,"IN.66, IN.67"
Manufacturing,Vegetable Oils,1,7.321330647268231,3.218945636507322,9.328199884105926,-56.0256728134969,189.73159603481125,27.407520003025336,2.0068692368376952,IN.38
Agriculture,Poultry,1,9.323392285714286,7.935447715736041,6.61589793939394,-14.885094142861055,-16.626453340400083,-29.036684250923724,-2.7074943463203462,IN.10
Agriculture,Pigs,1,8.400785714285714,10.964276649746195,4.872339393939394,30.511262993791057,-55.55662160104101,-41.996385534408915,-3.52844632034632,IN.9
Manufacturing,Beverages,1,1.977005489182857,1.3319839543439085,3.457042010199273,-32.60969387427819,159.42112798359324,74.82469230294406,1.480036521016416,IN.43
Manufacturing,Fertilizers,2,0.5458031856571429,0.639177604172208,0.7137366014290545,17.07642182128998,11.646611310818372,30.711857607429767,0.16793341577191156,"IN.89, IN.90"
Manufacturing,Tobacco,1,0.11327205057057144,0.09156223794543147,0.41380162204969706,-18.998357443259977,348.1326632295088,262.99481804916627,0.3005295714791256,IN.45
Manufacturing,Other Chemicals,1,0.061614571428571435,0.07340571065989848,0.30987910573021815,18.831302302816166,317.81619041476176,396.4964203018756,0.24826453430164672,IN.91
Services,Other Services,27,0.0,0.0,2.7814181818181817e-06,0.0,0.27814181818181816,0.27814181818181816,2.7814181818181817e-06,"IN.136, IN.137, IN.138, IN.139, IN.140, IN.141, IN.142, IN.143, IN.144, IN.145, IN.146, IN.147, IN.148, IN.149, IN.150, IN.151, IN.152, IN.153, IN.154, IN.155, IN.156, IN.157, IN.158, IN.159, IN.160, IN.161, IN.162"
Agriculture,Animal Products,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"IN.12, IN.13, IN.14"
Tourism-Related,Pipeline Transport,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IN.116
Tourism-Related,Cultural & Recreation Services,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"IN.134, IN.135"
Services,Waste Management,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IN.133
Services,Public Services,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"IN.130, IN.131, IN.132"
Services,Business Services,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IN.129
