Sector_Code,Sector_Name,Category,Water_2015_m3_per_million_EUR,Water_2015_m3_per_million_INR,Water_2015_m3_per_INR_crore,Has_Water_Use_2015
IN.73,Refinery Feedstocks,Manufacturing,10.06734142725,0.14381916324642857,1.4381916324642856,True
IN.74,Additives/Blending,Manufacturing,0.0,0.0,0.0,False
IN.75,Other Hydrocarbons,Manufacturing,95.41137025251001,1.3630195750358574,13.630195750358574,True
IN.76,White Spirit & SBP,Manufacturing,0.0,0.0,0.0,False
IN.77,Lubricants,Manufacturing,8.999301452757,0.12856144932510002,1.2856144932510003,True
IN.78,Bitumen,Manufacturing,0.0,0.0,0.0,False
IN.79,Paraffin Waxes,Manufacturing,28.15126398526,0.4021609140751429,4.021609140751429,True
IN.80,Petroleum Coke,Manufacturing,0.0,0.0,0.0,False
IN.81,Non-specified Petroleum,Manufacturing,14.307819787995,0.2043974255427857,2.043974255427857,True
IN.82,Industrial Biofuels,Manufacturing,0.0,0.0,0.0,False
IN.83,Municipal wastes (renew),Manufacturing,42.1147634014,0.6016394771628572,6.016394771628572,True
IN.84,Primary solid biofuels,Manufacturing,866.09977192704,12.372853884672,123.72853884672,True
IN.85,Other liquid biofuels,Manufacturing,418.921754561,5.984596493728572,59.845964937285714,True
IN.86,Municipal Wastes (non-renew),Manufacturing,7.371537596000001,0.10530767994285717,1.0530767994285717,True
IN.87,Primary solid biofuels,Manufacturing,68.59579054964591,0.9799398649949416,9.799398649949415,True
IN.88,Other liquid biofuels,Manufacturing,28.42822764599,0.40611753779985715,4.0611753779985715,True
IN.89,N-fertiliser,Manufacturing,3.5020812996000004,0.050029732851428574,0.5002973285142858,True
IN.90,P-fertiliser,Manufacturing,0.318541,0.004550585714285714,0.04550585714285714,True
IN.91,Chemicals nec,Manufacturing,0.431302,0.006161457142857143,0.061614571428571435,True
IN.92,Electricity - coal,Electricity & Utilities,139.922750991857,1.998896442740814,19.988964427408142,True
IN.93,Electricity - gas,Electricity & Utilities,0.0,0.0,0.0,False
IN.94,Electricity - nuclear,Electricity & Utilities,0.0,0.0,0.0,False
IN.95,Electricity - hydro,Electricity & Utilities,994.796,14.211371428571429,142.11371428571428,True
IN.96,Electricity - wind,Electricity & Utilities,28.7702,0.4110028571428571,4.110028571428571,True
IN.97,Electricity - petroleum,Electricity & Utilities,69.6515,0.9950214285714285,9.950214285714285,True
IN.98,Electricity - biomass/waste,Electricity & Utilities,0.0,0.0,0.0,False
IN.99,Electricity - solar PV,Electricity & Utilities,0.0,0.0,0.0,False
IN.100,Electricity - solar thermal,Electricity & Utilities,0.359178,0.0051311142857142856,0.051311142857142854,True
IN.101,Electricity - tide/wave/ocean,Electricity & Utilities,1.20717,0.017245285714285716,0.17245285714285716,True
IN.102,Electricity - geothermal,Electricity & Utilities,0.0,0.0,0.0,False
IN.103,Electricity - nec,Electricity & Utilities,0.0,0.0,0.0,False
IN.104,Electricity transmission,Electricity & Utilities,0.0,0.0,0.0,False
IN.105,Electricity distribution,Electricity & Utilities,0.0,0.0,0.0,False
IN.106,Gas distribution,Electricity & Utilities,0.0,0.0,0.0,False
IN.107,Steam/hot water supply,Electricity & Utilities,0.0,0.0,0.0,False
IN.108,Water supply,Electricity & Utilities,0.0,0.0,0.0,False
IN.109,Construction,Electricity & Utilities,0.0,0.0,0.0,False
IN.110,Motor vehicle sales/repair,Electricity & Utilities,0.0,0.0,0.0,False
IN.111,Wholesale trade,Electricity & Utilities,0.0,0.0,0.0,False
IN.112,Retail trade,Electricity & Utilities,0.0,0.0,0.0,False
IN.113,Hotels and restaurants,Electricity & Utilities,0.0,0.0,0.0,False
IN.114,Railway transport,Electricity & Utilities,0.0,0.0,0.0,False
IN.115,Road transport,Electricity & Utilities,0.0,0.0,0.0,False
IN.116,Pipeline transport,Services,0.0,0.0,0.0,False
IN.117,Sea/coastal transport,Services,0.0,0.0,0.0,False
IN.118,Inland water transport,Services,0.0,0.0,0.0,False
IN.119,Air transport,Services,0.0,0.0,0.0,False
IN.120,Transport support; travel agencies,Services,0.0,0.0,0.0,False
IN.121,Post and telecom,Services,0.0,0.0,0.0,False
IN.122,Financial services,Services,0.0,0.0,0.0,False
IN.123,Insurance/pension,Services,0.0,0.0,0.0,False
IN.124,Financial auxiliaries,Services,0.0,0.0,0.0,False
IN.125,Real estate,Services,0.0,0.0,0.0,False
IN.126,Machinery rental,Services,0.0,0.0,0.0,False
IN.127,Computer services,Services,0.0,0.0,0.0,False
IN.128,R&D services,Services,0.0,0.0,0.0,False
IN.129,Business services,Services,0.0,0.0,0.0,False
