Category_ID,Category_Name,Category_Type,Category_Subgroup,N_EXIOBASE_Sectors,EXIOBASE_Sectors,SUT_Product_IDs,Water_2022_Blue_m3_per_crore,Water_2022_Green_m3_per_crore,Green_share_pct
MACH_M04,Transport Equipment,Manufacturing,Manufacturing,1,IN.110,"104,105,106,107,108,109,110",0.0,0.0,
MISC_M01,Gems & Jewellery,Manufacturing,Manufacturing,0,,111,0.0,0.0,
MISC_M02,Misc Manufacturing,Manufacturing,Manufacturing,0,,112,0.0,0.0,
UTIL_M01,"Electricity, Heat & Energy",Utilities,"Bioenergy Processing, Fossil Fuel Processing, Nuclear Generation, Renewable Generation, Thermal Generation, Energy Distribution",23,"IN.82,IN.83,IN.84,IN.85,IN.86,IN.87,IN.88,IN.92,IN.93,IN.94,IN.95,IN.96,IN.97,IN.98,IN.99,IN.100,IN.101,IN.102,IN.103,IN.104,IN.105,IN.106,IN.107",114,3375.4843579317107,25.27061468926554,0.7430883698683346
UTIL_M02,Water Supply,Utilities,Water Supply,1,IN.108,115,0.0,0.0,
CONS_M01,Construction,Utilities,Construction,1,IN.109,116,0.0,0.0,
SERV_001,Hotels & Restaurants,Services,Services,1,IN.113,118,0.0,0.0,
SERV_002,Railway Transport,Services,Services,1,IN.114,119,0.0,0.0,
SERV_003,Road Transport,Services,Services,1,IN.115,120,0.0,0.0,
SERV_004,Air Transport,Services,Services,1,IN.119,122,0.0,0.0,
SERV_005,Financial Services,Services,Services,3,"IN.122,IN.123,IN.124",126,0.0,0.0,
SERV_006,Real Estate,Services,Services,1,IN.125,127,0.0,0.0,
SERV_007,Computer & R&D,Services,Services,2,"IN.127,IN.128","128,129",0.0,0.0,
SERV_008,Trade (Retail & Wholesale),Services,Services,2,"IN.111,IN.112",117,0.0,0.0,
SERV_009,Business Services,Services,Services,1,IN.129,130,0.0,0.0,
SERV_010,Public Admin & Education,Services,Services,2,"IN.130,IN.131",131,0.0,0.0,
SERV_012,Health & Social Work,Services,Services,1,IN.132,132,0.0,0.0,
SERV_013,Sewage/Waste Mgmt,Services,Services,13,"IN.133,IN.148,IN.149,IN.150,IN.151,IN.152,IN.153,IN.154,IN.155,IN.156,IN.157,IN.158,IN.159",133,0.0,0.0,
SERV_017,Cultural & Rec Services,Services,Services,1,IN.135,135,0.0,0.0,
SERV_018,Other Services,Services,Services,3,"IN.134,IN.136,IN.137","136,137",0.0,0.0,
SERV_019,Post & Telecom,Services,Services,1,IN.121,134,0.0,0.0,
SERV_M02,Pipeline/Water Transport,Services,Services,3,"IN.116,IN.117,IN.118",123,0.0,0.0,
SERV_M03,Support & Travel Agencies,Services,Services,1,IN.120,124,0.0,0.0,
SERV_M04,Machinery Rental,Services,Services,1,IN.126,125,0.0,0.0,
