Product_ID,Product_Name,Water_2022_m3_per_crore,Source_EXIOBASE
119,Hotels & Restaurant,0.0,IN.113
120,Railway Transport,0.0,IN.114
121,Land transport,0.0,"IN.115, IN.116"
122,Air transport,0.0,IN.119
123,Water Transport,0.0,"IN.117, IN.118"
124,Supportive and Auxiliary transport activities,0.0,IN.120
125,Storage and warehousing,0.0,No direct mapping
126,Communication services,0.0,IN.121
127,Financial services,0.0,"IN.122, IN.124"
128,Insurance services,0.0,IN.123
129,Ownership of dwellings,0.0,No direct mapping
130,Real estate services,0.0,IN.125
131,Renting of machinery & equipment,0.0,IN.126
132,Research & Development Services,0.0,IN.128
133,Legal services,0.0,No direct mapping
134,Other Business services,0.0,IN.129
135,Computer related services,0.0,IN.127
136,Public administration and defence,0.0,IN.130
137,Education services,0.0,IN.131
138,Human health and social care services,0.0,IN.132
139,"Community, social and personal services",0.0,"IN.134, IN.136, IN.137"
140,"Recreation, entertainment and radio & TV broadcasting and other services",0.0,IN.135
