EXIOBASE_Code,EXIOBASE_Name,SUT_Product_ID,SUT_Product_Name,Water_2022
IN.104,Electricity transmission,114,Electricity,0.0
IN.105,Electricity distribution,114,Electricity,0.0
IN.106,Gas distribution,115,Gas,0.0
IN.107,Steam/hot water supply,115,Gas,0.0
IN.108,Water supply,116,Water Supply,0.0
IN.109,Construction,113,Construction and construction services,0.0
IN.133,Sewage/refuse disposal,116,Water Supply,0.0
IN.110,Motor vehicle sales/repair,118,Repair & Maintenance of Motor Vehicle,0.0
IN.111,Wholesale trade,117,Trade,0.0
IN.112,Retail trade,117,Trade,0.0
IN.113,Hotels and restaurants,119,Hotels & Restaurant,0.0
IN.114,Railway transport,120,Railway Transport,0.0
IN.115,Road transport,121,Land transport,0.0
IN.116,Pipeline transport,121,Land transport,0.0
IN.117,Sea/coastal transport,123,Water Transport,0.0
IN.118,Inland water transport,123,Water Transport,0.0
IN.119,Air transport,122,Air transport,0.0
IN.120,Transport support; travel agencies,124,Supportive and Auxiliary transport activities,0.0
IN.121,Post and telecom,126,Communication services,0.0
IN.122,Financial services,127,Financial services,0.0
IN.123,Insurance/pension,128,Insurance services,0.0
IN.124,Financial auxiliaries,127,Financial services,0.0
IN.125,Real estate,130,Real estate services,0.0
IN.126,Machinery rental,131,Renting of machinery & equipment,0.0
IN.127,Computer services,135,Computer related services,0.0
IN.128,R&D services,132,Research & Development Services,0.0
IN.129,Business services,134,Other Business services,0.0
IN.130,Public administration,136,Public administration and defence,0.0
IN.131,Education,137,Education services,0.0
IN.132,Health and social work,138,Human health and social care services,0.0
IN.134,Membership organizations,139,"Community, social and personal services",0.0
IN.135,Recreational/cultural services,140,"Recreation, entertainment and radio & TV broadcasting and other services",0.0
IN.136,Other services,139,"Community, social and personal services",0.0
IN.137,Private households,139,"Community, social and personal services",0.0
IN.138,Other sector 138,112,Miscellaneous manufacturing,0.0
IN.139,Other sector 139,112,Miscellaneous manufacturing,0.0
IN.140,Other sector 140,112,Miscellaneous manufacturing,0.0
IN.141,Other sector 141,112,Miscellaneous manufacturing,0.0
IN.142,Other sector 142,112,Miscellaneous manufacturing,0.0
IN.143,Other sector 143,112,Miscellaneous manufacturing,0.0
IN.144,Other sector 144,112,Miscellaneous manufacturing,0.0
IN.145,Other sector 145,112,Miscellaneous manufacturing,0.0
IN.146,Other sector 146,112,Miscellaneous manufacturing,0.0
IN.147,Other sector 147,112,Miscellaneous manufacturing,0.0
IN.148,Other sector 148,112,Miscellaneous manufacturing,0.0
IN.149,Other sector 149,112,Miscellaneous manufacturing,0.0
IN.150,Other sector 150,112,Miscellaneous manufacturing,0.0
IN.151,Other sector 151,112,Miscellaneous manufacturing,0.0
IN.152,Other sector 152,112,Miscellaneous manufacturing,0.0
IN.153,Other sector 153,112,Miscellaneous manufacturing,0.0
IN.154,Other sector 154,112,Miscellaneous manufacturing,0.0
IN.155,Other sector 155,112,Miscellaneous manufacturing,0.0
IN.156,Other sector 156,112,Miscellaneous manufacturing,0.0
IN.157,Other sector 157,112,Miscellaneous manufacturing,0.0
IN.158,Other sector 158,112,Miscellaneous manufacturing,0.0
IN.159,Other sector 159,112,Miscellaneous manufacturing,0.0
IN.160,Other sector 160,112,Miscellaneous manufacturing,0.0
IN.161,Other sector 161,112,Miscellaneous manufacturing,2.7814181818181817e-06
IN.162,Other sector 162,112,Miscellaneous manufacturing,0.0
