Year,Scenario,Hotel_m3,Restaurant_m3,Rail_m3,Air_m3,Total_m3,Total_billion_m3,Hotel_pct,Rest_pct,Rail_pct,Air_pct
2015,LOW,877154780,259026250,225248881,663000,1362092911,1.3621,64.4,19.0,16.5,0.0
2015,BASE,1151438227,388539375,303219648,918000,1844115249,1.8441,62.4,21.1,16.4,0.0
2015,HIGH,1653984407,582809062,381190414,1173000,2619156884,2.6192,63.1,22.3,14.6,0.0
