Year,Scenario,Hotel_m3,Restaurant_m3,Rail_m3,Air_m3,Total_m3,Total_billion_m3,Hotel_pct,Rest_pct,Rail_pct,Air_pct
2022,LOW,18311692,441544500,87750000,1014000,548620192,0.5486,3.3,80.5,16.0,0.2
2022,BASE,30138761,706471200,118125000,1404000,856138961,0.8561,3.5,82.5,13.8,0.2
2022,HIGH,45945030,993475125,148500000,1794000,1189714155,1.1897,3.9,83.5,12.5,0.2
