Year,Scenario,Hotel_m3,Restaurant_m3,Rail_m3,Air_m3,Total_m3,Total_billion_m3,Hotel_pct,Rest_pct,Rail_pct,Air_pct
2019,LOW,1191883000,499433000,383197100,1131000,2075644100,2.0756,57.4,24.1,18.5,0.1
2019,BASE,1702690000,774121150,515842250,1566000,2994219400,2.9942,56.9,25.9,17.2,0.1
2019,HIGH,2383766000,1123724250,648487400,2001000,4157978650,4.158,57.3,27.0,15.6,0.0
