Indirect_m3,Direct_m3,Total_m3,param_agr_water_mult,param_hotel_coeff_mult,param_rest_coeff_mult,param_dom_tourist_mult,param_inb_tourist_mult,param_rail_coeff_mult,param_air_coeff_mult
3778610667,3069997201,6848607869,0.5822401631720089,1.4534215345859163,1.178420792989818,0.9815619610828208,1.0227141895641165,1.344791352896451,1.0207826765870316
5863283676,2215384398,8078668074,1.124518308900676,1.0726421198486689,0.8806645546203605,0.9714197145156755,1.0567720937492147,0.8817693633233145,1.1972265094022918
5214231592,2409939119,7624170711,0.9556828324360593,0.918887838091245,1.2726404185627764,1.003092151929384,0.93110746830854,1.0252642607196878,0.6121872536622892
6875518047,2144202217,9019720265,1.3878270269403699,0.6648657740656125,0.8893862084204478,1.1448114949716397,0.988315641493391,1.1549315383398862,0.9339895350766088
5993350254,1897743546,7891093800,1.158352038266339,0.804111070908795,0.9672587643718914,0.8901306245814432,1.0111336969528395,1.1631789504972785,1.0183252843557944
5707455732,2175235337,7882691070,1.0839833720766618,0.7626239395856762,1.1562542247032015,1.0711242930885905,1.0328521059779159,0.7519394479275063,1.2023485820362239
5998442762,2150423995,8148866757,1.1596767331614923,0.9203992402976925,1.0096142304857032,0.9496066818855962,1.0016821200378883,1.0924161210299923,1.0322858035104785
8696515110,2000493399,10697008510,1.8615161410921517,0.9530075564155771,0.9893297025288972,0.8960795561944365,1.0052913519032325,0.9224589961640088,0.8358166939228753
6543572688,2705215052,9248787740,1.3014793297932015,1.2611261113481536,1.0329490723873642,0.9791340280970839,1.0291921328473423,1.2663572291070486,1.226913697803608
5323923609,2971469746,8295393356,0.9842166040876766,1.2187880591763018,1.0965937694900423,1.1380785203984605,1.093515430856607,0.9425638076370139,1.1582360810618726
4393813605,2445830218,6839643823,0.742270588565245,1.0771871864787026,1.0430424831312624,1.0009075846890225,1.0376398962763178,1.012395350462909,0.9744947963714271
4255935613,2115188601,6371124214,0.7064049052542574,0.8369968170523931,1.1169976384301246,0.9474557978009347,1.0196942077513291,1.068819321082,0.7922891903897304
7227448617,2314084933,9541533550,1.4793734018755902,1.123248255919137,1.0052828017737059,1.0001248676728558,0.919139135731242,0.6618176024594391,1.2336355536962331
4680017777,2062098180,6742115956,0.8167198027273113,0.8408705720789555,0.7388615172090578,1.0604030415580694,1.0048755165600778,1.0476430397059455,1.0720280904350479
5911095104,2085262461,7996357565,1.136955315671191,0.9761275374727107,0.9776538910593948,0.9701225709814927,0.9212240762640265,0.7273947372513838,1.3542763123983343
7724818638,1591064947,9315883585,1.6087523939741077,0.5603600236631385,1.0651509099535472,0.9036251265774857,1.1149397093616022,0.7803424667532696,1.1002184829817427
5415777640,2378946269,7794723909,1.0081102474554753,1.1627924923892055,1.159489100795361,0.9169752065353327,1.0753061435402123,0.8609304845609901,0.6538339282317129
4872084736,2446857787,7318942523,0.8666814582233681,0.9623994056709007,1.1779814916858782,1.0501779702792502,1.0266769962033522,0.8576706292437499,1.2323561973181314
5938930383,2591595782,8530526165,1.1441960021477149,1.140330014955693,1.2011036607155832,0.9609240427646999,1.0885546526269512,1.1322690477381365,1.1861122751495883
5739195428,2369935293,8109130721,1.0922396998397848,0.922840163553292,1.3389232060461744,0.9975832377480945,0.9664389678176709,0.8088691498897547,1.37562598091932
6315173422,2018292760,8333466182,1.242066687980244,0.7401427467284614,0.9725756048636766,0.9943497584901592,0.9636052575110075,1.1446616412011545,0.9756354563836523
5434726553,1648226421,7082952974,1.0130393568839673,0.7662427965961407,0.9169533588635246,0.9207233258705411,1.134044029472355,0.4768559460641458,0.8717807319364586
5385458579,2153369371,7538827950,1.000223464132978,0.8829356222754098,1.0403140747901187,0.9329065266999979,1.016524257356729,1.2521474564845905,0.6023366276534773
4824624959,2399239598,7223864557,0.8543359249929817,0.8935392835841127,1.2321068653601235,1.0236070388471254,0.9567785745013478,1.0233342664875502,0.7081799499843038
7680738872,2402302110,10083040982,1.5972860903522115,1.1067392323175786,0.9872797912217153,1.0256624842257622,0.9866097508247335,0.7981188118050271,0.9022551536784403
6861613261,2514466197,9376079457,1.3842100272459856,1.0067419742025145,1.0529812753542418,1.0904623328046432,1.0418606164309068,0.8945097871505729,1.161612656134543
5583623040,2204062203,7787685243,1.0517712398072543,0.8039464245153833,1.10628025783351,1.0761154022161141,0.9199490871564182,0.7972076990776098,0.8196863727596517
8536484728,1690843693,10227328421,1.8198880397382093,0.8261008225500215,0.7263850357980791,0.9024066491474559,1.0393320358578442,0.8689403066880348,0.829992608352359
3847770486,2687381970,6535152456,0.6002304464529212,1.246282112331051,1.131207462677548,1.017906440258814,0.9532552387225601,0.8835995167076793,0.8804522957869982
5096324949,1901318140,6997643089,0.9250122210589372,0.822649626177014,0.8460548406112588,0.9978078631833378,1.0719176450437409,0.7706588804457758,1.039607910658344
6953702602,2310568768,9264271371,1.4081648810778216,1.0373464383820044,1.0195385764338523,0.9351314369654674,1.0403008834611682,1.2126746448546448,1.2681193182598176
6147785409,2064571104,8212356513,1.1985246741916502,0.9087307271830275,0.9915344696094189,0.9255138306343869,1.0078307627006744,1.0622479286475914,1.0907925013772288
7272594130,2282450212,9555044342,1.4911169343977115,1.0139022649124476,0.8909465939417951,0.9863865362782446,1.0159476451774065,1.1531283957223584,0.9228195630949847
4942058285,2521094382,7463152667,0.8848834141029536,1.1696268518092672,0.8817186426059047,1.0362530027177146,1.044476094136927,1.0033137349566392,1.1324944793491816
4343985700,2273746729,6617732429,0.7293090429540102,0.9399782092483554,0.8661082703788406,1.0422436208544095,0.8758588093511455,1.1600956716636477,0.8675102822405306
