Sim,Indirect_m3,Direct_m3,Total_m3,param_agr_water_mult,param_hotel_coeff_mult,param_rest_coeff_mult,param_dom_tourist_mult,param_inb_tourist_mult,param_rail_coeff_mult,param_air_coeff_mult
0,5553580607.223696,419955086.9340954,5973535694.157791,1.0957237720140651,1.0450547317566943,0.7512699027101383,0.9190857910506244,0.9550115913319384,1.1539360101302443,1.156534409877718
1,4032990969.2685976,543262796.3304421,4576253765.59904,0.7319850184181449,1.2520483260316286,1.1336810488819273,0.9962082039366974,0.9370913754351907,0.6312189363848458,0.9377439524199275
2,6208942474.413855,464852022.10149014,6673794496.515345,1.2524922404922665,0.6920703588055922,0.9912951990377205,0.8922907415392344,1.0166308146802192,0.9520684646653202,1.305534037659253
3,6516251563.031988,443932326.7209856,6960183889.752974,1.3260033457060183,0.9311596439776936,0.9100136322306395,0.9427715262811518,1.0076671641410666,0.7818727726295026,0.7981464964551237
4,3301195218.679927,564580219.4862254,3865775438.166152,0.5569328757744016,1.2303372562143937,0.9623773732359414,0.9804646918935132,0.8887720600569613,1.572730601624601,0.6638305894907156
5,3801516860.1806707,547565895.6647664,4349082755.845437,0.6766143241639104,1.0165352558802603,1.1555156180561506,0.96624917168685,0.934903269295857,0.7992440993634568,0.6141680486769242
6,5316855770.293161,574319581.7552874,5891175352.048449,1.0390970563104738,1.4431575455672017,1.109686077598761,1.058152608189594,1.0127594075800852,0.7005512003168426,1.1589895602836067
7,4775034967.616517,426980747.75962794,5202015715.376145,0.909488634341362,0.6743669772936127,0.9808114812991748,0.9409737906075557,0.996389308909393,0.4459257163126813,0.8607871333359517
8,5132394821.648211,362441012.5663861,5494835834.214597,0.9949723339840308,0.6554059646461663,0.829133880389608,0.802401500429044,0.9799534140998132,0.7927471323324492,0.9719262900697917
9,4209506746.3246226,427853792.6075377,4637360538.93216,0.7742091840534693,1.2121815002970957,0.8397183104632541,0.8651381672534776,1.0302839033705091,1.0245694647535415,1.2188746018510193
10,6415459784.467342,594883151.2117628,7010342935.679105,1.3018930433649323,1.2416632403788714,1.1129545239886993,0.9985745491599046,0.9278483516155502,1.217449659319646,1.0657483617214374
11,6252065707.8408985,410435110.6103404,6662500818.451239,1.2628077067997137,0.9528359776765271,0.8083386361518409,0.9530557383994595,0.9702504150256118,0.7859655072016916,0.7627759782963452
12,5237049654.028939,506989298.88513464,5744038952.914074,1.0200067136337232,1.1052798933131947,0.9822768267633537,0.9010662614433522,1.0259018575933123,1.2342951208021047,1.3248386537334689
13,6835549117.681231,766383508.8261514,7601932626.507381,1.4023822001026114,1.2047857428960413,1.4021608191069854,1.1566761063271487,0.9675352486770293,0.9872617850334111,0.9418009986732461
14,5782839756.513995,560604258.279287,6343444014.7932825,1.1505646279108992,0.815898106367197,1.0689341257555143,1.0663000097109083,1.0156273364272164,0.9029170750931356,0.9874112260666867
15,4203445341.893032,561321708.3589551,4764767050.251987,0.772759241453602,0.8380210212738726,1.1113373805992506,0.9953258271885397,0.9426885166557547,1.0345677214270312,0.8574350185523791
16,5642425305.694958,496302051.85744566,6138727357.552403,1.1169762250618194,1.0485744182924828,0.8408447092200507,1.0186637793999362,0.9588075273008203,1.2835144014290734,0.7768710820524294
17,4108355815.5475287,453174586.5064766,4561530402.054006,0.7500129692644442,1.253603545077697,0.8159047515741333,0.9787887191194413,0.910890109382529,1.0102216418521572,1.0460719785345138
18,6413912692.819675,494655139.4741342,6908567832.29381,1.3015229650916262,0.7471500591781965,1.1193733055557076,0.8996947804243803,0.8971436717604782,0.7783476758039028,0.7117221056254831
19,5091265526.267671,542648680.0363272,5633914206.303998,0.9851338356380108,0.951717617957415,0.9576472016657713,1.0824576229112655,0.9762026425580451,1.084828317250845,0.9833837684078525
20,4927882264.979417,628178507.9295474,5556060772.908964,0.946051086199217,0.9407675842705572,1.1760432222345512,1.0681064064887145,1.022501201439726,1.0816283251109606,1.3170797379399797
21,4381012890.574728,470206468.485029,4851219359.059757,0.8152350003463315,1.1101440439848966,1.0214699856436777,0.841813297354239,0.9942600656637167,0.9619448258495297,1.1502520254813982
22,7005579541.752281,762127248.1640427,7767706789.916324,1.4430550108210651,0.9978277702111102,1.5334544178325196,1.0181146001692605,1.0580142444423035,1.204308895207033,1.0405963050627522
23,4964035692.167786,453980786.6039984,5418016478.771784,0.9546993120028616,0.8724317111856512,0.9291520277029978,1.026946578046205,0.9803600282606155,0.5421710031853133,0.7803390569368073
24,4649313879.701254,552937252.9416261,5202251132.6428795,0.8794150163989704,1.3663479427055152,1.0583697293784144,0.9742615016915246,0.8939930437577058,1.0714146155492315,0.9878590381894679
25,4734316629.26894,543747357.5649568,5278063986.833897,0.8997484406235075,0.8738781142730213,0.8808781506118796,1.1677812270905146,1.0172097158272937,1.156869757324764,0.8407879792360433
26,5877258203.264366,626713903.7992148,6503972107.063581,1.1731503718093175,0.9295784355093625,1.1698120015978644,1.1590995733007554,0.9460735938730355,0.7102366818270596,1.2884441115206389
27,5637795426.858196,501416034.1813944,6139211461.039591,1.1158687162932808,0.6717463876785417,1.0810768590811428,0.9697993627801971,1.0062940324624465,0.7033478829335332,0.9052120679044814
28,5704444942.331001,480085640.8330797,6184530583.164081,1.1318118814186549,0.8366023012911272,0.8708215219878509,0.9821744631604724,0.8857259021785306,1.1996256857828322,0.8428052133765502
29,5730190173.101227,528134083.0028826,6258324256.10411,1.1379703727812518,1.1377117621964037,0.9674072658829859,0.9727783654872644,0.9862475479439766,1.234890825104953,0.9564586250641963
