क्र. सं.,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  ,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,NIC Code Description,NIC 2008 Code,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,3,2,1
1,,"खाद्य उत्पाद, पेय पदार्थ और तंबाकू का उत्‍पादन","150,411","141,414","154,700","152,863","141,262","179,824","196,422","205,785","207,382","218,234","219,046","285,532","294,929","150,411","128,740","134,204","128,846","120,707","138,244","149,044","155,664","152,637","154,725","146,406","180,872","182,686","Manufacture of food products, beverages & tobacco",,1
1.1,101-104,"मांस, मछली, फल, सब्जी, तेल और वसा का उत्पादन, प्रसंस्करण और परिरक्षण","47,587","17,157","11,532","14,091","20,048","16,697","19,609","23,075","26,841","24,871","27,630","30,310","25,220","47,587","16,173","10,834","13,407","19,533","15,148","17,488","19,354","22,190","17,527","15,384","17,285","17,486","Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",101-104,1.1
1.2,105,डेयरी उत्पादों का विनिर्माण,"6,439","3,019","5,754","5,220","5,501","9,368","7,433","7,205","6,875","8,029","6,382","12,494","13,690","6,439","2,924","5,111","4,220","4,451","7,081","5,231","5,290","4,741","5,466","4,272","7,481","7,644",Manufacture of dairy products,105,1.2
1.3,106+108,अनाज चक्की उत्‍पाद का विनिर्माण आदि और पशु आहार,"43,218","46,445","43,192","46,260","42,829","60,125","59,624","70,149","62,404","65,733","74,423","85,546","92,438","43,218","40,881","34,417","36,112","33,570","43,117","43,035","49,130","41,671","44,971","48,637","50,715","51,501","Manufacture of grain mill products, etc. and animal feeds",106+108,1.3
1.4,107,अन्य खाद्य उत्पादों का विनिर्माण,"36,583","51,849","72,193","66,452","55,584","74,386","84,699","74,429","88,254","84,402","86,674","131,528","138,333","36,583","47,500","64,141","58,037","49,636","58,521","65,808","60,797","68,465","63,432","62,468","89,022","90,524",Manufacture of other food products,107,1.4
1.5,11,पेय पदार्थों का विनिर्माण,"2,450","2,808","2,742","2,356","4,036","5,056","3,570","3,237","3,630","5,608","4,279","4,966","5,325","2,450","2,670","2,433","2,079","3,543","4,355","3,003","2,682","2,937","4,505","3,375","3,852","4,049",Manufacture of beverages,11,1.5
1.6,12,तंबाकू उत्पादों का विनिर्माण,"14,135","20,136","19,286","18,484","13,264","14,192","21,488","27,689","19,377","29,591","19,658","20,690","19,923","14,135","18,593","17,268","14,991","9,973","10,023","14,480","18,411","12,632","18,824","12,271","12,516","11,483",Manufacture of tobacco products,12,1.6
2,,"वस्‍त्र, परिधान और चमड़े के उत्पादों का विनिर्माण","112,434","129,540","205,815","202,478","244,141","234,404","273,876","312,024","299,696","281,121","383,347","356,227","335,007","112,434","122,801","181,970","176,994","217,654","205,099","235,836","259,624","250,025","235,223","285,662","252,569","248,230","Manufacture of textiles, apparel & leather products",,2
2.1,13+01632,वस्‍त्र का विनिर्माण + कपास की ओटाई,"80,610","95,046","160,486","161,103","191,003","182,080","216,416","245,115","231,004","226,862","311,217","280,126","264,070","80,610","91,135","142,846","142,949","175,071","163,741","190,843","207,901","196,265","192,910","230,190","196,304","196,189",Manufacture of textiles + cotton ginning,13+01632,2.1
2.2,14-14105,"कस्टम टेलरिंग को छोड़कर,  परिधानों का विनिर्माण","13,928","16,325","21,229","18,217","22,804","25,260","27,891","31,927","34,628","29,272","35,968","41,213","35,887","13,928","14,727","18,022","14,859","17,719","19,283","20,373","23,002","25,038","21,120","25,135","27,715","23,798","Manufacture of wearing apparel, except custom tailoring",14-14105,2.2
2.3,15,चमड़े और संबंधित उत्पादों का विनिर्माण,"17,896","18,169","24,100","23,158","30,334","27,063","29,569","34,982","34,065","24,986","36,162","34,889","35,050","17,896","16,939","21,101","19,186","24,864","22,075","24,620","28,721","28,723","21,193","30,337","28,550","28,243",Manufacture of leather and related products,15,2.3
3,,धातु और धात्‍विक उत्पादों का विनिर्माण,"86,927","120,243","92,221","95,028","85,737","98,594","115,475","126,041","120,708","134,541","149,513","184,776","197,371","86,927","116,060","89,728","90,538","84,816","98,617","108,617","110,496","107,674","118,058","111,554","129,295","141,716",Manufacture of metal & metal products,,3
3.1,241+2431,बुनियादी लौह और इस्‍पात का विनिर्माण + लोहा और इस्पात की कास्टिंग,"28,647","23,380","26,194","22,633","22,704","27,737","36,004","42,987","39,395","53,212","55,022","70,974","74,587","28,647","22,313","25,520","22,142","25,237","31,130","36,025","38,307","37,150","47,843","39,241","47,479","53,179",Manufacture of basic iron and steel + casting of iron and steel,241+2431,3.1
