क्र.सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item,S.No.
7.2,सड़क परिवहन,"262,442","300,652","338,306","370,364","399,902","434,947","484,134","536,552","565,162","429,312","667,974","727,638","773,646","262,442","282,425","300,563","320,813","343,155","362,324","396,401","417,538","432,160","317,897","426,710","446,221","462,922",Road transport,7.2
7.3,जल परिवहन,"6,910","7,190","6,476","7,590","7,298","9,206","13,021","13,059","13,228","14,088","19,210","22,143","22,496","6,910","7,052","7,345","7,954","8,095","8,569","11,915","12,628","13,016","12,265","13,053","14,134","15,166",Water transport,7.3
7.4,वायु परिवहन,"4,393","8,128","6,853","11,820","20,344","21,496","22,444","12,730","22,496","10,839","11,114","18,140","33,102","4,393","4,183","4,550","5,188","6,053","7,172","8,373","9,402","9,158","3,433","5,443","8,749","9,975",Air transport,7.4
7.5,परिवहन संबंधी प्रासंगिक सेवाएं ,"63,602","72,054","75,719","91,681","88,246","102,468","97,602","103,341","103,582","93,072","125,990","151,928","183,437","63,602","66,480","70,172","75,596","81,156","86,835","84,351","89,061","91,356","81,238","84,531","95,275","100,119",Services incidental to transport,7.5
7.6,भंडारण,"5,108","6,165","6,026","6,407","7,021","7,442","16,194","18,597","19,796","20,962","21,586","24,223","28,210","5,108","5,716","5,210","5,529","6,245","6,100","12,976","13,784","14,021","13,857","18,128","17,248","20,112",Storage,7.6
7.7,संचार एवं प्रसारण से संबंधित सेवाएं  ,"125,930","142,969","177,804","206,442","237,282","247,809","247,549","258,179","292,918","318,734","374,447","435,910","480,371","125,930","134,505","156,031","176,047","201,243","203,896","198,344","197,215","219,178","220,967","237,909","262,188","285,338",Communication & services related to broadcasting,7.7
8,वित्तीय सेवाएं ,"480,226","536,819","599,341","661,411","726,286","750,201","846,194","941,778","1,027,636","1,086,371","1,173,240","1,452,679","1,598,185","480,226","529,792","577,914","627,255","672,788","695,983","728,670","758,170","784,536","824,294","831,305","903,368","972,874",Financial services,8
9,"स्‍थावर सम्‍पदा, आवास का स्वामित्व और व्‍यावसायिक सेवाएं  ","1,050,651","1,239,813","1,470,167","1,701,935","1,899,852","2,161,236","2,281,018","2,587,720","2,853,477","2,941,808","3,472,633","4,147,761","4,645,968","1,050,651","1,150,239","1,289,493","1,446,460","1,621,999","1,796,983","1,808,521","1,956,051","2,113,708","2,129,836","2,291,542","2,555,909","2,841,712","Real estate, ownership of dwelling & professional services",9
10,लोक प्रशासन और रक्षा,"491,155","546,231","601,912","676,818","731,578","827,438","945,082","1,045,488","1,151,736","1,206,853","1,315,856","1,443,484","1,599,734","491,155","501,383","510,046","543,853","565,106","614,238","676,507","722,773","762,531","757,886","780,846","803,343","849,381",Public administration and defence,10
11,अन्य सेवाएं,"534,827","617,343","700,023","814,718","928,489","1,071,399","1,195,759","1,375,658","1,557,139","1,419,415","1,654,053","1,915,417","2,240,636","534,827","568,262","600,748","659,262","711,691","781,744","836,035","902,705","969,873","843,408","940,853","1,033,017","1,149,180",Other services,11
12,बुनियादी मूल्यों पर सकल मूल्य वर्धन,"8,106,946","9,202,692","10,363,153","11,504,279","12,574,499","13,965,200","15,505,665","17,175,128","18,381,117","18,210,997","21,635,584","24,646,698","27,412,888","8,106,946","8,546,275","9,063,649","9,712,133","10,491,870","11,328,285","12,034,171","12,733,798","13,236,100","12,687,345","13,876,840","14,878,028","16,151,477",TOTAL GVA at basic prices,12
