,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
विवरण 1.5: आर्थिक क्रियाकलाप के अनुसार उत्पादन तथा प्रयोग के उद्योग के तहत पूंजी निर्माण,,,,,,,,,,,,,,,Statement 1.5: Output by Economic activity and Capital formation by Industry of use,,,,,,,,,,,,,,
,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,,,,,स्थिर (2011-12) भावों पर  At constant (2011-12) Prices,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,( ₹ करोड़),,,,,,,,,,,,,,,,,,,( ₹ crore),,,,,,,,
क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,2,1
2.1.2.2.2,परिचालन अधिशेष/मिश्रित आय  ,"160,711","175,697","178,877","187,435","171,947","187,865","179,272","214,055","194,774","159,671","257,357","302,955","315,576",,,,,,,,,,,,,,OS/MI,2.1.2.2.2
2.1.2.2.3,आर्थिक सहायता घटाकर उत्‍पादन पर कर,"3,456","1,688","3,022","1,056",954,"2,644","2,512","3,230","2,986","3,035","3,227","4,004","5,699",,,,,,,,,,,,,,Production taxes less production subsidies,2.1.2.2.3
2.2,सकल पूंजी निर्माण ,"67,085","81,290","148,134","71,795","63,248","69,804","84,056","91,231","76,349","87,236","104,405","110,383","158,406","67,085","76,312","133,126","61,018","49,060","57,431","67,060","71,448","58,542","66,192","75,087","76,406","103,864",Gross Capital Formation ,2.2
2.3,स.मू.व. का उत्पादन से अनुपात,59.6,58.1,53.2,55.4,58.3,57.6,61.5,62.9,62.0,60.9,60.8,59.6,60.1,60,58,53,55,57.4,55.7,61.2,63.2,62.5,62.0,62.6,59.5,60.7,GVA to Output Ratio,2.3
2.4,स.पू.नि. का उत्पादन से अनुपात,15.3,16.5,26.6,12.9,12.5,12.3,15.4,15.2,13.3,16.4,14.4,12.9,17.9,15,17,27,12,8.9,9.2,12.4,13.8,11.5,14.1,15.2,14.2,19.1,GCF to Output Ratio,2.4
3,विनिर्माण ,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing ,3
3.1,उत्‍पादन ,"6,543,446","7,180,189","7,968,484","8,501,463","8,417,473","8,987,059","9,969,138","11,903,859","11,856,161","11,693,810","15,772,252","18,429,228","19,350,303","6,543,446","6,779,724","7,227,462","7,669,909","7,977,766","8,388,278","8,991,280","10,267,035","10,243,798","9,911,191","11,805,823","12,793,528","13,709,739",Output,3.1
3.1.1,मध्‍यस्‍थ उपभोग ,"5,133,461","5,607,352","6,255,032","6,623,094","6,271,285","6,653,338","7,402,515","9,091,299","9,151,060","8,890,315","12,379,647","14,894,361","15,428,707","5,133,461","5,292,850","5,666,753","5,985,972","6,073,916","6,333,514","6,781,852","7,938,043","7,984,093","7,582,031","9,244,790","10,277,165","10,883,803",Intermediate consumption,3.1.1
3.1.2,बुनियादी मूल्‍यों पर सकल मूल्‍य वर्धन ,"1,409,986","1,572,837","1,713,452","1,878,369","2,146,189","2,333,721","2,566,623","2,812,560","2,705,101","2,803,495","3,392,605","3,534,867","3,921,596","1,409,986","1,486,873","1,560,709","1,683,938","1,903,850","2,054,764","2,209,428","2,328,992","2,259,706","2,329,160","2,561,033","2,516,364","2,825,935",GVA at basic prices,3.1.2
3.1.2.1,स्‍थायी पूंजी अवक्षय  ,"263,058","283,712","301,794","323,713","343,495","365,181","392,012","426,619","456,335","480,410","535,906","655,452","685,555","263,058","272,970","281,877","290,780","308,444","327,443","343,631","361,160","379,876","394,074","412,740","432,683","452,731",CFC,3.1.2.1
