,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
विवरण 1.5: आर्थिक क्रियाकलाप के अनुसार उत्पादन तथा प्रयोग के उद्योग के तहत पूंजी निर्माण,,,,,,,,,,,,,,,Statement 1.5: Output by Economic activity and Capital formation by Industry of use,,,,,,,,,,,,,,
,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,,,,,स्थिर (2011-12) भावों पर  At constant (2011-12) Prices,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,( ₹ करोड़),,,,,,,,,,,,,,,,,,,( ₹ crore),,,,,,,,
क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,2,1
7.1.2.1,स्‍थायी पूंजी अवक्षय  ,"85,812","99,745","121,829","134,998","147,910","167,788","198,443","237,072","270,085","286,784","320,659","365,912","406,363","85,812","97,189","116,757","120,460","131,702","147,687","171,170","199,004","219,856","225,977","241,447","258,178","283,831",CFC,7.1.2.1
7.1.2.2,निवल मूल्‍य वर्धन ,"443,721","509,708","568,077","651,765","712,634","762,367","799,084","828,983","882,473","729,931","1,045,163","1,176,550","1,293,608","443,721","472,334","500,799","551,388","599,696","609,369","629,075","631,973","641,336","489,434","624,154","679,285","711,146",NVA at basic prices,7.1.2.2
7.1.2.2.1,कर्मचारियों का पारिश्रमिक ,"182,916","203,210","226,652","251,255","271,533","312,550","361,275","388,719","406,436","366,204","437,911","488,764","537,819",,,,,,,,,,,,,,CE,7.1.2.2.1
7.1.2.2.2,परिचालन अधिशेष/मिश्रित आय  ,"278,289","323,240","360,552","421,363","464,924","483,661","475,160","481,806","550,000","461,027","679,885","747,375","819,129",,,,,,,,,,,,,,OS/MI,7.1.2.2.2
7.1.2.2.3,आर्थिक सहायता घटाकर उत्‍पादन पर कर,"-17,483","-16,742","-19,127","-20,854","-23,823","-33,844","-37,351","-41,543","-73,963","-97,300","-72,633","-59,589","-63,340",,,,,,,,,,,,,,Production taxes less production subsidies,7.1.2.2.3
7.2,सकल पूंजी निर्माण ,"258,518","268,351","322,561","242,515","365,506","402,008","626,395","748,478","693,573","432,643","691,949","833,041","1,192,331","258,518","260,474","310,836","216,524","328,413","353,785","549,569","640,931","564,018","342,099","513,018","574,955","801,831",Gross Capital Formation ,7.2
7.3,स.मू.व. का उत्पादन से अनुपात,42.1,42.8,42.8,43.6,45.1,44.9,43.5,42.4,43.9,45.8,44.3,42.7,43.7,42.1,42.9,43.9,43.7,44.7,44.3,43.2,42.9,43.9,46.8,46.5,43.8,43.6,GVA to Output Ratio,7.3
7.4,स.पू.नि. का उत्पादन से अनुपात,20.6,18.9,20.0,13.4,19.1,19.4,27.3,29.7,26.4,19.5,22.4,23.1,30.6,20.6,19.6,22.1,14.1,20.1,20.7,29.7,33.1,28.7,22.4,27.6,26.8,35.1,GCF to Output Ratio,7.4
8,वित्तीय सेवाएं ,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial services,8
8.1,उत्‍पादन ,"649,765","741,138","792,383","879,315","970,992","1,043,098","1,181,815","1,317,114","1,445,095","1,516,751","1,668,741","2,036,192","2,277,762","649,765","735,153","768,634","837,706","899,035","965,732","1,013,488","1,055,342","1,096,290","1,140,786","1,170,073","1,255,367","1,369,743",Output,8.1
8.1.1,मध्‍यस्‍थ उपभोग ,"169,539","204,319","193,042","217,904","244,705","292,897","335,621","375,336","417,460","430,380","495,502","583,513","679,577","169,539","205,361","190,720","210,451","226,248","269,748","284,818","297,172","311,754","316,492","338,768","351,999","396,869",Intermediate consumption,8.1.1
8.1.2,बुनियादी मूल्‍यों पर सकल मूल्‍य वर्धन ,"480,226","536,819","599,341","661,411","726,286","750,201","846,194","941,778","1,027,636","1,086,371","1,173,240","1,452,679","1,598,185","480,226","529,792","577,914","627,255","672,788","695,983.08","728,670","758,170","784,536","824,294","831,305","903,368","972,874",GVA at basic prices,8.1.2
8.1.2.1,स्‍थायी पूंजी अवक्षय  ,"6,827","8,490","10,209","12,117","14,665","16,494","18,012","21,345","23,251","27,907","30,650","33,828","36,872","6,827","8,203","9,566","10,673","12,878","14,430","15,364","17,503","18,742","22,300","23,267","24,626","26,524",CFC,8.1.2.1
8.1.2.2,निवल मूल्‍य वर्धन ,"473,399","528,329","589,132","649,295","711,622","733,707","828,182","920,433","1,004,385","1,058,464","1,142,590","1,418,851","1,561,313","473,399","521,589","568,348","616,582","659,910","681,553","713,306","740,667","765,793","801,994","808,039","878,742","946,351",NVA at basic prices,8.1.2.2
8.1.2.2.1,कर्मचारियों का पारिश्रमिक ,"133,983","167,426","196,547","218,172","231,884","257,305","269,987","302,739","351,713","370,306","403,394","471,391","536,660",,,,,,,,,,,,,,CE,8.1.2.2.1
8.1.2.2.2,परिचालन अधिशेष/मिश्रित आय  ,"339,043","360,755","392,429","430,583","479,189","475,813","557,682","617,044","652,356","687,895","738,798","947,092","1,024,262",,,,,,,,,,,,,,OS/MI,8.1.2.2.2
8.1.2.2.3,आर्थिक सहायता घटाकर उत्‍पादन पर कर,372,148,156,540,548,589,513,650,315,263,398,368,391,,,,,,,,,,,,,,Production taxes less production subsidies,8.1.2.2.3
8.2,सकल पूंजी निर्माण ,"42,696","36,811","37,691","65,877","70,142","28,346","57,773","48,478","59,557","58,882","58,208","68,011","95,213","42,696","35,324","35,056","58,332","62,219","24,627","49,773","39,770","47,734","46,927","44,124","49,424","68,167",Gross Capital Formation ,8.2
8.3,स.मू.व. का उत्पादन से अनुपात,73.9,72.4,75.6,75.2,74.8,71.9,71.6,71.5,71.1,71.6,70.3,71.3,70.2,73.9,72.1,75.2,74.9,74.8,72.1,71.9,71.8,71.6,72.3,71.0,72.0,71.0,GVA to Output Ratio,8.3
8.4,स.पू.नि. का उत्पादन से अनुपात,6.6,5.0,4.8,7.5,7.2,2.7,4.9,3.7,4.1,3.9,3.5,3.3,4.2,6.6,4.8,4.6,7.0,6.9,2.6,4.9,3.8,4.4,4.1,3.8,3.9,5.0,GCF to Output Ratio,8.4
9,"स्‍थावर सम्‍पदा, आवास का स्‍वामित्‍व और व्यावसायिक सेवाएं ",,,,,,,,,,,,,,,,,,,,,,,,,,,"Real estate, ownership of dwelling and professional services",9
9.1,उत्‍पादन ,"1,380,866","1,618,363","1,987,251","2,340,086","2,629,083","3,022,760","2,920,182","3,406,110","3,762,689","3,819,091","4,655,749","5,617,220","6,273,102","1,380,866","1,504,053","1,748,279","2,003,098","2,275,460","2,553,849","2,346,401","2,617,063","2,832,661","2,807,594","3,113,433","3,494,638","3,880,082",Output,9.1
9.1.1,मध्‍यस्‍थ उपभोग ,"330,214","378,550","517,084","638,151","729,231","861,524","639,165","818,390","909,212","877,283","1,183,115","1,469,460","1,627,134","330,214","353,813","458,786","556,639","653,461","756,866","537,880","661,012","718,953","677,758","821,891","938,730","1,038,369",Intermediate consumption,9.1.1
9.1.2,बुनियादी मूल्‍यों पर सकल मूल्‍य वर्धन ,"1,050,651","1,239,813","1,470,167","1,701,935","1,899,852","2,161,236","2,281,018","2,587,720","2,853,477","2,941,808","3,472,633","4,147,761","4,645,968","1,050,651","1,150,239","1,289,493","1,446,460","1,621,999","1,796,983","1,808,521","1,956,051","2,113,708","2,129,836","2,291,542","2,555,909","2,841,712",GVA at basic prices,9.1.2
9.1.2.1,स्‍थायी पूंजी अवक्षय  ,"152,754","191,003","226,121","278,359","306,670","345,190","383,180","433,752","468,709","510,785","586,332","685,263","724,986","152,754","178,924","203,211","237,499","262,257","290,171","309,083","333,076","356,337","381,291","408,442","434,050","457,007",CFC,9.1.2.1
9.1.2.2,निवल मूल्‍य वर्धन ,"897,897","1,048,811","1,244,046","1,423,577","1,593,181","1,816,045","1,897,837","2,153,968","2,384,768","2,431,024","2,886,301","3,462,497","3,920,982","897,897","971,315","1,086,282","1,208,961","1,359,743","1,506,813","1,499,438","1,622,976","1,757,371","1,748,545","1,883,100","2,121,858","2,384,706",NVA at basic prices,9.1.2.2
9.1.2.2.1,कर्मचारियों का पारिश्रमिक ,"252,986","307,700","374,144","452,091","539,295","659,732","715,532","838,920","951,834","1,008,416","1,269,579","1,648,016","1,867,098",,,,,,,,,,,,,,CE,9.1.2.2.1
9.1.2.2.2,परिचालन अधिशेष/मिश्रित आय  ,"607,167","697,113","832,293","931,007","1,010,749","1,120,851","1,133,755","1,256,445","1,365,955","1,357,011","1,539,108","1,720,131","1,949,359",,,,,,,,,,,,,,OS/MI,9.1.2.2.2
9.1.2.2.3,आर्थिक सहायता घटाकर उत्‍पादन पर कर,"37,743","43,998","37,609","40,479","43,137","35,463","48,551","58,602","66,978","65,597","77,614","94,349","104,525",,,,,,,,,,,,,,Production taxes less production subsidies,9.1.2.2.3
9.2,सकल पूंजी निर्माण ,"816,835","846,666","951,562","1,141,421","961,283","1,036,989","1,049,914","1,253,843","1,306,119","1,234,082","1,509,521","1,806,277","1,876,501","816,835","793,222","849,497","978,131","833,852","885,103","856,505","970,317","1,002,433","926,286","1,036,444","1,124,866","1,161,780",Gross Capital Formation ,9.2
9.3,स.मू.व. का उत्पादन से अनुपात,76.1,76.6,74.0,72.7,72.3,71.5,78.1,76.0,75.8,77.0,74.6,73.8,74.1,76.1,76.5,73.8,72.2,71.3,70.4,77.1,74.7,74.6,75.9,73.6,73.1,73.2,GVA to Output Ratio,9.3
9.4,स.पू.नि. का उत्पादन से अनुपात,59.2,52.3,47.9,48.8,36.6,34.3,36.0,36.8,34.7,32.3,32.4,32.2,29.9,59.2,52.7,48.6,48.8,36.6,34.7,36.5,37.1,35.4,33.0,33.3,32.2,29.9,GCF to Output Ratio,9.4
10,सार्वजनिक प्रशासन और सुरक्षा ,,,,,,,,,,,,,,,,,,,,,,,,,,,Public administration and defence,10
10.1,उत्‍पादन ,"666,419","720,838","797,137","907,104","988,917","1,099,612","1,227,082","1,351,469","1,488,903","1,536,191","1,713,484","1,860,046","2,110,912","666,419","662,993","679,939","741,684","792,051.2","848,356.5","909,262.1","963,002.6","1,021,366.3","1,003,975.3","1,046,453.3","1,058,057.1","1,159,541.5",Output,10.1
10.1.1,मध्‍यस्‍थ उपभोग ,"175,264","174,606","195,224","230,286","257,339","272,174","281,999","305,981","337,168","329,337","397,628","416,562","511,178","175,264","161,609","169,894","197,831","226,945.2","234,118.3","232,754.6","240,229.8","258,834.9","246,088.8","265,607.4","254,714.1","310,160.7",Intermediate consumption,10.1.1
10.1.2,बुनियादी मूल्‍यों पर सकल मूल्‍य वर्धन ,"491,155","546,231","601,912","676,818","731,578","827,438","945,082","1,045,488","1,151,736","1,206,853","1,315,856","1,443,484","1,599,734","491,155","501,383","510,046","543,853","565,105.9","614,238.2","676,507.4","722,772.7","762,531.4","757,886.5","780,845.9","803,343.0","849,380.8",GVA at basic prices,10.1.2
10.1.2.1,स्‍थायी पूंजी अवक्षय  ,"85,563","92,087","98,725","105,064","108,262","113,842","122,401","132,433","140,820","150,590","170,380","188,987","203,123","85,563","88,150","91,664","95,066","98,727","103,418","108,004","112,646","117,733","123,304","128,562","133,563","141,663",CFC,10.1.2.1
10.1.2.2,निवल मूल्‍य वर्धन ,"405,592","454,144","503,188","571,755","623,316","713,596","822,681","913,055","1,010,915","1,056,263","1,145,476","1,254,497","1,396,611","405,592","413,234","418,382","448,787","466,379.2","510,819.8","568,503.4","610,126.8","644,798.5","634,582.6","652,284.0","669,779.5","707,717.9",NVA at basic prices,10.1.2.2
10.1.2.2.1,कर्मचारियों का पारिश्रमिक ,"405,592","454,144","503,188","571,755","623,316","713,596","822,681","913,055","1,010,915","1,056,263","1,145,476","1,254,497","1,396,611",,,,,,,,,,,,,,CE,10.1.2.2.1
10.1.2.2.2,परिचालन अधिशेष/मिश्रित आय  ,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,OS/MI,10.1.2.2.2
10.1.2.2.3,आर्थिक सहायता घटाकर उत्‍पादन पर कर,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Production taxes less production subsidies,10.1.2.2.3
10.2,सकल पूंजी निर्माण ,"248,030","271,602","308,336","340,032","384,795","438,089","461,925","513,142","558,344","587,492","672,550","729,303","919,828","248,030","253,811","276,534","298,356","346,506","388,220","389,433","409,389","442,122","455,468","464,942","465,275","583,127",Gross Capital Formation ,10.2
10.3,स.मू.व. का उत्पादन से अनुपात,73.7,75.8,75.5,74.6,74.0,75.2,77.0,77.4,77.4,78.6,76.8,77.6,75.8,73.7,75.6,75.0,73.3,71.3,72.4,74.4,75.1,74.7,75.5,74.6,75.9,73.3,GVA to Output Ratio,10.3
10.4,स.पू.नि. का उत्पादन से अनुपात,37.2,37.7,38.7,37.5,38.9,39.8,37.6,38.0,37.5,38.2,39.3,39.2,43.6,37.2,38.3,40.7,40.2,43.7,45.8,42.8,42.5,43.3,45.4,44.4,44.0,50.3,GCF to Output Ratio,10.4
11,अन्‍य सेवाएं ,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Services,11
11.1,उत्‍पादन ,"774,575","891,506","1,008,729","1,175,534","1,336,046","1,541,316","1,666,072","1,893,560","2,101,132","1,911,303","2,257,467","2,635,135","3,073,860","774,575","822,577","869,301","957,000","1,032,759","1,136,291","1,175,432","1,252,738","1,319,587","1,145,681","1,290,806","1,426,681","1,583,608",Output,11.1
11.1.1,मध्‍यस्‍थ उपभोग ,"239,748","274,163","308,706","360,817","407,557","469,917","470,313","517,902","543,993","491,888","603,414","719,718","833,224","239,748","254,315","268,553","297,737","321,068","354,547","339,397","350,033","349,714","302,273","349,954","393,664","434,428",Intermediate consumption,11.1.1
11.1.2,बुनियादी मूल्‍यों पर सकल मूल्‍य वर्धन ,"534,827","617,343","700,023","814,718","928,489","1,071,399","1,195,759","1,375,658","1,557,139","1,419,415","1,654,053","1,915,417","2,240,636","534,827","568,262","600,748","659,262","711,691","781,744","836,035","902,705","969,873","843,408","940,853","1,033,017","1,149,180",GVA at basic prices,11.1.2
11.1.2.1,स्‍थायी पूंजी अवक्षय  ,"48,150","53,124","58,998","65,103","71,635","80,515","93,020","107,289","120,297","132,945","159,527","185,133","205,226","48,150","50,611","54,065","57,112","63,638","70,760","78,791","86,713","95,980","104,052","114,753","124,997","137,383",CFC,11.1.2.1
11.1.2.2,निवल मूल्‍य वर्धन ,"486,677","564,219","641,025","749,614","856,854","990,884","1,102,739","1,268,369","1,436,842","1,286,470","1,494,526","1,730,284","2,035,410","486,677","517,652","546,683","602,151","648,053","710,984","757,244","815,992","873,893","739,356","826,100","908,020","1,011,797",NVA at basic prices,11.1.2.2
11.1.2.2.1,कर्मचारियों का पारिश्रमिक ,"341,746","388,957","436,307","500,438","570,763","652,169","725,662","844,243","935,720","922,862","1,043,573","1,190,809","1,365,466",,,,,,,,,,,,,,CE,11.1.2.2.1
11.1.2.2.2,परिचालन अधिशेष/मिश्रित आय  ,"142,114","171,782","201,315","244,416","280,557","333,587","369,070","415,306","489,363","354,420","433,800","521,029","645,984",,,,,,,,,,,,,,OS/MI,11.1.2.2.2
11.1.2.2.3,आर्थिक सहायता घटाकर उत्‍पादन पर कर,"2,818","3,480","3,404","4,760","5,533","5,128","8,007","8,819","11,760","9,187","17,153","18,447","23,960",,,,,,,,,,,,,,Production taxes less production subsidies,11.1.2.2.3
11.2,सकल पूंजी निर्माण ,"150,547","159,854","195,221","218,594","260,104","295,681","354,548","376,556","436,501","401,980","597,400","645,301","772,426","150,547","150,009","175,035","190,614","230,771","260,021","298,021","300,132","345,296","309,656","415,416","415,725","495,636",Gross Capital Formation ,11.2
11.3,स.मू.व. का उत्पादन से अनुपात,69.0,69.2,69.4,69.3,69.5,69.5,71.8,72.6,74.1,74.3,73.3,72.7,72.9,69.0,69.1,69.1,68.9,68.9,68.8,71.1,72.1,73.5,73.6,72.9,72.4,72.6,GVA to Output Ratio,11.3
11.4,स.पू.नि. का उत्पादन से अनुपात,19.4,17.9,19.4,18.6,19.5,19.2,21.3,19.9,20.8,21.0,26.5,24.5,25.1,19.4,18.2,20.1,19.9,22.3,22.9,25.4,24.0,26.2,27.0,32.2,29.1,31.3,GCF to Output Ratio,11.4
12,कुल ,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,12
12.1,उत्‍पादन ,"17,662,039","19,800,099","22,267,736","24,449,015","25,312,241","27,764,865","30,366,427","34,766,895","36,486,542","35,399,855","44,814,549","52,837,827","57,362,300","17,662,039","18,443,775","19,617,143","21,039,656","22,202,066","23,758,779","24,898,943","27,207,862","27,979,141","26,372,897","30,194,888","33,102,520","35,654,538",Output,12.1
12.1.1,मध्‍यस्‍थ उपभोग ,"9,555,093","10,597,407","11,904,583","12,944,736","12,737,743","13,799,666","14,860,762","17,591,766","18,105,424","17,188,858","23,178,965","28,191,129","29,949,412","9,555,093","9,897,500","10,553,495","11,327,523","11,710,196","12,430,494","12,864,773","14,474,064","14,743,040","13,685,553","16,318,048","18,224,492","19,503,062",Intermediate consumption,12.1.1
12.1.2,बुनियादी मूल्‍यों पर सकल मूल्‍य वर्धन ,"8,106,946","9,202,692","10,363,153","11,504,279","12,574,499","13,965,200","15,505,665","17,175,128","18,381,117","18,210,997","21,635,584","24,646,698","27,412,888","8,106,946","8,546,275","9,063,649","9,712,133","10,491,870","11,328,285","12,034,171","12,733,798","13,236,100","12,687,345","13,876,840","14,878,028","16,151,477",GVA at basic prices,12.1.2
12.1.2.1,स्‍थायी पूंजी अवक्षय  ,"917,175","1,060,905","1,195,975","1,342,291","1,449,697","1,591,332","1,764,812","1,984,290","2,163,611","2,340,587","2,666,804","3,129,241","3,360,412","917,175","1,010,661","1,100,610","1,178,644","1,270,890","1,381,526","1,489,921","1,614,455","1,731,178","1,832,759","1,955,788","2,087,964","2,228,967",CFC,12.1.2.1
12.1.2.2,निवल मूल्‍य वर्धन ,"7,189,771","8,141,787","9,167,178","10,161,988","11,124,802","12,373,868","13,740,853","15,190,838","16,217,506","15,870,410","18,968,780","21,517,457","24,052,477","7,189,771","7,535,614","7,963,039","8,533,489","9,220,980","9,946,758","10,544,250","11,119,343","11,504,922","10,854,586","11,921,052","12,790,065","13,922,510",NVA at basic prices,12.1.2.2
12.1.2.2.1,कर्मचारियों का पारिश्रमिक ,"2,654,202","3,027,327","3,407,485","3,845,649","4,163,666","4,717,359","5,275,671","5,913,929","6,453,903","6,473,794","7,693,094","8,910,118","9,906,470",,,,,,,,,,,,,,CE,12.1.2.2.1
12.1.2.2.2,परिचालन अधिशेष/मिश्रित आय  ,"4,529,120","5,100,226","5,769,225","6,343,802","6,982,031","7,684,449","8,504,617","9,320,253","9,834,717","9,489,801","11,344,939","12,676,268","14,213,772",,,,,,,,,,,,,,OS/MI,12.1.2.2.2
12.1.2.2.3,आर्थिक सहायता घटाकर उत्‍पादन पर कर,"6,449","14,234","-9,533","-27,464","-20,895","-27,940","-39,434","-43,344","-71,114","-93,186","-69,254","-68,929","-67,766",,,,,,,,,,,,,,Production taxes less production subsidies,12.1.2.2.3
12.2,सकल पूंजी निर्माण ,"3,205,716","3,539,498","3,660,242","4,063,089","4,219,570","4,476,754","5,053,181","5,886,657","5,855,616","5,463,457","7,193,484","8,695,888","9,624,795","3,205,716","3,347,322","3,324,683","3,552,847","3,731,740","3,910,207","4,289,515","4,803,280","4,701,116","4,292,301","5,174,466","5,636,902","6,220,898",Gross Capital Formation ,12.2
12.3,स.मू.व. का उत्पादन से अनुपात,45.9,46.5,46.5,47.1,49.7,50.3,51.1,49.4,50.4,51.4,48.3,46.6,47.8,45.9,46.3,46.2,46.2,47.3,47.7,48.3,46.8,47.3,48.1,46.0,44.9,45.3,GVA to Output Ratio,12.3
12.4,स.पू.नि. का उत्पादन से अनुपात,18.2,17.9,16.4,16.6,16.7,16.1,16.6,16.9,16.0,15.4,16.1,16.5,16.8,18.2,18.1,16.9,16.9,16.8,16.5,17.2,17.7,16.8,16.3,17.1,17.0,17.4,GCF to Output Ratio,12.4
