क्र. सं.,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  ,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,NIC Code Description,NIC 2008 Code,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,3,2,1
1,,"खाद्य उत्पाद, पेय पदार्थ और तंबाकू का उत्‍पादन","137,024","135,277","140,178","151,319","184,257","221,003","238,739","298,082","251,585","259,771","266,263","300,821","327,617","137,024","124,938","123,284","129,256","158,981","174,260","185,115","230,452","188,924","187,297","179,196","194,987","210,110","Manufacture of food products, beverages & tobacco",,1
1.1,101-104,"मांस, मछली, फल, सब्जी, तेल और वसा का उत्पादन, प्रसंस्करण और परिरक्षण","21,560","18,916","20,178","18,187","28,705","28,024","33,637","35,713","41,649","47,523","48,685","40,926","36,444","21,560","17,831","18,957","17,304","27,968","25,423","29,999","29,954","34,432","33,490","27,107","23,339","25,268","Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",101-104,1.1
1.2,105,डेयरी उत्पादों का विनिर्माण,"9,797","8,901","12,577","12,688","14,857","17,722","20,428","20,268","21,903","19,454","21,884","23,017","26,385","9,797","8,619","11,171","10,257","12,020","13,396","14,376","14,881","15,106","13,243","14,648","13,783","14,732",Manufacture of dairy products,105,1.2
1.3,106+108,अनाज चक्की उत्‍पाद का विनिर्माण आदि और पशु आहार,"26,772","27,028","25,969","26,015","26,358","35,379","38,873","47,514","36,838","43,042","48,303","57,144","64,850","26,772","23,789","20,693","20,308","20,660","25,371","28,058","30,570","24,599","29,448","31,567","33,877","36,131","Manufacture of grain mill products, etc. and animal feeds",106+108,1.3
1.4,107,अन्य खाद्य उत्पादों का विनिर्माण,"35,670","37,633","42,145","49,887","60,443","82,818","84,998","128,459","86,722","91,866","90,688","105,310","117,545","35,670","34,477","37,444","43,570","53,975","65,155","66,040","104,931","67,276","69,042","65,360","71,278","76,920",Manufacture of other food products,107,1.4
1.5,11,पेय पदार्थों का विनिर्माण,"29,387","25,621","22,396","23,650","30,423","29,786","33,914","37,568","34,875","31,433","31,122","45,001","51,985","29,387","24,359","19,876","20,873","26,711","25,655","28,524","31,125","28,216","25,247","24,544","34,911","39,532",Manufacture of beverages,11,1.5
1.6,12,तंबाकू उत्पादों का विनिर्माण,"13,838","17,178","16,913","20,893","23,470","27,274","26,888","28,561","29,598","26,452","25,581","29,422","30,408","13,838","15,863","15,142","16,945","17,646","19,261","18,118","18,990","19,295","16,827","15,968","17,799","17,526",Manufacture of tobacco products,12,1.6
2,,"वस्‍त्र, परिधान और चमड़े के उत्पादों का विनिर्माण","110,333","139,069","167,493","171,642","204,954","211,120","230,175","253,450","246,131","218,126","282,309","290,064","281,899","110,333","131,494","147,416","148,945","174,448","181,313","193,316","206,280","200,504","178,784","208,422","204,007","205,178","Manufacture of textiles, apparel & leather products",,2
2.1,13+01632,वस्‍त्र का विनिर्माण + कपास की ओटाई,"75,528","101,140","118,397","122,325","137,272","140,728","152,205","166,700","155,904","147,482","193,122","182,230","179,424","75,528","96,977","105,383","108,541","125,822","126,554","134,219","141,391","132,459","125,410","142,842","127,702","133,302",Manufacture of textiles + cotton ginning,13+01632,2.1
2.2,14-14105,"कस्टम टेलरिंग को छोड़कर,  परिधानों का विनिर्माण","24,865","27,981","35,879","35,431","49,366","50,795","56,998","62,992","66,872","51,665","65,957","81,862","74,986","24,865","25,242","30,460","28,899","33,612","38,775","41,635","45,383","48,353","37,277","46,092","55,052","49,725","Manufacture of wearing apparel, except custom tailoring",14-14105,2.2
2.3,15,चमड़े और संबंधित उत्पादों का विनिर्माण,"9,941","9,948","13,217","13,886","18,316","19,597","20,972","23,758","23,354","18,979","23,230","25,971","27,489","9,941","9,274","11,572","11,505","15,013","15,984","17,462","19,506","19,692","16,097","19,489","21,253","22,151",Manufacture of leather and related products,15,2.3
3,,धातु और धात्‍विक उत्पादों का विनिर्माण,"212,738","218,901","270,981","253,864","214,007","252,248","308,413","343,533","334,323","403,355","598,248","492,028","553,196","212,738","209,988","262,671","243,321","207,823","265,622","297,446","304,377","308,477","359,480","431,773","335,818","394,038",Manufacture of metal & metal products,,3
3.1,241+2431,बुनियादी लौह और इस्‍पात का विनिर्माण + लोहा और इस्पात की कास्टिंग,"128,476","109,508","179,642","144,023","90,985","138,897","171,542","215,485","201,400","269,152","414,349","318,334","356,963","128,476","104,513","175,018","140,901","101,137","155,890","171,641","192,021","189,923","241,994","295,508","212,957","254,509",Manufacture of basic iron and steel + casting of iron and steel,241+2431,3.1
3.2,242+2432,बुनियादी कीमती और अलौह धातुओं का विनिर्माण + अलौह धातुओं की कास्टिंग,"30,312","48,296","35,469","51,170","54,993","41,296","61,390","48,997","50,693","59,462","96,304","64,291","71,131","30,312","46,298","33,281","46,965","54,277","41,174","56,873","43,676","47,359","52,999","69,142","44,154","49,269",Manufacture of basic precious and non-ferrous metals + casting of non-ferrous metals,242+2432,3.2
3.3,25,"मशीनरी और उपकरणों को छोड़कर, विरचित धात्‍विक उत्पादों का विनिर्माण","53,950","61,097","55,870","58,671","68,029","72,055","75,481","79,051","82,230","74,741","87,595","109,403","125,101","53,950","59,177","54,372","55,455","52,409","68,559","68,932","68,681","71,195","64,488","67,123","78,707","90,261","Manufacture of fabricated metal products, except machinery and equipment",25,3.3
4,,मशीनरी और उपकरणों का विनिर्माण,"333,519","356,667","338,715","388,002","485,567","542,054","587,267","651,372","610,944","591,956","677,461","837,904","983,674","333,519","346,832","321,363","357,072","430,388","475,579","533,875","581,448","536,318","509,748","555,995","657,782","756,939",Manufacture of machinery & equipment,,4
4.1,26,"कंप्यूटर, विद्युतीय और ऑप्टिकल उत्पादों का विनिर्माण","30,319","32,079","38,316","35,538","48,780","55,898","58,076","61,705","59,797","64,348","74,174","89,795","89,197","30,319","31,679","37,164","33,107","45,208","51,678","52,146","55,032","52,811","58,135","64,949","75,947","74,022","Manufacture of computer, electronic & optical products",26,4.1
4.1.1,261+264+268,"विद्युतीय घटक, उपभोक्ता विद्युत, चुंबकीय और ऑप्टिकल मीडिया का विनिर्माण","16,491","15,602","17,827","16,562","15,603","18,709","17,325","24,151","18,773","22,792","28,384","33,692","36,985","16,491","15,341","17,255","16,125","15,165","18,238","16,766","23,520","19,053","23,085","27,397","31,905","34,247","Manufacture of electronic component, consumer electronics, magnetic and optical media",261+264+268,4.1.1
