क्र. सं.,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  ,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,NIC Code Description,NIC 2008 Code,S.No.
4.1,26,"कंप्यूटर, विद्युतीय और ऑप्टिकल उत्पादों का विनिर्माण","103,007","106,365","139,637","137,396","165,294","197,892","235,175","291,773","277,729","276,381","428,591","539,050","505,774","103,007","105,393","135,466","128,104","153,257","184,384","211,830","255,576","245,651","249,537","370,627","444,820","405,907","Manufacture of computer, electronic & optical products",26,4.1
4.1.1,261+264+268,"विद्युतीय घटक, उपभोक्ता विद्युत, चुंबकीय और ऑप्टिकल मीडिया का विनिर्माण","56,702","56,588","69,001","69,424","51,979","57,981","57,661","76,572","78,821","84,061","132,026","150,245","155,868","56,702","55,643","66,788","67,595","50,519","56,520","55,802","74,573","79,997","85,141","127,433","142,276","144,327","Manufacture of electronic component, consumer electronics, magnetic and optical media",261+264+268,4.1.1
4.1.2,262,कंप्यूटर और परिधीय उपकरणों का विनिर्माण,"15,037","18,256","28,309","24,436","27,290","27,093","31,189","38,593","39,175","23,484","31,439","33,827","24,599","15,037","19,090","28,816","20,145","21,404","21,283","24,481","29,127","29,018","17,422","23,340","25,057","18,181",Manufacture of computer and peripheral equipment,262,4.1.2
4.1.3,263,संचार उपकरणों का विनिर्माण,"15,553","14,246","23,031","19,142","59,063","84,294","114,175","136,678","118,868","124,797","209,796","296,654","269,915","15,553","13,859","21,562","17,856","56,197","80,974","103,233","117,119","101,596","108,613","172,388","229,254","198,321",Manufacture of communication equipment,263,4.1.3
4.1.4,265+266+267,ऑप्टिकल और विद्युत उत्पाद जो अन्यत्र वर्गीकृत नहीं हैं का विनिर्माण,"15,715","17,275","19,295","24,394","26,963","28,525","32,150","39,930","40,865","44,039","55,330","58,324","55,391","15,715","16,802","18,299","22,507","25,137","25,608","28,315","34,758","35,039","38,361","47,466","48,233","45,077",Manufacture of optical and electronics products n.e.c,265+266+267,4.1.4
4.2,27,विद्युतीय उपकरणों का विनिर्माण,"201,279","215,975","231,757","247,241","269,477","308,631","338,204","367,348","377,068","383,494","489,574","646,110","732,991","201,279","209,070","221,499","225,791","247,227","285,241","308,581","328,871","338,785","337,583","400,306","501,638","557,832",Manufacture of electrical equipment,27,4.2
4.3,28,मशीनरी और उपकरण जो अन्यत्र वर्गीकृत नहीं हैं का विनिर्माण,"329,796","341,743","320,466","364,673","374,773","437,816","485,612","560,614","555,176","549,954","693,787","896,464","1,011,655","329,796","330,014","302,837","336,725","343,199","405,761","445,925","503,696","490,872","482,416","578,156","710,352","784,229",Manufacture of machinery and equipment n.e.c,28,4.3
4.4,29+30,परिवहन उपकरणों का विनिर्माण,"547,760","593,896","585,165","706,639","814,970","884,199","981,209","1,137,389","1,070,391","1,085,587","1,422,238","1,785,714","2,111,285","547,760","579,716","551,912","648,867","744,234","805,813","887,366","1,010,779","927,777","905,471","1,138,324","1,373,197","1,598,720",Manufacture of transport equipment,29+30,4.4
5,,"कोक, पेट्रोलियम, रबर, रासायनिक और संबंधित उत्पादों का विनिर्माण","2,295,038","2,599,699","2,807,100","2,883,413","2,467,537","2,549,373","2,783,103","3,503,870","3,564,087","3,340,338","4,694,126","5,608,023","5,770,491","2,295,038","2,408,223","2,449,523","2,595,873","2,512,881","2,593,979","2,691,133","3,147,468","3,235,069","3,080,151","3,637,534","3,789,263","4,057,977","Manufacture of coke, petroleum, rubber, chemical and related products",,5
5.1,19,कोक और परिष्कृत पेट्रोलियम उत्पादों का विनिर्माण,"1,231,888","1,427,907","1,548,649","1,434,967","915,640","910,055","1,023,963","1,286,470","1,267,488","985,488","1,661,140","2,161,913","2,222,199","1,231,888","1,310,226","1,314,253","1,325,285","1,133,082","1,125,376","1,135,558","1,257,081","1,276,494","1,104,231","1,310,115","1,314,179","1,441,022",Manufacture of coke & refined petroleum products,19,5.1
