क्र. सं.,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  ,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,NIC Code Description,NIC 2008 Code,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,3,2,1
1,,"खाद्य उत्पाद, पेय पदार्थ और तंबाकू का उत्‍पादन","38,255","40,743","44,250","43,229","38,577","48,900","49,710","50,657","50,832","54,239","53,839","67,351","70,112","38,255","37,146","38,501","36,181","32,407","37,264","37,491","38,222","37,296","38,597","36,386","42,796","43,230","Manufacture of food products, beverages & tobacco",,1
1.1,101-104,"मांस, मछली, फल, सब्जी, तेल और वसा का उत्पादन, प्रसंस्करण और परिरक्षण","7,897","2,847","1,914","2,338","3,327","2,771","3,254","3,829","4,454","4,127","4,585","4,847","4,033","7,897","2,684","1,798","2,225","3,242","2,514","2,902","3,212","3,682","2,908","2,553","2,764","2,796","Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",101-104,1.1
1.2,105,डेयरी उत्पादों का विनिर्माण,"1,248",585,"1,116","1,012","1,067","1,816","1,441","1,397","1,333","1,557","1,237","2,729","2,991","1,248",567,991,818,863,"1,373","1,014","1,026",919,"1,060",828,"1,634","1,670",Manufacture of dairy products,105,1.2
1.3,106+108,अनाज चक्की उत्‍पाद का विनिर्माण आदि और पशु आहार,"10,734","11,536","10,728","11,490","10,638","14,934","14,809","17,423","15,500","16,326","18,485","22,553","24,370","10,734","10,154","8,548","8,969","8,338","10,709","10,689","12,203","10,350","11,170","12,080","13,370","13,577","Manufacture of grain mill products, etc. and animal feeds",106+108,1.3
1.4,107,अन्य खाद्य उत्पादों का विनिर्माण,"9,384","13,300","18,519","17,046","14,258","19,081","21,726","19,092","22,638","21,650","22,233","29,663","31,198","9,384","12,185","16,453","14,887","12,733","15,012","16,880","15,595","17,562","16,271","16,024","20,077","20,416",Manufacture of other food products,107,1.4
1.5,11,पेय पदार्थों का विनिर्माण,"1,199","1,374","1,342","1,153","1,975","2,474","1,748","1,585","1,777","2,745","2,095","2,211","2,371","1,199","1,307","1,191","1,018","1,734","2,131","1,470","1,313","1,438","2,205","1,652","1,715","1,803",Manufacture of beverages,11,1.5
1.6,12,तंबाकू उत्पादों का विनिर्माण,"7,792","11,100","10,632","10,190","7,312","7,824","6,732","7,331","5,130","7,834","5,204","5,348","5,150","7,792","10,250","9,519","8,264","5,498","5,525","4,536","4,874","3,344","4,983","3,249","3,235","2,968",Manufacture of tobacco products,12,1.6
2,,"वस्‍त्र, परिधान और चमड़े के उत्पादों का विनिर्माण","50,042","57,672","91,286","89,614","108,116","104,044","114,741","127,161","122,625","114,320","155,524","165,298","155,213","50,042","54,618","80,656","78,257","96,197","90,832","98,403","105,368","101,862","95,272","115,856","117,032","114,774","Manufacture of textiles, apparel & leather products",,2
2.1,13+01632,वस्‍त्र का विनिर्माण + कपास की ओटाई,"35,145","41,439","69,970","70,239","83,275","79,385","87,651","95,654","90,147","88,531","121,450","128,126","120,782","35,145","39,734","62,279","62,324","76,329","71,389","77,294","81,132","76,591","75,282","89,830","89,787","89,734",Manufacture of textiles + cotton ginning,13+01632,2.1
2.2,14-14105,"कस्टम टेलरिंग को छोड़कर,  परिधानों का विनिर्माण","7,074","8,292","10,782","9,252","11,582","12,830","14,166","16,216","17,588","14,868","18,269","21,767","18,954","7,074","7,480","9,154","7,547","8,999","9,794","10,348","11,683","12,717","10,727","12,766","14,638","12,569","Manufacture of wearing apparel, except custom tailoring",14-14105,2.2
2.3,15,चमड़े और संबंधित उत्पादों का विनिर्माण,"7,822","7,942","10,534","10,122","13,259","11,830","12,924","15,290","14,890","10,921","15,806","15,405","15,476","7,822","7,404","9,223","8,386","10,868","9,649","10,761","12,554","12,554","9,263","13,260","12,606","12,471",Manufacture of leather and related products,15,2.3
3,,धातु और धात्‍विक उत्पादों का विनिर्माण,"27,435","41,468","30,241","32,398","28,560","32,406","37,079","39,462","38,198","40,124","45,665","55,485","59,590","27,435","40,102","29,423","30,716","27,498","31,493","34,293","34,423","33,514","34,892","34,573","39,386","42,889",Manufacture of metal & metal products,,3
3.1,241+2431,बुनियादी लौह और इस्‍पात का विनिर्माण + लोहा और इस्पात की कास्टिंग,"3,887","3,172","3,554","3,071","3,081","3,763","4,885","5,832","5,345","7,220","7,465","10,223","10,744","3,887","3,027","3,463","3,004","3,424","4,224","4,888","5,197","5,040","6,491","5,324","6,839","7,660",Manufacture of basic iron and steel + casting of iron and steel,241+2431,3.1
3.2,242+2432,बुनियादी कीमती और अलौह धातुओं का विनिर्माण + अलौह धातुओं की कास्टिंग,312,"1,760",340,277,322,361,301,339,438,371,475,458,469,312,"1,687",319,254,318,360,279,302,409,331,341,314,325,Manufacture of basic precious and non-ferrous metals + casting of non-ferrous metals,242+2432,3.2
3.3,25,"मशीनरी और उपकरणों को छोड़कर, विरचित धात्‍विक उत्पादों का विनिर्माण","23,236","36,536","26,347","29,050","25,157","28,281","31,894","33,291","32,415","32,533","37,725","44,804","48,377","23,236","35,387","25,641","27,458","23,755","26,909","29,127","28,924","28,065","28,070","28,908","32,233","34,904","Manufacture of fabricated metal products, except machinery and equipment",25,3.3
4,,मशीनरी और उपकरणों का विनिर्माण,"15,893","15,246","20,812","18,101","19,032","19,211","20,661","23,117","21,542","23,845","26,010","31,238","33,862","15,893","14,937","20,055","16,675","17,507","17,754","18,893","20,719","19,258","21,099","21,704","25,024","26,525",Manufacture of machinery & equipment,,4
4.1,26,"कंप्यूटर, विद्युतीय और ऑप्टिकल उत्पादों का विनिर्माण","2,654","3,586","7,367","1,948","2,871","2,493","2,827","3,589","3,449","5,016","3,662","4,238","4,092","2,654","3,636","7,302","1,843","2,709","2,331","2,609","3,235","3,287","4,763","3,352","3,876","3,674","Manufacture of computer, electronic & optical products",26,4.1
4.1.1,261+264+268,"विद्युतीय घटक, उपभोक्ता विद्युत, चुंबकीय और ऑप्टिकल मीडिया का विनिर्माण","1,726","1,345","3,365","1,310","1,894","1,661","1,967","1,821","2,467","3,257","2,561","3,272","3,242","1,726","1,323","3,257","1,276","1,841","1,619","1,904","1,774","2,504","3,299","2,472","3,098","3,002","Manufacture of electronic component, consumer electronics, magnetic and optical media",261+264+268,4.1.1
4.1.2,262,कंप्यूटर और परिधीय उपकरणों का विनिर्माण,356,"1,831","3,627",245,353,453,574,553,504,522,504,131,92,356,"1,915","3,692",202,277,356,451,418,373,387,374,97,68,Manufacture of computer and peripheral equipment,262,4.1.2
4.1.3,263,संचार उपकरणों का विनिर्माण,303,288,283,238,483,248,108,950,236,569,173,190,166,303,280,265,222,460,238,97,814,202,495,142,147,122,Manufacture of communication equipment,263,4.1.3
