,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
विवरण 1.6 क:  आर्थिक क्रियाकलापों के अनुसार सकल मूल्य वर्धन का प्रतिशत हिस्‍सा ,,,,,,,,,,,,,,,Statement 1.6A: Percentage share of Gross Value Added by economic activity ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,( प्रचलित भावों पर at current prices),,,,,,,,,,,,,(स्थिर (2011-12)  भावों पर at constant (2011-12) prices),,,,,,,,,,,,,,
क्र.सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,21,22
6.2,होटल और रेस्तरां,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.1,1.1,0.5,0.6,1.1,1.2,1.1,1.1,1.0,1.0,1.1,1.1,1.1,1.1,1.2,0.6,0.7,1.1,1.3,hotels & restaurants,6.2
7.       ,"परिवहन, भंडारण, संचार एवं प्रसारण से संबंधित सेवाएं",6.5,6.6,6.7,6.8,6.8,6.7,6.4,6.2,6.3,5.6,6.3,6.3,6.2,6.5,6.7,6.8,6.9,7.0,6.7,6.6,6.5,6.5,5.6,6.2,6.3,6.2,"transport, storage, communication & services related to broadcasting",7.       
7.1,रेलवे,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.5,0.6,0.6,0.6,railways,7.1
7.2,सड़क परिवहन,3.2,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3.1,2.4,3.1,3.0,2.8,3.2,3.3,3.3,3.3,3.3,3.2,3.3,3.3,3.3,2.5,3.1,3.0,2.9,road transport,7.2
7.3,जल परिवहन,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,water transport,7.3
7.4,वायु परिवहन,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,air transport,7.4
7.5,परिवहन संबंधी प्रासंगिक सेवाएं ,0.8,0.8,0.7,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.6,services incidental to transport,7.5
7.6,भंडारण,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,storage,7.6
7.7,संचार एवं प्रसारण से संबंधित सेवाएं  ,1.6,1.6,1.7,1.8,1.9,1.8,1.6,1.5,1.6,1.8,1.7,1.8,1.8,1.6,1.6,1.7,1.8,1.9,1.8,1.6,1.5,1.7,1.7,1.7,1.8,1.8,communication & services related to broadcasting,7.7
8.       ,वित्तीय सेवाएं ,5.9,5.8,5.8,5.7,5.8,5.4,5.5,5.5,5.6,6.0,5.4,5.9,5.8,5.9,6.2,6.4,6.5,6.4,6.1,6.1,6.0,5.9,6.5,6.0,6.1,6.0,financial services,8.       
9.       ,"स्‍थावर सम्‍पदा, आवास का स्वामित्व और व्‍यावसायिक सेवाएं  ",13.0,13.5,14.2,14.8,15.1,15.5,14.7,15.1,15.5,16.2,16.1,16.8,16.9,13.0,13.5,14.2,14.9,15.5,15.9,15.0,15.4,16.0,16.8,16.5,17.2,17.6,"real estate, ownership of dwelling & professional services",9.       
10.   ,लोक प्रशासन और रक्षा,6.1,5.9,5.8,5.9,5.8,5.9,6.1,6.1,6.3,6.6,6.1,5.9,5.8,6.1,5.9,5.6,5.6,5.4,5.4,5.6,5.7,5.8,6.0,5.6,5.4,5.3,public administration and defence,10.   
11.   ,अन्य सेवाएं,6.6,6.7,6.8,7.1,7.4,7.7,7.7,8.0,8.5,7.8,7.6,7.8,8.2,6.6,6.6,6.6,6.8,6.8,6.9,6.9,7.1,7.3,6.6,6.8,6.9,7.1,other services,11.   
12.   ,बुनियादी मूल्यों पर सकल मूल्य वर्धन,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,TOTAL GVA at basic prices,12.   
