,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 विवरण 8.14: अन्‍य सेवाओं से उत्‍पादन एवं मूल्‍य वर्धन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT 8.14: OUTPUT & VALUE ADDED FROM OTHER SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
( ₹ करोड़),,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,,,स्थिर (2011-12) भावों पर  At constant (2011-12) Prices,,,,,,( ₹ crore),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item ,S.No.
2.1,उत्पादन का मूल्य,"195,015","220,334","245,981","295,322","318,515","368,164","336,478","343,053","387,694","274,944","325,779","380,084","444,808","195,015","203,900","213,823","245,447","255,200","282,356","248,727","239,579","259,293","172,552","191,612","210,375","235,697",value of output,2.1
2.2,लागत,"79,454","87,931","94,965","115,724","118,117","135,368","102,163","91,601","101,421","74,009","88,923","98,500","113,847","79,454","81,372","82,550","96,180","94,637","103,817","75,519","63,972","67,831","46,447","52,302","54,519","60,326",input,2.2
2.3,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,"4,072","3,541","3,740","4,309","6,123","7,618","7,561","8,559","9,408","8,035","8,328","10,100","11,818","4,072","3,532","3,682","4,171","5,961","7,394","6,958","7,329","7,657","6,374","6,043","6,555","7,512",FISIM,2.3
2.4,सकल मूल्य वर्धन,"111,488","128,862","147,276","175,289","194,275","225,178","226,755","242,893","276,865","192,899","228,528","271,484","319,142","111,488","118,995","127,590","145,096","154,601","171,145","166,250","168,278","183,805","119,731","133,268","149,300","167,859",Gross Value Added,2.4
3,नियोजित व्यक्ति वाला निजी परिवार,,,,,,,,,,,,,,,,,,,,,,,,,,,Private household with employed person,3
3.1,उत्पादन का मूल्य,"17,180","19,029","20,987","22,404","23,686","24,952","26,048","27,148","28,663","28,663","32,356","34,779","36,929","17,180","17,314","17,449","17,586","17,723","17,861","18,000","18,141","18,282","17,220","18,425","18,569","18,713",value of output,3.1
3.2,लागत,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,input,3.2
3.3,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,605,509,520,538,724,817,841,924,942,"1,146","1,138","1,247","1,319",605,499,489,491,658,740,723,757,731,870,799,781,802,FISIM,3.3
3.4,सकल मूल्य वर्धन,"16,575","18,520","20,467","21,867","22,963","24,135","25,208","26,224","27,721","27,517","31,218","33,531","35,610","16,575","16,815","16,960","17,094","17,065","17,121","17,277","17,384","17,551","16,350","17,626","17,788","17,912",Gross Value Added,3.4
4,कुल - अन्य सेवाएं,,,,,,,,,,,,,,,,,,,,,,,,,,,Total - other services,4
4.1,उत्पादन का मूल्य,"774,575","891,506","1,008,729","1,175,534","1,336,046","1,541,316","1,666,072","1,893,560","2,101,132","1,911,303","2,257,467","2,635,135","3,073,860","774,575","822,577","869,301","957,000","1,032,759","1,136,291","1,175,432","1,252,738","1,319,587","1,145,681","1,290,806","1,426,681","1,583,608",value of output,4.1
4.2,लागत,"229,046","264,628","298,501","349,027","390,260","448,104","446,464","488,950","511,477","458,895","567,929","676,418","781,453","229,046","244,817","258,569","286,502","304,685","334,012","318,235","326,259","324,561","277,088","324,810","366,079","402,283",input,4.2
4.3,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,"10,702","9,535","10,205","11,789","17,297","21,814","23,848","28,952","32,515","32,993","35,485","43,300","51,771","10,702","9,497","9,984","11,235","16,383","20,535","21,161","23,774","25,154","25,185","25,143","27,584","32,145",FISIM,4.3
4.4,सकल मूल्य वर्धन,"534,827","617,343","700,023","814,718","928,489","1,071,399","1,195,759","1,375,658","1,557,139","1,419,415","1,654,053","1,915,417","2,240,636","534,827","568,263","600,749","659,262","711,691","781,744","836,035","902,705","969,873","843,408","940,853","1,033,017","1,149,180",Gross Value Added,4.4
4.5,स्‍थायी पूंजी अवक्षय,"48,150","53,124","58,998","65,103","71,635","80,515","93,020","107,289","120,297","132,945","159,527","185,133","205,226","48,150","50,611","54,065","57,112","63,638","70,760","78,791","86,713","95,980","104,052","114,753","124,997","137,383",CFC,4.5
4.6,निवल मूल्य वर्धन,"486,677","564,219","641,025","749,615","856,854","990,884","1,102,739","1,268,369","1,436,842","1,286,470","1,494,526","1,730,284","2,035,410","486,677","517,652","546,684","602,150","648,053","710,984","757,244","815,992","873,893","739,356","826,100","908,020","1,011,797",Net Value Added,4.6
