क्रं सं. ,आर्थिक क्रियाकलाप,2011-12,,,,,,,2012-13,,,,,,,2013-14,,,,,,,2014-15,,,,,,,2015-16,,,,,,,2016-17,,,,,,,2017-18,,,,,,,2018-19,,,,,,,2019-20,,,,,,,2020-21,,,,,,,2021-22,,,,,,,2022-23,,,,,,,2023-24,,,,,,,Economic Activity,Sl.no.
,,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,,
,,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,,
6,"व्‍यापार, मरम्‍मत, होटल और जलपान गृह","1,330,329","446,747","883,582","10,204","45,469","140,841","687,068","1,569,347","514,814","1,054,533","19,837","57,279","166,646","810,771","1,758,066","573,507","1,184,559","8,350","64,110","186,738","925,361","1,976,834","656,000","1,320,833","11,934","73,463","208,076","1,027,361","2,122,304","688,335","1,433,969","15,477","81,737","224,321","1,112,434","2,370,664","761,663","1,609,001","13,273","94,388","253,592","1,247,748","2,741,203","859,808","1,881,395","18,638","113,120","303,604","1,446,032","3,127,343","990,636","2,136,707","19,250","133,004","346,645","1,637,808","3,418,188","1,091,857","2,326,331","19,925","146,999","373,521","1,785,886","2,695,435","849,995","1,845,440","15,396","161,515","298,159","1,370,370","3,402,594","1,093,498","2,309,096","23,654","194,384","372,654","1,718,404","4,358,003","1,488,458","2,869,546","30,564","240,940","478,977","2,119,064","4,790,430","1,661,896","3,128,535","33,414","259,290","527,565","2,308,265","Trade, repair, hotels and restaurants",6
6.1,व्‍यापार और मरम्‍मत सेवाएं,"1,065,575","271,894","793,681","9,213","37,197","114,034","633,237","1,275,443","320,760","954,683","18,707","47,933","136,323","751,720","1,443,159","364,739","1,078,420","7,716","54,241","154,003","862,460","1,638,053","431,579","1,206,474","10,373","62,657","172,894","960,549","1,749,721","442,397","1,307,323","13,073","69,828","185,522","1,038,901","1,960,947","492,364","1,468,583","11,571","81,282","209,832","1,165,898","2,281,567","558,896","1,722,671","16,301","98,358","252,788","1,355,224","2,599,133","643,334","1,955,798","16,154","116,056","288,235","1,535,353","2,837,243","705,819","2,131,424","16,179","127,839","308,692","1,678,713","2,413,048","658,481","1,754,567","11,479","140,192","264,071","1,338,825","2,969,738","799,346","2,170,391","18,087","167,389","324,623","1,660,292","3,564,432","959,480","2,604,952","23,662","203,162","395,210","1,982,918","3,844,983","1,032,982","2,812,001","19,659","215,295","428,307","2,148,740",Trade & Repair Services,6.1
6.2,होटल और जलपान गृह,"264,754","174,853","89,901",991,"8,272","26,807","53,831","293,904","194,054","99,850","1,130","9,346","30,323","59,051","314,907","208,768","106,139",634,"9,869","32,735","62,901","338,781","224,423","114,359","1,560","10,806","35,181","66,811","372,584","245,937","126,646","2,403","11,909","38,800","73,533","409,717","269,299","140,418","1,702","13,105","43,761","81,850","459,636","300,913","158,723","2,337","14,762","50,816","90,809","528,210","347,302","180,909","3,096","16,948","58,410","102,455","580,946","386,038","194,907","3,745","19,159","64,830","107,173","282,387","191,514","90,873","3,917","21,322","34,088","31,545","432,856","294,152","138,705","5,567","26,995","48,031","58,112","793,572","528,978","264,594","6,903","37,778","83,767","136,146","945,447","628,913","316,534","13,755","43,995","99,258","159,525",Hotels & restaurants,6.2
7,"परिवहन, भंडारण, संचार एवं प्रसारण से संबंधित सेवाएं","1,257,242","727,708","529,533","-17,483","85,810","182,917","278,291","1,423,304","813,852","609,452","-16,742","99,745","203,210","323,238","1,613,397","923,490","689,907","-19,127","121,830","226,652","360,552","1,806,486","1,019,724","786,762","-20,854","134,998","251,255","421,363","1,908,688","1,048,143","860,544","-23,823","147,909","271,533","464,925","2,072,981","1,142,825","930,155","-33,843","167,788","312,550","483,661","2,292,285","1,294,757","997,528","-37,351","198,443","361,275","475,160","2,517,054","1,450,999","1,066,055","-41,543","237,072","388,719","481,806","2,628,288","1,475,731","1,152,558","-73,963","270,085","406,436","550,000","2,221,544","1,204,828","1,016,715","-97,300","286,784","366,204","461,027","3,086,362","1,720,540","1,365,822","-72,633","320,659","437,911","679,885","3,611,596","2,069,134","1,542,462","-59,589","365,912","488,764","747,375","3,893,989","2,194,019","1,699,970","-63,340","406,363","537,819","819,129","Transport, storage, communication & services related to broadcasting",7
7.1,रेलवे,"95,652","34,502","61,150","-6,345","12,618","42,894","11,983","112,593","40,297","72,296","-4,458","14,998","49,025","12,730","128,856","50,132","78,724","-6,734","17,274","55,176","13,008","145,491","53,031","92,459","-6,932","22,003","62,741","14,647","151,165","50,714","100,451","-6,968","24,410","66,658","16,352","160,070","53,285","106,786","-11,028","27,525","84,823","5,467","176,157","59,573","116,584","-12,874","31,425","92,362","5,670","191,675","68,079","123,596","-15,495","36,173","96,624","6,293","202,720","67,344","135,376","-45,000","39,855","106,940","33,582","181,348","51,640","129,709","-63,952","42,492","103,870","47,299","211,398","65,898","145,500","-42,757","48,896","113,722","25,639","246,280","83,801","162,480","-25,178","56,316","121,972","9,369","265,423","86,714","178,709","-27,363","64,320","132,423","9,329",Railways,7.1
7.2,सड़क परिवहन,"590,169","327,728","262,442","-1,563","34,731","53,806","175,469","675,372","374,721","300,652","-1,212","41,299","60,085","200,480","766,863","428,557","338,306",-712,"42,304","67,933","228,782","834,144","463,780","370,364","-1,043","45,393","75,142","250,872","895,873","495,970","399,903","-1,280","49,315","84,472","267,397","972,213","537,266","434,947","-1,622","57,874","93,995","284,701","1,093,608","609,475","484,134","-2,100","70,202","102,096","313,936","1,227,973","691,421","536,552","-2,157","85,341","110,878","342,490","1,298,194","733,033","565,162","-3,698","96,630","117,839","354,391","991,757","562,446","429,312","-6,754","99,412","98,846","237,808","1,535,560","867,586","667,974","-5,929","109,071","133,761","431,071","1,691,372","963,734","727,638","-8,635","126,641","149,338","460,294","1,797,165","1,023,519","773,646","-9,211","138,424","159,934","484,497",Road transport,7.2
7.3,जल परिवहन,"19,604","12,693","6,910",-757,"2,243","1,849","3,574","20,384","13,193","7,189",-834,"2,682","1,976","3,364","19,145","12,670","6,476","-1,146","2,795","2,052","2,774","21,022","13,431","7,590","-1,006","2,785","2,047","3,765","21,981","14,683","7,298","-1,275","2,881","2,268","3,423","21,807","12,600","9,206","-1,044","2,822","2,333","5,095","28,552","15,531","13,021","-1,185","2,887","3,294","8,025","32,180","19,121","13,059","-1,086","2,932","3,561","7,651","31,906","18,678","13,228","-1,277","2,937","3,362","8,206","31,603","17,516","14,088","-1,294","3,305","3,321","8,756","50,265","31,055","19,210","-1,273","3,525","3,861","13,098","60,551","38,408","22,143","-1,273","3,868","4,477","15,070","52,347","29,850","22,496","-1,447","4,182","4,944","14,817",Water transport,7.3
7.4,वायु परिवहन,"55,884","51,491","4,393",49,"3,360","7,832","-6,848","62,077","53,950","8,127",72,"3,599","7,564","-3,108","72,834","65,982","6,852",98,"3,559","8,267","-5,072","80,842","69,022","11,820",88,"3,807","9,016","-1,090","83,558","63,215","20,344",82,"3,575","9,501","7,187","97,621","76,125","21,496",105,"3,473","11,581","6,337","117,329","94,885","22,444",112,"3,595","13,489","5,247","105,015","92,285","12,730",159,"3,738","11,573","-2,740","117,324","94,828","22,496",288,"8,763","14,066",-621,"52,134","41,295","10,839",289,"9,436","9,526","-8,411","90,074","78,960","11,114",184,"10,323","11,320","-10,713","136,394","118,254","18,140",299,"11,135","12,001","-5,295","164,168","131,066","33,102",403,"12,888","16,496","3,315",Air transport,7.4
7.5,परिवहन से संबंधित सेवाएं,"130,663","67,062","63,601",871,"8,950","17,563","36,217","145,983","73,928","72,055","1,014","10,034","19,658","41,347","160,502","84,783","75,718",904,"10,241","22,415","42,158","184,702","93,021","91,681","1,236","10,817","25,246","54,382","192,006","103,760","88,246",466,"11,666","25,917","50,196","225,205","122,737","102,468",524,"13,395","28,682","59,867","212,270","114,667","97,602",577,"14,606","31,573","50,846","246,859","143,518","103,341",728,"16,119","36,665","49,830","233,273","129,692","103,582",436,"17,536","33,733","51,878","207,671","114,599","93,072",803,"18,749","30,124","43,397","309,536","183,546","125,990","1,991","21,578","37,242","65,179","387,428","235,499","151,928",794,"24,599","46,482","80,054","426,209","242,772","183,437",885,"26,809","53,471","102,271",Services incidental to transport,7.5
7.6,भंडारण,"13,774","8,666","5,108",188,756,"1,599","2,565","12,854","6,689","6,165",267,833,"2,004","3,061","14,818","8,792","6,026",81,911,"2,088","2,946","14,937","8,531","6,407",167,"1,037","2,105","3,098","15,936","8,915","7,022",261,"1,116","2,303","3,341","15,976","8,534","7,442",169,"1,199","2,423","3,651","32,744","16,550","16,194",190,"1,409","4,652","9,942","36,041","17,444","18,597",213,"1,642","5,144","11,597","37,787","17,991","19,796",364,"1,854","5,529","12,050","41,734","20,771","20,962",839,"2,150","5,890","12,083","47,141","25,555","21,586",625,"2,488","6,329","12,143","55,362","31,139","24,223",725,"2,968","7,530","13,001","63,486","35,276","28,210","1,646","3,815","8,399","14,351",Storage,7.6
