Sector_Code,Sector_Index,Sector_Name,Broad_Category,Water_2022_Blue_m3_per_crore,Water_2022_Green_m3_per_crore,Rank,Pct_of_Total,Cumulative_Pct
IN,0,IN,Agriculture,190706.1702244379,594859.7708397808,1,34.23,34.23
IN.1,1,IN.1,Agriculture,123205.86365406585,94274.60317867457,2,22.12,56.35
IN.5,5,IN.5,Agriculture,57039.48171526554,55042.87398293785,3,10.24,66.59
IN.3,3,IN.3,Agriculture,56180.71288135593,226787.73446327684,4,10.09,76.68
IN.7,7,IN.7,Agriculture,46923.42962981696,482880.170180791,5,8.42,85.1
IN.4,4,IN.4,Agriculture,40559.209039548026,169887.00564971752,6,7.28,92.38
IN.2,2,IN.2,Agriculture,14410.054530503954,311018.0131254237,7,2.59,94.97
IN.8,8,IN.8,Agriculture,3523.5141242937852,0.0,8,0.63,95.6
IN.61,61,IN.61,Other,2875.917359003797,0.0,9,0.52,96.12
IN.72,72,IN.72,Other,2605.92846648809,0.0,10,0.47,96.59
IN.51,51,IN.51,Other,1922.798103138308,0.0,11,0.35,96.94
IN.95,95,IN.95,Other,1814.3016949152543,0.0,12,0.33,97.27
IN.60,60,IN.60,Other,1758.9287204194823,0.0,13,0.32,97.59
IN.71,71,IN.71,Other,1629.499374032859,0.0,14,0.29,97.88
IN.58,58,IN.58,Other,1462.5647493785311,0.0,15,0.26,98.14
IN.44,44,IN.44,Other,1350.391803651458,4095.588700564972,16,0.24,98.38
IN.84,84,IN.84,Other,1222.7338227387063,0.0,17,0.22,98.6
IN.42,42,IN.42,Other,1009.8090697023491,4541.001129943503,18,0.18,98.78
IN.53,53,IN.53,Other,713.1762732715799,0.0,19,0.13,98.91
IN.39,39,IN.39,Other,678.7353814767046,4274.351412429379,20,0.12,99.03
IN.54,54,IN.54,Other,591.3187531101859,0.0,21,0.11,99.14
IN.46,46,IN.46,Other,514.5577523755672,81.85191389830509,22,0.09,99.23
IN.11,11,IN.11,Agriculture,453.5736327683615,0.0,23,0.08,99.31
IN.49,49,IN.49,Other,378.7662424523164,0.0,24,0.07,99.38
IN.6,6,IN.6,Agriculture,367.0320790960452,9066.90316384181,25,0.07,99.45
IN.40,40,IN.40,Other,345.19827818642034,2181.051186440678,26,0.06,99.51
IN.62,62,IN.62,Other,341.975174398661,0.013330499435028249,27,0.06,99.57
IN.81,81,IN.81,Other,297.857398908705,0.0,28,0.05,99.62
IN.47,47,IN.47,Other,275.1865064661017,0.06578350282485876,29,0.05,99.67
IN.75,75,IN.75,Other,232.39383852779764,0.0,30,0.04,99.71
IN.68,68,IN.68,Other,212.73419546340995,0.0,31,0.04,99.75
