Sector_Index,Sector_Code,Sector_Name,Broad_Category,Sector_Subgroup,Water_2022_Blue_m3_per_EUR_million,Water_2022_Blue_m3_per_crore,Water_2022_Green_m3_per_EUR_million,Water_2022_Green_m3_per_crore,Extrapolated
67,IN.67,Jet Fuel (kerosene),Manufacturing,,156.0137710228373,176.2867469184602,0.0,0.0,False
68,IN.68,Kerosene,Manufacturing,,188.2697629851178,212.73419546340995,0.0,0.0,False
69,IN.69,Gas/Diesel Oil,Manufacturing,,0.0,0.0,0.0,0.0,False
70,IN.70,Heavy Fuel Oil,Manufacturing,,13.95159167673,15.764510369186441,0.0,0.0,False
71,IN.71,Refinery Gas,Manufacturing,,1442.1069460190802,1629.499374032859,0.0,0.0,False
72,IN.72,Liquefied Refinery Gas,Manufacturing,,2306.24669284196,2605.92846648809,0.0,0.0,False
73,IN.73,Refinery Feedstocks,Manufacturing,,0.2136082998971,0.2413653106181921,0.0,0.0,False
74,IN.74,Additives,Manufacturing,,0.0,0.0,0.0,0.0,False
75,IN.75,Other Hydrocarbons,Manufacturing,,205.6685470971009,232.39383852779764,0.0,0.0,False
76,IN.76,White Spirit,Manufacturing,,0.0,0.0,0.0,0.0,False
77,IN.77,Lubricants,Manufacturing,,13.551135377643002,15.312017375867798,0.0,0.0,False
78,IN.78,Bitumen,Manufacturing,,0.0,0.0,0.0,0.0,False
79,IN.79,Paraffin Waxes,Manufacturing,,20.721857272736,23.414527991792088,0.0,0.0,False
80,IN.80,Petroleum Coke,Manufacturing,,0.0,0.0,0.0,0.0,False
81,IN.81,Non-spec Petroleum,Manufacturing,,263.6037980342039,297.857398908705,0.0,0.0,False
82,IN.82,Industrial Biofuels,Electricity,Bioenergy Processing,0.0,0.0,0.0,0.0,False
83,IN.83,Municipal wastes (renew),Electricity,Bioenergy Processing,0.5088340255154,0.5749537011473447,0.0,0.0,False
84,IN.84,Solid biofuels,Electricity,Bioenergy Processing,1082.119433123755,1222.7338227387063,0.0,0.0,False
85,IN.85,Other liquid biofuels,Electricity,Bioenergy Processing,0.0442063796993472,0.0499507115246861,0.0,0.0,False
86,IN.86,Municipal Wastes (non-renew),Electricity,Fossil Fuel Processing,6.51832546,7.365339502824859,0.0,0.0,False
87,IN.87,Solid biofuels (2),Electricity,Fossil Fuel Processing,45.63702440610645,51.567259215939494,0.0,0.0,False
88,IN.88,Other liquid biofuels (2),Electricity,Fossil Fuel Processing,3.37189454541271,3.8100503337996723,0.0,0.0,False
89,IN.89,N-fertiliser,Electricity,,5.057797751979201,5.7150257084510745,0.0,0.0,False
90,IN.90,P-fertiliser,Electricity,,0.8305292098104999,0.9384510845316384,0.0,0.0,False
91,IN.91,Chemicals nec,Electricity,,2.5565026222742997,2.888703527993559,0.0,0.0,False
92,IN.92,Electricity coal,Electricity,Nuclear Generation,147.33391402118292,166.478998893992,22.364494,25.27061468926554,False
