Sector_Index,Sector_Code,Sector_Name,Broad_Category,Energy_2019_Final_TJ_per_EUR_million,Energy_2019_Final_MJ_per_crore,Energy_2019_Emission_TJ_per_EUR_million,Energy_2019_Emission_MJ_per_crore,Extrapolated,Energy_2022_Final_MJ_per_crore,Energy_2022_Emission_MJ_per_crore,Energy_2022_Final_TJ_per_EUR_million,Energy_2022_Emission_TJ_per_EUR_million
56,IN.56,Coal Tar,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
57,IN.57,Gas Works Gas,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
58,IN.58,Coke oven gas,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
59,IN.59,Blast Furnace Gas,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
60,IN.60,Other recovered gases,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
61,IN.61,Petroleum Refinery,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
62,IN.62,Ethane,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
63,IN.63,LPG,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
64,IN.64,Motor Gasoline,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
65,IN.65,Aviation Gasoline,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
66,IN.66,Jet Fuel (gasoline),Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
67,IN.67,Jet Fuel (kerosene),Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
68,IN.68,Kerosene,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
69,IN.69,Gas/Diesel Oil,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
70,IN.70,Heavy Fuel Oil,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
71,IN.71,Refinery Gas,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
72,IN.72,Liquefied Refinery Gas,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
73,IN.73,Refinery Feedstocks,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
74,IN.74,Additives,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
75,IN.75,Other Hydrocarbons,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
76,IN.76,White Spirit,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
77,IN.77,Lubricants,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
78,IN.78,Bitumen,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
79,IN.79,Paraffin Waxes,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
80,IN.80,Petroleum Coke,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
81,IN.81,Non-spec Petroleum,Manufacturing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
82,IN.82,Industrial Biofuels,Energy Processing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
83,IN.83,Municipal wastes (renew),Energy Processing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
84,IN.84,Solid biofuels,Energy Processing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
85,IN.85,Other liquid biofuels,Energy Processing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
86,IN.86,Municipal Wastes (non-renew),Energy Processing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
87,IN.87,Solid biofuels (2),Energy Processing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
88,IN.88,Other liquid biofuels (2),Energy Processing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
89,IN.89,N-fertiliser,Energy Processing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
90,IN.90,P-fertiliser,Energy Processing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
91,IN.91,Chemicals nec,Energy Processing,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
92,IN.92,Electricity coal,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
93,IN.93,Electricity gas,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
94,IN.94,Electricity nuclear,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
95,IN.95,Electricity hydro,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
96,IN.96,Electricity wind,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
97,IN.97,Electricity petroleum,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
98,IN.98,Electricity biomass,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
99,IN.99,Electricity solar PV,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
100,IN.100,Electricity solar thermal,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
101,IN.101,Electricity tide,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
102,IN.102,Electricity geothermal,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
103,IN.103,Electricity nec,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
104,IN.104,Electricity transmission,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
105,IN.105,Electricity distribution,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
106,IN.106,Gas distribution,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
107,IN.107,Steam/hot water,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
108,IN.108,Water supply,Utilities/Energy,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
109,IN.109,Construction,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
110,IN.110,Motor vehicles,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
111,IN.111,Wholesale trade,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
112,IN.112,Retail trade,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
113,IN.113,Hotels and restaurants,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
114,IN.114,Railway transport,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
115,IN.115,Road transport,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
116,IN.116,Pipeline transport,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
117,IN.117,Sea/coastal transport,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
118,IN.118,Inland water transport,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
119,IN.119,Air transport,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
120,IN.120,Transport support/travel agencies,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
121,IN.121,Post and telecom,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
122,IN.122,Financial services,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
123,IN.123,Insurance,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
124,IN.124,Financial auxiliaries,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
125,IN.125,Real estate,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
126,IN.126,Machinery rental,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
127,IN.127,Computer services,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
128,IN.128,R&D services,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
129,IN.129,Business services,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
130,IN.130,Public administration,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
131,IN.131,Education,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
132,IN.132,Health and social work,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
133,IN.133,Sewage/refuse,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
134,IN.134,Membership organizations,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
135,IN.135,Recreational/cultural,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
136,IN.136,Other services,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
137,IN.137,Private households,Services,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
138,IN.138,Sector 138,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
139,IN.139,Sector 139,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
140,IN.140,Sector 140,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
141,IN.141,Sector 141,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
142,IN.142,Sector 142,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
143,IN.143,Sector 143,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
144,IN.144,Sector 144,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
145,IN.145,Sector 145,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
146,IN.146,Sector 146,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
147,IN.147,Sector 147,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
148,IN.148,Sector 148,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
149,IN.149,Sector 149,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
150,IN.150,Sector 150,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
151,IN.151,Sector 151,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
152,IN.152,Sector 152,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
153,IN.153,Sector 153,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
154,IN.154,Sector 154,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
155,IN.155,Sector 155,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
156,IN.156,Sector 156,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
157,IN.157,Sector 157,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
158,IN.158,Sector 158,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
159,IN.159,Sector 159,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
160,IN.160,Sector 160,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
161,IN.161,Sector 161,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
162,IN.162,Sector 162,Other,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
