Sector_Index,Sector_Code,Sector_Name,Broad_Category,Water_2015_Blue_m3_per_EUR_million,Water_2015_Blue_m3_per_crore,Water_2015_Green_m3_per_EUR_million,Water_2015_Green_m3_per_crore,Water_2015_Total_m3_per_crore
64,IN.64,Motor Gasoline,Manufacturing,26.8874751449,37.86968330267606,0.0,0.0,37.86968330267606
65,IN.65,Aviation Gasoline,Manufacturing,0.0,0.0,0.0,0.0,0.0
66,IN.66,Jet Fuel (gasoline),Manufacturing,13.749237788941,19.365123646395773,0.0,0.0,19.365123646395773
67,IN.67,Jet Fuel (kerosene),Manufacturing,75.0596435704965,105.71780784576971,0.0,0.0,105.71780784576971
68,IN.68,Kerosene,Manufacturing,101.36013255738999,142.76075008083097,0.0,0.0,142.76075008083097
69,IN.69,Gas/Diesel Oil,Manufacturing,0.0,0.0,0.0,0.0,0.0
70,IN.70,Heavy Fuel Oil,Manufacturing,33.131843221,46.6645679169014,0.0,0.0,46.6645679169014
71,IN.71,Refinery Gas,Manufacturing,853.17686777795,1201.6575602506337,0.0,0.0,1201.6575602506337
72,IN.72,Liquefied Refinery Gas,Manufacturing,1763.7021662095399,2484.0875580416055,0.0,0.0,2484.0875580416055
73,IN.73,Refinery Feedstocks,Manufacturing,10.06734142725,14.179354122887322,0.0,0.0,14.179354122887322
74,IN.74,Additives,Manufacturing,0.0,0.0,0.0,0.0,0.0
75,IN.75,Other Hydrocarbons,Manufacturing,95.41137025251001,134.38221162325354,0.0,0.0,134.38221162325354
76,IN.76,White Spirit,Manufacturing,0.0,0.0,0.0,0.0,0.0
77,IN.77,Lubricants,Manufacturing,8.999301452757,12.67507246867183,0.0,0.0,12.67507246867183
78,IN.78,Bitumen,Manufacturing,0.0,0.0,0.0,0.0,0.0
79,IN.79,Paraffin Waxes,Manufacturing,28.15126398526,39.64966758487324,0.0,0.0,39.64966758487324
80,IN.80,Petroleum Coke,Manufacturing,0.0,0.0,0.0,0.0,0.0
81,IN.81,Non-spec Petroleum,Manufacturing,14.307819787995,20.151858856330982,0.0,0.0,20.151858856330982
82,IN.82,Industrial Biofuels,Energy Processing,0.0,0.0,0.0,0.0,0.0
83,IN.83,Municipal wastes (renew),Energy Processing,42.1147634014,59.31656817098591,0.0,0.0,59.31656817098591
84,IN.84,Solid biofuels,Energy Processing,866.09977192704,1219.8588337000563,0.0,0.0,1219.8588337000563
85,IN.85,Other liquid biofuels,Energy Processing,418.921754561,590.0306402267605,0.0,0.0,590.0306402267605
86,IN.86,Municipal Wastes (non-renew),Energy Processing,7.371537596000001,10.382447318309861,0.0,0.0,10.382447318309861
87,IN.87,Solid biofuels (2),Energy Processing,68.59579054964591,96.61378950654353,0.0,0.0,96.61378950654353
88,IN.88,Other liquid biofuels (2),Energy Processing,28.42822764599,40.03975724787323,0.0,0.0,40.03975724787323
89,IN.89,N-fertiliser,Energy Processing,3.5020812996000004,4.932508872676056,0.0,0.0,4.932508872676056
90,IN.90,P-fertiliser,Energy Processing,0.318541,0.4486492957746479,0.0,0.0,0.4486492957746479
91,IN.91,Chemicals nec,Energy Processing,0.431302,0.6074676056338028,0.0,0.0,0.6074676056338028
92,IN.92,Electricity coal,Utilities/Energy,139.922750991857,197.07429717162955,0.0,0.0,197.07429717162955
93,IN.93,Electricity gas,Utilities/Energy,0.0,0.0,0.0,0.0,0.0
94,IN.94,Electricity nuclear,Utilities/Energy,0.0,0.0,0.0,0.0,0.0
95,IN.95,Electricity hydro,Utilities/Energy,994.796,1401.1211267605634,0.0,0.0,1401.1211267605634
96,IN.96,Electricity wind,Utilities/Energy,28.7702,40.52140845070422,0.0,0.0,40.52140845070422
97,IN.97,Electricity petroleum,Utilities/Energy,69.6515,98.1007042253521,0.0,0.0,98.1007042253521
98,IN.98,Electricity biomass,Utilities/Energy,0.0,0.0,0.0,0.0,0.0
99,IN.99,Electricity solar PV,Utilities/Energy,0.0,0.0,0.0,0.0,0.0
100,IN.100,Electricity solar thermal,Utilities/Energy,0.359178,0.5058845070422535,0.0,0.0,0.5058845070422535
101,IN.101,Electricity tide,Utilities/Energy,1.20717,1.7002394366197182,0.0,0.0,1.7002394366197182
102,IN.102,Electricity geothermal,Utilities/Energy,0.0,0.0,0.0,0.0,0.0
103,IN.103,Electricity nec,Utilities/Energy,0.0,0.0,0.0,0.0,0.0
104,IN.104,Electricity transmission,Utilities/Energy,0.0,0.0,0.0,0.0,0.0
105,IN.105,Electricity distribution,Utilities/Energy,0.0,0.0,0.0,0.0,0.0
106,IN.106,Gas distribution,Utilities/Energy,0.0,0.0,0.0,0.0,0.0
107,IN.107,Steam/hot water,Utilities/Energy,0.0,0.0,0.0,0.0,0.0
108,IN.108,Water supply,Utilities/Energy,0.0,0.0,0.0,0.0,0.0
109,IN.109,Construction,Services,0.0,0.0,0.0,0.0,0.0
110,IN.110,Motor vehicles,Services,0.0,0.0,0.0,0.0,0.0
111,IN.111,Wholesale trade,Services,0.0,0.0,0.0,0.0,0.0
112,IN.112,Retail trade,Services,0.0,0.0,0.0,0.0,0.0
113,IN.113,Hotels and restaurants,Services,0.0,0.0,0.0,0.0,0.0
114,IN.114,Railway transport,Services,0.0,0.0,0.0,0.0,0.0
