Sector_Code,Sector_Index,Sector_Name,Energy_2015_Final_MJ_per_crore,Energy_2015_Emission_MJ_per_crore,Energy_2015_Gross_MJ_per_crore,Energy_2015_Net_MJ_per_crore,Rank,Pct_of_Total,Cumulative_Pct
IN.161,161,IN.161,1846758989.7887323,1846758989.7887323,1875731939.9295774,1846758989.7887323,101,0.01,99.97
IN.97,97,IN.97,1394430611.7098591,22875084.08647887,730722282363.3802,574880621563.3802,102,0.01,99.98
IN.33,33,IN.33,1027556561.4985915,369021724.571831,1119719339.5323944,371762161.3830986,103,0.0,99.98
IN.115,115,IN.115,1001573320.2746478,1013804676.6112674,1149669925.428169,1013804676.6112674,104,0.0,99.98
IN.35,35,IN.35,964989997.4943662,1103632991.3028169,1162114316.4366198,1103634902.646479,105,0.0,99.98
IN.36,36,IN.36,759333904.1154929,978256093.484507,1072445582.8802816,978257068.8746479,106,0.0,99.98
IN.28,28,IN.28,753257188.553521,164975819.73380283,767758982.4422536,165298690.90985915,107,0.0,99.98
IN.29,29,IN.29,746088348.7802815,29663185.21591549,751845059.3309859,30166800.239859153,108,0.0,99.98
IN.25,25,IN.25,715082933.8056338,297725535.9816901,732801122.8014084,297845684.82112676,109,0.0,99.98
IN.32,32,IN.32,516651738.92816895,194466841.14084506,535678338.3239436,204504263.156338,110,0.0,99.98
IN.10,10,IN.10,507176441.7873239,2800085791.6901407,4980247247.239436,2800085791.6901407,111,0.0,99.98
IN.12,12,IN.12,493814477.51267606,3576596213.5070424,5583512042.295774,3576596213.5070424,112,0.0,99.98
IN.101,101,IN.101,434832972.5295775,471831310.3577464,102680514844.78873,471831310.3577464,113,0.0,99.98
IN.24,24,IN.24,370325409.015493,258956554.44366196,389060518.2943661,260854204.07605633,114,0.0,99.98
IN.11,11,IN.11,269453647.0802817,2585967461.140845,4402329506.352113,2585967461.140845,115,0.0,99.98
IN.30,30,IN.30,171409543.31126758,11463796.297619717,173218972.87042254,11694750.308225352,116,0.0,99.98
IN.27,27,IN.27,74757910.24211267,12233993.07069014,75850208.46450703,12239371.384718308,117,0.0,99.98
IN.8,8,IN.8,54937641.23197182,492653318.8774648,769045053.0309858,492653318.8774648,118,0.0,99.98
IN.102,102,IN.102,40417141.40633803,0.0,168927243477.46478,52825570680.84506,119,0.0,99.98
IN.14,14,IN.14,32460337.49901408,266165394.45915493,393732069.8070422,266165394.45915493,120,0.0,99.98
IN.9,9,IN.9,12881174.027281689,80523183.18873239,150796723.17183098,80523183.18873239,121,0.0,99.98
IN.23,23,IN.23,2295503.5488450704,418187.1271929577,3045702.2924647885,418963.3867197182,122,0.0,99.98
IN.50,50,IN.50,232627.55501549295,94988.49305478873,337226.4963056338,100664.71857323944,123,0.0,99.98
IN.57,57,IN.57,832.7880467985915,1144.2698417704223,1229.9881357352112,1144.2698417704223,124,0.0,99.98
IN.143,143,IN.143,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.142,142,IN.142,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.144,144,IN.144,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.145,145,IN.145,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.147,147,IN.147,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.146,146,IN.146,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.140,140,IN.140,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.148,148,IN.148,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.149,149,IN.149,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.152,152,IN.152,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.153,153,IN.153,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.154,154,IN.154,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.155,155,IN.155,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.156,156,IN.156,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.157,157,IN.157,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.141,141,IN.141,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.82,82,IN.82,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.139,139,IN.139,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.138,138,IN.138,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.80,80,IN.80,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.78,78,IN.78,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.76,76,IN.76,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.74,74,IN.74,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.69,69,IN.69,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.94,94,IN.94,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.65,65,IN.65,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.59,59,IN.59,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.103,103,IN.103,0.0,0.0,101773826291.12675,0.0,125,0.0,99.98
IN.104,104,IN.104,0.0,0.0,101773826291.12675,0.0,125,0.0,99.98
IN.105,105,IN.105,0.0,0.0,101773826291.12675,0.0,125,0.0,99.98
IN.106,106,IN.106,0.0,0.0,101773826291.12675,0.0,125,0.0,99.98
IN.52,52,IN.52,0.0,0.0,9.360485204929576,0.0,125,0.0,99.98
IN.110,110,IN.110,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.113,113,IN.113,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.26,26,IN.26,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.22,22,IN.22,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.16,16,IN.16,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.15,15,IN.15,0.0,0.0,0.0,0.0,125,0.0,99.98
IN.162,162,IN.162,0.0,0.0,0.0,0.0,125,0.0,99.98
