Sector_Code,Sector_Index,Sector_Name,Broad_Category,Water_2015_Blue_m3_per_crore,Water_2015_Green_m3_per_crore,Rank,Pct_of_Total,Cumulative_Pct
IN.135,135,IN.135,Other,0.0,0.0,66,0.0,100.01
IN.140,140,IN.140,Other,0.0,0.0,66,0.0,100.01
IN.136,136,IN.136,Other,0.0,0.0,66,0.0,100.01
IN.150,150,IN.150,Other,0.0,0.0,66,0.0,100.01
IN.161,161,IN.161,Other,0.0,0.0,66,0.0,100.01
IN.160,160,IN.160,Other,0.0,0.0,66,0.0,100.01
IN.159,159,IN.159,Other,0.0,0.0,66,0.0,100.01
IN.158,158,IN.158,Other,0.0,0.0,66,0.0,100.01
IN.157,157,IN.157,Other,0.0,0.0,66,0.0,100.01
IN.156,156,IN.156,Other,0.0,0.0,66,0.0,100.01
IN.155,155,IN.155,Other,0.0,0.0,66,0.0,100.01
IN.154,154,IN.154,Other,0.0,0.0,66,0.0,100.01
IN.153,153,IN.153,Other,0.0,0.0,66,0.0,100.01
IN.152,152,IN.152,Other,0.0,0.0,66,0.0,100.01
IN.151,151,IN.151,Other,0.0,0.0,66,0.0,100.01
IN.149,149,IN.149,Other,0.0,0.0,66,0.0,100.01
IN.137,137,IN.137,Other,0.0,0.0,66,0.0,100.01
IN.148,148,IN.148,Other,0.0,0.0,66,0.0,100.01
IN.147,147,IN.147,Other,0.0,0.0,66,0.0,100.01
IN.146,146,IN.146,Other,0.0,0.0,66,0.0,100.01
IN.145,145,IN.145,Other,0.0,0.0,66,0.0,100.01
IN.144,144,IN.144,Other,0.0,0.0,66,0.0,100.01
IN.143,143,IN.143,Other,0.0,0.0,66,0.0,100.01
IN.142,142,IN.142,Other,0.0,0.0,66,0.0,100.01
IN.141,141,IN.141,Other,0.0,0.0,66,0.0,100.01
IN.114,114,IN.114,Other,0.0,0.0,66,0.0,100.01
IN.139,139,IN.139,Other,0.0,0.0,66,0.0,100.01
IN.138,138,IN.138,Other,0.0,0.0,66,0.0,100.01
IN.115,115,IN.115,Other,0.0,0.0,66,0.0,100.01
IN.106,106,IN.106,Other,0.0,0.0,66,0.0,100.01
IN.113,113,IN.113,Other,0.0,0.0,66,0.0,100.01
IN.82,82,IN.82,Other,0.0,0.0,66,0.0,100.01
IN.80,80,IN.80,Other,0.0,0.0,66,0.0,100.01
IN.22,22,IN.22,Other,0.0,0.0,66,0.0,100.01
IN.78,78,IN.78,Other,0.0,0.0,66,0.0,100.01
IN.76,76,IN.76,Other,0.0,0.0,66,0.0,100.01
IN.23,23,IN.23,Other,0.0,0.0,66,0.0,100.01
IN.74,74,IN.74,Other,0.0,0.0,66,0.0,100.01
IN.24,24,IN.24,Other,0.0,0.0,66,0.0,100.01
IN.25,25,IN.25,Other,0.0,0.0,66,0.0,100.01
IN.26,26,IN.26,Other,0.0,0.0,66,0.0,100.01
IN.69,69,IN.69,Other,0.0,0.0,66,0.0,100.01
IN.27,27,IN.27,Other,0.0,0.0,66,0.0,100.01
