Sector,Growth_Rate_2015_to_2019
Hotels,1.565224990669891
Railway_Transport,1.1495369855508064
Road_Transport,1.5588247666861095
Water_Transport,1.6561817647058823
Manufacturing,1.6787669850502047
Trade,1.7183943262989563
Finance,1.2602849321428842
Recreation,1.5495121048528573
