,PFCE,GFCE,GFCF,CIS,Valuables,Export
Industrial machinery (except food and textile),0.0,0.0,149373.0,27.0,0.0,82961.0
Machine tools,5533.0,0.0,157222.0,553.0,0.0,15542.0
Other non electrical machinery,3191.0,0.0,26043.0,419.0,0.0,14667.0
Electrical industrial machinery,0.0,0.0,189313.0,441.0,0.0,24040.0
"Electrical cables, wires",0.0,0.0,68135.0,94.0,0.0,25032.0
Batteries,0.0,0.0,18671.0,589.0,0.0,5496.0
Electrical appliances,6227.0,0.0,149166.0,836.0,0.0,29340.0
Communication equipment,3103.0,0.0,38134.0,30.0,0.0,1568.0
Other electrical machinery,6267.0,0.0,143169.0,760.0,0.0,28324.0
Electronic equipment including T.V,32537.0,0.0,100105.0,256.0,0.0,28068.0
"Medical precision, optical instrument",5595.0,0.0,64088.0,81.0,0.0,24008.0
Watches and clocks,3440.0,0.0,4823.0,74.0,0.0,632.0
Ships and boats,0.0,0.0,24077.0,61.0,0.0,32573.0
Rail equipment,0.0,0.0,14066.0,213.0,0.0,1823.0
Motor vehicles,198412.0,0.0,393598.0,1229.0,0.0,93151.0
Motor cycles and scooters,57024.0,0.0,54739.0,1605.0,0.0,14976.0
"Bicycles, cycle-rickshaw",8156.0,0.0,9357.0,245.0,0.0,513.0
Aircrafts & Spacecrafts,3923.0,0.0,80170.0,512.0,0.0,10143.0
Other transport equipment,13502.0,0.0,0.0,412.0,0.0,4617.0
Gems & jewellery,204467.0,0.0,0.0,68.0,194800.0,254972.0
Miscellaneous manufacturing,173555.0,0.0,43747.0,6153.0,0.0,37605.0
Construction and construction services,157913.0,78694.0,3098793.0,13895.0,0.0,21982.0
Electricity,155470.0,0.0,0.0,0.0,0.0,0.0
Gas,88728.0,0.0,0.0,0.0,0.0,0.0
Water Supply,35420.0,29950.0,0.0,0.0,0.0,0.0
Trade,0.0,0.0,0.0,0.0,0.0,0.0
Repair & Maintenance of Motor Vehicle,56851.0,0.0,0.0,0.0,0.0,1375.0
Hotels & Restaurant,261514.0,0.0,0.0,0.0,0.0,186078.0
Railway Transport,39498.0,0.0,0.0,0.0,0.0,0.0
Land transport,513126.0,0.0,0.0,0.0,0.0,0.0
Air transport,33982.0,0.0,0.0,0.0,0.0,44535.0
Water Transport,2485.0,0.0,0.0,0.0,0.0,49279.0
Supportive and Auxiliary transport activities,87.0,0.0,0.0,0.0,0.0,5753.0
Storage and warehousing,0.0,0.0,0.0,0.0,0.0,0.0
Communication services,310270.0,0.0,0.0,0.0,0.0,21594.0
Financial services,409249.0,0.0,0.0,0.0,0.0,33519.0
Insurance services,121743.0,0.0,0.0,0.0,0.0,17238.0
Ownership of dwellings,1166877.0,0.0,0.0,0.0,0.0,0.0
Real estate services,149988.0,0.0,0.0,0.0,0.0,0.0
Renting of machinery & equipment,0.0,0.0,0.0,0.0,0.0,153551.0
Research & Development Services,0.0,0.0,64125.0,0.0,0.0,34663.0
Legal services,82664.0,0.0,0.0,0.0,0.0,0.0
Other Business services,253213.0,0.0,0.0,0.0,0.0,134313.0
Computer related services,0.0,0.0,588981.0,0.0,0.0,660148.0
Public administration and defence,0.0,1492067.0,0.0,0.0,0.0,4677.0
Education services,566404.0,465535.0,0.0,0.0,0.0,1281.0
Human health and social care services,370404.0,132638.0,0.0,0.0,0.0,1166.0
"Community, social and personal services",435870.0,0.0,0.0,0.0,0.0,22052.0
"Recreation, entertainment and radio & TV broadcasting and other services",43280.0,13050.0,16665.0,0.0,0.0,116802.0
