Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products," Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Legal Services,Computer related services,Other Business services,Real estate activities,Renting of machinery and equipment,"Community, Social & personal services",Other services,Public administration. & defence,Inter-Industry Consumption,PFCE,GFCE,GFCF,CIS,Valuables,Export,Total Use at PP
20,Other food crops,"47,324","189,872",,,,,,,,,"1,570",7,846,"10,623",40,"2,736","1,315",,,156,,,,,,,19,,,,"1,355","2,135",,11,453,331,,71,197,,,"6,376",,,,,,,,,,,"9,776",,,,,,,,,,,,902,"3,599","279,714","154,972",,,"1,854",,"15,226","451,766"
21,Milk,,"5,094",,,,,,,,,,"113,013","9,549","14,275","7,658",,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,"16,828",,,,,,,,,,,"4,763",,"34,586","205,784","577,113",,,,,,"782,897"
22,Wool,,,,,,,,,,,,,,,,,"2,489",,,,,,,,,,,,,,,,,,,,,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,514",,,,,,68,"2,582"
23,Egg and poultry,,"4,144",,"7,717",,,,,,,"1,047",,70,975,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,"9,142",,,,,,,,,,,,,"26,121","49,257","106,116",,,,,501,"155,874"
24,Other livestock products,,509,,302,,,,,,,"22,760",,179,,,,13,216,"4,295",,,,,,,,,,,,9,32,,,,,,,22,,,,,,,,,,,,,,"2,696",,,,,,,,,,,,,"5,585","36,618","169,464",,"10,665","20,914",,"7,833","245,494"
25,Industry Wood,,134,291,,,,,,,,,,,,,19,,,,,,,,,,,,10,,,24,,,15,"55,829","30,207",,"26,524",83,,"76,568",,,,,,,,,,,,,,,,,,,,,,,,,,"189,704",,,,,,,"189,704"
26,Firewood,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,21,14,,,,805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,"79,075",,,,,,"79,943"
27,Other forestry products,611,"37,455",,,,,,,,,66,,11,391,11,"1,499",81,,285,10,8,,,,,5,160,27,124,,"1,702",254,999,318,683,257,29,122,24,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"45,142","9,430",,,39,,542,"55,153"
28,Inland Fish,,,,"3,769",,,,,,,"15,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779,,,,,,,,,,,,,,"20,372","127,614",,,,,8,"147,994"
29,Marine Fish,,,,"1,128",,,,,,,"15,089",,87,,,,,,,,,,,,,,,,16,,45,,,,,,,,,,,,,,,,,,,,,,"1,210",,,,,,,,,,,,,,"17,575","93,765",,,,,336,"111,676"
30,Coal and Lignite,,,,,216,,,111,253,,511,147,215,525,356,50,"6,498",45,27,"123,501","5,684",413,,,,,20,89,114,"10,105","5,409",496,555,"28,162",,"3,095",,,29,,,"140,933",,"4,773","3,305",,,,,,,,,,,,,,,,,,,,"3,517",,"339,154","2,417",,,"3,975",,"1,118","346,664"
31,Natural Gas,,,,,,213,211,,,,,,,,,,,,,,,,,,,,196,111,,"14,503","19,258",,"19,180",,,,,,,,,,"46,575",,,,,,,,,,,,,,,,,,,,,,,,"100,247",,,,763,,,"101,010"
32,Crude petroleum,,,,,,"29,743",,,,,,,,,,,,,,,,,,,,,56,,,"623,470",562,,33,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"653,899",,,,"42,542",,,"696,441"
33,Iron ore,,,,,,,,,,,,,,,,,,,,"79,471",45,85,,,,,16,,26,,28,,,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,225",,,,465,,"9,524","90,214"
34,Manganese ore,,,,,,,,,,,,,,1,,,,,,"8,736",187,,,,,,4,53,,,91,,1,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,346",,,,298,,15,"9,659"
35,Bauxite,,,,,,,,,,,,,,,,,,,,192,"8,470",63,,,,,82,160,,,58,,1,"1,157",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,184",,,,98,,511,"10,793"
36,Copper ore,,,,,,,,,,,,,,,,,,,,45,"21,681",1,,,,,571,34,93,,2,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,430",,,,518,,125,"23,073"
37,Other Metallic minerals,,,,,,,,,,,,,,,364,1,,,,"6,310","22,231","5,853",1,30,,,"1,010",188,346,,170,13,41,524,,,,,"10,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,767",,,,477,,"1,572","49,815"
38,Limestone,,,,"11,114",,,,,,,,,59,17,1,24,,,1,"4,147",58,1,,,,,,,,,885,16,168,"24,855",,79,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,435",,,,341,,499,"42,275"
39,Mica,,,,,,,,,,,,,,,,,,,,,,,6,,,,13,,,,,,,64,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,4,,,91
