Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products," Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Legal Services,Computer related services,Other Business services,Real estate activities,Renting of machinery and equipment,"Community, Social & personal services",Other services,Public administration. & defence,Inter-Industry Consumption,PFCE,GFCE,GFCF,CIS,Valuables,Export,Total Use at PP
70,Plastic products,,,97,,,,,,,"2,550","4,608",111,"2,012",,"2,652","2,558","32,665","8,168","1,714","1,050",282,"2,096","7,179","6,246","5,236","3,718","23,834","7,352","11,388",,"4,930",251,"20,339",366,,"1,357","10,210",788,"4,661",,"83,392",,,87,,"1,000",,,"1,356",682,28,"3,035",143,,,,"1,082",11,33,146,"3,306",196,148,"12,878",406,,"276,347","42,904",,"5,370","8,405",,"35,573","368,599"
71,Petroleum products ,"11,733",,"4,148",531,"6,091","1,029","5,600","4,851","2,427","6,617","1,667",,"1,414","4,897",922,126,"7,462",870,417,"33,629","3,122","2,776",114,50,69,25,"2,169","1,383","4,017","21,899","10,275","1,685","2,367","18,019",,"2,401",323,485,397,67,"30,046","91,122",,"9,152","8,872","254,463","1,437","22,639","27,871","1,007","65,182","93,547","1,345","11,793","1,261",,"7,209",333,"2,423","3,786","68,850","41,161","1,714","33,054","10,797",93,"955,231","239,839",,,"25,064",,"206,611","1,426,746"
72,Coal tar products,,,,,,,,,,,,,,,,,,,,"21,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,209,11,280,1,24,"22,677","5,481",,,376,,"2,659","31,193"
73,Inorganic chemicals,,,,,,,,"5,174","2,598",,236,,348,153,224,63,"4,885",51,260,"1,238","2,079",880,193,,,,"3,112",431,916,"1,385","59,746","6,282","7,778","8,077",,611,18,"1,570",123,,,,,435,,,,,,93,,,,,,,,,,,,,,,23,,"108,982",,,,"2,204",,"10,107","121,293"
74,Organic chemicals,,,,,,,,"7,727","8,655",,437,33,358,207,"3,400",428,"24,872",60,"4,829","4,986",429,"1,762",432,237,41,136,"6,702","2,110","9,377","3,303","163,681","28,469","92,599","2,486",,"2,933",287,"8,502","2,556",,,,,641,,,,,,114,,,,,,,,,,,,,,,26,,"382,815",,,,"10,397",,"99,235","492,447"
75,Fertilizers,"97,095",,,74,,,,,,,,,107,50,,,,,,,,23,,,,,36,,,,"31,676",321,"3,038","3,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"135,528",,,,-373,,"3,290","138,445"
76,Pesticides,"19,589",,,,,,,,,,,,17,,10,,21,,,,,,,,,,11,,,,"5,544",242,33,,,,,,,,,,,,,,,,,556,,"16,689",,729,254,102,573,482,148,879,"1,172",398,27,469,118,893,"48,956","6,291",,,"4,621",,,"59,868"
77,"Paints, varnishes and lacquers",,,,,,,,,,,83,,,90,149,,"6,794",394,"3,348","1,454",231,"1,805",99,45,8,,"1,036",267,"2,314",36,"10,567",245,"12,564","4,137",,"1,267","2,681","1,471",725,12,"25,097",,,,,,,,,,,,,,,,,,,,,,,,,,"76,918","21,475",,,"2,483",,"17,684","118,560"
78,Drugs and medicine,,"7,127",,400,,,,,,,107,64,"1,050",867,193,,490,213,196,,,,,,,596,,12,15,,"10,057","57,338",168,175,,45,,,403,,,,,,,,,,,,,,,,,,,"123,286",,,,,,,,"4,396","207,198","39,832",,"3,986","6,359",,"86,451","343,826"
79,"Soaps, cosmetics and glycerin",,,,,,,,,,,28,,15,439,94,657,"2,058","2,015",156,5,7,315,,,,,14,14,34,,"8,417",490,"2,031",428,,,26,34,74,,"3,882",,,,,,,,,,,68,17,,,,,,,,,,,,,,"21,318","92,629",,,895,,"13,504","128,346"
80,"Synthetic fibres, resin",,,,,,,,,,,,,,,,,"74,821","23,732",256,,,,,,,,76,84,51,,"1,702",,"1,475",445,,,59,480,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103,258",,,,-85,,,"103,173"
81,Other chemicals and chemical products,,,,70,"6,223","19,287","9,078",298,55,,"2,100",,623,"1,369",941,135,"13,390",526,"1,247","3,500",604,"1,079",49,,13,,635,459,655,"5,297","13,952","2,554","3,008","2,006",,"3,755",454,366,207,,,,,51,,,,,,,,,,,,,,,,,,,,,11,,"93,997",923,,35,"11,428",,"2,154","108,537"
82,Cement,,,,,,,,,,,,,,,,,,,,366,26,103,,,,,39,208,54,,307,79,,"23,031",,70,,32,,12,"236,704",,,,,,,,,,,,,,,,,,,,,,,,,,"261,031",,,,"6,785",,"2,287","270,103"
83,Non metallic mineral products,,,,,,,,,,,10,,,,373,,28,11,,10,4,698,119,,,100,"3,023",587,"4,607",,105,59,31,"13,940",,,40,"4,193",284,,"184,877",,,,,,,,,,,,,,,,,,,,,,,,,,"213,098","9,511",,"6,818",821,,"19,681","249,929"
84,Iron and steel Ferro alloys,,,,,,,,,,,,,,,,,,,,"105,119",931,"22,439",39,,,104,"5,300","20,257","16,539",,172,53,490,640,,26,,"2,783",176,,,,,,,,,,,,,,,,,,,,,,,,,,,,"175,068",,,,908,,828,"176,804"
85,Iron and steel casting and forging,,,,,,"2,704",960,,,,,,,,,,55,1,,"44,194",633,"28,324",139,,56,160,"5,761","13,773","20,893",,37,,236,663,,56,26,"2,417",494,9,"310,273","18,184",,184,,,,,,,,,,,,,,,,,,,,,"2,393",,"452,622",,,"3,327","3,933",,"39,513","499,395"
86,Iron and steel foundries,,,,,,"3,553","1,351",,,,,,,,,,,,,"27,801",92,"17,745",551,10,312,153,"3,274","15,922","22,296",,24,10,160,796,,27,,"3,050",676,41,"190,962","24,356",,259,,,,,,,,,,,,,,,,,,,,,"3,370",,"316,794",,,"6,637","5,435",,"35,707","364,573"
87,Non ferrous basic metals (including alloys),,,,,,,,,,,,,,,,14,260,,21,"23,431","36,976","26,193","2,926",46,237,186,"65,719","11,105","38,242",,"2,456",84,717,"1,108",,582,676,623,482,17,"17,112","1,971",,,,,,,,,,,,,,,,,,,,,,,,,"231,184",,,,"4,617",,"37,995","273,796"
88,"Hand tools, hardware",,,"2,357",46,"2,047",383,76,"7,874",164,"1,264",50,,,62,188,,44,10,38,"6,060",226,"14,199","2,090",230,652,91,"7,313","12,503","7,057",,233,124,201,63,,37,11,791,96,50,"11,497",,,2,,,,,74,,2,"7,746",1,,,,153,13,37,17,501,4,20,129,11,188,"87,027","2,618",,"18,855","2,254",,"12,956","123,710"
89,Miscellaneous metal products,,,"1,296",191,"2,187",,46,"7,725",90,"1,691",4,,,,,194,101,126,522,"6,840","1,219","23,792",894,128,137,129,"5,962","11,947","16,878",,388,256,,200,,53,21,642,"68,242",8,"10,102","4,501",,10,,,,,621,,12,"5,780",,,,,892,77,56,19,"18,138",,839,728,260,261,"194,202",280,,"23,368","2,800",,"18,550","239,200"
90,Tractors and  other agricultural implements,"3,757",,,,,,,,,,,,,,,,,,,3,,,,,,,,"3,086",269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,,12,60,2,,"7,557",,,"55,991",586,,"7,178","71,312"
91,Industrial machinery for food and textile industry,,,,,,,,,,,,,,,,,,,,"2,734",33,131,41,1,5,1,296,"2,838","1,121",,,,,,,,1,90,,,,,,,,,,,,2,,,,,,,,1,,,952,,45,,,,"8,293",,,"84,169",813,,"8,002","101,277"
92,Industrial machinery (except food and textile),,,,,4,16,4,6,,2,,,,,,,,,,626,1,9,932,"1,877",373,75,855,"5,798",784,533,30,,,,,,1,26,5,6,,,,,,,,,,,2,,,,,,,,,,28,,1,2,,,"11,996",,,"88,018",836,,"45,219","146,068"
93,Machine tools,"4,148",,,,,380,105,445,71,"5,417",,,,,,,82,,,"1,949",31,"1,776",143,7,"1,474",123,"2,199","19,622","9,290","2,108",,,,,,2,,757,39,,,,,,,124,2,,,8,210,322,,,,,9,,31,,"2,009",79,92,87,5,,"53,145",,,"97,616","1,447",,"11,221","163,429"
94,Other non electrical machinery,,,33,,23,150,24,70,12,884,,,,,,,,,,1,,"4,315","1,119",,,730,"2,792","19,620","10,274",,8,,,,,12,3,90,9,15,,678,,2,104,894,16,150,252,17,911,285,,"1,324",22,,63,8,70,97,636,178,22,280,105,65,"46,360","6,854",,"58,681",651,,"10,900","123,445"
95,Electrical industrial machinery,,,1,,,,1,2,1,1,,,,,68,,,,,243,,"6,647","1,812",,50,278,"5,088","25,639","47,690",,24,,,,,,,135,20,20,,55,,,1,19,,1,34,,84,24,,14,,,3,,2,,20,2,1,11,2,8,"87,998",,,"213,925","2,255",,"18,376","322,553"
96,"Electrical cables, wires",,,,,,,,,,,,,,,,,,,,,,"1,361","2,597",555,"1,088",41,"3,988","2,590","3,167",,13,,,,,,,10,14,19,,,,,,,,,,,"1,973",,,,,,,,,,,,,,,,"17,415",,,"34,904",280,,"8,664","61,263"
97,Batteries,,,,,,,,,,,,,,,,,,,1,,876,14,95,8,"1,442",75,"7,161",145,737,,3,,,,,,,111,2,2,,,,48,,11,,,5,,"4,691","1,940",,,,,,,,,6,466,,"1,513",6,,"19,358",,,"13,804","1,060",,"1,614","35,836"
98,Electrical appliances,,,106,,56,4,32,3,6,117,,,,,,,,,,531,3,502,597,376,254,163,"9,573","6,090","7,318",,7,,,,,16,3,72,24,3,"15,077","2,342",,5,365,"1,588",56,527,852,52,"2,360",639,,"1,282",78,,224,28,10,315,"1,161",447,31,889,353,154,"54,691","2,182",,"75,570","-1,375",,"22,315","153,382"
99,Communication equipment,,,,,24,,,,,,,,,,,,,,,,,1,218,"1,003",517,15,774,55,767,,2,,,,,,,,11,,,,,1,,,,,,,"5,089",,,,,,,,51,,454,,17,317,1,525,"9,843","1,176",,"20,116",551,,"1,709","33,394"
100,Other electrical machinery,,,787,,43,,,,,,,,,,,,,,,547,10,"1,445","10,140","2,033","21,585","2,203","20,856","16,621","11,385",,6,,,,,39,40,82,192,1,,,,25,,,,,,,"10,955",449,,,,,1,,91,,"1,532",1,49,660,4,931,"102,714","2,169",,"149,873","3,161",,"18,258","276,175"
101,Electronic equipment including T.V,,,50,,14,,,1,2,34,,,,,,,,,,,,,575,"1,382","26,296",239,364,232,"21,771",,,,,,,,20,4,,,,29,,1,72,510,22,391,793,46,978,25,,110,96,,201,17,9,246,652,61,44,68,53,89,"55,494","3,746",,"59,533","1,474",,"1,974","122,220"
102,"Medical precision, optical instrument",,,,,,,,,,,,,,,,,,,,,,"1,634","1,799",64,"2,109","1,794","1,962","2,134","4,036",,,"14,043",,,,5,83,38,"1,177",18,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,896",,,"68,443",768,,"18,495","118,602"
103,Watches and clocks,,,,,,,,,,,,,,,,,,,,,,,,,117,"1,028",,,10,,,,,,,,,,,,,,,,228,335,,"2,366",,27,"1,093",110,,,,,,,,,,,,,,,"5,314",445,,"3,941",29,,597,"10,326"
104,Ships and boats,,,,,,,,,,,,,,,,,,,,,,,,,,,7,27,464,,,,,,,,,,,,,,,,,,"5,647",,120,,,402,,,,,,,,,,,,,,,"6,667",,,"5,882",96,,"30,289","42,934"
105,Rail equipment,,,,,,,,,,,,,,,,,,,,,,4,,,3,,144,90,"10,366",,,,,,,,,,,,,,,,"5,050",,,,,,,,,,,,,,,,,,,,,,"15,657",,,"30,078","1,008",,"1,559","48,302"
106,Motor vehicles,,,,,,,,,,,,,,,,,,,,"1,513",21,"1,292",,,,82,932,"41,385","197,530",,,,,,,,,29,,,"55,287",,,,,,,,,,,49,,,,,,,,,"1,092",,,3,5,,"299,220","150,445",,"183,204","3,661",,"80,055","716,585"
107,Motor cycles and scooters,,,412,,,,,,,,,,,,,,,,,,,5,,,,,,,523,,,,,,,,,,,,,,,,,"7,108",,,47,,10,"6,483",,,,,90,2,,103,"10,905",763,565,"2,152",109,"6,072","35,351","48,621",,"27,481","2,636",,"10,982","125,070"
108,"Bicycles, cycle-rickshaw",,,17,,,,,,,,,,,,,,,,,,,,,,,,,,"16,771",,,,,,,,,,,,,,,,,"2,160",,,2,,,289,,,,,4,,,3,673,30,32,82,4,"1,292","21,358","5,669",,"10,569",242,,454,"38,292"
109,Aircrafts & Spacecrafts,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,459,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,291,816,,,"52,742","-1,238",,"22,651","74,972"
110,Other transport equipment,,,784,,25,,1,11,8,72,,,,,,,,,,,1,39,,,,,103,160,"21,212",,,,,,,,,,1,,,482,,,128,504,20,204,126,6,455,613,12,315,620,,86,3,,51,"1,037",425,44,629,156,6,"28,337",72,,"6,106",-30,,"2,538","37,023"
111,Gems & jewellery,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,568,,55,,,39,,,,,"72,575",,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,314","78,815",,"1,400","5,701","167,326","286,139","612,695"
112,Miscellaneous manufacturing,,,"9,420",,"4,675",412,128,107,256,"4,824","4,840",,"4,956","12,101",315,"2,032","25,633","11,659","4,647","9,268","7,540","13,019","1,528",768,993,"1,231","17,096","13,113","11,182",,"3,174",297,"1,535",138,,"1,406",204,510,"4,214","2,025","4,355","4,092",,53,"1,029","4,418",240,"2,491","1,414",73,"3,530","3,175",,"8,613","7,458",,401,38,175,225,"8,057","3,930",327,"5,426",822,72,"235,660","110,802",,"11,609","4,903",,"33,376","396,350"
113,Construction and construction services,,953,"5,995",440,"1,108",230,146,377,562,"1,046","10,225",,"23,348","17,810","1,731","2,019","13,867","3,999",806,"10,403","2,080","1,472","1,270","1,592",,265,"3,593","5,511",,"3,040",,,,"13,474",,,,,,,,"25,642",,"3,185","7,280","17,381",529,"5,529","9,956",495,"35,776","62,872","1,052","27,306","3,135","25,905","3,257",532,679,"6,621","15,376","9,262",52,"18,207","7,859","17,998","433,248","98,245","38,294","2,367,729","38,446",,"14,383","2,990,345"
114,Electricity,"20,460",611,"2,372",,462,"1,472",860,"2,326",78,128,"3,916","1,655","9,160","6,018","1,628",269,"21,605","1,895","1,296","42,279","4,054","4,583",509,"1,801","1,148",123,"2,811","4,528","9,690","3,056","14,261","5,640","10,156","22,115","2,463","4,791","1,119","1,761","1,037",67,"160,313","6,079","3,305","1,982","7,481","11,070",987,"5,591","14,060","1,060","26,271","33,873","3,296","25,717","3,790","1,036","7,698","6,383",883,"8,533","15,621","4,822",500,"6,230","3,480","13,612","587,876","132,184",,,,,,"720,060"
115,Gas,,,,,,211,,,,,,,,,,,,,,,,,,,,,,,,,"1,681",,,,,,,,,,,,,,,"8,115",,48,43,,98,,21,,,,127,26,,186,25,,,,60,,"10,641","64,201",,,,,,"74,842"
116,Water Supply,"4,858",,655,81,563,29,10,212,43,282,,,,258,366,,,,,1,52,,,,,,,,,13,523,,,,,,,,,,"26,767","4,590","1,921",463,"2,083","3,142",375,"2,110","4,936",350,697,"4,101",561,"2,927",473,,"2,351",347,,"1,131","2,980","2,263",113,"3,193","1,843","6,512","84,175","21,630","20,353",,,,,"126,158"
117,Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Repair & Maintenance of Motor Vehicle,"15,509",,152,,"3,368",525,20,79,"1,271","1,020","1,030",732,"1,282","3,806",867,174,"6,020","1,086",799,"8,089","1,123","1,939",325,146,183,111,"1,345","3,398","6,082","3,776","5,711","3,206","2,350","5,125",436,"1,332",863,712,479,97,,,,,,"15,387",15,,920,,137,"17,321",228,"1,594",101,154,"3,811",519,412,32,"14,359",198,588,717,191,,"141,252","31,492",,,,,"1,221","173,965"
119,Hotels & Restaurant,,,831,,,12,,72,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,317",,596,"1,078","11,715",147,"1,442","2,665",157,"6,406","34,823",36,"34,830","1,039",,"1,429",132,"2,103","3,913","5,582","2,436",59,"5,278",220,"3,354","123,692","207,988",,,,,"131,314","462,994"
120,Railway Transport,,,,,53,88,,21,18,32,835,,"1,496","2,491",676,373,973,"1,100",509,141,541,594,328,,844,352,"2,071","2,811","4,082","4,503",903,"1,977","1,747",576,173,"1,345",521,901,509,153,,513,38,,,22,13,138,62,,37,250,,,297,,323,,102,587,"1,312",121,48,254,315,135,"38,304","34,846",,,,,,"73,150"
121,Land transport,,,"1,826",14,10,31,,56,187,325,"1,009",164,"1,326","2,797","1,007",321,"3,314","1,810",606,"3,097",619,"3,509",744,46,922,403,"2,397","5,306","7,399","17,308","6,044","2,535","1,876","6,129",938,192,"1,048","2,184",639,196,,,,448,,,,,293,,318,"5,204",11,"1,564","2,723",,"2,713",,119,282,"1,639",260,67,174,164,547,"94,860","389,372",,,,,"2,321","486,553"
122,Air transport,,,,,10,,,15,14,,133,38,158,331,112,36,367,201,67,344,69,390,83,11,103,45,574,589,822,,672,281,209,681,104,28,116,243,78,22,,71,11,"1,572",22,219,15,149,"2,300",,861,"5,512",12,"8,036","9,031",,"9,798",852,"3,863",,"8,915",373,33,"1,149",292,"14,553","74,585","12,760",,,,,"33,837","121,182"
123,Water Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,14,,11,,24,,,7,82,53,245,"1,023",,,,,"34,840","36,108"
124,Supportive and Auxiliary transport activities,,,,,"1,538",,,195,,,,,,,,,,,,"8,996",,,,,,,,,,,,"2,778",,,,,,,,,,,,,,"4,704",14,,"1,582",,395,"7,016",71,"1,758",753,,722,,392,531,"2,328",137,62,779,505,,"35,256",703,,,,,,"35,959"
125,Storage and warehousing,,,,,,,,,,,341,185,,54,,,,,,,,198,,,,,,,,515,229,185,,,,,,,,,,,,,,,,,,,,"5,963",,,,,,"2,005",82,,"1,094",166,45,260,,"1,459","12,781",,,,,,,"12,781"
126,Communication services,,,"1,291",,38,,2,35,14,36,"1,928",950,"2,252","1,796",341,181,"3,393",692,402,"3,797",847,"1,320",255,119,423,95,"1,453","1,825","3,908",,"2,817","1,005","1,425","1,568",394,573,252,526,"1,272",29,,"16,402",,"4,396","4,388","59,405",663,"3,922","26,337",499,"70,680","12,399",332,"14,619","7,851",,"7,295",550,"6,458","19,667","31,797","5,253",492,"3,375","2,517","11,031","347,582","243,559",,,,,"18,225","609,366"
127,Financial services,"62,970",360,440,30,781,"1,074",369,511,257,757,"6,264","1,979","6,832","6,991","1,469",423,"10,549","1,477",812,"13,014","1,905","3,944",929,429,"1,061",250,"3,469","5,612","15,011","10,000","9,221","4,181","4,260","6,257","1,086","1,985",884,"1,235","3,139","1,803","48,990","45,931",656,"3,878",185,"13,059",176,"2,470","5,692",88,"16,368","79,574","6,891","17,677","5,678","2,804","29,237","6,307","3,383","50,292","33,054","4,524",574,"9,139","10,170",43,"590,860","322,943",,,,,"34,193","947,996"
128,Insurance services,,,12,20,3,274,2,174,7,19,340,167,394,315,95,50,"2,518",513,298,"2,816",628,99,19,,26,,895,64,156,187,359,441,394,"1,162",292,425,187,390,944,22,,361,41,241,53,436,12,108,243,,"1,836","11,562",,"15,516",251,,789,126,109,"5,295","9,281","8,986",214,418,"2,415",,"73,000","77,690",,,,,"14,795","165,485"
129,Ownership of dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"927,302",,,,,,"927,302"
130,Real estate services,,,,,,441,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,826",,51,352,260,"52,143",42,,,44,"20,021","9,876",,"4,183",55,"1,043",,371,"1,109","2,932","7,539","3,446",179,968,310,,"111,634","134,723",,,,,,"246,357"
131,Renting of machinery & equipment,,,,,42,508,,56,,42,99,,99,181,84,13,665,124,67,807,434,409,26,138,,10,195,757,"1,488",334,"2,519",586,352,"1,169",63,86,69,107,51,116,"27,025",,,12,37,404,61,336,,,"2,551","3,734",,229,,,,432,,"2,210","1,580","10,318",62,539,184,,"61,410","2,234",,,,,"96,115","159,759"
132,Research & Development Services,,,,,,,,,,,16,39,43,175,12,11,143,113,26,31,16,922,120,,22,37,212,467,"2,039",,511,"1,779",95,135,,31,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,048",,,"62,102",,,"13,922","83,072"
133,Legal services,,,"1,200",,228,60,,24,77,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,042",,379,150,378,73,"1,511",164,,"8,180","8,563",26,"11,958","1,525",,"2,210",412,"1,594","1,881","4,940","7,139",62,471,192,453,"56,980","46,355",,,,,,"103,335"
134,Other Business services,,,"1,811",,"9,690",670,,40,383,"8,894",,,,,,,,,,,,,,,,,,,,"6,177",,,,,,,,,,,"171,643","17,387","3,125","3,512","5,983","15,022",851,"9,657","10,276",960,"27,010","18,969",,"24,710","4,325",,"22,190","1,341","2,278","135,880","29,450","5,049",510,"6,910","12,112","4,350","561,165","226,516",,,,,"169,213","956,894"
135,Computer related services,,,,,,,,,,,612,,340,"1,404",518,51,"3,369",337,162,"2,558",490,849,113,41,103,29,853,"1,225","4,388",,"2,240","1,450","1,133","1,542",108,477,217,348,165,60,,50,,,,,,26,37,,"5,273",266,,"3,603",19,,10,45,88,"11,937",380,567,,263,"1,734",34,"49,514",,,"412,643",,,"498,700","960,857"
136,Public administration and defence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,640",52,233,,,,,,699,237,,512,456,,,,,,,13,835,"4,677",,"1,095,010",,,,"3,946","1,103,633"
137,Education services,,,644,,27,,,11,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,,,176,179,250,"1,278","1,588",399,"1,471","5,313",,"2,528","4,083",,"11,670",193,696,"2,463","6,244",613,151,533,191,,"41,112","347,472","308,472",,,,"3,380","700,436"
138,Human health and social care services,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,244",,,409,,,,,,,42,,"1,706","258,996","111,768",,,,"1,934","374,404"
139,"Community, social and personal services",,,7,,737,,,,187,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,5,29,10,11,111,19,6,34,19,22,89,10,,90,3,34,20,170,556,2,"1,581",48,,"3,917","413,594",,,,,"6,527","424,039"
140,"Recreation, entertainment and radio & TV broadcasting  and other services","48,362",,41,,196,16,10,3,59,35,,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,560",93,,3,261,91,9,43,78,12,80,158,53,66,161,,"1,601",161,228,118,"2,048",57,76,"3,048","1,066",1,"64,761","139,700","12,761","2,196",,,"21,731","241,149"
,CIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Purchases of Residents abroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110,318",,,,,,
,Purchases of Non-Residents in domestic market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-159,875",,,,,"159,875",
,Total Use,"379,227","278,066","40,051","26,937","45,506","69,604","25,485","39,327","19,920","40,236","318,504","156,953","372,137","296,753","56,462","29,964","560,488","114,405","66,302","626,634","140,506","217,977","42,077","19,733","70,012","15,634","240,005","301,741","645,562","733,227","465,011","165,830","235,377","258,736","65,056","94,607","41,708","86,908","210,132","4,891","1,820,346","429,799","55,723","40,499","53,285","537,266","12,601","76,124","122,737","8,533","332,280","492,364","269,299","234,938","57,959","31,044","174,681","146,767","45,147","267,791","357,070","121,140","8,209","142,868","71,323","272,174","13,799,658","9,266,652","1,586,658","4,338,658","251,935","167,326","2,949,682","32,360,569"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Production Taxes less Subsidies,"-59,076",753,"-11,595",-70,572,604,392,397,219,479,"1,090",537,"1,274","1,016",193,103,"1,918",392,227,"2,145",481,746,144,68,240,54,821,"1,033","2,209","2,509","1,591",568,806,886,223,324,143,297,719,17,"5,854","-7,535",-977,-710,"-11,028","-1,622","-1,044",105,524,169,"-20,947","11,571","1,702",472,116,"1,326","1,788","1,502","1,928","11,436","15,249","5,173",351,"1,463",-232,0,,,,,,,,
,Consumption of Fixed Capital,"147,961","8,168","1,887","12,605","11,176","12,079","6,425","2,900","4,647","14,389","4,462","3,011","7,304","12,198","5,543","1,524","40,146","5,389","3,547","41,585","9,324","15,264","2,373",676,"1,100",754,"9,855","18,484","46,033","15,845","25,941","16,313","16,200","33,560","5,728","7,702","4,261","6,914","3,593",553,"66,455","102,047","3,501","11,329","27,525","57,874","2,822","3,473","13,395","1,199","61,501","81,282","13,105","14,326","2,168","146,725","22,453","20,241","8,644","101,448","67,384","19,577","1,412","27,762","12,413","113,842",,,,,,,,
,Compensation of Employees,"314,149","37,407","12,095","16,739","18,330","19,792","10,532","4,557","7,594","23,858","6,297","4,465","9,003","21,322","5,872","4,720","46,938","29,548","13,521","33,370","9,703","33,045","5,466","3,848","3,014","3,444","21,295","47,206","64,019","7,671","31,646","32,011","22,978","35,827","10,439","8,675","8,703","22,010","11,570","1,473","720,548","89,874","7,003","14,756","84,823","93,994","2,333","11,581","28,682","2,423","88,712","209,832","43,761","223,489","33,817","353,728","270,972","95,187","19,972","241,487","156,710","45,032","2,983","92,484","45,415","713,596",,,,,,,,
,Operating Surplus,"1,083,011","626,283","202,976","125,369","40,669","43,910","23,458","10,620","16,844","52,362","14,598","9,383","27,658","63,297","19,881","28,342","123,494","26,736","13,228","57,591","19,655","48,309","11,815","3,831","10,508","9,048","50,995","85,726","139,004","151,237","143,073","106,751","52,282","79,268","23,119","15,399","12,987","16,045","20,881","2,527","288,014","89,347","9,588","14,872","5,466","284,701","5,095","6,337","59,866","3,652","118,543","1,165,898","81,850","413,318","62,495","394,478","299,859","105,298","22,256","265,315","172,269","49,804","3,881","103,586","46,482",0,,,,,,,,
