Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products,"Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Computer related services,Other Business services,Renting of machinery and equipment,Real estate activities,Legal Services,"Community, Social & personal services",Other services,Public administration. & defence,Supply at BP,Product taxes less Subsidies,Output at Producer price,Imports,CIF Adj,Imports after cif adjustment,Import Duty,Final Import,Output at Producer Price + Import,Trade and Transport Margins,Supply at PP
21,Milk,,845368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845368,-11,845357,,,,,,845357,102539,947896
22,Wool,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,,440,1608,,1608,113,1721,2161,243,2404
23,Egg and poultry,,179645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179645,-30,179615,8,,8,1,8,179623,44641,224264
24,Other livestock products,,250719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250719,-18,250701,6001,,6001,332,6333,257034,70044,327078
25,Industry Wood,,,210856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210856,16688,227544,,,,,,227544,50445,277989
26,Firewood,,,67558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67558,,67558,4,,4,,4,67562,19504,87067
27,Other forestry products,,,43561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43561,3908,47469,203,,203,10,213,47682,9199,56881
28,Inland Fish,,,,157806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157806,-144,157662,10,,10,1,11,157673,30065,187738
29,Marine Fish,,,,117721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117721,6432,124153,47,,47,4,51,124203,48247,172450
30,Coal and Lignite,,,,,137786,,,,,,,,,,51,,,,,,,,,,,,,,,9124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146961,3256,150217,159079,,159079,4437,163516,313732,69592,383324
31,Natural Gas,,,,,,,37333,,,,,,,,,,,,,,,,,,,,,,,17375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54708,988,55696,,,,,,55696,4738,60435
32,Crude petroleum,,,,,,107491,,,,,,,,,,,,,,,,,,,,,,,,69946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177437,2515,179952,728112,,728112,10154,738266,918218,72854,991073
33,Iron ore,,,,,,,,82545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82545,7145,89690,994,,994,26,1020,90710,29507,120217
34,Manganese ore,,,,,,,,,5207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5207,764,5972,5075,,5075,84,5159,11131,1814,12945
35,Bauxite,,,,,,,,,4503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4503,433,4936,1082,,1082,15,1097,6033,2477,8510
36,Copper ore,,,,,,,,,2334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2334,207,2541,8677,,8677,121,8799,11339,2066,13405
37,Other Metallic minerals,,,,,,,,,39493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39493,3605,43098,3826,,3826,57,3883,46981,18907,65888
38,Limestone,,,,,,,,,,22966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22966,572,23538,3743,,3743,104,3847,27385,9376,36761
39,Mica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,13,456,,,,,,456,34,490
40,Other non metallic minerals,,,,,,,,,,135755,,,,2899,,,,,,,,,,,,,,,,7469,,,,44841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190965,4741,195706,11467,,11467,209,11676,207382,43583,250965
