Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products,"Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Computer and related services,Other Business services,Renting of machinery and equipment,Real estate activities,Legal Services,"Community, Social & personal services",Other services,Public administration. & defence,Intermediate Consumption,PFCE,GFCE,GFCF,CIS,Valuables,Export,Total Use at Purchaser's Prices
78,Drugs and medicine, ,15436, ,184, , , , , , ,2917,1181,2055,1087,94,846,194,622,133,6, , , , , ,31,156, , , ,9930,113898,9,482, ,1566, , ,806, , , , , , , , , , , , , , , , , , ,45560, , , , , , , ,4310,201503,310255, ,305,4348, ,144696,661107
79,"Soaps, cosmetics and glycerin", , , , , , ,0, , , ,2152,135,4221,4492,2138,1410,5253,478, ,68,479,217, , , ,1, ,20, ,1301,2036,2706,760,1980,0,2134, ,391,519,0,3767,14, ,2, , , , , , ,0,5,0, , , ,0, , , , , , , , ,12,36692,121670, ,47,2295, ,21743,182447
80,"Synthetic fibres, resin", , , , , , , , , , , , , , , , ,126724,14513,459, , , , , , , ,19,64,84, ,637,3,2395,334, ,98, ,70,436, , , , ,350, , ,1, , , ,6, , , , , ,7, , , , , , , , , ,146200, , ,123,1182, , ,147505
81,Other chemicals and chemical products, , , ,32,20,338,60,351,33, ,6115,3499,2621,7424,2783,2507,3157,1434,1439,2319,2724,5599,100, ,102,3,4183,5778,3486,2654,3238,6809,2496,2212,1328,2889,2013,2281,1334,0, , , ,6, , , , , , ,0, , , , , ,0, , , , , , , , , ,83367,5582, ,14131,15595, ,13960,132635
82,Cement, , , , , , , , , , ,3880,422,2712, ,86,269,3532, , , ,1972,14,3, ,359, ,18,484,1009, ,1766,0, ,63375,1, ,3431,317, ,410,306320,1095, , , , , , , , , , , , , , , , , , , , , , , , ,391476,16981, ,31028,-8221, ,1149,432414
83,Non metallic mineral products, , , , , , , , , , ,2336,844,423, ,3279, ,7077,496,207,549,443,1715,792, ,719,109,13579,3885,15464,3365,16077,1191,14926,35325,155, ,291,6545,10195,821,120637,532,5,0, , , , , , ,0, ,0, , , ,0, , , , , , , , , ,261982, , ,19097,156, ,41010,322244
84,Iron and steel Ferro alloys, , , , , , , , , , , , , , , , ,1, ,44,512416,340,16710,1028,0,66,93,5425,8349,25549, ,678,207,795,1670,100,124, ,218,2360, , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,576173, , ,65916,6356, ,3313,651758
85,Iron and steel casting and forging, , , , , ,46,8, , , , , , , , , ,49, , ,50027,322,71519,119, ,31,200,24165,47736,63763, ,28,12,4113,272,6,318,21,7610,228, ,401958,26001,27527,26044, , ,0, , , ,133, , , , , ,157, , , , , , , , , ,752414, , ,18754,2831, ,96878,870878
86,Iron and steel foundries, , , , , ,64,11, , , , , , , , , , , , ,5688,1602,5316,14, , ,992,5093,13453,12682, ,97,25,270,246,21,30, ,1829,493, ,518090,1893,4046,844, , ,0, , , ,169, , , , , ,200, , , , , , , , , ,573167, , ,24889,-12629, ,83320,668747
87,Non ferrous basic metals (including alloys), , ,0, , , , , , , , ,15,10,514, , , , ,89,46954,99746,51950,9019, ,521,756,124300,10986,68973,194,2924, ,4813,3643,54,1644,510,481,6390,11,25302,58, ,0, , , , , , , , , , , , , , , , , , , , , , ,459859, , ,32298,5977, ,97744,595879
88,"Hand tools, hardware", , ,46,22,7,4,1,9318,87,406,7360,844,25423, ,8297, ,7817,84,1203,30788,14744,16644,494, ,1031,305,18773,26541,37753,2298,2961,853,7999,1158,10,46,39,4921,665,892,15897,15, ,0, , , , ,1, ,10,576, , , , , ,3,5,1,0,0,30,1,0,276,246649,9803, ,27545,10613, ,15260,309870
89,Miscellaneous metal products, , ,12,119,7, ,0,9285,41,170,3880,422,12712, , ,8,3596,385,3975,41101,8282,5220,1791, ,993,272,5567,8457,20921, ,22184,1674,1395,2785,220,1645,2,2912,39256,411,28712,11,0,2, , , , ,5, ,52,38,0, , , ,0,17,27,3,1,0,162,7,0,274,229011,371, ,7022,6223, ,29435,272062
90,Tractors and other agricultural implements,3182,124, , , , , , , , ,11, , , , , , , , ,2, ,1, , , , , ,5673,191, ,610, , , , , , , , , , , , , , , , , , , ,0, , , , , , ,0,4,0,0, , ,0,0, ,9798, , ,87584,3812, ,13049,114243
91,Industrial machinery for food and textile industry, , , , , , , , , , , , , , , , ,3, , ,226,70,271, , , ,8,543,9476,13537, , , , , , , , , ,1, , ,31,265,0, , , , , ,0,4, ,0, , , ,5, ,9,1, , , , , , ,24451, , ,87887,307, ,12371,125016
92,Industrial machinery (except food and textile), ,1, , , , , ,8, , , , , , , , , , , ,310, ,326,7506,138,1691,478,2236,12981,2879, ,539, ,91,1, ,15, , ,76,2, ,0,16, , , , , , , ,0, , , , , ,0, ,0, , , , , , , ,29293, , ,171116,629, ,101486,302524
93,Machine tools,11136, , , ,2,5,1,613,37,2158, , , , , , ,40, ,2,443, ,2200,38,40,705,552,13692,85185,76235, ,350, ,675,2175, ,444,90,334,215,19, ,0, , , ,0, , , ,0,1,38,0, , , , ,0,19,2,0,2,39,1,0, ,197490,16639, ,147852,4169, ,20910,387059
94,Other non electrical machinery, , ,0, ,4,1,0,85,6,285, , , , , , , , , , ,272,2717,14, , ,402,3382,17599,16656, ,152,24,2978,1, , , , ,189, , ,1,0, ,28,4,0,3,3,0,5,22, ,483,3, ,0,2,7,1,0,3,55,2,0,98,45485,10864, ,28223,3351, ,9813,97736
95,Electrical industrial machinery, , ,0, ,3, ,0,9,2, ,3914,422,12724, , , ,4191, , ,3156,222,1211,2828,0,359,5425,14598,6838,27954, ,2117,3,161,1, ,1, ,1681,227,410, ,2,0, ,1,0, ,0,0, ,2,11, ,92, , ,0,0,3,0,0,0,13,1,0,101,88684, , ,318792,5335, ,32191,445003
96,"Electrical cables, wires", , , , ,10, , , , , , , , , , , , , , , ,74,46,12420, ,7107,7028,9369,11676,19439, , , , , , , , , , ,1, ,17708, ,5, , , , , , ,0, , , , , ,0,0,25469,31531, , , , , , ,141885, , ,66397,1344, ,17978,227605
97,Batteries, , , , ,24, ,0, , , , , , , , , , , , , ,327,17,2648, ,14939,2494,24704,2901,6037, , , , , , , , , , , , ,91,814,3, ,0, , ,0, ,13,12180,0, , , ,16,0,0, , ,7, ,8, , ,67225, , ,37863,1445, ,5117,111650
98,Electrical appliances, , ,1, ,11, ,0,4,3,35, , , , , , , , ,2, ,13,556,8241,580,1753,1697,5476,15237,22663, ,76, ,123,82, ,26,231,11,988,5,79010,36,107,1,94,13,2,10,5011,1,15,47,0,6538,9, ,2,5,5784,1,0,9,155,7,1,224,154898,14170, ,165839,9300, ,34211,378418
99,Communication equipment, , , , ,25, , , , , , , , , , , , , , , , , ,484,4,29223,118,1192,177,8116, , , , , , , , , ,4, , , , ,0, , , , ,12459, ,0, , , , , , ,0,5004,0,0, ,2039,3002,0,748,62595,6305, ,41495,257, ,2575,113226
100,Other electrical machinery, , ,11, ,58, ,0, , , , , , , , , , , , ,313, ,6828,16686,7814,49131,2685,5295,15455,18259, ,331,1,1089,374, , , ,48,847,7, ,23,109,3, , , , ,7618, ,3,33,0, , , ,3,0,20014,30002,0,0,71,4,0,1381,184495,10605, ,109949,7922, ,38705,351676
101,Electronic equipment including T.V, , ,1, ,4, ,0, ,1,16, , , , , , , , , , , ,563,7456,6318,49031,3645,9024,7860,9104, , , , ,1, , ,296, ,28, , , , ,1,19,2,1,8,10,1,12,2, ,10082,11, , ,4,20009,25001,0,1,5009,3,1,129,153654,20020, ,96719,494, ,53838,324724
102,"Medical precision, optical instrument", , , , , , , , , , , , ,32, , , , ,62, , , ,352,5740,112,6768,1073,2722,16594,7637, , ,6188,15,124, ,19,5, ,8235,24, , , , , , , ,26, , , , , , , , , ,62052, , , , , , , , ,117782,6052, ,73761,820, ,26912,225328
103,Watches and clocks, , , , , , ,0, ,1, , , , , , , , , , , , , , , , ,2160, , , , ,3, , , , , , , ,8, , ,0,3,0,59,1, ,1120, ,0,0,8, , , , ,0,0, , , , , , , , ,3364,5022, ,3930,-159, ,651,12808
104,Ships and boats, , , ,66, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2625, ,2, , ,1130, , , , , , , , , , , , , , ,3822, , ,15073,82, ,26976,45953
105,Rail equipment, , , , , , , , , , , , , , , , , , , , , ,328, , ,4, ,2086,3128,9633, , , , ,195, , , , , , , , , , ,3279, , , , , , , , , , , , , , , , , , , , , ,18653, , ,34012,246, ,3103,56014
106,Motor vehicles, , ,0, , , ,0,4, , , , , ,36, , , , ,30,1, ,1988,0, , ,25,7675,43219,302515, ,6, ,186,16,1, , ,333,257, ,178502,8314,0, ,1,0, ,0,0,0,3661,4, ,5,1, , ,0,1,8294,0,0,7,3003,0,4,558088,190051, ,330649,5440, ,115871,1200099
107,Motor cycles and scooters, , ,6, ,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3029, , ,1, ,5,29473,1, , , , ,2,135,16,0,5012, ,17,0,8872,46570,64715, ,44135,132, ,22249,177800
108,"Bicycles, cycle-rickshaw", , ,0, , , ,0, , , , , , , , , , , , , , , , , , , , , ,23177, , , , , , , , , , , , , , , , ,1, , ,0, ,0,5021,0, , , , ,0,7,1,0,0, ,1,0,3888,32096,4399, ,20274,386, ,745,57899
109,Aircrafts & Spacecrafts, , , , , , ,0, , , , , , , , , , , , , , , , , , , , , ,905, , , , , , , , , , , , , , , , , , ,1, , , ,231, , , , , , , , , , , , , ,425,1562, , ,64192,-40, ,7376,73088
110,Other transport equipment, , ,16, ,2, ,0,2,4,22, , , , , , , , , , , ,3, , , , ,14,3,22425, , , ,107, , , , , , , , ,100,189,3,2034,3002,1001,4,4,0,14,3091,1,232,72, ,12,1,8,1,0,1005,27,68,2407,9,35884, , ,9045,268, ,7324,52520
111,Gems & jewellery, , , , , , , , , , , , , , , , , ,54,2, , ,334, , , , , ,92, , ,6, , ,617, , , , ,73137, , , , , , , , , , , , , , , , , , , , , , , , , , , ,74242,242187, , ,465,385015,291407,993315
112,Miscellaneous manufacturing, , ,9949,4,2625,7259,2420,14503,2641,900,2125,296,573,291,4877,1560,77125,5473,13392,107020,53198,26927,3603,636,2197,1964,20431,45455,54270,2727,75571,37512,74315,50547,2587,30351,4468,28964,90501,20134,121335,32667,1541,288,9761,40417,29,560,22847,380,847,4273,373,5747,1110, ,21,6,3439,8,0,43,1155,38,1756,5819,1133853,33592, ,75504,9686, ,97934,1350569
113,Construction and construction services, ,169,2882,147,597,99,24,695,839,20045,5475,1246,4515,8338,5287,3059,51811,13688,5277,40406,12726,5026,5241,5052,2149,2248,8955,23866,24106,6432,42215,18556,30973,26538,4165,11423,2230,4604,15397,3328, ,40893,10984,38661,15213,226870,10012,9381,30356,10167,65450,43636,30861,18889,9600,49051,54039,41184,97430,20666,27,8645,5219,14538,45322,16026,1332947,302640,51601,3804263,-8120, ,34616,5517947
114,Electricity,20478, ,1335,55,2667,18,6,2719,5083,352,4956,2297,2081,5388,5119,2291,34259,15747,3213,76598,13200,55821,1348,133,5210,431,7709,6915,10462,9142,12364,7731,29916,34422,5977,22334,4416,4503,6206,1272,203277,519,54,92,154,9124,703,775,10,330,2256,355,619,30771,7551, ,7,14,234,5,24,9,788,109,17,12553,694520,155082, , , , , ,849602
115,Gas, , ,1334,12,2664,17,6,2719,5083,347,866,1274,521,1632,1119, ,6387,1579,1022,1097,2436,2646, , , , ,626,669,2867,2169,3181,5702,6282,1083, ,152,43,203,1296,9, ,496,52,15,153,9094,703,774,4,327,2251,202,551, , , , , ,213, ,23, , ,84,14, ,72000,137871, , , , , ,209871
116,Water Supply,8188, ,8061,35,17850,1302,434,5750,1619,852,342,708,5,191,2203, ,171,71, , , , , , , , ,344, , ,86,1229, , ,948,13, , , ,154, ,36190,3309,4775,3946,5220,12642,1056,2464,213,1321,980,2508,640,1852,944, , , ,538, ,20, , ,2129,52,1830,133181,27848,52411, , , , ,213440
117,Trade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
118,Repair & Maintenance of Motor Vehicle,25828,9957,4,118,22,129,39,0, ,534,1583,552,759,1311,2167,351,6546,646,755,729,2683,616,848,146,695,301,844,2372,4867,2056,1662,983,594,620,915,871,666,515,546,241, ,700,63,99,5,307,252,471,60,142,127,431,284,54,293,240,131,168,115,491,4,36,314,19,21, ,79898,33040, , , , ,1806,114743
119,Hotels & Restaurant, , ,95,32931,8140,2354,476,0, ,24427, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1088, , ,4706,8623, , , , ,15784,744, ,23231,2072, ,4900,3067, ,738,1368,1865,1042,6268,3103,8901,155926,294359, , , , , ,450285
120,Railway Transport, , ,211,94,861,42,10,1190,73,300, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,510,1037,384,426,10616,20,94,61,30,9712,3258,2225, ,1340, ,52,97,312,136,8,23,177,100,76,446,33921,32430, , , , , ,66351
121,Land transport, , ,198,1657,1139,50,14,1190,73,1351, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,467,1029,341,425,58683,314,51,11287,124,20057,15666,206,30514,478, ,158,926,269,20091,46,3,336,87,10519,2940,180693,541944, , , , , ,722637
122,Air transport, , ,14,93,7,13,1, , ,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,185,16,118,1,259,6,39,45,7,5133,576,4186,18723,10299, ,50,92,209,119,7,21,1200,22,1830,6261,49574,8853, , , , ,57996,116422
123,Water Transport, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,945,192, , , , , , , ,158, , , , ,9, , ,77,1380,2034, , , , ,96412,99826
124,Supportive and Auxiliary transport activities, , ,1370,13,2664,30,10,4429,5083,375, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,511,56,2372,252,7094,703,852,4,490,1562,3899,563,1244,870, , , ,213, ,34, ,710,148,14, ,35566,74, , , , ,12547,48187
125,Storage and warehousing, , , ,0, ,2,1,207,4,65, , ,4304, , , ,1702, , , , , , , , , , , , , , , , , , , , , , , , ,152,10,150,0,3975, ,1, ,151,401,19748,24, , , , ,5888, , ,0, ,2873,9876,0,2125,51660, , , , , , ,51660
126,Communication services, , ,122,5,344,56,18,163, ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,226,5151,72,9728,150337,16,50,10012,10,56875,50182,15047,66250,13669, ,29552,32726,50048,40006,1,2,2228,34,21,7469,540439,338330, , , , ,41514,920282
127,Financial services,123812,1060,241,61,770,790,263,764,347,1495,1977,822,2479,4191,6227,1142,11674,3126,1449,25594,8756,4612,3412,340,753,643,3733,7740,15353,7870,16486,9516,5110,17154,1850,17543,889,4112,2195,223,122530,65749,11292,393,123,70701,269,438,11839,3840,42600,91401,18591, ,889,3206,90583,28340,64254,42341,64,40493,2460,8345,299, ,1037612,485318, , , , ,70805,1593734
128,Insurance services, , ,12,27,17,29,9,1199,5,63, , , , , , , , , ,5163,1470, , , , , , , , , ,7835, ,4224, , , , , , , ,8012,10605,997,457,134,431,2,300,5,28,714,4348,85,46403,501, ,7,5,133,10024,1,3,84,81,5166, ,108578,103967, , , , ,24719,237264
129,Ownership of dwellings, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1364035, , , , , ,1364035
130,Real estate services, , , ,0, ,8,3,8, ,192,460,390,608,1887,2367,183,1787,2333,784,2731,2277,1472,586,38,343,201,2067,2194,2964,185,1562,829,1877,6035,421,604,648,2646,639,172, ,726, ,0, , , , , , , ,5, , , , , , ,22211,26489,0, ,95,395,0, ,91424,186617, , , , , ,278041
131,Renting of machinery & equipment, , ,2517,14,5698,2889,963,376,181,275,354,142,255,439,264,26,423,194,203,1719,159,762,52,2,74,17,274,961,773,999,1006,488,915,1320,83,164,125,396,173,201,21219,3860,273,631,617,3392,10,109,99,220,1755,4490,155, , , ,2,80,1635,0,4,1, ,274,8, ,64707, , , , , ,192586,257293
132,Research & Development Services, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,156468, , ,45326,201794
133,Legal services, , ,183,36,814,39,12,28,61,37, , , , , , , , , , , , , , , , , , , , , , ,6000,8261, , , , , , , ,494,64,98,237,294,6,50,50,25,10174,556,217,55747,3040, ,71,67,361,5124,11,47,1219,72,128,662,94285,55522, , , , ,15836,165643
134,Other Business services, , ,3422,22,12733,3591,1197,1137,608,495, , , , ,3671, , , ,4764,15890, , , , ,4004, , , ,7000, ,5025, , , , ,11029, , , , ,382365,21838,3311,644,3528,29444,9882,8904,5068,620,90614,5389,291,40761,8447, ,20607, ,63171,44686,3,21364,1708,10241,10022,6302,863797,288718, , , , ,198808,1351324
135,Computer related services, , ,20,1,0,7,1,49, ,26, , , , , , , , , , , , , , , , , , , ,3566,3560,8363,10217, , ,1000,500,500,15000, ,5000,20019, ,2,89,20004,0,507,16,3,41141,20109,5057,14480,10086, ,26000,13026,40098,55067,7933,30001,153,13704,20022,113,385437, , ,553307, , ,927181,1865925
136,Public administration and defence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1714724, , , ,5976,1720700
137,Education services, , ,5,0, ,1,0,0, ,1, , , , , , ,1578, , , , , , , , , , , , ,613,483,580,783, , , , , , , , ,7955,0,0,2,5002, ,1,5515,0,6547,5014,0,18382,21135, ,5468,6013,10010,17041,0, ,876,9301,10947, ,133256,648860,481492, , , ,810,1264418
138,Human health and social care services, , , , , , , , , , , , , , , , ,962, , ,2081, , , , , , , , , ,821,957,1057,815, , , , , , , , , ,5449, , ,5052, , ,6048, ,8095,6159, , ,2481, ,4876, ,8760,15900, , , ,10514,19363, ,99390,419439,144998, , , ,821,664648
139,"Community, social and personal services", , ,5,3,1814,5,240,227, ,126, , , , , , ,834, , , , , , , , , , , , , , , , , , , , , , , , ,1263,2071,2709,1554,2425,2049,2570,2185,5827,6570,2847,1300,2583,24, ,1452,1888,1857,1441,1931,1899,31,1662,2636, ,54027,297593, , , , ,76972,428593
140,"Recreation, entertainment and radio & TV broadcasting and other services",29101,138,25560,3042,5249,8284,2933,2321,43,8211,822,600,554,1361,724,850,663,1260,1382,1384,590,906,812,245,513,637,897,2206,143,629,1155,2939,1057,941,785,531,906,904,305,996,1427,1425,763,837,1484,2132,316,3822,891,1234,800,1115,649,135,301, ,1618,1342,1042,826,83,893,156,957,1204,2,138037,32176,26927,5076, , ,92828,295043
,CIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Purchases of Residents abroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121416,,,,,,
,Purchases of Non-Residents in domestic market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73875,,,,,73875,
,Total Use,547432,335746,57737,50710,67239,27580,9194,81235,30442,67833,576191,214375,517063,465208,91257,40764,864701,186731,85954,1524635,396487,328275,108228,23790,190644,39876,413157,517544,1136297,1457928,996705,364430,480378,447286,89516,186805,46086,206783,350840,31714,3251212,521112,94925,81555,65897,867586,31055,78960,183546,25557,467944,799346,294152,400096,95406,52497,274754,243287,484843,422268,11617,112076,34474,95496,136872,397632,23178963,14027164,2472153,6979647,215721,385015,5049645,52308308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GVA (by Production Approach),2280311,1238403,297337,283423,85740,105730,12508,61075,38013,136272,51293,22299,64309,108729,31989,29643,302897,81100,37588,406220,93221,120707,29800,8828,19557,16769,97604,201675,304530,204184,299717,247715,133215,186563,47991,51333,23670,106701,56953,5799,1835675,422023,41411,70729,145501,667974,19210,11114,125990,21584,374444,2170392,138704,1058796,114443,1311538,1050600,384146,1170995,605551,16180,142502,117001,230282,141535,1315852,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Production Taxes less Subsidies,-118106,2464,-17617,-332,630,777,92,449,279,1001,143,62,180,304,89,83,847,227,105,1136,261,338,83,25,55,47,273,564,852,571,838,693,373,522,134,144,66,298,159,16,10411,-3634,-357,-609,-42757,-5929,-1273,184,1991,625,-25474,18087,5567,359,39,46206,10895,3984,26172,13534,362,3185,2615,2388,1468, ,,,,,,,,
,Consumption of Fixed Capital,233934,14286,3195,20970,14123,17415,2060,10060,6261,22446,8102,3522,10158,17175,5053,4682,47847,12811,5937,64168,14725,19067,4707,1394,3089,2649,15418,31857,48104,32254,47344,39130,21043,29470,7581,8109,3739,16855,8997,916,137647,136271,13372,22838,48896,109071,3525,10323,21578,2486,124776,167389,26995,27660,2990,349060,101326,37049,197715,102243,2732,24061,19755,22210,13651,170380,,,,,,,,
,Compensation of Employees,492833,68226,17743,30574,20763,25603,3029,14790,9205,32999,12985,5645,16280,27525,8098,7504,76678,20530,9515,102834,23599,30557,7544,2235,4951,4245,24708,51054,77092,51689,75873,62709,33723,47228,12149,12995,5992,27011,14418,1468,1259192,136377,13382,22856,113722,133761,3861,11320,37242,6329,131678,324623,48031,364045,39349, ,662843,242365,428111,221387,5915,52098,42775,145290,89298,1145472,,,,,,,,
,Operating Surplus,1671652,1153426,294016,232211,50225,61935,7327,35776,22267,79826,30062,13070,37691,63725,18749,17373,177525,47532,22029,238082,54636,70746,17466,5174,11463,9829,57205,118200,178482,119671,175662,145183,78076,109343,28127,30086,13873,62536,33380,3399,428424,153009,15014,25643,25639,431071,13098,-10713,65179,12143,143465,1660292,58112,666732,72066,916273,275535,100748,518997,268387,7171,63158,51856,60395,37119, ,,,,,,,,
,GVA (by Income Approach),2280312,1238401,297337,283422,85740,105730,12508,61075,38013,136272,51293,22299,64309,108729,31990,29643,302897,81100,37587,406220,93221,120708,29801,8828,19558,16770,97604,201676,304530,204184,299717,247715,133215,186563,47991,51334,23671,106701,56954,5799,1835674,422023,41411,70728,145500,667974,19210,11114,125990,21586,374447,2170391,138705,1058796,114443,1311538,1050600,384146,1170995,605551,16180,142502,117001,230283,141536,1315856,,,,,,,,
