Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products," Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Legal Services,Computer related services,Other Business services,Real estate activities,Renting of machinery and equipment,"Community, Social & personal services",Other services,Public administration. & defence,Supply at BP,Product taxes less Subsidies,OUTPUT at Producer price,Imports,CIF Adj,Imports after cif adjustment,Import Duty,Final Import,OP at Producer Price + Import,Trade and Transport Margins,OP at PP
84,Iron and steel Ferro alloys,,,,,,,,,,,,,,,,,,,,"147,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"147,064","-2,017","145,047",26,,26,3,29,"145,076","31,728","176,804"
85,Iron and steel casting and forging,,,,,,,,,,,,,,,,,,,,"255,792",,"11,775","1,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"268,611","35,708","304,319","33,409",,"33,409","3,610","37,019","341,338","158,058","499,395"
86,Iron and steel foundries,,,,,,,,,,,,,,,,,,,,"222,578",,"14,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"236,626","41,534","278,160","15,191",,"15,191","1,642","16,833","294,994","69,579","364,573"
87,Non ferrous basic metals (including alloys),,,,,,,,,,,,,,,,,,,,,"138,079","9,333",,,,,"16,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"163,650","16,051","179,701","49,708",,"49,708","2,189","51,897","231,598","42,198","273,796"
88,"Hand tools, hardware",,,,,,,,,,,,,,,,,,,,"14,088","1,471","50,677",,,,,"14,655","4,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,010","8,806","93,816","13,464",,"13,464",727,"14,192","108,007","15,703","123,710"
89,Miscellaneous metal products,,,,,,,,,,,,,,,,,,,,"16,252","6,131","128,123",,,,,355,"13,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"164,801","28,885","193,686","22,054",,"22,054","1,589","23,642","217,329","21,871","239,200"
90,Tractors and  other agricultural implements,,,,,,,,,,,,,,,,,,,,587,,"1,192",,,,,,"50,751",427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,957","2,228","55,185","1,106",,"1,106",60,"1,166","56,351","14,961","71,312"
91,Industrial machinery for food and textile industry,,,,,,,,,,,,,,,,,,,,"4,206","1,092","3,281",124,,,,593,"37,700",962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,959",900,"48,859","46,533",,"46,533","2,514","49,047","97,906","3,371","101,277"
92,Industrial machinery (except food and textile),,,,,,,,,,,,,,,,,,,,805,243,"2,398",433,183,,,174,"48,964","1,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54,809",922,"55,731","78,531",,"78,531","4,243","82,774","138,505","7,564","146,068"
93,Machine tools,,,,,,,,,,,,,,,,,,,,"2,022",218,"11,213",,,,,"1,918","51,922","10,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,049","6,557","84,606","64,069",,"64,069","5,568","69,637","154,243","9,186","163,429"
94,Other non electrical machinery,,,,,,,,,,,,,,,,,,,,"4,125",197,"5,523","3,772",,,,"45,672","24,942","8,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,330","8,389","100,719","9,958",,"9,958",538,"10,496","111,215","12,229","123,444"
95,Electrical industrial machinery,,,,,,,,,,,,,,,,,,,,"4,361",241,"4,752","2,203",,,,"6,874","156,469","54,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229,276","18,839","248,115","28,355",,"28,355","1,532","29,887","278,002","44,551","322,553"
96,"Electrical cables, wires",,,,,,,,,,,,,,,,,,,,,,,,,,,"31,787",,"5,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,847","2,112","38,959","14,230",,"14,230","1,025","15,255","54,215","7,049","61,263"
97,Batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,342",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,342","2,912","26,254","4,667",,"4,667",336,"5,003","31,257","4,578","35,836"
98,Electrical appliances,,,,,,,,,,,,,,,,,,,,,,"7,150",122,,98,181,"22,152","2,229","5,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,754","9,712","47,466","89,832",,"89,832","6,471","96,303","143,769","9,613","153,382"
99,Communication equipment,,,,,,,,,,,,,,,,,,,,,,,"9,353",188,"8,760",128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,429",-6,"18,424","12,508",,"12,508",901,"13,409","31,833","1,562","33,394"
100,Other electrical machinery,,,,,,,,,,,,,,,,,,,,150,10,"3,326","29,033","7,716","7,599","7,993","123,268","1,646","3,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"183,745","7,211","190,956","75,477",,"75,477","5,348","80,825","271,781","4,394","276,175"
101,Electronic equipment including T.V,,,,,,,,,,,,,,,,,,,,,,,"3,303","12,479","49,035",20,"1,209",536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,582","11,714","78,297","35,299",,"35,299","2,438","37,737","116,034","6,187","122,220"
102,"Medical precision, optical instrument",,,,,,,,,,,,,,,,,,,,,,"1,209","1,384",,483,"10,422","9,506","11,318",,,,,,187,,,,,"17,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,890","2,029","53,919","49,915",,"49,915","2,746","52,661","106,580","12,022","118,602"
103,Watches and clocks,,,,,,,,,,,,,,,,,,,,,,,45,,,"5,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,950","1,182","7,132","1,816",,"1,816",131,"1,947","9,079","1,247","10,326"
104,Ships and boats,,,,,,,,,,,,,,,,,,,,140,,614,,,,,,,"1,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,045",126,"2,172","38,024",,"38,024","2,739","40,763","42,934",,"42,934"
105,Rail equipment,,,,,,,,,,,,,,,,,,,,764,,"1,196",,,,,,,"34,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,853","7,378","44,231","2,458",,"2,458",177,"2,635","46,866","1,436","48,302"
106,Motor vehicles,,,,,,,,,,,,,,,,,,,,527,"5,628","2,725",,,,11,"2,322","16,735","515,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"543,450","53,103","596,553","27,798",,"27,798","2,002","29,800","626,353","90,232","716,585"
107,Motor cycles and scooters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,485","9,390","107,875",271,,271,195,466,"108,341","16,729","125,070"
108,"Bicycles, cycle-rickshaw",,,,,,,,,,,,,,,,,,,,,32,113,,,,,,,"25,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,477",338,"25,815",377,,377,81,458,"26,273","12,020","38,292"
109,Aircrafts & Spacecrafts,,,,,,,,,,,,,,,,,,,,,,53,,,,,,11,"14,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,452",-32,"14,420","56,225",,"56,225","4,050","60,275","74,696",277,"74,972"
110,Other transport equipment,,,,,,,,,,,,,,,,,,,,639,,441,,,,2,,123,"26,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,584","1,276","28,860","3,285",,"3,285",473,"3,758","32,618","4,405","37,023"
111,Gems & jewellery,,,,,,,,,,,,,,,,,,,,,"4,405",533,,,,,,,,,,,,,,,,,"190,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,"195,258","5,961","201,219","359,602",,"359,602","32,636","392,238","593,457","19,238","612,695"
112,Miscellaneous manufacturing,,,,,,,,,,,"2,817","1,891","2,174","2,601",531,6,"11,387",424,136,"23,373","1,607","40,279","5,995",148,128,75,"2,880","4,391","30,235","22,843","23,732","17,641","2,393",955,"8,441",489,369,"15,485","13,647",,,,,,,,,,,,,,,,,,,,,,,,,,,,"237,073","13,872","250,945","106,246",,"106,246","7,636","113,882","364,827","31,523","396,350"
113,Construction and construction services,,,,,,,,,,,"1,180",794,558,"2,338","1,261",65,"5,567",574,218,"5,623","1,411","1,915",224,66,209,27,"1,762","2,043","11,674","41,562","5,486","4,408","2,282","3,226",154,916,242,115,281,,"2,901,217",,,,,,,,,,,,,,,,,,,,,,,,,,"2,997,398","-12,964","2,984,434","5,911",,"5,911",,"5,911","2,990,345",,"2,990,345"
114,Electricity,,,,,,,,,,,113,27,38,"3,639",63,15,"2,222",98,8,"4,743","1,032",227,36,,2,18,113,166,156,"6,887",817,79,227,"1,476",23,187,8,21,26,,,"703,533",,,,,,,,,,,,,,,,,,,,,,,,,"726,000","-5,940","720,060",,,,,,"720,060",,"720,060"
115,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,,,,,,,,,,,,"74,838",,,,,,,,,,,,,,,,,,,,,,,,"75,132",-290,"74,842",,,,,,"74,842",,"74,842"
116,Water Supply,"46,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,747",,,,,,,,,,,,,,,,,,,,,,,"127,187","-1,029","126,158",,,,,,"126,158",,"126,158"
117,Trade,,,,,,,,,,,"46,034","15,697","70,326","33,116","4,184","1,916","80,453","12,338","3,943","53,433","12,871","13,184","4,782","7,371","18,555","4,150","18,136","25,549","40,343","5,356","33,424","18,533","14,403","20,511","8,058","5,589","1,887","26,818","21,872","3,066",,,,,,,,,,,,"1,791,997",,,,,,,,,,,,,,,"2,417,895","-13,958","2,403,937",,,,,,"2,403,937","-2,403,937",0
118,Repair & Maintenance of Motor Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"168,950",,,,,,,,,,,,,,,"168,950","2,643","171,593","2,372",,"2,372",,"2,372","173,965",,"173,965"
119,Hotels & Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"397,425",,,,,,,,,,,,,,"397,425","16,750","414,175","48,819",,"48,819",,"48,819","462,994",,"462,994"
120,Railway Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160,070",,,,,,,,,,,,,,,,,,,,,,"160,070","9,814","169,884",,,,,,"169,884","-96,734","73,150"
121,Land transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"972,213",,,,,,,,,,,,,,,,,,,,,"972,213","23,750","995,963","1,713",,"1,713",,"1,713","997,676","-511,123","486,553"
122,Air transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97,621",,,,,,,,,,,,,,,,,,,"97,621","12,838","110,459","42,575","-21,288","21,287",,"21,287","131,746","-10,564","121,182"
123,Water Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,807",,,,,,,,,,,,,,,,,,,,"21,807","3,555","25,362","50,113","-25,057","25,056",,"25,056","50,418","-14,310","36,108"
124,Supportive and Auxiliary transport activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225,205",,,,,,,,,,,,,,,,,,"225,205","18,647","243,852",,,,,,"243,852","-207,893","35,959"
125,Storage and warehousing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,976",,,,,,,,,,,,,,,,,"15,976","-3,195","12,781",,,,,,"12,781",,"12,781"
126,Communication services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"580,089",,,,,,,,,,,,,,,,"580,089","20,511","600,600","8,766",,"8,766",,"8,766","609,366",,"609,366"
127,Financial services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"886,543",,,,,,,,,,,,,"886,543","22,191","908,734","39,262",,"39,262",,"39,262","947,996",,"947,996"
128,Insurance services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"156,555",,,,,,,,,,,,"156,555","3,914","160,469","10,033","-5,017","5,016",,"5,016","165,485",,"165,485"
129,Ownership of dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"927,302",,,,,,,,,,,"927,302",,"927,302",,,,,,"927,302",,"927,302"
130,Real estate services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240,728",,,,,"240,728","5,629","246,357",,,,,,"246,357",,"246,357"
131,Renting of machinery & equipment,,,,,,,,,,,30,12,50,25,19,3,72,35,20,55,9,61,21,4,4,2,16,638,485,48,326,26,37,181,24,38,8,27,8,"6,395",,,,,,,,,,,,,,,,,,,,,"73,210",,"16,835",,,,"98,724","4,937","103,661","56,098",,"56,098",,"56,098","159,759",,"159,759"
132,Research & Development Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,787",,,,,,,,,,"83,787","-3,377","80,410","2,662",,"2,662",,"2,662","83,072",,"83,072"
133,Legal services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97,948",,,,,,,,"97,948","5,387","103,335",,,,,,"103,335",,"103,335"
134,Other Business services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"695,473",,,,,,"695,473","21,468","716,941","239,953",,"239,953",,"239,953","956,894",,"956,894"
135,Computer related services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"887,477",,,,,,,"887,477","49,318","936,795","24,062",,"24,062",,"24,062","960,857",,"960,857"
136,Public administration and defence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,099,612","1,099,612",,"1,099,612","4,021",,"4,021",,"4,021","1,103,633",,"1,103,633"
137,Education services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"685,966",,,,,,,,,,"685,966","-3,255","682,711","17,725",,"17,725",,"17,725","700,436",,"700,436"
138,Human health and social care services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"368,995",,,,,,,,,"368,995","5,225","374,220",184,,184,,184,"374,404",,"374,404"
139,"Community, social and personal services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,097",,,,,,,,,,,"368,164","22,438",,"394,699","16,056","410,755","13,284",,"13,284",,"13,284","424,039",,"424,039"
140,"Recreation, entertainment and radio & TV broadcasting  and other services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,194",,,,,,,,,,,,"152,964",,"161,158","4,883","166,041","75,108",,"75,108",,"75,108","241,149",,"241,149"
,CIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-51,362","51,362",,,,,,
,Purchases of Residents abroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110,318",,,,,,,
,Total Output,"1,865,272","950,677","245,415","181,580","116,254","145,989","66,292","57,802","49,224","131,325","344,952","174,350","417,376","394,586","87,952","64,653","772,984","176,471","96,826","761,325","179,670","315,341","61,874","28,155","84,874","28,934","322,972","454,191","896,828","910,489","667,262","321,472","327,642","408,276","104,565","126,707","67,802","132,174","246,895","9,461","2,901,217","703,533","74,838","80,747","160,070","972,213","21,807","97,621","225,205","15,976","580,089","1,960,947","409,716","886,543","156,555","927,302","769,753","368,995","97,948","887,477","768,683","240,728","16,835","368,164","175,402","1,099,612","27,764,864","1,202,095","28,966,960","3,169,236",0,"3,169,236","224,373","3,393,610","32,360,569",0,"32,360,569"
