Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products,"Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Computer and related services,Other Business services,Renting of machinery and equipment,Real estate activities,Legal Services,"Community, Social & personal services",Other services,Public administration. & defence,Total Output at Basic Prices,Product taxes less Subsidies,Total Output at Producer price,Imports,CIF Adj,Imports after CIF adjustment,Import Duty,Final Import,Total Output at Producer Price + Import,Trade and Transport Margins,Total Supply at Purchaser's Prices
82,Cement, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,328976, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,328976,33035,362010,4501, ,4501,158,4659,366669,65745,432414
83,Non metallic mineral products, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,235051, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,235051,10281,245332,22069, ,22069,833,22902,268234,54010,322244
84,Iron and steel Ferro alloys, , , , , , , , , , , , , , , , , , , ,534185, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,534185,19220,553405,12507, ,12507,659,13166,566571,85187,651758
85,Iron and steel casting and forging, , , , , , , , , , , , , , , , , , , ,672269, , , , , , , ,118, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,672386,30971,703357,47012, ,47012,2820,49832,753189,117689,870878
86,Iron and steel foundries, , , , , , , , , , , , , , , , , , , ,528238, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,528238,25312,553549,19964, ,19964,1107,21071,574621,94127,668747
87,Non ferrous basic metals (including alloys), , , , , , , , , , , , , , , , , , , , ,404288, , , , , , , , , , , , , , , , , ,499, , , , , , , , , , , , , , , , , , , , , , , , , , , ,404786,20642,425429,106686, ,106686,2148,108833,534262,61616,595878
88,"Hand tools, hardware", , , , , , , , , , , , , ,31, , , , , , , ,197789, , , , ,17931,6026,6037, , , , , , , , , ,121, , , , , , , , , , , , , , , , , , , , , , , , , , , ,227934,9060,236994,21684, ,21684,1151,22835,259829,50042,309870
89,Miscellaneous metal products, , , , , , , , , , , , , , , , , , , , ,11343,146074, , , , , ,2109,3539, , , , , , , , , ,2660, , , , , , , , , , , , , , , , , , , , , , , , , , , ,165724,11826,177551,44738, ,44738,2095,46834,224384,47678,272062
90,Tractors and other agricultural implements, , , , , , , , , , , , , , , , , , , , , , , , , , , ,94032,225, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,94257,6242,100499,2707, ,2707,75,2783,103281,10963,114244
91,Industrial machinery for food and textile industry, , , , , , , , , , , , , , , , , , , , , , , , , , , ,34934,934, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35868,3838,39706,54992, ,54992,1502,56494,96200,28816,125016
92,Industrial machinery (except food and textile), , , , , , , , , , , , , , , , , , , , , , , , , , , ,123116,1566, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,124682,7764,132446,131181, ,131181,3612,134793,267239,35284,302524
93,Machine tools, , , , , , , , , , , , , , , , , , , , , , , , , , , ,148688,16622, , , , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,165348,9716,175063,140925, ,140925,1033,141958,317021,70038,387059
94,Other non electrical machinery, , , , , , , , , , , , , , , , , , , , , , , , ,6503, , ,40442,8191, , , , , , , , ,44,228, , , , , , , , , , , , , , , , , , , , , , , , , , , ,55407,6888,62295,16946, ,16946,731,17677,79972,17764,97737
95,Electrical industrial machinery, , , , , , , , , , , , , , , , , , , , , , , , , , , ,158811,87569, , , , , , , , , ,139, , , , , , , , , , , , , , , , , , , , , , , , , , , ,246519,25828,272346,40261, ,40261,1756,42018,314364,130639,445003
96,"Electrical cables, wires", , , , , , , , , , , , , , , , , , , , , , ,1121, , , ,96473, ,7995, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,105589,8277,113865,75136, ,75136,642,75778,189644,37962,227605
97,Batteries, , , , , , , , , , , , , , , , , , , , , , ,138, , , ,55278, ,122, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,55538,5090,60628,26746, ,26746,241,26987,87615,24034,111650
98,Electrical appliances, , , , , , , , , , , , , , , , , , , , , , ,2537, , , ,146467, ,5746, ,, , , , , , , ,314, , , , , , , , , , , , , , , , , , , , , , , , , , , ,155064,6171,161235,150762, ,150762,5139,155901,317136,61281,378417
99,Communication equipment, , , , , , , , , , , , , , , , , , , , , , ,56571, ,8234, , , , , , , , , , , , , ,28, , , , , , , , , , , , , , , , , , , , , , , , , , , ,64834,3518,68352,22596, ,22596,1150,23746,92098,21128,113226
100,Other electrical machinery, , , , , , , , , , , , , , , , , , , , , , ,34483, ,3841, ,140485, ,3257, , , , , , , , , ,31, , , , , , , , , , , , , , , , , , , , , , , , , , , ,182096,12190,194286,94532, ,94532,4852,99383,293669,58007,351676
101,Electronic equipment including T.V, , , , , , , , , , , , , , , , , , , , , , ,5865,21532,167613, , , ,546, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,195555,11231,206786,41993, ,41993,2498,44491,251277,73447,324724
102,"Medical precision, optical instrument", , , , , , , , , , , , , , , , , , , , , , ,7817, , ,30687, , ,6585, , , , ,1183, , , , ,39479,136, , , , , , , , , , , , , , , , , , , , , , , , , , ,85887,6442,92328,87885, ,87885,2392,90277,182606,42722,225327
103,Watches and clocks, , , , , , , , , , , , , , , , , , , , , , ,58, , ,5642, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5700,380,6080,2910, ,2910,179,3090,9170,3639,12808
104,Ships and boats, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4579, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4579,743,5322,31571, ,31571,1110,32682,38003,7950,45954
105,Rail equipment, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38257, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38257,3306,41563,4706, ,4706,161,4867,46431,9583,56013
106,Motor vehicles, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,855429, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,855429,79409,934838,41434, ,41434,3222,44656,979494,220605,1200099
107,Motor cycles and scooters, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,121271, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,121271,17104,138375,671, ,671,236,907,139282,38518,177800
108,"Bicycles, cycle-rickshaw", , , , , , , , , , , , , , , , , , , , , , , , , , , , ,41716, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,41716,1525,43240,608, ,608,55,663,43903,13996,57899
109,Aircrafts & Spacecrafts, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12206, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12206,489,12695,37273, ,37273,472,37745,50440,22648,73088
110,Other transport equipment, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,37658, , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,37661,3151,40812,4632, ,4632,254,4886,45698,6822,52520
111,Gems & jewellery, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,257177, , , , , , , , , , , , , , , , , , , , , , , , , , , ,257177,2136,259313,607920, ,607920,24809,632729,892041,101274,993315
112,Miscellaneous manufacturing, , , , , , , , , , ,20413,6974,45465,27881,6088,2183,110714,20865,8981,117821,21832,80732,9960,8019,8508,7754,25881,55018,80064,69337,88031,45372,23448,31437,5064,6953,19794,14298,57090,21489, , , , , , , , , , , , , , , , , , , , , , , , , , ,1047469,50532,1098001,87218, ,87218,4782,92000,1190002,160567,1350569
113,Construction and construction services, , , , , , , , , , ,1994,737,1325,4674,2186,136,5829,1098,357,16847,2599,1800,4689,50,1413,185,2761,4484,11764,25283,12518,9890,5776,10726,730,1649,823,4337,905,167,5086887, , , , , , , , , , , , , , , , , , , , , , , , , ,5224619,271592,5496211,21735, ,21735, ,21735,5517947, ,5517947
114,Electricity, , , , , , , , , , ,89,9,77,7022,444,13,1512,132,23,3757,2518,43, , , ,377,219,140,70,788,579,89,75,1717,,513,16,53,31, , ,943135, , , , , , , , , , , , , , , , , , , , , , , , ,963440,-113839,849601, , , , , ,849601, ,849601
115,Gas, , , , , , , , , , , , , , ,0, , , , ,56, , , , , , , , , ,45,139, , , , , , , , , , , ,136336, , , , , , , , , , , , , , , , , , , , , , , ,136576,73296,209872, , , , , ,209872, ,209872
116,Water Supply,60647, , , , , , , , , ,16,, ,347,354, , , , ,, , , , , , , , , ,46,86, , , , ,210, , ,183, , , , ,152283, , , , , , , , , , , , , , , , , , , , , , ,214172,-732,213440, , , , , ,213440, ,213440
117,Trade, , , , , , , , , , ,77523,17480,86109,29278,7457,1373,79080,12123,6047,57093,47065,22246,14626,3010,14076,11874,24982,50025,84742,35699,59765,28921,27778,24337,8389,7726,2227,13737,46566,15624, , , , , , , , , , , ,2870441, , , , , , , , , , , , , , ,3787421,-72964,3714457, , , , , ,3714457,-3714457,0
118,Repair & Maintenance of Motor Vehicle, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,99297, , , , , , , , , , , , , , ,99297,5145,104442,10301, ,10301, ,10301,114743, ,114743
119,Hotels & Restaurant, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,432856, , , , , , , , , , , , , ,432856,17429,450285, , , , , ,450285,,450285
120,Railway Transport, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,211398, , , , , , , , , , , , , , , , , , , , , ,211398,8415,219813, , , , , ,219813,-153462,66351
121,Land transport, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1535560, , , , , , , , , , , , , , , , , , , , ,1535560,42579,1578139, , , , , ,1578139,-855502,722637
122,Air transport, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90074, , , , , , , , , , , , , , , , , , ,90074,2870,92944,69429,-34715,34715, ,34715,127659,-11236,116422
123,Water Transport, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50265, , , , , , , , , , , , , , , , , , , ,50265,1473,51738,189264,-94632,94632, ,94632,146370,-46544,99826
124,Supportive and Auxiliary transport activities, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,309536, , , , , , , , , , , , , , , , , ,309536,12817,322353,4424, ,4424, ,4424,326778,-278590,48187
125,Storage and warehousing, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,47141, , , , , , , , , , , , , , , , ,47141,4519,51660, , , , , ,51660,,51660
126,Communication services, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,842388, , , , , , , , , , , , , , , ,842388,59201,901589,18693, ,18693, ,18693,920282,,920282
127,Financial services, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1458892, , , , , , , , , , , , ,1458892,92942,1551834,41900, ,41900, ,41900,1593734,,1593734
128,Insurance services, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,209849, , , , , , , , , , , ,209849,19681,229530,15468,-7734,7734, ,7734,237264,,237264
129,Ownership of dwellings, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1364035, , , , , , , , , , ,1364035, ,1364035, , , , , ,1364035,,1364035
130,Real estate services, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,254578, , , , ,254578,23463,278041, , , , , ,278041,,278041
131,Renting of machinery & equipment, , , , , , , , , , ,115,14,88,170,76,20,172,28,29,125,21,93,25,4,7,69,40,595,2337,51,292,48,49,136,44,75,77,77,26,17, , , , , , , , , , , , , , , , , , , ,126406,27797, , , , , ,159123,12376,171500,85794, ,85794, ,85794,257294,,257294
132,Research & Development Services, , , , , , , , , , ,26,12,28,266,6,3,37,94,22,464,43,205,138,3,6,58,244,681,1801,65,478,5297,65,286,6,19,,7,99,79, , , , , , , , , , , , , , , , ,174208, , , , , , , , , ,184744,12173,196916,4878, ,4878, ,4878,201794,,201794
133,Legal services, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,151475, , , ,151475,14168,165643, , , , , ,165643,,165643
134,Other Business services, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,901412, , , , , , ,901412,49858,951270,400053, ,400053, ,400053,1351324,,1351324
135,Computer related services, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1655838, , , , , , , ,1655838,116472,1772310,93615, ,93615, ,93615,1865925,,1865925
136,Public administration and defence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1713484,1713484, ,1713484,7217, ,7217, ,7217,1720701,,1720701
137,Education services, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1151146, , , , , , , , , ,1151146,86440,1237586,26832, ,26832, ,26832,1264418,,1264418
138,Human health and social care services, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,627433, , , , , , , , ,627433,37025,664458,190, ,190, ,190,664648,,664648
139,"Community, social and personal services", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,325779,20556, ,346335,-252,346083,82510, ,82510, ,82510,428593,,428593
140,"Recreation, entertainment and radio & TV broadcasting and other services", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,257851, ,257851,13747,271599,23445, ,23445, ,23445,295043,,295043
,CIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-137081,137081, ,, ,,,
,Purchases of Residents abroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121416,,,,,,,
,Total Output,2827744,1574149,355074,334133,152979,133310,21702,142310,68455,204105,627484,236675,581372,573937,123246,70407,1167598,267830,123542,1930855,489708,448983,138029,32618,210201,56646,510761,719219,1440827,1662112,1296422,612145,613593,633850,137507,238139,69756,313484,407794,37512,5086887,943135,136336,152283,211398,1535560,50265,90074,309536,47141,842388,2969738,432856,1458892,209849,1364035,1325354,627433,1655838,1027819,27797,254578,151475,325779,278407,1713484,44814549,1764566,46579115,5531942,0,5531942,197248,5729190,52308305,0,52308305
