Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products,"Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Computer and related services,Other Business services,Renting of machinery and equipment,Real estate activities,Legal Services,"Community, Social & personal services",Other services,Public administration. & defence,Total Output at Basic Prices,Product taxes less Subsidies,Total Output at Producer price,Imports,CIF Adj,Imports after CIF adjustment,Import Duty,Final Import,Total Output at Producer Price + Import,Trade and Transport Margins,Total Supply at Purchaser's Prices
21,Milk, ,1023005, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1023005,-19,1022986, , , , , ,1022986,107874,1130860
22,Wool, ,364, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,364,0,364,1669, ,1669,148,1817,2181,207,2388
23,Egg and poultry, ,226620, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,226620,-15,226605,4, ,4,0,5,226609,42022,268631
24,Other livestock products, ,324160, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,324160,-9,324151,3523, ,3523,349,3872,328023,52988,381011
25,Industry Wood, , ,232924, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,232924,9627,242551,2592, ,2592,90,2682,245233,33026,278259
26,Firewood, , ,73281, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,73281, ,73281,11, ,11,0,12,73293,14074,87367
27,Other forestry products, , ,48869, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,48869,4909,53778,234, ,234,11,245,54022,7528,61550
28,Inland Fish, , , ,184473, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,184473,-168,184305,24, ,24,3,27,184332,35483,219815
29,Marine Fish, , , ,149660, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,149660,8333,157993,75, ,75,8,83,158076,60499,218574
30,Coal and Lignite, , , , ,152979, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,152979,3756,156735,237084, ,237084,8334,245418,402152,89372,491524
31,Natural Gas, , , , , , ,21702, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21702,631,22333, , , , , ,22333,2385,24718
32,Crude petroleum, , , , , ,133310, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,133310,24852,158162,921072, ,921072,14331,935403,1093565,145106,1238671
33,Iron ore, , , , , , , ,142310, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,142310,9565,151875,3594, ,3594,123,3717,155591,50055,205646
34,Manganese ore, , , , , , , , ,6242, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6242,653,6895,10953, ,10953,216,11169,18063,3517,21581
35,Bauxite, , , , , , , , ,7151, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7151,730,7881,1901, ,1901,33,1934,9815,4112,13927
36,Copper ore, , , , , , , , ,3118, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3118,284,3402,22406, ,22406,394,22800,26202,4311,30513
37,Other Metallic minerals, , , , , , , , ,51944, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51944,5447,57391,5152, ,5152,109,5261,62652,19453,82105
38,Limestone, , , , , , , , , ,39801, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,39801,821,40622,4901, ,4901,172,5074,45696,14842,60537
39,Mica, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , ,0, , 
40,Other non metallic minerals, , , , , , , , , ,164304, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,164304,5892,170196,20492, ,20492,958,21449,191646,52085,243730
41,Processed poultry meat & poultry meat products, , , , , , , , , , ,4188, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4188,123,4312,177, ,177,19,196,4508,2297,6805
42,Processed other meat & meat products, , , , , , , , , , ,19841, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19841,894,20735,51, ,51,7,58,20793,7664,28457
43,Processed fish & fish products, , , , , , , , , , ,65822, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,65822,765,66587,1413, ,1413,149,1562,68149,13054,81203
44,Processed fruits & Processed Vegetables, , , , , , , , , , ,24226, ,1236,157,2510, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28129,3808,31937,1980, ,1980,306,2286,34223,7027,41250
45,Dairy products, , , , , , , , , , , ,211449, , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,211494,6253,217747,239, ,239,31,271,218018,41471,259489
46,Edible Oils and Fats, , , , , , , , , , ,407055, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,407055,5273,412328,143280, ,143280,42135,185415,597743,67748,665491
47,"Grain Mill products, starch and starch products", , , , , , , , , , , , ,439101,1527, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,440628,8746,449373,18124, ,18124,2305,20429,469802,81419,551221
48,Sugar, , , , , , , , , , , , , ,193099, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,193099,4716,197816,1264, ,1264,435,1699,199515,31081,230596
49,Bread & Bakery products, , , , , , , , , , , , , ,43901, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43901,2234,46135,667, ,667,79,746,46880,7439,54319
50,Miscellaneous food products, , , , , , , , , , ,5141, ,7943,135283, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,148367,5949,154315,13977, ,13977,1699,15676,169992,32387,202379
51,Alcoholic beverages, , , , , , , , , , , , , , ,68365, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,68365,6107,74472,5201, ,5201,1643,6844,81316,18535,99851
52,Non alcoholic beverages, , , , , , , , , , ,1034, , , ,28515, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29549,3221,32770,1501, ,1501,191,1692,34462,4828,39291
53,Tea processed, , , , , , , , , , , , , ,121812, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,121812,1691,123502,474, ,474,153,627,124130,24737,148867
54,Coffee processed, , , , , , , , , , , , , ,8491, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8491,252,8743,1261, ,1261,290,1551,10294,2949,13243
55,Tobacco Products, , , , , , , , , , , , , , , ,66679, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,66679,8512,75191,471, ,471,50,521,75712,7962,83674
56,Cotton Yarn and Cotton Textiles, , , , , , , , , , , , , , , , ,568322, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,568322,5030,573352,7165, ,7165,627,7791,581144,111798,692942
57,Synthetic yarn and synthetic textiles, , , , , , , , , , , , , , , , ,73980, , , , , , , , , , , , , ,15889, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,89869,5308,95177,27244, ,27244,2176,29420,124596,24641,149237
58,Wool yarn and woolen textiles, , , , , , , , , , , , , , , , ,10662, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10662,190,10852,1044, ,1044,69,1113,11965,3971,15936
59,Silk yarn and silk textiles, , , , , , , , , , , , , , , , ,3744, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3744,145,3889,89, ,89,8,97,3986,732,4718
60,Carpet weaving, , , , , , , , , , , , , , , , ,28104, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28104,1774,29878,852, ,852,75,927,30805,12217,43021
61,Ready made garments, , , , , , , , , , , , , , , , ,15374,232700, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,248075,13175,261250,9523, ,9523,837,10360,271610,68346,339956
62,Misc. textile products, , , , , , , , , , , , , , , , ,237356,790, , , , , , , , , , , , ,990, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,239136,11588,250724,13391, ,13391,1042,14433,265157,48751,313908
63,Leather footwear, , , , , , , , , , , , , , , , , , ,79370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,79370,6637,86007,4798, ,4798,550,5348,91354,16478,107832
64,Leather and leather products except footwear, , , , , , , , , , , , , , , , , , ,28714, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28714,1617,30331,4593, ,4593,189,4782,35113,7475,42588
65,Wood and wood products except furniture, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,123275,6597, , ,102, , , , , , , , , , , , , , , , , , , , , , , , , , , ,129974,5788,135762,24920, ,24920,561,25480,161242,62787,224029
66,"Paper, Paper products and newsprint", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,214382, , ,808, , , , , , , , , , , , , , , , , , , , , , , , , , , ,215190,11325,226515,30922, ,30922,1093,32015,258530,59827,318356
67,"Publishing, printing and allied activities", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,46818, ,220, , , , , , , , , , , , , , , , , , , , , , , , , , , ,47038,4171,51210,2165, ,2165,73,2238,53447,13891,67338
68,Furniture & Fixtures, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,280893,688, , , , , , , , , , , , , , , , , , , , , , , , , , , ,281582,11139,292720,5121, ,5121,450,5571,298291,89187,387478
69,Rubber products, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,158146, , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,158161,13081,171242,30833, ,30833,1521,32355,203597,68140,271736
70,Plastic products, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,398257, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,398257,16456,414713,149616, ,149616,5638,155254,569967,115574,685541
71,Petroleum products, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1343464, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1343464,363304,1706768,286731, ,286731,10079,296810,2003578,474062,2477640
