Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products,"Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Computer related services,Other Business services,Renting of machinery and equipment,Real estate activities,Legal Services,"Community, Social & personal services",Other services,Public administration. & defence,Inter-Industry Consumption,PFCE,GFCE,GFCF,CIS,Valuables,Export,Total Use at PP
22,Wool,,,,,,,,,,,,,,,,,2298,22,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,2352,,,,4,,47,2404
23,Egg and poultry,,6859,,9024,,,,,,,1269,,18,2091,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,5530,,,,,,,,,,,,,40691,65548,156446,,,1724,,546,224264
24,Other livestock products,,530,,99,,,,,,,17382,,3,,,,1,81,4462,,,1,,,,,,,,,9,39,,,,,,6,1,,,,,,,,,,,,,,23293,,,,,,,,,,,,,9277,55183,256381,,6812,402,,8300,327078
25,Industry Wood,,140,675,,,,,,,,3,,11,,,32,2,,,,,,,,,,,2,3,,24,,,30,50414,30597,,33500,208,,123724,4660,,,,33053,,,,,,,,,,,,,,,,,,,,,277078,,,,911,,,277989
26,Firewood,,,44,,,,,,,,,,,9,,,,,,,,,,,,,,,,,25,,,,1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1381,85685,,,1,,,87067
27,Other forestry products,,17670,,,,,,,,,34,1,24,512,5,6578,24,,31,69,35,29,78,,,8,18,191,182,19,1811,9969,88,608,113,457,50,32,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,13,38676,17123,,,522,,560,56881
28,Inland Fish,,,,4330,,,,,,,27848,,262,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,377,,,,,,,,,,,,,,32821,154864,,,43,,11,187738
29,Marine Fish,,,,1296,,,,,,,18937,,67,15,,,,,,,,,,,,,,,,,149,5,,,,,,,14,,,,,,,,43,,,,,,585,,,,,,,,,,,,,,21111,151252,,,19,,68,172450
30,Coal and Lignite,,,,,16,,,7,128,,836,385,303,5056,530,81,9714,640,55,153210,16285,426,,,,,24,94,76,25031,2564,586,837,48361,109,4567,,4,12,,,101299,,,2386,,,,,,,,,,,,,,,,,,,,,,373622,3691,,,5128,,884,383324
31,Natural Gas,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,8,,22053,5331,,,19,,,,,,,,,32539,,,,,,,,,,,,,,,,,,,,,,,,59955,,,,479,,,60435
32,Crude petroleum,,,,,,,,,,,,,,,,,,,1,1,,,,,,,13,22,21,987673,1632,,71,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989630,,,,1443,,,991073
33,Iron ore,,,,,,,,,,,,,,,,,,,,90446,5055,667,,,,,10,67,4036,,12,,,773,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101083,,,,53,,19081,120217
34,Manganese ore,,,,,,,,,,,,,1,,,,,,,4783,6671,6,,,,,3,9,3,,466,,,814,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12767,,,,138,,40,12945
35,Bauxite,,,,,,,,,,,,,,,,,,,,277,3472,599,13,,,,75,208,76,4,46,,,3569,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8338,,,,30,,142,8510
36,Copper ore,,,,,,,,,,,,,,,,,,,,12,9158,38,,,,4,2014,76,28,,6,,1,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,11346,,,,4,,2055,13405
37,Other Metallic minerals,,,,,,,,,,,,,,,40,2,,,,3467,44052,668,110,,,,883,80,96,,335,59,41,1052,,,,2,13545,,,,,,,,,,,,,,,,,,,,,,,,,,,,64432,,,,356,,1100,65888
38,Limestone,,,,,,,,,,,,,125,15,1,23,,,,4913,9783,23,,,,,21,,,,1196,9,35,19257,,188,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,35595,,,,701,,466,36761
39,Mica,,,,,,,,,,,,,,,,,,,,,,1,5,,,,13,,,,3,102,,333,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,,,,4,,,490
