Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products,"Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Computer related services,Other Business services,Renting of machinery and equipment,Real estate activities,Legal Services,"Community, Social & personal services",Other services,Public administration. & defence,Inter-Industry Consumption,PFCE,GFCE,GFCF,CIS,Valuables,Export,Total Use at PP
82,Cement,,,,,,,,,,,186,72,146,172,30,101,33,,1,280,16,147,1,,,1,24,171,151,9,643,12,66,46568,1,44,7,148,227,,316537,16622,,,,,,,,,,,,,,,,,,,,,,,,,382416,15001,,,2907,,1429,401753
83,Non metallic mineral products,,,,,,,,,,,970,203,334,431,7451,,190,15,1,271,30,638,904,6,1,140,4765,655,2521,236,2486,774,982,27987,93,2,17,496,1017,250,145112,7901,17,2,,,,,,,,,10,,,,,,,,,,,,2,,206911,,,,1556,,30394,238861
84,Iron and steel Ferro alloys,,,,,,,,,,,,,6,12,,,,,,355542,2305,24686,79,2,,239,3725,22531,26688,,122,36,454,632,83,3,4,6459,1499,93,,,,2,,,,,,,,,,,,,,,,,,,,,,,445204,,,,703,,526,446432
85,Iron and steel casting and forging,,,,,,166,,,,,,,,,,,50,1,,49095,883,55515,350,107,177,525,12425,31473,47604,,37,60,2479,2325,44,155,59,3964,2254,592,263352,18438,10765,12802,,,1,,,,,,,,,,,,,,,,,,3927,,519628,,,,938,,51377,571943
86,Iron and steel foundries,,,,,,193,,,,,9,,28,,,,1,21,,27624,2032,47259,1812,52,218,667,12640,39391,54483,15,61,1,602,3362,347,6,1,4585,1218,191,208956,32414,15247,7043,,,1,,,,,,,,,,,,,,,,,,4537,,465014,,,91,4921,,35691,505718
87,Non ferrous basic metals (including alloys),,,32,,,,,,,,15,11,56,33,,20,138,364,23,28794,52369,28571,1822,16,3916,523,96294,16574,26322,6,5967,52,3237,4305,255,2836,1484,2119,2282,608,17649,1103,,1,,,,,,,,,,,,,,,,,,,,,,,297798,,,,707,,43464,341969
88,"Hand tools, hardware",,,5340,54,158,26,,4838,83,334,2590,193,299,1283,4632,24,199,2,587,31919,639,22822,1028,76,9151,2045,13142,15565,22529,,2995,11337,3799,1505,747,120,35,1333,453,228,8111,260,,2,,,,,26,,621,33796,,,,,379,1,343,44,6,7,25,36,32,311,206107,20081,,31348,2140,,14350,274026
89,Miscellaneous metal products,,,1371,297,270,,,4822,39,139,2053,624,986,1434,108,5,965,272,1380,17023,2054,30873,1866,337,131,492,6565,29257,23246,,1205,288,965,4104,535,140,44,2308,69611,87,47321,322,2,29,,,,,440,,10843,5319,12,,,,6601,14,5971,762,98,109,432,608,597,827,286200,1814,,8160,934,,19366,316474
90,Tractors and other agricultural implements,4918,110,,,,,,,,,19,,,,,,,,,19,,964,10,,,,19,2562,92,,,,,,,3,,2,,3,,,,,,,,,,,3,,,,,,1,,,3,4,,16,15,10,,8773,,,69085,42,,6952,84852
91,Industrial machinery for food and textile industry,,,,,,,,,,,,,,124,,,20,,,645,69,469,10,6,526,302,244,6684,9648,,,,1,3,,,,4,2,,,464,114,2,,,,,,2,,,13,,,,,,,,9,,43,,110,,19517,,,89099,71,,9141,117827
92,Industrial machinery (except food and textile),,1,,,,,,4,,,,,,141,,,,,,50,1,745,1499,504,972,521,2193,11423,1354,,1,,164,3,,,27,,84,,,6,55,,,,,,,,,,,,,,,,,,0,,,,4,,19752,,,149373,27,,82961,252113
93,Machine tools,12212,,,,41,7,,318,36,1772,,,,,,,,,12,491,,1094,997,6,11,736,7802,49061,70595,,4,,107,48,3,,3,1239,73,10,,2,,,,27,,,,13,51,1501,3,,,,31,,398,140,19,174,81,21,16,,149157,5533,,157222,553,,15542,328007
94,Other non electrical machinery,,,54,,107,1,,44,5,234,,,,,,,,,,516,,1262,10,,,202,3981,18167,9933,,12,42,331,6,,,1,127,21,273,,14,1,,77,207,7,257,77,20,267,847,,1087,34,,160,,558,233,7,251,32,69,60,83,39676,3191,,26043,419,,14667,83997
95,Electrical industrial machinery,,,16,,85,,,5,2,,653,72,111,160,,9,246,4,2,42,,971,4438,,750,713,4652,20526,9508,2838,70,13,15,65,,33,,6,162,42,,25,1,,2,4,,6,10,,87,431,,210,,,52,,137,34,3,25,11,13,21,86,47364,,,189313,441,,24040,261158
96,"Electrical cables, wires",,,,,245,,,,,,,,,,,,,,,,47,683,1520,6,4270,4958,10791,4009,22003,,1,,77,,,,,4,1,46,345,12487,,37,,,,,,,4,,,,,,,,,,,,,,2,,61536,,,68135,94,,25032,154797
97,Batteries,,,,,582,,,,,,,,,,,,,,,,1124,459,915,119,5590,1009,11727,1492,773,,,,2,,1,,,195,2,1,,2610,810,23,,3,,,2,,11,9853,3,,,,,,,,0,636,,365,516,,38825,,,18671,589,,5496,63581
98,Electrical appliances,,,167,,262,,,2,3,29,6,,25,,,,,,4,127,5,242,1230,1124,817,1358,9263,4006,9002,,3,,66,66,6,42,30,21,94,22,74361,552,371,4,261,686,22,863,249,59,789,1844,1,3459,114,,477,1,3605,692,13,745,54,210,216,190,117859,6227,,149166,836,,29340,303427
99,Communication equipment,,,,,616,,,,,,,,,,,,,,,,,,403,449,7577,222,403,43,4159,,1,,,,,,,,20,,,,,1,,,,,,,14,,,,,,2,,1398,2,4,,16,74,39,634,16076,3103,,38134,30,,1568,58910
100,Other electrical machinery,,,1251,,1411,,,,,,,,,,,,,,,183,22,1744,14040,4992,26233,3281,23942,9349,22923,,66,,444,46,,,50,69,316,46,22,14337,375,21,,,,,,,34,1287,1,,,,4,,729,7,14,1,65,159,153,1171,128788,6267,,143169,760,,28324,307308
101,Electronic equipment including T.V,,,79,,197,,,,1,13,,,,,,,,,,,981,3,3028,4539,27387,2155,2718,1216,3907,,,1,,,,,6,,27,1,321,,,6,52,114,12,648,233,51,712,93,,184,142,,433,1,3491,544,8,83,38,15,63,109,53615,32537,,100105,256,,28068,214581
102,"Medical precision, optical instrument",,,,,,,,,,,,,,,,,,,,,,1559,2964,18,2472,329,2066,3399,5415,,9,351,98,16,,2,136,95,1728,55,,,,,,,,2210,,,,,,,,,,20945,,,,,,,,,43868,5595,,64088,81,,24008,137640
103,Watches and clocks,,,,,,,,,1,,,,,,,,,2,33,,,,78,,881,984,1,5,,,,,,,,,,,,,,4,9,3,164,71,73,1696,,14,121,321,,,,,91,11,,,,,,,1,,4566,3440,,4823,74,,632,13535
104,Ships and boats,,,,165,,,,,,,,,,,,,,,,,,,,,,,,30,584,,,,,,,,,,,,,,,,,,2247,,35,,,1172,,,,,,,,,,,,,,,4233,,,24077,61,,32573,60944
105,Rail equipment,,,,,,,,,,,,,,,,,,,,,,4,62,,10,,106,226,2573,,,,,59,,,,,3,3,,,,,774,,,,,,,,,,,,,,,,,,,,,,3821,,,14066,213,,1823,19922
106,Motor vehicles,,,10,,,,,2,,,3,,12,,,,,,6,138,25,17,38,,,79,2963,15098,181183,,,,238,,,,,43,24,14,128593,4769,1,,3,4,,10,1,10,33,140,,11,14,,20,,68,17,1,11,5,1,7,3,333616,198412,,393598,1229,,93151,1020006
107,Motor cycles and scooters,,,657,,1,,,,,,,,,,,,,,,,,,,,,,,,574,,,,,,,,,,,,,,,,,1595,,,14,,319,28560,23,,,,194,,,212,134,1042,589,515,396,7523,42348,57024,,54739,1605,,14976,170691
108,"Bicycles, cycle-rickshaw",,,27,,,,,,,,,,,,,,,,,,,,,,,,293,3,17658,,,,,,,,,,,,,,,,,36,,,1,,13,3843,1,,,,8,,,7,7,41,27,20,15,1601,23600,8156,,9357,245,,513,41872
109,Aircrafts & Spacecrafts,,,,,,,,,,,,,,,,,,,,,,29,,,,,,7,1366,,,1,,,,,,33,3,,,,,,,,,91,,,,9056,,,,,,,,,,,,,,360,10947,3923,,80170,512,,10143,105696
110,Other transport equipment,,,1888,,45,,,1,4,18,,,,,,,,,,,,46,,,,,234,327,38229,,,,1,,,,,,6,,,1517,652,20,93,113,8,339,96,7,256,3558,50,521,901,,71,,285,92,8,35,32,152,1868,8,51482,13502,,,412,,4617,70014
111,Gems & jewellery,,,,,,,,,,,,,,,,,,2,,9,37,11,5,,,,23,72,112,,131,,,380,,,,,60433,,,,,,,,,,,,,,,,,,,,,,,,,,,,61215,204467,,,68,194800,254972,715522
112,Miscellaneous manufacturing,,,17632,2,5050,5137,1718,6764,2114,380,21148,4311,6310,1754,1546,5398,38547,26016,5899,48071,32607,12580,2365,1009,1034,344,3879,11277,28984,10639,13631,15811,14016,14872,1215,19699,3610,2413,11814,933,21731,13758,1004,188,1724,6985,111,3545,3655,500,2005,10276,8466,12925,11461,,4137,12,15381,1327,283,5707,1238,2235,7041,4933,541158,173555,,43747,6153,,37605,802217
113,Construction and construction services,,145,1092,1790,2857,3109,441,7251,2245,30420,4425,565,2625,6096,3237,3566,27369,11793,3797,16212,10124,2738,5117,5158,1899,513,6356,21836,18969,9921,14527,11726,19419,18130,3367,5102,1739,3679,12145,2290,,26051,2361,18730,10285,94410,2241,82,19773,4239,32872,26224,18840,9283,3187,34881,6468,25285,52168,97092,737,5911,3217,3246,9420,19145,829934,157913,78694,3098793,13895,,21982,4201213
114,Electricity,17030,,59,704,2018,687,112,4353,1367,4323,7763,2530,9498,7352,3131,375,31821,2874,2989,60929,9887,4361,1786,1067,456,206,4610,6780,8172,13428,8042,11575,21186,34557,2319,7383,1411,2313,4415,217,204901,,,,11171,12829,506,4292,421,9,2183,10353,3610,48260,2080,,11315,8301,6129,2,1,,5,9826,10,8645,648933,155470,,,,,,804403
115,Gas,,,59,4,1254,152,25,229,367,478,93,312,62,1553,22,6,871,35,8,322,554,708,17,,5,3,311,240,1965,322,1063,346,249,62,5,87,16,124,46,14,,,,,638,13259,96,5114,42,8,81,42,1209,,,,2,,,2,1,,5,,10,,32498,88728,,,,,,121225
116,Water Supply,7312,,59,4,986,12,7,2105,1367,568,18,4,12,82,420,,8,15,,,,,,,,,1,6,,1136,200,29,,47,,1,,,,,33005,1604,13,658,935,14029,506,4395,512,9,1182,42,276,15892,698,,2298,983,,2,1,,5,,10,18511,109964,35420,29950,,,,,175334
117,Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
118,Repair & Maintenance of Motor Vehicle,19395,8151,158,336,143,57,,,,496,1545,557,1167,985,1850,214,4046,715,954,964,1905,1147,431,179,184,188,1526,3739,6883,5195,3090,4249,1156,3142,515,803,466,973,632,197,,2456,183,1092,155,5716,161,1252,331,102,4817,1085,7826,42,217,199,2530,194,3245,569,35,69,188,898,2785,,114479,56851,,,,,1375,172704
119,Hotels & Restaurant,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596,2,,6327,17295,,,,,24594,1,,58731,1531,,4039,3415,11376,,397,1073,1178,15418,5763,9548,161284,261514,,,,,186078,608876
120,Railway Transport,,,372,428,1825,266,99,112,301,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136,199,510,,15781,1003,801,3117,1016,3943,738,1922,,990,,3505,168,3822,308,26,212,691,167,321,378,44561,39498,,,,,,84059
121,Land transport,,,1583,646,2094,289,99,112,308,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4395,243,1016,479,38313,1462,870,8505,2580,14157,10519,7762,396,354,,9226,219,7461,18369,653,343,2852,718,2946,2493,142226,513126,,,,,,655352
122,Air transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3380,18277,10927,,,116,13466,9276,491,,,,,18029,73961,33982,,,,,44535,152478
123,Water Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,954,,,,,,,,,,91,,,,,,,65,1116,2485,,,,,49279,52881
124,Supportive and Auxiliary transport activities,,,244,23,1502,91,34,,1435,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,111,3,78,10845,3,731,370,1589,,2072,508,5819,643,,,27,3148,,30,8,130,1,25,,29680,87,,,,,5753,35519
125,Storage and warehousing,,,21,2,205,,,22,992,10,,1251,3938,,392,,1014,,,,,,,,,,,,,,,,,,,,,,,,,13,76,,2,3616,,1030,284,69,59,18346,81,,,,,4078,3638,,1,,5,,,1802,40947,,,,,,,40947
126,Communication services,,,221,1,110,2,1,,184,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4233,75,75,598,106880,58,968,23565,21,19351,4677,24893,40588,12579,,33390,35021,56606,26311,1195,,5218,18574,18182,6333,439917,310270,,,,,21594,771781
127,Financial services,92966,969,250,220,866,1141,489,1302,1404,3385,2548,900,2395,7085,5482,2948,16097,6545,4184,12821,5815,4790,6202,7177,2063,1607,9580,17986,25623,31108,23433,18769,16438,18468,3607,8741,4569,2889,8297,3814,39923,43978,2652,1473,3209,63088,4614,1368,19628,71,51220,64140,8888,,657,5272,41453,5858,35006,55313,829,12455,3624,10171,14583,,874445,409249,,,,,33519,1317213
128,Insurance services,,,131,89,87,648,186,1025,1098,38,,,,167,712,501,3933,1280,1079,4907,441,755,615,641,1223,716,4441,5291,2530,2139,5288,4063,3797,4603,492,2085,1171,559,3148,824,3246,1350,142,433,208,5584,342,1040,91,92,1811,1026,1456,12764,370,,887,1163,865,308,31,153,135,1748,2455,,98403,121743,,,,,17238,237383
129,Ownership of dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1166877,,,,,,1166877
130,Real estate services,,,211,23,,190,,,,114,121,,,,,,242,1809,655,1348,167,951,,,,,,,,,,,,,,,,,,,,958,45,98,,9672,198,1140,187,203,18933,12815,10953,,,,5016,4891,979,16053,227,1666,994,5945,5251,,102058,149988,,,,,,252046
131,Renting of machinery & equipment,,,261,149,7427,4486,2763,4,538,306,202,324,133,487,153,17,762,139,86,2102,201,386,17,3,14,13,198,579,923,706,568,208,620,596,54,105,62,140,90,350,25178,2266,445,113,2003,2843,48,1911,447,314,1574,2735,1717,,,,1427,588,,656,34,283,405,1645,723,,73525,,,,,,153551,227076
132,Research & Development Services,,,729,27,249,552,147,,1051,998,27,13,27,68,10,1,66,104,58,1255,26,132,150,1,15,44,360,494,524,85,126,120,63,162,,52,,5,57,,117,1201,345,167,1,,4,,105,22,16724,1596,1834,,,,13271,668,,883,92,2132,405,2646,154,,50163,,,64125,,,34663,148951
133,Legal services,,,53,1,22,11,6,24,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6223,153,8,115,93,7,9,33,17,5104,7933,4512,32645,5246,,7861,2019,8569,2,232,9492,1010,2605,1422,561,96004,82664,,,,,,178668
134,Other Business services,,,2185,119,7963,7630,2402,1188,1798,398,13,,13,,,,1588,,,25748,1721,,,,,,,,,,,,,1956,,643,,,,,292647,31836,1177,1220,7744,53324,3510,6440,18899,74,57112,38093,13717,33513,7273,,9863,7733,56208,2529,433,1540,4025,9251,1714,7368,722607,253213,,,,,134313,1110132
135,Computer related services,,,33,115,,2,,,30,146,,,,364,773,250,723,,,3890,,279,,,,,49,,990,,250,,,,,,,,,,245,2980,120,20,5324,19771,104,3745,4077,53,16536,14846,8793,370,63,,4302,5845,1582,19103,224,2205,1105,750,378,96,120529,,,588981,,,660148,1369658
136,Public administration and defence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1492067,,,,4677,1496744
137,Education services,,,,,,,,,6,,,,,,,,1064,,,,,,,,,,,,2126,,,,,,,,,,,,,133,,,,23,,,2,2,11084,1134,15,19661,19590,,2800,2256,25399,5698,130,,570,4450,,,96142,566404,465535,,,,1281,1129362
138,Human health and social care services,,,,,,,,,,,,,,,,962,480,,259,1457,,,1419,,,,356,3027,5547,3966,3221,2027,328,481,,814,,,134,,,3004,203,,,3482,,,1400,,5587,,11,423,1833,,,,,,,,,,,,40419,370404,132638,,,,1166,544628
139,"Community, social and personal services",,,105,145,669,245,,,403,49,,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,91,17,64,777,816,10,51,948,39,22823,2943,3709,151,17,,6344,8774,619,9632,359,,1275,4623,590,,66534,435870,,,,,22052,524456
140,"Recreation, entertainment and radio & TV broadcasting and other services",50428,174,3734,5797,4356,1630,595,2223,620,4658,208,50,65,37,67,31,283,156,53,138,103,166,1059,20,37,27,128,583,352,74,118,126,374,377,49,20,75,123,75,32,1013,969,283,767,846,5313,324,3937,137,149,1000,635,2526,614,724,,1022,316,1636,1012,76,116,335,1296,1588,2,105853,43280,13050,16665,,,116802,295650
,CIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Purchases of Residents abroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155741,,,,,,
,Purchases of Non-Residents in domestic market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-217362,,,,,217362,
,Total Use,450016,298254,52248,39977,53652,27374,9125,48293,25979,53990,451615,196063,410033,396076,81335,37465,621222,152076,83553,1011096,256370,265626,64225,28561,104758,27771,304985,398587,804294,1142868,721847,245364,330042,369461,72237,135643,51137,126886,247577,12288,2432635,484587,82138,63651,67344,733033,18678,94828,129692,17991,414166,705819,386038,330535,86925,40352,240778,191058,358211,312978,8387,99569,36652,110829,111416,337168,18105426,12272774,2211934,5720385,129448,194800,3754189,42388957
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GVA (by Production Approach),1885277,977918,269727,235550,84134,80117,28208,34252,25559,104731,44224,22341,50204,104903,35166,33313,236024,81018,36685,198405,49093,110029,20379,11794,14663,13844,86740,177243,283598,125114,255008,194873,114867,175978,40085,45822,28048,66797,43247,5595,1378669,382689,29441,55751,135376,565161,13228,22496,103581,19796,292918,2131424,194907,898189,129446,1126525,925616,322101,867353,508333,13622,132940,124477,276865,147903,1151735,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Production Taxes less Subsidies,-91196,1551,-15403,-203,704,670,236,286,214,876,101,51,114,238,80,76,537,184,83,451,112,250,46,27,33,31,197,403,645,284,580,443,261,400,91,104,64,152,98,13,7631,-5815,-447,-847,-45000,-3698,-1277,288,436,364,-25077,16179,3745,275,40,20111,16524,5750,15484,9075,243,2373,2222,4943,1480,,,,,,,,,
,Consumption of Fixed Capital,187773,10586,2508,16801,14682,13981,4922,5977,4460,18276,7460,3769,8469,17697,5932,5620,39816,13667,6189,33470,8282,18561,3438,1990,2474,2335,14633,29900,47841,21106,43018,32874,19377,29686,6762,7730,4732,11268,7296,944,103325,127904,5583,16598,39855,96630,2937,8763,17536,1854,102511,127839,19159,20322,2929,190395,38371,27872,146592,85914,2302,22468,21038,38408,19386,140820,,,,,,,,
,Compensation of Employees,404438,54051,15597,25578,22846,21756,7660,9301,6940,28440,12078,6102,13711,28650,9604,9098,64461,22127,10019,54187,13408,30050,5566,3221,4005,3781,23690,48407,77454,34170,69645,53222,31371,48062,10948,12514,7660,18243,11811,1528,920485,127725,9826,18607,106940,117839,3362,14066,33733,5529,124968,308692,64830,307410,44304,482104,481362,152987,371190,217545,5347,52177,48856,117051,59404,1010915,,,,,,,,
,Operating Surplus,1384262,911730,267025,193375,45902,43711,15390,18687,13944,57140,24585,12420,27909,58318,19550,18519,131211,45040,20394,110298,27292,61167,11329,6557,8151,7696,48221,98533,157658,69554,141764,108334,63857,97830,22284,25473,15592,37134,24042,3110,347229,132875,14480,21392,33582,354391,8206,-621,51878,12050,90516,1678713,107173,570182,82174,433915,389359,135491,334087,195799,5730,55921,52361,116463,67634,,,,,,,,,
,GVA (by Income Approach),1885276,977918,269727,235550,84134,80117,28208,34252,25559,104731,44224,22341,50204,104903,35166,33313,236024,81018,36685,198405,49093,110029,20379,11794,14663,13844,86740,177243,283598,125114,255008,194873,114867,175978,40085,45822,28048,66797,43247,5595,1378670,382689,29441,55751,135376,565162,13228,22496,103582,19796,292918,2131424,194907,898190,129446,1126525,925616,322101,867353,508332,13622,132940,124477,276865,147903,1151736,,,,,,,,
