Rank,Path,Source_Group,Source_Name,Category_Name,Water_m3,Scarce_m3,Share_pct
1,Paddy → Processed Fruit/Veg,Agriculture,Paddy,Processed Fruit/Veg,724937656.4749273,599523441.9047649,13.46316757664076
2,Petroleum products → Hotels & Restaurants,Petroleum,Petroleum products,Hotels & Restaurants,402828262.30176514,327902205.5136368,7.4811183438133835
3,Other oil seeds → Processed Fruit/Veg,Agriculture,Other oil seeds,Processed Fruit/Veg,325324687.1163842,269043516.24524975,6.041761992008739
4,Rapeseed and mustard → Processed Fruit/Veg,Agriculture,Rapeseed and mustard,Processed Fruit/Veg,271684288.71284014,224682906.76551878,5.045580229157157
5,Wheat → Processed Fruit/Veg,Agriculture,Wheat,Processed Fruit/Veg,245638751.572911,203143247.55079737,4.561875971271618
6,Paddy → Beverages,Agriculture,Paddy,Beverages,220878207.06033266,182666277.2388951,4.102035932498237
7,Paddy → Road Transport,Agriculture,Paddy,Road Transport,192736716.68602067,159393264.6993391,3.5794067141347
8,Processed fruits & Processed V → Processed Fruit/Veg,Manufacturing,Processed fruits & Processed Vegetables,Processed Fruit/Veg,138944592.84446627,113100898.57539554,2.5804071848457877
9,Paddy → Grain Mill & Bakery,Agriculture,Paddy,Grain Mill & Bakery,133323972.17062217,110258924.98510453,2.4760239218978355
10,Other food crops → Processed Fruit/Veg,Agriculture,Other food crops,Processed Fruit/Veg,110518777.26334243,91399028.79678418,2.0524976256537935
11,Petroleum products → Road Transport,Petroleum,Petroleum products,Road Transport,103619359.31844766,84346158.4852164,1.924365200549714
12,Paddy → Other Services,Agriculture,Paddy,Other Services,103228504.23184992,85369972.99973989,1.9171064418384676
13,Petroleum products → Air Transport,Petroleum,Petroleum products,Air Transport,101462368.15098372,82590367.67490074,1.8843066751171818
14,Petroleum products → Processed Fruit/Veg,Petroleum,Petroleum products,Processed Fruit/Veg,80240610.0385237,65315856.57135829,1.4901871488557312
15,Wheat → Other Services,Agriculture,Wheat,Other Services,79944311.48537287,66113945.598403364,1.484684445225762
