Rank,Source_ID,Source_Name,Source_Group,Dest_ID,Dest_Name,Dest_Group,Water_m3,Share_pct,Path
1,1,Paddy,Agriculture,44,Processed fruits & Processed Vegetables,Manufacturing,724937656,13.4632,Paddy → Processed fruits & Processed Vegetables
2,71,Petroleum products,Petroleum,118,Repair & Maintenance of Motor Vehicle,Services,402828262,7.4811,Petroleum products → Repair & Maintenance of Motor Vehicle
3,9,Other oil seeds,Agriculture,44,Processed fruits & Processed Vegetables,Manufacturing,325324687,6.0418,Other oil seeds → Processed fruits & Processed Vegetables
4,8,Rapeseed and mustard,Agriculture,44,Processed fruits & Processed Vegetables,Manufacturing,271684289,5.0456,Rapeseed and mustard → Processed fruits & Processed Vegetables
5,2,Wheat,Agriculture,44,Processed fruits & Processed Vegetables,Manufacturing,245638752,4.5619,Wheat → Processed fruits & Processed Vegetables
6,1,Paddy,Agriculture,120,Railway Transport,Services,192736717,3.5794,Paddy → Railway Transport
7,44,Processed fruits & Processed Vegetables,Manufacturing,44,Processed fruits & Processed Vegetables,Manufacturing,138944593,2.5804,Processed fruits & Processed Vegetables → Processed fruits & Processed Vegetables
8,1,Paddy,Agriculture,52,Non alcoholic beverages,Manufacturing,126900663,2.3567,Paddy → Non alcoholic beverages
9,1,Paddy,Agriculture,47,"Grain Mill products, starch and starch products",Manufacturing,111660036,2.0737,"Paddy → Grain Mill products, starch and starch products"
10,20,Other food crops,Agriculture,44,Processed fruits & Processed Vegetables,Manufacturing,110518777,2.0525,Other food crops → Processed fruits & Processed Vegetables
11,71,Petroleum products,Petroleum,120,Railway Transport,Services,103619359,1.9244,Petroleum products → Railway Transport
12,1,Paddy,Agriculture,136,Public administration and defence,Services,102054651,1.8953,Paddy → Public administration and defence
13,71,Petroleum products,Petroleum,122,Air transport,Services,101462368,1.8843,Petroleum products → Air transport
14,1,Paddy,Agriculture,51,Alcoholic beverages,Manufacturing,93977544,1.7453,Paddy → Alcoholic beverages
15,71,Petroleum products,Petroleum,44,Processed fruits & Processed Vegetables,Manufacturing,80240610,1.4902,Petroleum products → Processed fruits & Processed Vegetables
16,2,Wheat,Agriculture,136,Public administration and defence,Services,79535466,1.4771,Wheat → Public administration and defence
17,1,Paddy,Agriculture,118,Repair & Maintenance of Motor Vehicle,Services,76518551,1.4211,Paddy → Repair & Maintenance of Motor Vehicle
18,2,Wheat,Agriculture,120,Railway Transport,Services,68913454,1.2798,Wheat → Railway Transport
19,1,Paddy,Agriculture,61,Ready made garments,Manufacturing,68334790,1.2691,Paddy → Ready made garments
20,7,Groundnut,Agriculture,44,Processed fruits & Processed Vegetables,Manufacturing,61391567,1.1401,Groundnut → Processed fruits & Processed Vegetables
21,12,Sugarcane,Agriculture,44,Processed fruits & Processed Vegetables,Manufacturing,55541339,1.0315,Sugarcane → Processed fruits & Processed Vegetables
22,19,Vegetables,Agriculture,44,Processed fruits & Processed Vegetables,Manufacturing,53231495,0.9886,Vegetables → Processed fruits & Processed Vegetables
23,12,Sugarcane,Agriculture,49,Bread & Bakery products,Manufacturing,43698422,0.8115,Sugarcane → Bread & Bakery products
24,114,Electricity,Electricity,120,Railway Transport,Services,43011861,0.7988,Electricity → Railway Transport
25,18,Fruits,Agriculture,44,Processed fruits & Processed Vegetables,Manufacturing,41699273,0.7744,Fruits → Processed fruits & Processed Vegetables
26,2,Wheat,Agriculture,52,Non alcoholic beverages,Manufacturing,36476356,0.6774,Wheat → Non alcoholic beverages
27,20,Other food crops,Agriculture,120,Railway Transport,Services,32742214,0.6081,Other food crops → Railway Transport
28,13,Coconut,Agriculture,44,Processed fruits & Processed Vegetables,Manufacturing,32171567,0.5975,Coconut → Processed fruits & Processed Vegetables
29,61,Ready made garments,Manufacturing,61,Ready made garments,Manufacturing,31753492,0.5897,Ready made garments → Ready made garments
30,1,Paddy,Agriculture,132,Research & Development Services,Services,31172916,0.5789,Paddy → Research & Development Services
31,114,Electricity,Electricity,44,Processed fruits & Processed Vegetables,Manufacturing,30975514,0.5753,Electricity → Processed fruits & Processed Vegetables
32,71,Petroleum products,Petroleum,61,Ready made garments,Manufacturing,30697123,0.5701,Petroleum products → Ready made garments
33,2,Wheat,Agriculture,47,"Grain Mill products, starch and starch products",Manufacturing,28554795,0.5303,"Wheat → Grain Mill products, starch and starch products"
34,24,Other livestock products,Agriculture,44,Processed fruits & Processed Vegetables,Manufacturing,28549667,0.5302,Other livestock products → Processed fruits & Processed Vegetables
35,114,Electricity,Electricity,118,Repair & Maintenance of Motor Vehicle,Services,26996967,0.5014,Electricity → Repair & Maintenance of Motor Vehicle
36,2,Wheat,Agriculture,61,Ready made garments,Manufacturing,26158063,0.4858,Wheat → Ready made garments
37,2,Wheat,Agriculture,51,Alcoholic beverages,Manufacturing,25564464,0.4748,Wheat → Alcoholic beverages
38,2,Wheat,Agriculture,118,Repair & Maintenance of Motor Vehicle,Services,25400715,0.4717,Wheat → Repair & Maintenance of Motor Vehicle
39,12,Sugarcane,Agriculture,120,Railway Transport,Services,25186533,0.4678,Sugarcane → Railway Transport
40,114,Electricity,Electricity,61,Ready made garments,Manufacturing,24995363,0.4642,Electricity → Ready made garments
41,66,"Paper, Paper products and newsprint",Manufacturing,132,Research & Development Services,Services,23632400,0.4389,"Paper, Paper products and newsprint → Research & Development Services"
42,1,Paddy,Agriculture,122,Air transport,Services,21945631,0.4076,Paddy → Air transport
43,20,Other food crops,Agriculture,119,Hotels & Restaurant,Services,21673730,0.4025,Other food crops → Hotels & Restaurant
44,1,Paddy,Agriculture,49,Bread & Bakery products,Manufacturing,21663936,0.4023,Paddy → Bread & Bakery products
45,12,Sugarcane,Agriculture,52,Non alcoholic beverages,Manufacturing,21601838,0.4012,Sugarcane → Non alcoholic beverages
46,71,Petroleum products,Petroleum,126,Communication services,Services,21570804,0.4006,Petroleum products → Communication services
47,71,Petroleum products,Petroleum,132,Research & Development Services,Services,21511582,0.3995,Petroleum products → Research & Development Services
48,114,Electricity,Electricity,132,Research & Development Services,Services,17876851,0.332,Electricity → Research & Development Services
49,70,Plastic products,Manufacturing,120,Railway Transport,Services,17160302,0.3187,Plastic products → Railway Transport
50,71,Petroleum products,Petroleum,124,Supportive and Auxiliary transport activities,Services,16687809,0.3099,Petroleum products → Supportive and Auxiliary transport activities
