Rank,Source_ID,Source_Name,Source_Group,Dest_ID,Dest_Name,Dest_Group,Water_m3,Share_pct,Path
1,1,Product 1,Agriculture,44,Product 44,Manufacturing,572096842.04,9.9308,Product 1 → Product 44
2,9,Product 9,Agriculture,44,Product 44,Manufacturing,289150978.84,5.0193,Product 9 → Product 44
3,2,Product 2,Agriculture,44,Product 44,Manufacturing,279294107.61,4.8482,Product 2 → Product 44
4,71,Product 71,Petroleum,118,Product 118,Services,234651612.79,4.0732,Product 71 → Product 118
5,114,Product 114,Electricity,120,Product 120,Services,232953267.96,4.0438,Product 114 → Product 120
6,8,Product 8,Agriculture,44,Product 44,Manufacturing,176749866.86,3.0681,Product 8 → Product 44
7,1,Product 1,Agriculture,52,Product 52,Manufacturing,143344199.97,2.4883,Product 1 → Product 52
8,114,Product 114,Electricity,118,Product 118,Services,121771675.98,2.1138,Product 114 → Product 118
9,20,Product 20,Agriculture,44,Product 44,Manufacturing,114789225.25,1.9926,Product 20 → Product 44
10,1,Product 1,Agriculture,47,Product 47,Manufacturing,113990366.54,1.9787,Product 1 → Product 47
11,1,Product 1,Agriculture,120,Product 120,Services,112661889.92,1.9557,Product 1 → Product 120
12,1,Product 1,Agriculture,51,Product 51,Manufacturing,105930741.09,1.8388,Product 1 → Product 51
13,2,Product 2,Agriculture,120,Product 120,Services,102957741.24,1.7872,Product 2 → Product 120
14,71,Product 71,Petroleum,120,Product 120,Services,96290036.8,1.6715,Product 71 → Product 120
15,71,Product 71,Petroleum,122,Product 122,Services,95522159.79,1.6581,Product 71 → Product 122
16,1,Product 1,Agriculture,118,Product 118,Services,94184807.88,1.6349,Product 1 → Product 118
17,1,Product 1,Agriculture,61,Product 61,Manufacturing,80393600.29,1.3955,Product 1 → Product 61
18,2,Product 2,Agriculture,119,Product 119,Services,77731743.4,1.3493,Product 2 → Product 119
19,2,Product 2,Agriculture,136,Product 136,Services,73127314.04,1.2694,Product 2 → Product 136
20,12,Product 12,Agriculture,44,Product 44,Manufacturing,72618851.84,1.2606,Product 12 → Product 44
21,12,Product 12,Agriculture,49,Product 49,Manufacturing,71795848.59,1.2463,Product 12 → Product 49
22,1,Product 1,Agriculture,136,Product 136,Services,67042770.55,1.1638,Product 1 → Product 136
23,114,Product 114,Electricity,132,Product 132,Services,64875406.91,1.1261,Product 114 → Product 132
24,114,Product 114,Electricity,44,Product 44,Manufacturing,63833810.12,1.1081,Product 114 → Product 44
25,19,Product 19,Agriculture,44,Product 44,Manufacturing,57194240.84,0.9928,Product 19 → Product 44
26,7,Product 7,Agriculture,44,Product 44,Manufacturing,57099723.97,0.9912,Product 7 → Product 44
27,2,Product 2,Agriculture,52,Product 52,Manufacturing,55500928.28,0.9634,Product 2 → Product 52
28,2,Product 2,Agriculture,118,Product 118,Services,52786773.51,0.9163,Product 2 → Product 118
29,2,Product 2,Agriculture,61,Product 61,Manufacturing,50837886.42,0.8825,Product 2 → Product 61
30,114,Product 114,Electricity,122,Product 122,Services,49438068.75,0.8582,Product 114 → Product 122
31,1,Product 1,Agriculture,132,Product 132,Services,48213871.67,0.8369,Product 1 → Product 132
32,1,Product 1,Agriculture,119,Product 119,Services,45552559.73,0.7907,Product 1 → Product 119
33,12,Product 12,Agriculture,52,Product 52,Manufacturing,43678099.5,0.7582,Product 12 → Product 52
34,24,Product 24,Agriculture,44,Product 44,Manufacturing,42723905.25,0.7416,Product 24 → Product 44
35,1,Product 1,Agriculture,122,Product 122,Services,42131196.1,0.7313,Product 1 → Product 122
36,114,Product 114,Electricity,61,Product 61,Manufacturing,40679873.81,0.7061,Product 114 → Product 61
37,2,Product 2,Agriculture,51,Product 51,Manufacturing,40641679.55,0.7055,Product 2 → Product 51
38,71,Product 71,Petroleum,132,Product 132,Services,40440886.28,0.702,Product 71 → Product 132
39,20,Product 20,Agriculture,120,Product 120,Services,40023167.51,0.6947,Product 20 → Product 120
40,2,Product 2,Agriculture,47,Product 47,Manufacturing,40022244.51,0.6947,Product 2 → Product 47
41,71,Product 71,Petroleum,44,Product 44,Manufacturing,39410770.32,0.6841,Product 71 → Product 44
42,66,Product 66,Manufacturing,132,Product 132,Services,36384365.84,0.6316,Product 66 → Product 132
43,2,Product 2,Agriculture,132,Product 132,Services,33946202.53,0.5893,Product 2 → Product 132
44,18,Product 18,Agriculture,44,Product 44,Manufacturing,32830366.06,0.5699,Product 18 → Product 44
45,12,Product 12,Agriculture,51,Product 51,Manufacturing,32484962.69,0.5639,Product 12 → Product 51
46,13,Product 13,Agriculture,44,Product 44,Manufacturing,26967452.49,0.4681,Product 13 → Product 44
47,2,Product 2,Agriculture,122,Product 122,Services,24634940.43,0.4276,Product 2 → Product 122
48,114,Product 114,Electricity,127,Product 127,Services,24634260.41,0.4276,Product 114 → Product 127
49,44,Product 44,Manufacturing,44,Product 44,Manufacturing,24362823.83,0.4229,Product 44 → Product 44
50,20,Product 20,Agriculture,61,Product 61,Manufacturing,24217564.21,0.4204,Product 20 → Product 61
51,12,Product 12,Agriculture,118,Product 118,Services,24026997.39,0.4171,Product 12 → Product 118
52,61,Product 61,Manufacturing,61,Product 61,Manufacturing,23501547.03,0.408,Product 61 → Product 61
53,66,Product 66,Manufacturing,120,Product 120,Services,22788389.59,0.3956,Product 66 → Product 120
54,12,Product 12,Agriculture,120,Product 120,Services,21516380.45,0.3735,Product 12 → Product 120
55,20,Product 20,Agriculture,118,Product 118,Services,21362226.72,0.3708,Product 20 → Product 118
56,70,Product 70,Manufacturing,118,Product 118,Services,20658078.05,0.3586,Product 70 → Product 118
57,2,Product 2,Agriculture,127,Product 127,Services,20418980.51,0.3544,Product 2 → Product 127
58,20,Product 20,Agriculture,119,Product 119,Services,19452850.83,0.3377,Product 20 → Product 119
59,1,Product 1,Agriculture,127,Product 127,Services,18916498.37,0.3284,Product 1 → Product 127
60,1,Product 1,Agriculture,49,Product 49,Manufacturing,18651906.4,0.3238,Product 1 → Product 49
61,71,Product 71,Petroleum,61,Product 61,Manufacturing,18425290.08,0.3198,Product 71 → Product 61
62,19,Product 19,Agriculture,120,Product 120,Services,16842860.46,0.2924,Product 19 → Product 120
63,12,Product 12,Agriculture,61,Product 61,Manufacturing,16835636.76,0.2922,Product 12 → Product 61
64,114,Product 114,Electricity,52,Product 52,Manufacturing,16476669.06,0.286,Product 114 → Product 52
65,1,Product 1,Agriculture,126,Product 126,Services,15072550.4,0.2616,Product 1 → Product 126
66,19,Product 19,Agriculture,119,Product 119,Services,14801961.11,0.2569,Product 19 → Product 119
67,114,Product 114,Electricity,114,Product 114,Electricity,14756405.57,0.2562,Product 114 → Product 114
68,66,Product 66,Manufacturing,118,Product 118,Services,13793618.32,0.2394,Product 66 → Product 118
69,70,Product 70,Manufacturing,120,Product 120,Services,13741324.25,0.2385,Product 70 → Product 120
70,2,Product 2,Agriculture,126,Product 126,Services,13435065.97,0.2332,Product 2 → Product 126
71,20,Product 20,Agriculture,132,Product 132,Services,13418969.71,0.2329,Product 20 → Product 132
72,114,Product 114,Electricity,126,Product 126,Services,13132014.68,0.228,Product 114 → Product 126
73,12,Product 12,Agriculture,136,Product 136,Services,12745420.77,0.2212,Product 12 → Product 136
74,114,Product 114,Electricity,51,Product 51,Manufacturing,12047376.25,0.2091,Product 114 → Product 51
75,71,Product 71,Petroleum,126,Product 126,Services,11892369.74,0.2064,Product 71 → Product 126
76,20,Product 20,Agriculture,136,Product 136,Services,11364064.0,0.1973,Product 20 → Product 136
77,70,Product 70,Manufacturing,44,Product 44,Manufacturing,11141700.97,0.1934,Product 70 → Product 44
78,69,Product 69,Manufacturing,118,Product 118,Services,10655461.09,0.185,Product 69 → Product 118
79,20,Product 20,Agriculture,122,Product 122,Services,10524890.2,0.1827,Product 20 → Product 122
80,66,Product 66,Manufacturing,126,Product 126,Services,10214710.44,0.1773,Product 66 → Product 126
81,20,Product 20,Agriculture,52,Product 52,Manufacturing,9859862.25,0.1712,Product 20 → Product 52
82,12,Product 12,Agriculture,132,Product 132,Services,9545559.01,0.1657,Product 12 → Product 132
83,2,Product 2,Agriculture,49,Product 49,Manufacturing,9275720.04,0.161,Product 2 → Product 49
84,12,Product 12,Agriculture,122,Product 122,Services,9073584.5,0.1575,Product 12 → Product 122
85,1,Product 1,Agriculture,63,Product 63,Manufacturing,8866222.09,0.1539,Product 1 → Product 63
86,114,Product 114,Electricity,63,Product 63,Manufacturing,8506428.64,0.1477,Product 114 → Product 63
87,19,Product 19,Agriculture,61,Product 61,Manufacturing,8183894.11,0.1421,Product 19 → Product 61
88,66,Product 66,Manufacturing,66,Product 66,Manufacturing,7854853.31,0.1363,Product 66 → Product 66
89,71,Product 71,Petroleum,124,Product 124,Services,7781943.94,0.1351,Product 71 → Product 124
90,70,Product 70,Manufacturing,132,Product 132,Services,7749827.32,0.1345,Product 70 → Product 132
91,71,Product 71,Petroleum,52,Product 52,Manufacturing,7669773.34,0.1331,Product 71 → Product 52
92,72,Product 72,Petroleum,118,Product 118,Services,7547412.06,0.131,Product 72 → Product 118
93,1,Product 1,Agriculture,80,Product 80,Petroleum,7153308.83,0.1242,Product 1 → Product 80
94,71,Product 71,Petroleum,127,Product 127,Services,6866591.02,0.1192,Product 71 → Product 127
95,20,Product 20,Agriculture,127,Product 127,Services,6815715.22,0.1183,Product 20 → Product 127
96,20,Product 20,Agriculture,51,Product 51,Manufacturing,6790436.5,0.1179,Product 20 → Product 51
97,19,Product 19,Agriculture,118,Product 118,Services,6706176.99,0.1164,Product 19 → Product 118
98,72,Product 72,Petroleum,120,Product 120,Services,6577146.28,0.1142,Product 72 → Product 120
99,9,Product 9,Agriculture,52,Product 52,Manufacturing,6420457.41,0.1115,Product 9 → Product 52
100,66,Product 66,Manufacturing,122,Product 122,Services,6402336.32,0.1111,Product 66 → Product 122
101,114,Product 114,Electricity,81,Product 81,Manufacturing,5878468.76,0.102,Product 114 → Product 81
102,67,Product 67,Manufacturing,118,Product 118,Services,5777509.31,0.1003,Product 67 → Product 118
