Rank,Product_ID,Product_Name,Source_Group,Tourism_Output_cr,Dependency_Index,Water_Coeff,Tourism_Water_m3
88,96,"Electrical cables, wires",Manufacturing,6810.3161,0.083,0.0,0
89,79,"Soaps, cosmetics and glycerin",Manufacturing,6280.1182,0.0765,0.0915,575
90,68,Furniture & Fixtures,Manufacturing,6183.6069,0.0754,42.9739,265734
91,120,Railway Transport,Services,5985.2002,0.0729,0.0,0
92,57,Synthetic yarn and synthetic textiles,Manufacturing,5921.9431,0.0722,57.6432,341360
93,23,Egg and poultry,Agriculture,5621.2569,0.0685,79.1536,444943
94,115,Gas,Services,5574.8648,0.0679,0.0,0
95,94,Other non electrical machinery,Manufacturing,5387.1891,0.0657,0.0,0
96,62,Misc. textile products,Manufacturing,5383.7234,0.0656,57.6432,310335
97,28,Inland Fish,Agriculture,5178.1507,0.0631,0.0,0
98,80,"Synthetic fibres, resin",Manufacturing,4871.1442,0.0594,0.0915,446
99,107,Motor cycles and scooters,Manufacturing,4410.3854,0.0537,0.0,0
100,97,Batteries,Manufacturing,4311.2068,0.0525,0.0,0
101,125,Storage and warehousing,Services,3782.1356,0.0461,0.0,0
102,11,"jute, hemp and mesta",Agriculture,3740.1363,0.0456,123.5709,462172
103,34,Manganese ore,Mining,3636.6525,0.0443,0.0,0
104,47,"Grain Mill products, starch and starch products",Manufacturing,3574.1723,0.0436,4.3815,15660
105,61,Ready made garments,Manufacturing,2907.3063,0.0354,246.9644,718001
106,35,Bauxite,Mining,2655.6529,0.0324,0.0,0
107,92,Industrial machinery (except food and textile),Manufacturing,2244.831,0.0274,0.0,0
108,48,Sugar,Manufacturing,2177.1083,0.0265,18.0391,39273
109,102,"Medical precision, optical instrument",Manufacturing,2165.7726,0.0264,0.0,0
110,91,Industrial machinery for food and textile industry,Manufacturing,2148.0078,0.0262,0.0,0
111,101,Electronic equipment including T.V,Manufacturing,1999.2871,0.0244,0.0,0
112,111,Gems & jewellery,Manufacturing,1989.3974,0.0242,0.0,0
113,108,"Bicycles, cycle-rickshaw",Manufacturing,1738.2276,0.0212,0.0,0
114,60,Carpet weaving,Manufacturing,1392.2403,0.017,57.6432,80253
115,109,Aircrafts & Spacecrafts,Manufacturing,1132.4673,0.0138,0.0,0
116,99,Communication equipment,Manufacturing,1110.3229,0.0135,0.0,0
117,50,Miscellaneous food products,Manufacturing,767.8897,0.0094,0.0,0
118,51,Alcoholic beverages,Manufacturing,499.0205,0.0061,6.6431,3315
119,44,Processed fruits & Processed Vegetables,Manufacturing,352.1945,0.0043,181.8701,64054
120,58,Wool yarn and woolen textiles,Manufacturing,308.7568,0.0038,57.6432,17798
121,43,Processed fish & fish products,Manufacturing,276.0317,0.0034,503.9568,139108
122,45,Dairy products,Manufacturing,278.3085,0.0034,29.0656,8089
123,105,Rail equipment,Manufacturing,278.8163,0.0034,0.0,0
124,64,Leather and leather products except footwear,Manufacturing,255.3726,0.0031,0.0,0
125,103,Watches and clocks,Manufacturing,232.1458,0.0028,0.0,0
126,104,Ships and boats,Manufacturing,192.8596,0.0024,0.0,0
127,53,Tea processed,Manufacturing,189.8749,0.0023,0.0,0
128,59,Silk yarn and silk textiles,Manufacturing,118.0907,0.0014,57.6432,6807
129,63,Leather footwear,Manufacturing,91.4208,0.0011,36.5093,3338
130,42,Processed other meat & meat products,Manufacturing,83.6795,0.001,12.9566,1084
131,39,Mica,Mining,62.7532,0.0008,0.0,0
132,123,Water Transport,Services,60.3852,0.0007,0.0,0
133,52,Non alcoholic beverages,Manufacturing,50.5276,0.0006,6.6431,336
134,54,Coffee processed,Manufacturing,47.4021,0.0006,0.0,0
135,49,Bread & Bakery products,Manufacturing,35.7267,0.0004,4.3815,157
136,41,Processed poultry meat & poultry meat products,Manufacturing,12.701,0.0002,3.5053,45
137,55,Tobacco Products,Manufacturing,8.7229,0.0001,0.9133,8
138,117,Trade,Services,0.0,0.0,0.0,0
139,136,Public administration and defence,Services,0.0,0.0,0.0,0
140,129,Ownership of dwellings,Services,0.0,0.0,0.0,0
