ID,Category,Category_Type,Inbound_2022,Domestic_2022,Total_2022,NAS_Sector,Real_G22,Nominal_G22
1,Accommodation services/hotels,Characteristic,47345.45950040738,6419.839697321572,53765.29919772895,Hotels,0.871192,1.1443564522854852
2,Food and beverage serving services/restaurants,Characteristic,127359.60786721733,153566.52976372736,280926.13763094466,Trade,1.319697,1.7334913279871693
3,Railway passenger transport services,Characteristic,2493.4693672493986,23432.721967024863,25926.19133427426,Railway,0.934185,1.2271010665597435
4,Road passenger transport services,Characteristic,30542.77352553488,300228.65251660463,330771.42604213953,Road,1.243491,1.6333907441860465
5,Water passenger transport services,Characteristic,1300.4969672526063,1957.0996705886125,3257.596637841219,Water_Trans,1.612477,2.1180732365677626
6,Air passenger transport services,Characteristic,16739.654002296713,68463.43672601765,85203.09072831436,Air,0.899224,1.1811779566960707
7,Transport equipment rental services,Characteristic,451.49914753809145,867.4256349671211,1318.9247825052125,Transport_Svcs,1.041587,1.3681792349639135
8,Travel agencies and other reservation services,Characteristic,5572.59402400802,7312.918010882117,12885.512034890136,Transport_Svcs,1.041587,1.3681792349639135
9,Cultural and religious services,Characteristic,1807.5224731900562,96.50017310665598,1904.0226462967123,Real_Estate,1.412789,1.8557725597433843
10,Sports and other recreational services,Characteristic,12415.118424683242,387.8564649863673,12802.974889669607,Real_Estate,1.412789,1.8557725597433843
11,Health and medical related services,Characteristic,21367.365252885327,146847.282652494,168214.64790537933,Real_Estate,1.412789,1.8557725597433843
12,Readymade garments,Connected,32328.95635146111,80970.03343123017,113298.98978269128,Textiles,1.208596,1.587554328789094
13,Processed Food,Connected,4254.6318377514035,17306.546973834804,21561.178811586207,Food_Mfg,1.136102,1.4923296519647153
14,Alcohol and tobacco products,Connected,6348.370339457899,5206.738155704892,11555.10849516279,Food_Mfg,1.136102,1.4923296519647153
15,Travel related consumer goods,Connected,25044.616542341624,44733.801607939065,69778.41815028069,Other_Mfg,1.278075,1.678818644747394
16,Footwear,Connected,4459.440109568565,12554.379632064156,17013.81974163272,Textiles,1.208596,1.587554328789094
17,"Soaps, cosmetics and glycerine",Connected,1071.0862953488374,1569.6954328388135,2640.781728187651,Other_Mfg,1.278075,1.678818644747394
18,Gems and jewellery,Connected,23478.278746792304,14785.355804290299,38263.63455108261,Other_Mfg,1.278075,1.678818644747394
19,"Books, journals, magazines, stationery",Connected,2637.424090898156,2437.6446721732163,5075.068763071372,Other_Mfg,1.278075,1.678818644747394
20,Vacation homes,Imputed,0.0,7883.321833789896,7883.321833789896,Real_Estate,1.412789,1.8557725597433843
21,Social transfers in kind,Imputed,0.0,7751.561982048116,7751.561982048116,Real_Estate,1.412789,1.8557725597433843
22,FISIM,Imputed,0.0,69667.42320877626,69667.42320877626,Finance,1.235612,1.6230412638331997
23,Producers guest houses,Imputed,0.0,120098.17697635286,120098.17697635286,Real_Estate,1.412789,1.8557725597433843
24,Imputed expenditures on food,Imputed,0.0,37629.092174290294,37629.092174290294,Food_Mfg,1.136102,1.4923296519647153
