Product_ID,2015,2019,2022,Product_Name,Change_2015_2022_pct
1,157683.56827918073,189923.91420644103,199515.3698548821,Paddy,26.528954178432613
2,160992.0113695823,148755.26874286923,132939.55456064187,Wheat,-17.424750812350325
3,15711.467676605987,15514.122049515008,14693.718988590992,Coarse cereals,-6.477744211830698
4,16114.855324241791,17155.84380057746,15717.595750069186,Gram,-2.4651761755192587
5,16925.210000263727,17227.999844477454,15838.15603704728,Arhar,-6.422691140609238
6,16913.63478546131,16626.129580516237,15447.190831377296,Other pulses,-8.67018812150623
7,27674.01480106697,26737.86727017823,25215.222389849016,Groundnut,-8.884841714846358
8,28455.856831601603,27863.52244422683,26134.57841368748,Rapeseed and mustard,-8.157471523880567
9,27933.668965151577,27586.80358053052,25775.90397054901,Other oil seeds,-7.724602870086521
10,14903.647218285329,14121.232407809151,12790.621692080089,kapas,-14.177908905497725
11,14881.488579685343,14120.983646177774,12862.35100649056,"jute, hemp and mesta",-13.568115597999377
12,106814.87788758952,98556.40713499767,68583.5202022854,Sugarcane,-35.79216532507603
13,31828.13017907924,29403.0435662672,30826.311499753865,Coconut,-3.147588858310857
14,29001.309487948012,26671.51227347241,21822.044347240644,Tobacco,-24.754968887493973
15,29432.741008186254,27038.307267718697,22020.51896847229,Tea,-25.183594139779135
16,29291.87276242575,26938.051811367197,21951.47831833877,Coffee,-25.05949176968602
17,29434.01797111616,27038.43170326158,22064.215004910213,Rubber,-25.038385766557578
18,25545.83013525138,23518.89048820803,25898.39698516734,Fruits,1.3801346366483576
19,25878.38036959299,23373.28574628944,25760.899579214427,Vegetables,-0.45397273206711874
20,24854.043009063957,21907.77375488829,17483.941398333118,Other food crops,-29.65353205530004
21,7594.897804572158,6146.810582218302,4895.056956847082,Milk,-35.54808658649444
22,23352.04293475888,18883.456260215593,15042.355032663672,Wool,-35.584415142224934
23,16973.25555769738,12406.066549315105,10187.261586552617,Egg and poultry,-39.98050903126425
24,20997.96062746078,16770.446144751364,12213.33111814929,Other livestock products,-41.83563187475978
25,2670.66805102125,3595.5469198694027,1850.0853944853543,Industry Wood,-30.725745051771185
26,945.1708263538452,1385.76796025037,952.4991425481196,Firewood,0.7753430374638852
27,2249.0734680513797,2713.003121066986,1685.8243016413064,Other forestry products,-25.043609042174957
28,1291.4046779878176,4331.157764401356,1548.9313622332415,Inland Fish,19.941594500546888
29,1649.0541451868055,4412.182747616329,1502.89807451679,Marine Fish,-8.863024364397617
30,1865.7019443541697,2723.6475548502503,2183.7507369817854,Coal and Lignite,17.047138402254884
31,1669.165020297326,3033.574183046784,1946.9056501387,Natural Gas,16.63949498485778
32,1377.1325722567417,3016.1243180007978,2072.3534866708596,Crude petroleum,50.483223505115554
33,2127.2979788014427,2567.2981035699218,2510.0019841261883,Iron ore,17.990145674860642
34,2648.832948007275,3146.8439616167025,3142.9011225888007,Manganese ore,18.65229647468765
35,2439.850465673808,3147.5659080002674,3158.320429626227,Bauxite,29.44729499043299
36,2606.3259030334116,2935.7450496409097,3029.257741027788,Copper ore,16.227127908376346
