Product,Paddy,Wheat,Coarse cereals,Gram,Arhar,Other pulses,Groundnut,Rapeseed and mustard,Other oil seeds,kapas,"jute, hemp and mesta",Sugarcane,Coconut,Tobacco,Tea,Coffee,Rubber,Fruits,Vegetables,Other food crops,Milk,Wool,Egg and poultry,Other livestock products,Industry Wood,Firewood,Other forestry products,Inland Fish,Marine Fish,Coal and Lignite,Natural Gas,Crude petroleum,Iron ore,Manganese ore,Bauxite,Copper ore,Other Metallic minerals,Limestone,Mica,Other non metallic minerals,Processed poultry meat & poultry meat products,Processed other meat & meat products,Processed fish & fish products,Processed fruits & Processed Vegetables,Dairy products,Edible Oils and Fats,"Grain Mill products, starch and starch products",Sugar,Bread & Bakery products,Miscellaneous food products,Alcoholic beverages,Non alcoholic beverages,Tea processed,Coffee processed,Tobacco Products,Cotton Yarn and Cotton Textiles,Synthetic yarn and synthetic textiles,Wool yarn and woolen textiles,Silk yarn and silk textiles,Carpet weaving,Ready made garments,Misc. textile products,Leather footwear,Leather and leather products except footwear,Wood and wood products except furniture,"Paper, Paper products and newsprint","Publishing, printing and allied activities",Furniture & Fixtures,Rubber products,Plastic products,Petroleum products,Coal tar products,Inorganic chemicals,Organic chemicals,Fertilizers,Pesticides,"Paints, varnishes and lacquers",Drugs and medicine,"Soaps, cosmetics and glycerin","Synthetic fibres, resin",Other chemicals and chemical products,Cement,Non metallic mineral products,Iron and steel Ferro alloys,Iron and steel casting and forging,Iron and steel foundries,Non ferrous basic metals (including alloys),"Hand tools, hardware",Miscellaneous metal products,Tractors and other agricultural implements,Industrial machinery for food and textile industry,Industrial machinery (except food and textile),Machine tools,Other non electrical machinery,Electrical industrial machinery,"Electrical cables, wires",Batteries,Electrical appliances,Communication equipment,Other electrical machinery,Electronic equipment including T.V,"Medical precision, optical instrument",Watches and clocks,Ships and boats,Rail equipment,Motor vehicles,Motor cycles and scooters,"Bicycles, cycle-rickshaw",Aircrafts & Spacecrafts,Other transport equipment,Gems & jewellery,Miscellaneous manufacturing,Construction and construction services,Electricity,Gas,Water Supply,Trade,Repair & Maintenance of Motor Vehicle,Hotels & Restaurant,Railway Transport,Land transport,Air transport,Water Transport,Supportive and Auxiliary transport activities,Storage and warehousing,Communication services,Financial services,Insurance services,Ownership of dwellings,Real estate services,Renting of machinery & equipment,Research & Development Services,Legal services,Other Business services,Computer related services,Public administration and defence,Education services,Human health and social care services,"Community, social and personal services","Recreation, entertainment and radio & TV broadcasting and other services"
Paddy,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03123277604262355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.958332460568484,327.0,327.0,327.0,4420.201528643235,0.33547981781058583,327.0,137402.61263895562,129.0,129.0,18697.172119950563,90.0,91.72982090284593,129.0,129.0,0.0,78.0,69.21113387839566,78.0,78.0,78.0,22.977326055175862,73.60722573897127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8011240065626901,0.0,0.0,0.0,33.997140558487786,1.5306604372444963,24.667173126785684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01556608042474886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6861.269130976425,121.35065157123955,47.317877087405805,0.08058811414858658,2915.313659685328,1005.7721132991849,0.0,6311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.72609748534472,0.0,0.0,0.0,0.0,22115.0,0.0,0.0,0.0,0.0
Wheat,8931.0,8931.0,8931.0,8931.0,8931.0,8931.0,8931.0,8931.0,8931.0,8931.0,8931.0,8931.0,8931.0,8931.0,8931.0,8931.0,8931.0,8931.0,8931.0,8931.0,793.0,793.0,793.0,793.0,0.0,0.0,0.0,0.0,0.0,0.011104987037377263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98126348421692,99.0,99.0,99.0,1886.8197066962855,6.096916391811947,99.0,59903.12676035308,394.0,394.0,8442.94701749821,32.0,32.48902109911678,394.0,394.0,0.0,0.0,2.591588728165385,0.0,0.0,0.0,0.0,0.4273830665809572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7209143561849,12.176523794240365,23.0,23.0,23.0,0.0,21.964553233628724,15.726346385691402,14.372116349047142,0.0,0.0,0.0,0.0,0.0,0.0,0.04754291230504691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007431809405218817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2995.046073817191,52.95719478337109,21.198391021502708,0.028653551697275226,2827.4629014459447,437.9882407631185,0.0,17335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0873853786749,0.0,0.0,0.0,0.0,34950.0,0.0,0.0,0.0,0.0
Coarse cereals,3858.0,3858.0,3858.0,3858.0,3858.0,3858.0,3858.0,3858.0,3858.0,3858.0,3858.0,3858.0,3858.0,3858.0,3858.0,3858.0,3858.0,3858.0,3858.0,3858.0,2277.0,2277.0,2277.0,2277.0,0.0,0.0,0.0,113.0,113.0,0.5913405597403393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.099154814520015,354.0,354.0,354.0,1273.7666371731395,47.19892152243338,354.0,28597.07341036291,797.0,797.0,4556.722591556625,1704.0,1694.1465897939156,797.0,797.0,0.0,0.0,3.718366436063379,0.0,0.0,0.0,0.0,0.6132017911813734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.59957277191746,32.229923083656345,33.0,33.0,33.0,0.999755901334323,31.55937841200518,22.563888292513752,20.62086258776329,0.0,0.0,0.0,0.0,0.0,0.0,3.7307611089323967,2.977514897983346,0.043861781062804694,0.03733971619080185,0.0895509536315495,1.3685204365179608,2.181503571165599,2.3934447735636706,0.9075548650223345,0.04235465300183463,1.1853933027024046,0.0,0.37417685327968125,0.14172061980926384,1.4827495965455575,0.0,13.0,13.0,13.0,13.0,13.0,13.0,12.985190477109922,0.0,1468.5407968987597,26.11761236331312,11.916428148997548,1.5258016278799058,1224.3921798386823,218.2178471198897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.609150510166415,0.0,0.0,0.0,0.0,1093.0,0.0,0.0,0.0,0.0
Gram,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,3076.0,1145.0,1145.0,1145.0,1145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.770668817159255,0.0,0.0,0.0,846.2118451025057,0.0,0.0,28247.99522940894,446.0,446.0,4205.978657386327,0.0,0.0,446.0,446.0,0.0,19.0,16.85912235499381,19.0,19.0,19.0,5.597040962158222,17.929965244108384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013251070422465048,0.0,6.0086703770375385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053817611390992184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1416.355015377828,25.123582393674454,10.472763840420393,0.0,974.4310303637045,205.86284913075247,0.0,0.0,0.0,10961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.03397664013703,0.0,0.0,0.0,0.0,557.0,0.0,0.0,0.0,0.0
Arhar,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19735133323558365,18.0,18.0,18.0,253.30245298292516,0.0,18.0,7905.910822049736,13.0,13.0,1080.6180901580692,0.0,0.13137880274779196,13.0,13.0,0.0,1.0,0.8873222292102007,1.0,1.0,1.0,0.2945811032714854,0.9436823812688624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.974247590771078e-05,0.0,0.3162458093177652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015686747714863194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.48365393829704,6.962912648255035,2.722654363067533,0.0,158.59230839239598,57.813573433164905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.237260605702641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other pulses,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,3253.0,3253.0,3253.0,3253.0,0.0,0.0,0.0,0.0,0.0,0.0006940616898360789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.368535430761819,96.0,96.0,96.0,364.67533274346283,2.0,96.0,9235.094754838407,683.0,683.0,1839.0143563390359,2.0,2.686089303238469,683.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017802755701393114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08241575914808894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.08699637839044,8.453609416477923,4.408188003087939,0.0017908469810797017,689.4263887782847,69.06846211788515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.928318296590522,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0
Groundnut,5365.0,5365.0,5365.0,5365.0,5365.0,5365.0,5365.0,5365.0,5365.0,5365.0,5365.0,5365.0,5365.0,5365.0,5365.0,5365.0,5365.0,5365.0,5365.0,5365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5587604874762692,2.858357095854354,3.5478169716575465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.771899415596657,9619.0,9619.0,9619.0,8830.132080799713,0.0,9619.0,835.9545238492225,884.0,884.0,888.8085279385937,0.0,70.20737242394505,884.0,884.0,0.0,4.0,3.5492889168408026,4.0,4.0,4.0,1.1783244130859416,3.7747295250754496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.234457041212147,0.10920742584069237,4.2666216285975285,0.0,0.0,0.0,0.0002789699036308431,0.0,1.2649832372710608,3.376128385155466,0.0,0.0,0.0,0.0,0.0,0.0,0.10666988446106972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.3882300400131,4.020274966919136,3.9520782638923375,0.0,1700.309365081171,161.03383672296144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.152045833764008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rapeseed and mustard,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8653096918790976,35424.0,35424.0,35424.0,32453.6463977108,0.0,35424.0,910.2876564378095,57.0,57.0,218.1992519352111,0.0,258.5534838076546,57.0,57.0,0.0,43.0,38.15485585603863,43.0,43.0,43.0,12.666987440673871,40.57834239456108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0022666304670005,0.13505827387451438,13.598569800663903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006878035536516939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.594220612618,11.602209974184749,8.11455619912689,0.0,238.8684087780571,575.9230295661082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.33336532640314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other oil seeds,3753.0,3753.0,3753.0,3753.0,3753.0,3753.0,3753.0,3753.0,3753.0,3753.0,3753.0,3753.0,3753.0,3753.0,3753.0,3753.0,3753.0,3753.0,3753.0,3753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.493538049056366,56960.0,56960.0,56960.0,52247.2714283025,2.9888173394063138,56960.0,3581.349659190169,296.0,296.0,813.7335263123658,0.0,415.74092247301274,296.0,296.0,0.0,13.0,32.718609888214885,13.0,13.0,13.0,3.82955434252931,15.761262978983035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.7187782157722,97.20155583336513,188.0,188.0,188.0,121.97112661497421,185.0287179747607,132.6569833693911,117.4764292878636,0.0,0.0,0.0,0.02463152493086638,0.0006665555740709881,0.0,0.14890343600108602,0.16814988752515883,5.979756101047936,5.955274405881347,5.9586687906315925,5.3178270095488305,4.325049701789264,4.889574745738136,0.0,0.0,0.060746963833962504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.2141360300432,21.328814903436353,14.238493591624643,0.0,1191.6451064265482,944.5205767837668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.00515334524461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kapas,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,2535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.130047628908677,0.0,0.0,71.10730470315079,0.0,0.0,9.618122682625382,0.0,0.0,0.0,0.0,0.0,108736.0,96489.39112616908,108736.0,108736.0,108736.0,33913.62846179991,102713.83689245285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.405426237089564,25.33444806295155,49.0,49.0,49.0,122.55544651374798,51.97128202523932,34420.80827731995,30.618856569709127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01583298525459661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8038.072240534183,592.0093425533554,272.93937663369553,0.0,802.3226982628183,956.2224246145898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.8173367984289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
