"विवरण 4.2: कार्यकलापों के वर्गीकरण के अनुसार सामान्य सरकार का व्यय* (प्रचलित भावों पर), 2020-21",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
"Statement 4.2: Expenditure of General Government classified by function*, COFOG (At current prices), 2020-21
",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,(₹ करोड़),,,,,,,,,,,,,,,,,,,,,,(₹ crore),,
क्र.सं.,मद,सामान्‍य सार्वजिनक सेवाएं ,रक्षा ,सार्वजनिक व्यवस्था और सुरक्षा ,आर्थिक कार्य ,"सामान्‍य प्रशासन, विनियमन और अनुसंधान ","कृषि, वानिकी और मत्‍स्‍यन ","खनन, विनिर्माण और निर्माण ","बिजली, गैस, भांप और अन्‍य स्रोत ",जलापूर्ति ,परिवहन और संचार ,अन्‍य आर्थिक सेवाएं ,पर्यावरण संरक्षण ,हाउसिंग और सामुदायिक सुविधाएं ,स्‍वास्‍थ्‍य ,"प्रशासन, विनियमन और अनुसंधान ",स्‍वास्‍थ्‍य सेवाएं ,"मनोरंजन, संस्‍कृति और धर्म ",शिक्षा ,"प्रशासन, विनियमन और अनुसंधान",शिक्षा संबंधी सेवाएं ,सामाजिक संरक्षण ,कुल ,item,S.No.
,,,,,,"general administration, regulation & research","agriculture,forestry & fishing ","mining, manufacturing &  construction","electricity,gas,steam and other sources of energy",water supply,transport and communication,other economic services,,,,"administration, regulation & research",health services,,,"administration,  regulation & research",educational services,,,,
1,2,3,4,5,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,7,8,9,9.1,9.2,10,11,11.1,11.2,12,13,2,1
1,पूंजीतर व्यय,720936.38,405007.4,331893.56,1295638.86,45519.76,396545.4,180941.33,140590.24,37983.84,148639.77,345418.5,2545.41,248556.55,283029.83,50088.58,232941.25,25054.73,903922.11,57268.21,846653.9,417956.39,4634541.22,Current expenditure,1
1.1,उपभोग व्यय ,204830.06,403543.36,327939.08,138585.05,14778.18,56618.73,11193.19,3858.62,19529.93,22660.39,9946.01,355.16,43359.37,176072.12,30120.77,145951.35,11309.26,502209.13,25335.44,476873.69,98641.01,1906843.6,consumption Expenditure ,1.1
1.1.1,कर्मचारियों का पारिश्रमिक,160847.422554859,334106.166246134,311792.556854009,102735.917271747,11722.0838127435,42463.5837535728,9408.26484260125,4907.3530907672,11677.7975936733,14942.7402727325,7614.09390565648,168.414802030036,34448.6487836001,136040.119702967,18856.9244759213,117183.195227046,6022.96224059054,458296.153155744,24094.6189170718,434201.534238673,37803.7758070692,1582262.13741875,compensation of Employees,1.1.1
1.1.2,वस्तुओं और सेवाओं का निवल क्रय,43982.64192512,69437.196695757,16146.5190235,35849.130215148,3056.09475899999,14155.14642,1784.921148148,-1048.731799,7852.13042,7717.64844199999,2331.920825,186.747925,8910.717197,40031.9990031634,11263.846037,28768.1529661634,5286.297038,43912.9754300177,1240.8237965,42672.1516335177,60837.237433,324581.461885706,net purchase of commodities and services,1.1.2
1.2,आर्थिक सहायता,5059.256177,0,8.74,731458.050508805,516.92,164954.682317548,126003.290224658,96128.431518,602,110979.4744706,232273.251978,0,9997.7892,0.9,0.1,0.8,2584.509154,3855.937359,9.9,3846.037359,26025.599181,778990.781579805,subsidy,1.2
1.3,पूंजीतर हस्‍तांतरण,511047.06,1464.04,3945.74,425595.76,30224.66,174971.99,43744.85,40603.19,17851.91,14999.91,103199.24,2190.25,195199.39,106956.81,19967.71,86989.1,11160.96,397857.04,31922.87,365934.17,293289.78,1948706.83,Current Transfer ,1.3
