Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,विवरण 4.1: केंद्रीय और राज्‍य सरकारों द्वारा मूल्‍य वर्धन,,,,,,,,,,STATEMENT 4.1: VALUE ADDED BY CENTRAL AND STATE GOVERNMENTS,,,,,,,,,,,
,,(प्रचलित मूल्‍यों पर at current prices),,,,,,,,,,(स्थिर (2011-12) भावों पर at constant (2011-12) prices),,,,,,,,,,,
,,(₹  करोड़),,,,,,,,,,,,,,,,(₹  crore),,,,,
,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं.,मद विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item Desription,S.No.
3.2.22,पुदुचेरी,1261,1482,1529,1794,1988,2163,2333.84,2744.38,2839.03,3043.61,1261,1337,1261,1384,1414,1519,1602,1807,1760,1741,Puducherry,3.2.22
3.2.23,पंजाब,16893,18924,19866,22504,23869,25767,28769.15,29565.96,30438.59,34045.54,16893,17289,16731,17925,18378,19002,20457,20262,19862,21092,Punjab,3.2.23
3.2.24,राजस्थान,18600,20725,23882,28937,33210,39123,47382.21,64995.6,63894.82,69817.82,18600,18783,19899,22609,24543,27431,32193,43169,40295,42164,Rajasthan,3.2.24
3.2.25,सिक्किम,966,1100,1244,1494,1613,1674,1792.2,2411.65,3614.37,3775.95,966,1003,1057,1196,1206,1140,1174,1519,2206,2152,Sikkim,3.2.25
3.2.26,तमिलनाडु,37918,39452,45133,51278,54462,59002,65770.08,80235.07,84998.22,85183.89,37918,35584,37184,39788,39984,41694,44289,52118,52224,48679,Tamilnadu,3.2.26
3.2.27,तेलंगाना,13867,15148,17500,21178,31526,33962,38196.18,36702.41,34269.31,32989.16,13867,13536,14320,16546,23341,23691,25654,24029,21465,19002,Telangana,3.2.27
3.2.28,त्रिपुरा,2840,2979,3367,3464,4533,5029,6380.36,7259.53,7967.73,8569.48,2840,2717,2783,2533,3228,3441,4222,4607,4759,4674,Tripura,3.2.28
3.2.29,उत्तराखंड,5775,6173,8112,9238,10112,11685,15299.23,15290.8,14906.62,18140.58,5775,5607,6829,7408,7857,8753,11031,10604,9763,10990,Uttarakhand,3.2.29
3.2.30,उत्तर प्रदेश,38510,44223,47029,51325,55255,62706,77827.06,88114.1,98485.55,101926.01,38510,39825,38700,39894,41273,44904,54452,59411,62725,61184,Uttar Pradesh,3.2.30
3.2.31,पश्चिम बंगाल,19262,21130,22509,23061,24487,27986,29459.29,32603.78,36794.71,41562.43,19262,19058,18409,17889,18361,19988,20288,21363,23056,23961,West Bengal,3.2.31
3.3,स्थानीय निकाय,75343,83197,90145,106268,118188,129248.41,145116.12,165656.56,182576.75,184791.76,75343,75204,74348,82560,86980,90605,98196,108842,115066,109932,local bodies,3.3
3.4,स्वायत्त संस्थाएं,39507,44223,46418,52025,59599,66075.68,72385.2,73947.22,93425.48,97304.96,39507,40539,38960,41319,45464,48467,51262,50393,60416,59112,autonomous institutions,3.4
,* दिल्ली व पुदुचेरी के अतिरिक्त अन्य संघ शासित प्रदेशों सहित,,,,,,,,,,,* including Union Territories except Delhi and Puducherry,,,,,,,,,,,
