"विवरण 4.2: कार्यकलापों के वर्गीकरण के अनुसार सामान्य सरकार का व्यय* (प्रचलित भावों पर), 2012-13",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
"Statement 4.2: Expenditure of General Government classified by function*, 
COFOG (At current prices), 2012-13
",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,(₹ करोड़),,,,,,,,,,,,,,,,,,,,,,(₹ crore),,
क्र.सं.,मद,सामान्‍य सार्वजिनक सेवाएं ,रक्षा ,सार्वजनिक व्यवस्था और सुरक्षा ,आर्थिक कार्य ,"सामान्‍य प्रशासन, विनियमन और अनुसंधान ","कृषि, वानिकी और मत्‍स्‍यन ","खनन, विनिर्माण और निर्माण ","बिजली, गैस, भांप और अन्‍य स्रोत ",जलापूर्ति ,परिवहन और संचार ,अन्‍य आर्थिक सेवाएं ,पर्यावरण संरक्षण ,हाउसिंग और सामुदायिक सुविधाएं ,स्‍वास्‍थ्‍य ,"प्रशासन, विनियमन और अनुसंधान ",स्‍वास्‍थ्‍य सेवाएं ,"मनोरंजन, संस्‍कृति और धर्म ",शिक्षा ,"प्रशासन, विनियमन और अनुसंधान",शिक्षा संबंधी सेवाएं ,सामाजिक संरक्षण ,कुल ,item,S.No.
,,,,,,"general administration, regulation & research","agriculture,forestry & fishing ","mining, manufacturing &  construction","electricity,gas,steam and other sources of energy",water supply,transport and communication,other economic services,,,,"administration, regulation & research",health services,,,"administration,  regulation & research",educational services,,,,
1,2,3,4,5,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,7,8,9,9.1,9.2,10,11,11.1,11.2,12,13,2,1
1,पूंजीतर व्यय,246508,181843,124267,547546,11665,171583,143571,51436,21646,48460,99185,911,67815,95203,12900,82303,13133,387921,15942,371979,141459,1806606,Current expenditure,1
1.1,उपभोग व्यय ,102712,181605,122378,69597,7522,27245,5640,1091,8740,16040,3319,442,14308,67713,9446,58267,6223,200379,6812,193568,46677,812034,consumption Expenditure ,1.1
1.1.1,कर्मचारियों का पारिश्रमिक,79463,140511,114795,51080,6026,20935,4484,2398,5772,8155,3310,118,10439,55068,7395,47673,3599,180688,5825,174864,20437,656197,compensation of Employees,1.1.1
1.1.2,वस्तुओं और सेवाओं का निवल क्रय,23249,41094,7583,18517,1496,6310,1156,-1306,2968,7885,9,324,3870,12645,2051,10594,2625,19691,987,18704,26240,155837,net purchase of commodities and services,1.1.2
1.2,आर्थिक सहायता,1133,0,14,395627,300,107603,125383,45725,31,23590,92995,1,523,376,1,376,1769,340,0,340,15570,415353,subsidy,1.2
1.3,पूंजीतर हस्‍तांतरण,142663,238,1875,82322,3843,36734,12548,4620,12876,8830,2871,469,52984,27114,3453,23661,5141,187201,9130,178072,79212,579219,Current Transfer ,1.3
1.3.1,स्थानीय निकायों को पूंजीतर हस्‍तांतरण,22442,0,15,12577,591,2848,571,160,1478,6415,513,213,41577,4899,1662,3237,563,54632,877,53755,12579,149498,current transfers to local bodies,1.3.1
1.3.2,अन्य पूंजीतर हस्‍तांतरण,120221,238,1859,69745,3252,33886,11977,4460,11397,2415,2358,256,11407,22215,1792,20424,4578,132569,8253,124317,66632,429721,other current transfers,1.3.2
2,पूंजीगत व्यय ,77147,75230,9540,171133,32401,20654,7999,22286,12054,70408,5330,455,59264,7694,379,7314,3199,42819,3822,38997,14922,461402,Capital Expenditure,2
2.1,सकल पूंजी निर्माण ,28146,75228,8949,93918,1816,9709,3493,3036,9359,61889,4617,174,22920,6697,301,6396,2217,20365,448,19917,5436,264050,GCF ,2.1
2.1.1,सकल स्‍थायी पूंजी निर्माण,27925,74823,8949,90937,1810,9488,3493,3036,8984,61247,2879,174,22964,6688,301,6387,2217,20335,448,19887,5436,260447,GFCF,2.1.1
2.1.2,स्‍टॉक में अंतर,221,405,0,2981,6,220,0,0,375,642,1738,0,-44,9,0,9,0,30,0,30,0,3603,CIS,2.1.2
2.2,पूंजी हस्तांतरण,49001,3,591,77215,30586,10946,4506,19250,2696,8519,712,281,36343,997,79,918,981,22454,3373,19081,9485,197352,Capital Transfer,2.2
2.2.1,स्थानीय निकायों को पूंजी हस्‍तांतरण,5655,0,0,34864,30510,1454,4,57,621,2171,47,0,18315,0,0,0,72,351,4,347,4671,63928,capital transfers to local bodies,2.2.1
2.2.2,अन्य पूंजी हस्‍तांतरण,43346,3,591,42351,76,9492,4502,19193,2075,6348,666,281,18029,997,79,918,909,22103,3369,18734,4815,133424,other capital transfers,2.2.2
3.1,स्टॉक में निवल निवेश,6226,0,44,54445,13119,6662,2261,15601,176,15670,955,0,3576,150,0,150,629,0,0,0,993,66062,Net Investment in Stock,3.1
3.2,ऋण और अग्रिम,10845,0,5,13920,59,316,1101,7547,2137,1895,865,0,6923,105,0,105,351,33,0,33,1194,33375,Loans and Advances ,3.2
3.2.1,स्थानीय निकायों को ऋण व अग्रिम,3,0,0,1515,0,14,106,17,1242,75,61,0,607,0,0,0,3,0,0,0,1000,3127,loans & advances to local bodies,3.2.1
3.2.2,घरेलू क्षेत्र को ऋण और अग्रिम,10842,0,5,12405,59,303,996,7529,895,1819,804,0,6317,105,0,105,348,33,0,33,194,30248,loans & advances to domestic sector,3.2.2
4,कुल व्यय,340725,257073,133856,787043,57245,199215,154932,96870,36014,136432,106335,1366,137578,103151,13279,89872,17312,430772,19763,411009,158567,2367444,Total expenditure,4
5,अंतिम उपभोग व्यय,102712,181605,122378,69597,7522,27245,5640,1091,8740,16040,3319,442,14308,67713,9446,58267,6223,200380,6812,193568,46677,812035,Final Consumption Expenditure,5
5.1,व्यक्तिगत उपभोग व्यय,0,0,0,0,0,0,0,0,0,0,0,0,0,58267,0,58267,6223,193568,0,193568,41997,300055,Individual Consumption Expenditure,5.1
5.2,सामूहिक उपभोग व्यय,102712,181605,122378,69597,7522,27245,5640,1091,8740,16040,3319,442,14308,9446,9446,0,0,6812,6812,0,4680,511980,Collective consumption expenditure,5.2
,,,,,,,,,,,,,,,,,,,,,,,,,
* व्यय में स्थानीय प्राधिकरणों का व्यय एवं स्थायी पूंजी अवक्षय सम्मिलित नहीं है।,,,,,,,,,,,,,,*Expenditure excludes expenditure of local bodies and CFC.,,,,,,,,,,,
