क्र. सं.,आर्थिक क्रियाकलाप,2011-12,,,,,,,2012-13,,,,,,,2013-14,,,,,,,2014-15,,,,,,,2015-16,,,,,,,2016-17,,,,,,,2017-18,,,,,,,2018-19,,,,,,,2019-20,,,,,,,2020-21,,,,,,,Economic Activity,Sl.no.
,,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,,
,,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,,
2,खनन एवं उत्‍खनन,231832,68097,163735,375,18190,44787,100383,233401,62373,171028,289,21214,49246,100278,245560,73386,172173,309,25653,48030,98181,247613,76620,170993,625,28042,48583,93744,238051,74103,163948,444,30755,48595,84154,251724.49,81735.045,169989.445,824.65,32159.188,56613.97,80391.637,272209.34,84278.3767,187930.9633,508.34,34043.9283,66972.21,86406.485,302610.21,90946.109,211664.101,730.76,35242.076,64597.09,111094.176,290614.08,87892.016,202722.064,715.35,36422.075,63444.37,102140.269,253505.99,84229.479,169276.511,736.16,37883.357,61505.97,69151.023,Mining & quarrying,2
3,विनिर्माण,803029,671056,131973,797,25082,62218,43876,830769,698700,132069,-1777,27100,69015,37731,871621,734157,137464,-4711,28946,72322,40907,798748,671505,127243,-4415,30716,76133,24809,674713,531362,143351,-6227,33196,80795,35587,737186.279,557018.317,180167.962,-7099.024,34409.496,90248,62610,843337.16242,647969.17115,195367.99128,-6824.71292,35708.92152,96159.0356,70324.74707,1073879.2625,866303.2431,207576.0193,-8813.1129,37829.7453,99618.217,78941.17,995042.2791,819288.8959,175753.3833,-10606.6995,39780.9832,102864.4784,43714.6212,815075.2927,583937.6953,231137.5974,-9148.8602,40780.0197,103776.0125,95730.4254,Manufacturing,3
4,"बिजली, गैस, जलआपूर्ति और अन्य उपयोगी सेवाएं",314036,180580,133456,-5496,47214,57548,34191,357277,204856,152420,-5935,52688,63035,42633,402328,223012,179316,-5531,58013,85821,41013,482972,294362,188610,-5836,65420,95475,33550,468491,248501,219990,-6504,71570,101302,53622,511540.072,275459.293,236080.779,-10589.952,77251.152,110016.955,59402.624,567507.4308,281104.3382,286403.0927,-7352.1076,83375.7986,125060.5979,85318.8038,617567.0108,320407.5795,297159.4313,-8937.771,92912.2036,141684.9112,71500.0874,694034.6644,363004.1529,331030.5114,-8975.1187,99490.341,145125.0607,95390.2285,677816.3491,346069.7848,331746.5643,-1815.92,106773.4748,150371.6593,76417.3502,"Electricity, gas, water supply and other utility services",4
5,निर्माण,103626,44654,58972,-103,3621,56729,-1275,116431,51343,65088,22,4412,62346,-1692,131725,59070,72654,-98,5329,69202,-1779,141454,61339,80115,-179,6044,76757,-2508,163621,76124,87496,-109,7126,83701,-3222,178344.3622,77977.9476,100366.4146,54.65,8686.555483,94562.703,-2937.49403,196802.40257,84885.14432,111917.25824,118.66,11572.60592,105538.84244,-5312.85,192356.52925,92408.03345,99948.4958,-272.94,15383.60806,93032.18171,-8194.35395,197670.57397,99199.68507,98470.8889,-291.98,17424.09147,89663.47613,-8324.6987,190397.68295,100454.77077,89942.91219,-191.5376,20820.30369,80835.68392,-11521.53782,Construction,5
6,"व्‍यापार, मरम्‍मत, होटल और जलपान गृह",48903,27305,21598,4178,517,7852,9051,56579,31424,25155,4760,525,8435,11435,60133,35937,24196,63,542,9100,14491,87988,59648,28340,280,580,9733,17748,75626,42394,33232,229,602,9441,22960,76626.84,44551.914,32074.926,189.447,640.742,10401.49,20843.247,80421.14,44679.3088887279,35741.8311112721,323.02,697.286955338725,10436.81,24284.7141559334,89791.62,47402.7926741468,42388.8273258532,269.36,768.820902029249,10115.67,31234.976423824,126750,76885.6662298802,49864.3337701198,251.39,815.398494001074,12626.29,36171.2552761187,131200.45,78679.0566442796,52521.3933557204,106.240288130792,837.035639381531,11187.4,40390.717428208,"Trade, repair, hotels and restaurants",6
6.1,व्‍यापार और मरम्‍मत सेवाएं,47604,26616,20988,4178,409,7297,9104,55250,30694,24556,4752,416,7866,11522,58327,34819,23508,26,427,8415,14640,86113,58494,27619,247,464,9039,17868,72242,40335,31907,141,484,8438,22844,72922.69,42297.859,30624.831,81.307,513.494,9289.65,20740.38,76931.8,42872.2008270374,34059.5991729626,69.05,560.237888588417,9286.63,24143.6812843742,85715.14,45134.6239632689,40580.5160367311,125.48,615.565875471211,8983.66,30855.8101612599,122223.81,74462.4456939343,47761.3643060657,90.77,660.931884179289,11428.43,35581.2324218864,129380.5,77757.1573138341,51623.3426861659,60.39,708.544370351076,10450.66,40403.7483158148,Trade & Repair Services,6.1
6.2,होटल और जलपान गृह,1299,689,610,0,108,555,-53,1329,730,599,8,109,569,-87,1806,1118,688,37,115,685,-149,1875,1154,721,33,116,693,-121,3384,2059,1325,87,119,1003,116,3704.15,2254.055,1450.095,108.14,127.249,1111.84,102.867,3489.34,1807.10806169056,1682.23193830944,253.97,137.049066750307,1150.18,141.032871559137,4076.48,2268.16871087791,1808.31128912209,143.88,153.255026558038,1132.01,379.166262564053,4526.19,2423.22053594595,2102.96946405405,160.62,154.466609821785,1197.86,590.022854232263,1819.95,921.899330445532,898.050669554468,45.850288130792,128.491269030455,736.74,-13.0308876067791,Hotels & restaurants,6.2
7,"परिवहन, भंडारण, संचार एवं प्रसारण से संबंधित सेवाएं",228704,97772,130932,-20832,28891,107074,15800,250303,104148,146154,-20670,30818,117955,18051,281636,124414,157222,-23210,31890,128187,20355,303804,127017,176787,-26214,33313,139521,30168,320993,124404,196589,-28341,32933,149598,42399,341003.478,131498.67500000002,209504.80299999996,-37373.886,33973.71,178726.18999999997,34178.791,362387.345942763,141729.9039065667,220657.44203619633,-40982.37364276311,36798.909015935285,192149.22422999996,32691.682433024234,388289.68416123,161269.5471359767,227020.13702525353,-45820.53156123005,39943.25292981661,200563.32865,32334.0870056669,403754.6237034394,160633.0312454901,243121.59245794936,-77319.14363943935,42211.545961545635,211294.48890400003,66934.7012318429,352178.6991789008,120518.1798947805,231660.51928412024,-100841.67325411257,43083.42270040298,194388.154155,95030.61568182988,"Transport, storage, communication & services related to broadcasting",7
7.1,रेलवे,95187,34057,61130,-6345,11919,42865,12691,112009,39816,72193,-4458,13162,48990,14498,128150,49575,78575,-6734,14304,55157,15848,144357,52241,92115,-6933,15491,62705,20852,150292,50089,100203,-6970,16095,66600,24479,158012.59,51825.16,106187.43,-11033.63,17575.392,84753.45,14892.22,171651.712700514,55866.08752,115785.625180514,-12879.2604005141,19968.3417942098,92160.95423,16535.5895568184,186742.471045,64474.3095,122268.161545,-15502.748445,22697.953916,96419.68865,18653.267423,198807.66247,64604.75765,134202.90482,-45005.823169,24570.880712,106736.77335,47901.073927,188453.687551,52680.60627,135773.081281,-66277.78595,25668.823294,105659.48183,70722.562106,Railways,7.1
7.2,सड़क परिवहन,44298,21746,22553,-2522,3318,19878,1880,47257,23961,23296,-2286,3354,20908,1321,52625,27510,25116,-1575,3393,23053,245,55389,28310,27079,-1954,3472,25799,-238,62410,29592,32818,-2210,3411,31195,423,64966.788,31170.656,33796.132,-2355.168,3374.542,35795.08,-3018.321,70770.6974394184,33662.5142811721,37108.1831582464,-3040.58743941842,3464.6049292765,37565.74,-881.57433161172,74299.735079086,35647.5163665742,38652.2187125119,-3381.33507908603,3590.39618052272,38321.51,121.647611075157,74526.4096808585,35787.4669692175,38738.942711641,-3946.94968085845,4046.05824797284,40635.48,-1995.64585547344,51133.9555189894,24703.3371112405,26430.6184077489,-4973.0244787843,4214.25620539941,34272.3,-7082.91331886617,Road transport,7.2
