"विवरण 7.4:  उद्योग में उपभोग के अनुसार निवल पूंजी स्‍टॉक (31 मार्च को) (प्रचलित भावों पर,  ₹ करोड़)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
"Statement 7.4: Net Capital Stock by Industry of Use (as on 31st March) (at current prices,  ₹crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं. ,आर्थिक क्रियाकलाप,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,Economic Activity,Sl.no.
,,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,,
,,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,,
1,"कृषि, वानिकी और मत्‍स्‍यन",2323249,95767,2419014,2699448,114118,2813567,3112204,132951,3245156,3455452,151391,3606843,3739676,169543,3909219,4053577.731,199259.12800000003,4252836.859,4355571.27759,226597.00256,4582168.28015,4700843.0882399995,261632.25829,4962475.34652,5086845.85202,282887.71616,5369733.56819,5572981.53633,299998.85011,5872980.38643,"Agriculture, forestry & fishing",1
1.1,फसलें,2101718,10609,2112327,2447106,13475,2460582,2826474,17307,2843781,3144218,19403,3163621,3417742,21694,3439436,3710361.617,24919.408,3735281.025,3979427.83653,25199.50065,4004627.33716,4282042.80231,27214.743780000004,4309257.54609,4635747.04214,29800.87031,4665547.91245,5080329.5239,31646.450859999997,5111975.97475,crops,1.1
1.2,पशुधन,103223,83527,186750,121606,98546,220152,140241,112580,252821,153384,128316,281700,154268,144807,299074,164713.655,171001.764,335715.42,182187.36418,197404.69275000002,379592.05694,203090.81437,229668.65327,432759.46764,213235.14107,248110.65281,461345.79387000005,231180.47169,263610.99411,494791.4658,livestock,1.2
1.3,वानिकी और लट्ठा बनाना,37693,1012,38706,41714,1027,42740,44654,1195,45849,46631,1211,47843,46791,1357,48148,50606.11,1381.011,51987.12100000001,55679.71418,1611.4050499999998,57291.11922,62431.680609999996,1700.3966799999998,64132.07729,66586.89424,1779.33878,68366.23302,72203.76348,1849.7285499999998,74053.49202,forestry & logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,80613,618,81231,89022,1070,90092,100835,1871,102706,111219,2461,113680,120876,1687,122562,127896.35,1956.9440000000002,129853.29400000001,138276.3627,2381.40412,140657.76683,153277.79093999998,3048.46456,156326.25551,171276.77456,3196.85427,174473.62884,189267.77729000003,2891.6765800000003,192159.45387000003,fishing and aquaculture,1.4
2,खनन एवं उत्‍खनन,660080,32376,692456,739249,38466,777714,877200,44322,921522,929711,47294,977004,951182,45127,996309,978602.6440000001,48991.644,1027594.2880000001,1035095.1736200001,54077.512409999996,1089172.6860300002,1106481.60676,58213.42630000001,1164695.03306,1157728.1065000002,53386.15472,1211114.26119,1216389.06866,51073.48936,1267462.5580199999,Mining & quarrying,2
3,विनिर्माण,5908258,946354,6854612,6504884,1074141,7579025,7007283,1162402,8169684,7515640,1245105,8760745,7852205,1276966,9129171,8241253.775,1362958.325,9604212.101,8860142.55345,1517990.79202,10378133.345460001,9619225.76953,1720864.26302,11340090.03255,10221785.30704,1770849.3032499999,11992634.61029,10679816.08624,1814530.8261,12494346.912330002,Manufacturing,3
