"विवरण 4.2: कार्यकलापों के वर्गीकरण के अनुसार सामान्य सरकार का व्यय* (प्रचलित भावों पर), 2013-14",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
"Statement 4.2: Expenditure of General Government classified by function*, 
COFOG (At current prices), 2013-14
",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,(₹ करोड़),,,,,,,,,,,,,,,,,,,,,,(₹ crore),,
क्र.सं.,मद,सामान्‍य सार्वजिनक सेवाएं ,रक्षा ,सार्वजनिक व्यवस्था और सुरक्षा ,आर्थिक कार्य ,"सामान्‍य प्रशासन, विनियमन और अनुसंधान ","कृषि, वानिकी और मत्‍स्‍यन ","खनन, विनिर्माण और निर्माण ","बिजली, गैस, भांप और अन्‍य स्रोत ",जलापूर्ति ,परिवहन और संचार ,अन्‍य आर्थिक सेवाएं ,पर्यावरण संरक्षण ,हाउसिंग और सामुदायिक सुविधाएं ,स्‍वास्‍थ्‍य ,"प्रशासन, विनियमन और अनुसंधान ",स्‍वास्‍थ्‍य सेवाएं ,"मनोरंजन, संस्‍कृति और धर्म ",शिक्षा ,"प्रशासन, विनियमन और अनुसंधान",शिक्षा संबंधी सेवाएं ,सामाजिक संरक्षण ,कुल ,item,S.No.
,,,,,,"general administration, regulation & research","agriculture,forestry & fishing ","mining, manufacturing &  construction","electricity,gas,steam and other sources of energy",water supply,transport and communication,other economic services,,,,"administration, regulation & research",health services,,,"administration,  regulation & research",educational services,,,,
1,2,3,4,5,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,7,8,9,9.1,9.2,10,11,11.1,11.2,12,13,2,1
1,पूंजीतर व्यय,280723,205165,139255,554921,11903,174122,140409,45620,21909,46292,114666,1491,74609,100767,16276,84491,15769,448319,21069,427250,163637,1984656,Current expenditure,1
1.1,उपभोग व्यय ,111308,204599,136863,57036,7309,28430,4704,-379,9242,3145,4585,1102,17626,70415,11643,58771,5945,229472,10075,219398,48851,883217,consumption Expenditure ,1.1
1.1.1,कर्मचारियों का पारिश्रमिक,90137,157176,129066,54616,6222,21702,4796,2556,6267,9032,4040,838,13196,58837,8051,50786,3965,203629,8818,194811,21933,733395,compensation of Employees,1.1.1
1.1.2,वस्तुओं और सेवाओं का निवल क्रय,21170,47423,7797,2420,1087,6728,-92,-2935,2975,-5887,545,264,4430,11578,3592,7986,1980,25843,1257,24587,26918,149823,net purchase of commodities and services,1.1.2
1.2,आर्थिक सहायता,1409,0,16,394192,6,103192,125666,34685,0,28563,102079,3,131,13,1,12,1891,3333,0,3333,16904,417893,subsidy,1.2
1.3,पूंजीतर हस्‍तांतरण,168006,566,2376,103693,4588,42499,10038,11314,12668,14584,8002,387,56852,30339,4632,25708,7933,215513,10994,204519,97882,683546,Current Transfer ,1.3
1.3.1,स्थानीय निकायों को पूंजीतर हस्‍तांतरण,28882,0,37,14570,160,2660,693,139,1529,8378,1011,82,35863,5887,2074,3813,599,63414,498,62916,15448,164783,current transfers to local bodies,1.3.1
1.3.2,अन्य पूंजीतर हस्‍तांतरण,139124,566,2338,89123,4428,39839,9345,11175,11139,6206,6991,304,20989,24452,2557,21895,7334,152099,10496,141603,82433,518763,other current transfers,1.3.2
2,पूंजीगत व्यय ,80754,83776,11726,192536,35315,21184,9672,31466,15705,72202,6991,805,65705,11772,699,11073,4201,44464,1808,42655,18016,513754,Capital Expenditure,2
2.1,सकल पूंजी निर्माण ,37043,83765,9566,102390,1256,10059,5330,3417,12811,67634,1884,306,26168,9095,489,8605,2820,25085,540,24545,8277,304514,GCF ,2.1
2.1.1,सकल स्‍थायी पूंजी निर्माण,36223,83642,9566,103015,1256,9869,5330,3417,12469,67005,3670,306,26152,9088,489,8598,2798,25051,540,24511,8277,304119,GFCF,2.1.1
2.1.2,स्‍टॉक में अंतर,819,123,0,-625,0,190,0,0,342,629,-1786,0,16,7,0,7,22,34,0,34,0,396,CIS,2.1.2
2.2,पूंजी हस्तांतरण,43712,11,2160,90145,34059,11125,4342,28050,2894,4568,5107,499,39538,2677,209,2468,1380,19379,1269,18110,9739,209240,Capital Transfer,2.2
2.2.1,स्थानीय निकायों को पूंजी हस्‍तांतरण,4977,0,0,41665,33331,1296,87,14,830,1516,4590,0,28365,77,0,77,7,1105,0,1105,4837,81035,capital transfers to local bodies,2.2.1
2.2.2,अन्य पूंजी हस्‍तांतरण,38735,11,2160,48480,728,9829,4255,28035,2063,3052,517,499,11172,2600,209,2391,1373,18274,1269,17005,4901,128205,other capital transfers,2.2.2
3.1,स्टॉक में निवल निवेश,2029,0,45,69878,16000,7617,2800,19339,55,22900,1167,0,1726,0,0,0,452,4,0,4,1071,75206,Net Investment in Stock,3.1
3.2,ऋण और अग्रिम,43240,0,6,16286,24,358,2318,10376,1521,1241,448,0,6735,0,0,0,2,34,0,34,243,66546,Loans and Advances ,3.2
3.2.1,स्थानीय निकायों को ऋण व अग्रिम,353,0,0,569,0,21,46,0,225,273,4,0,593,0,0,0,2,0,0,0,0,1517,loans & advances to local bodies,3.2.1
3.2.2,घरेलू क्षेत्र को ऋण और अग्रिम,42887,0,6,15717,24,337,2272,10376,1296,968,444,0,6142,0,0,0,0,34,0,34,243,65029,loans & advances to domestic sector,3.2.2
4,कुल व्यय,406747,288941,151032,833621,63241,203281,155199,106802,39190,142636,123272,2296,148774,112539,16975,95564,20425,492821,22877,469944,182967,2640163,Total expenditure,4
5,अंतिम उपभोग व्यय,111308,204599,136863,57036,7309,28430,4704,-379,9242,3145,4585,1102,17626,70415,11643,58771,5945,229472,10075,219398,48851,883217,Final Consumption Expenditure,5
5.1,व्यक्तिगत उपभोग व्यय,0,0,0,0,0,0,0,0,0,0,0,0,0,58771,0,58771,5945,219398,0,219398,45890,330005,Individual Consumption Expenditure,5.1
5.2,सामूहिक उपभोग व्यय,111308,204599,136863,57036,7309,28430,4704,-379,9242,3145,4585,1102,17626,11643,11643,0,0,10075,10075,0,2961,553212,Collective consumption expenditure,5.2
,,,,,,,,,,,,,,,,,,,,,,,,,
* व्यय में स्थानीय प्राधिकरणों का व्यय एवं स्थायी पूंजी अवक्षय सम्मिलित नहीं है।,,,,,,,,,,,,,,*Expenditure excludes expenditure of local bodies and CFC.,,,,,,,,,,,
