क्रं सं. ,आर्थिक क्रियाकलाप,2011-12,,,,,,,2012-13,,,,,,,2013-14,,,,,,,2014-15,,,,,,,2015-16,,,,,,,2016-17,,,,,,,2017-18,,,,,,,2018-19,,,,,,,2019-20,,,,,,,2020-21,,,,,,,Economic Activity,Sl.no.
,,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,,
,,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,,
7.2,सड़क परिवहन,590169,327728,262442,-1563,34731,53806,175469,675372,374721,300652,-1212,41299,60085,200480,766863,428557,338306,-712,42304,67933,228782,834144,463780,370364,-1043,45393,75142,250872,895873,495970,399903,-1280,49315,84472,267397,972213.2289999999,537265.759,434947.471,-1622.1240000000003,57873.57,93995.176,284700.85,1093608.1902075745,609474.6411148771,484133.5490926969,-2100.453655978641,70202.2477073223,102095.871879418,313935.8831619347,1227972.8081771228,691420.7240871472,536552.0840899759,-2157.125427809416,85340.92125375163,110878.19364029671,342490.09462373605,1297937.5084160934,732499.0146781465,565438.4937379479,-3016.158571616837,97021.22492592354,117485.06227289891,353948.36511074234,1015152.3946949265,567988.0623384186,447164.33235650876,-4016.1553112272413,99889.26417571711,96211.5260365578,255079.69745546172,Road transport,7.2
7.3,जल परिवहन,19604,12693,6910,-757,2243,1849,3574,20384,13193,7189,-834,2682,1976,3364,19145,12670,6476,-1146,2795,2052,2774,21022,13431,7590,-1006,2785,2047,3765,21981,14683,7298,-1275,2881,2268,3423,21806.668999999998,12600.458000000002,9206.211,-1043.941,2821.998,2333.237,5094.917,28551.597490690412,15530.6700962672,13020.927394423159,-1184.9830033946664,2887.087785233631,3294.2044188982973,8024.618193685894,32180.26279661901,19121.3599432349,13058.90285338412,-1086.0016714317687,2932.1407957938727,3561.4143208610662,7651.349408160937,32077.54024486241,18728.022644942088,13349.51759992028,-1277.2203529056892,2943.1794779702855,3387.3436071741958,8296.21486768149,29302.467356920388,15884.647494497558,13417.81986242286,-1391.0530949240724,3525.610514453781,3465.569167118129,7817.69327577502,Water transport,7.3
7.4,वायु परिवहन,55884,51491,4393,49,3360,7832,-6848,62077,53950,8127,72,3599,7564,-3108,72834,65982,6852,98,3559,8267,-5072,80842,69022,11820,88,3807,9016,-1090,83558,63215,20344,82,3575,9501,7187,97620.799,76124.671,21496.128,105.13,3472.5959999999995,11581.01,6337.392,117328.6162151286,94884.6477679148,22443.96844721375,112.206370990547,3594.82989125319,13489.45043134382,5247.48175362617,105014.89448089109,92284.69936634411,12730.195114547048,158.548565253807,3737.97855579335,11573.21096190711,-2739.54296840723,117325.02605081789,94816.8379300884,22508.18812072941,288.423316293431,8790.52708390369,14066.84439864362,-637.606678111287,53093.7064760159,42770.4135705573,10323.29290545858,284.7878706036795,9204.28552131992,9775.62835148229,-8941.4088379473,Air transport,7.4
7.5,परिवहन से संबंधित सेवाएं,130663,67062,63601,871,8950,17563,36217,145983,73928,72055,1014,10034,19658,41347,160502,84783,75718,904,10241,22415,42158,184702,93021,91681,1236,10817,25246,54382,192006,103760,88246,466,11666,25917,50196,225205.07400000002,122737.08600000001,102467.98800000001,523.745,13394.991,28682.346,59866.903999999995,212269.8028828712,114667.47690779707,97602.32597507452,576.9207298891376,14606.345047349467,31572.745767672222,50846.31443016374,246859.27298612078,143517.8142789083,103341.45870721192,727.5844868272429,16118.622637539862,36665.27589550527,49829.975687339516,233197.33404409868,129896.76099024495,103300.57305385395,675.3117136446834,17518.00496764464,33701.298347048265,51405.95802551636,207402.9509631685,109233.20543015077,98169.74553301759,384.88367679553744,18859.023897569816,31790.101693180848,47135.73626547137,Services incidental to transport,7.5
7.6,भंडारण,13774,8666,5108,188,756,1599,2565,12854,6689,6165,267,833,2004,3061,14818,8792,6026,81,911,2088,2946,14937,8531,6407,167,1037,2105,3098,15936,8915,7022,261,1116,2303,3341,15975.773,8533.626,7442.146999999999,169.243,1198.937,2422.872,3651.093,32744.35966123416,16550.37436684458,16193.985294389582,190.0404112542384,1409.4825355051469,4652.21804352645,9942.244304103726,36041.11264109905,17443.78935282101,18597.32328827804,213.4472018961638,1642.444291569065,5144.181126373912,11597.250668438932,37601.02088829636,18088.495816848044,19512.52507144842,360.9451787505942,1853.0110882808012,5332.688240269046,11965.88056414795,35194.57355785711,15566.18844666709,19628.385111190022,540.2967387431751,2046.659151835245,5345.400540552998,11696.028680058647,Storage,7.6
7.7,संचार और प्रसारण से संबंधित सेवाएं,351495,225566,125929,-9926,23152,57373,55330,394042,251074,142968,-11593,26300,62898,65363,450379,272575,177804,-11618,44746,68719,75957,525349,318908,206442,-13364,49157,74959,95690,548167,310886,237282,-15109,54948,80414,117029,580088.601,332279.225,247809.37600000002,-20947.138,61501.452000000005,88712.31599999999,118542.745,631625.2723335014,384075.9170001559,247549.35533334548,-22070.45909860316,74318.04790579871,113808.26941540839,81493.49711074163,677310.3936849383,419131.2916650682,258179.1020198702,-23904.06299971648,91126.6652298162,124272.55135407063,66683.94843569932,707083.5793136545,413989.6440340484,293093.935279605,-25071.909080503126,102543.53923623924,124968.05111219053,90654.2540116787,719465.1269813422,397563.5893559382,321901.537625404,-27269.16223321109,113858.32195828557,114910.70038637318,120401.6775139563,Communication & services related to broadcasting,7.7
8,वित्‍तीय सेवाएं,649765,169539,480226,373,6827,133983,339043,741138,204319,536819,147,8490,167426,360755,792383,193042,599341,156,10209,196546,392429,879315,217903,661412,540,12117,218172,430583,970992,244705,726286,548,14664,231884,479189,1043098.2384,292897.1296,750201.1088,588.72,16494.248,257305.4009,475812.73840000003,1181814.8141174,335620.6540689,846194.1600484999,512.5,18011.7297282,269987.4337998,557682.4965205,1317114.463694855,375336.496516342,941777.967178514,649.8621368,21344.82197448917,302738.950224912,617044.332842313,1438036.3353406969,410677.72821590095,1027358.607124796,311.42255830000005,23245.12235881942,351549.663047424,652252.3991602529,1504437.321340436,416215.471016154,1088221.850324282,240.80000520000002,26118.17329849349,362998.312777654,698864.564242934,Financial services,8
9,"स्‍थावर सम्‍पदा, आवास का स्वामित्व और व्‍यावसायिक सेवाएं",1380865,330213,1050652,37743,152755,252986,607169,1618364,378548,1239815,43998,191002,307699,697115,1987251,517082,1470169,37609,226122,374144,832295,2340087,638151,1701936,40478,278358,452091,931008,2629084,729231,1899852,43136,306670,539295,1010749,3022759.9809999997,861524.45,2161235.531,35462.63,345190.069,659732.014,1120850.818,2920182.04891532,639164.5094787248,2281017.5394366016,48550.70788759027,383180.09591978235,715531.7150659995,1133755.0205632215,3406110.05688567,818389.837089516,2587720.219796156,58602.341101708735,433752.24601876247,838920.3059770444,1256445.3266986425,3759520.97334967,907541.9176046081,2851979.055745057,67048.47827979943,468843.3970446829,951571.7003315225,1364515.480089053,3793112.80379563,835575.0344593937,2957537.7693362334,70254.18349963863,518909.663111027,1006755.1463729376,1361618.7763526323,"Real estate, ownership of dwelling and professional services",9
10,लोक प्रशासन और रक्षा,666419,175264,491155,0,85563,405592,0,720838,174606,546231,0,92087,454144,0,797137,195224,601912,0,98725,503188,0,907104,230286,676818,0,105064,571755,0,988917,257339,731578,0,108262,623316,0,1099612.193,272173.795,827438.398,0,113842.04,713596.358,0,1227081.7174451,281999.489797062,945082.227648042,0,122400.894309903,822681.333338139,0,1351468.837253,305981.312136,1045487.525117,0,132432.741528,913054.78359,0,1482617.221794,334876.582869,1147740.638925,0,140794.473722,1006946.165203,0,1608153.867971,369770.816086,1238383.051885,0,152126.393341,1086256.658544,0,Public administration and defence,10
11,अन्‍य सेवाएं,774575,239748,534827,2818,48150,341747,142113,891506,274163,617342,3480,53126,388958,171781,1008728,308705,700023,3404,58999,436307,201313,1175534,360816,814718,4760,65103,500438,244416,1336046,407557,928488,5534,71635,570763,280557,1541316.252,469917.325,1071398.926,5127.956,80515.084,652168.545,333587.33999999997,1666071.936085865,470312.767564595,1195759.168521269,8006.877803157,93019.731717424,725662.081277129,369070.477723559,1893559.560100628,517902.05193392,1375657.508166709,8819.317631578,107288.717988651,844243.408817992,415306.063728487,2095982.7024793979,542511.417538323,1553471.284941075,11805.045074157,120448.450579736,931730.387533328,489487.401753856,1937990.255674488,497585.848049219,1440404.4076252698,4507.647950859,128270.35838410801,940607.0715095119,367019.32978079,Other services,11
,कुल,17662041,9555096,8106946,6449,917174,2654202,4529121,19800101,10597408,9202692,14235,1060905,3027329,5100223,22267737,11904583,10363154,-9531,1195977,3407484,5769225,24449014,12944736,11504278,-27464,1342291,3845649,6343803,25312242,12737743,12574500,-20897,1449698,4163666,6982032,27764865.2427,13799665.487300001,13965199.755900001,-27939.7391731,1591332.255283,4717358.99714,7684449.15397,30366427.13504185,14860761.921974558,15505665.213274308,-39434.37035426954,1764811.7573909385,5275671.010670675,8504616.812666949,34766894.52895397,17591766.227596235,17175128.30104474,-43344.08974744747,1984290.1499687012,5913929.03809867,9320253.20131082,36420897.1509041,18065787.704150125,18355109.44685097,-72618.82379080255,2165145.4105195086,6438203.208893398,9824379.651135877,34530657.713284135,16472847.930790124,18057809.781604,-114524.96549129288,2340068.9193244823,6440900.208495908,9391365.618981907,Total,
