"विवरण 4.2: कार्यकलापों के वर्गीकरण के अनुसार सामान्य सरकार का व्यय* (प्रचलित भावों पर), 2014-15",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
"Statement 4.2: Expenditure of General Government classified by function*, 
COFOG (At current prices), 2014-15
",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,(₹ करोड़),,,,,,,,,,,,,,,,,,,,,,(₹ crore),,
क्र.सं.,मद,सामान्‍य सार्वजिनक सेवाएं ,रक्षा ,सार्वजनिक व्यवस्था और सुरक्षा ,आर्थिक कार्य ,"सामान्‍य प्रशासन, विनियमन और अनुसंधान ","कृषि, वानिकी और मत्‍स्‍यन ","खनन, विनिर्माण और निर्माण ","बिजली, गैस, भांप और अन्‍य स्रोत ",जलापूर्ति ,परिवहन और संचार ,अन्‍य आर्थिक सेवाएं ,पर्यावरण संरक्षण ,हाउसिंग और सामुदायिक सुविधाएं ,स्‍वास्‍थ्‍य ,"प्रशासन, विनियमन और अनुसंधान ",स्‍वास्‍थ्‍य सेवाएं ,"मनोरंजन, संस्‍कृति और धर्म ",शिक्षा ,"प्रशासन, विनियमन और अनुसंधान",शिक्षा संबंधी सेवाएं ,सामाजिक संरक्षण ,कुल ,item,S.No.
,,,,,,"general administration, regulation & research","agriculture,forestry & fishing ","mining, manufacturing &  construction","electricity,gas,steam and other sources of energy",water supply,transport and communication,other economic services,,,,"administration, regulation & research",health services,,,"administration,  regulation & research",educational services,,,,
1,2,3,4,5,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,7,8,9,9.1,9.2,10,11,11.1,11.2,12,13,2,1
1,पूंजीतर व्यय,297543,227035,166697,649599,15668,196780,125517,90324,25892,53652,141769,914,107057,125703,21605,104098,14908,492133,15499,476635,175330,2256919,Current expenditure,1
1.1,उपभोग व्यय ,118175,226064,162648,67662,8452,32925,-575,343,11515,9304,5698,289,22338,84482,13429,71053,6244,241448,10187,231262,46293,975643,consumption Expenditure ,1.1
1.1.1,कर्मचारियों का पारिश्रमिक,94712.902146337,175617.91447594928,151557.66712599376,58493.81865657858,7164.296314200057,24428.321632133797,5460.958478980003,2942.0708844982487,7378.242932164357,6983.994038110518,4135.934376491604,81.78444090076175,16993.537000061948,68537.22611100963,8812.481024177046,59724.74508683257,3340.7979387539945,228171.07104524656,9400.650272500588,218770.42077274594,21905.19105916854,819411.91,compensation of Employees,1.1.1
1.1.2,वस्तुओं और सेवाओं का निवल क्रय,23462.389999999996,50446.11,11090.58,9168.539999999999,1288.1,8496.310000000001,-6035.700000000001,-2599.12,4136.96,2319.550000000001,1562.4399999999998,207.26999999999998,5344.63,15944.95,4616.95,11328,2903.67,13277.400000000001,785.96,12491.44,24387.8,156233.34,net purchase of commodities and services,1.1.2
1.2,आर्थिक सहायता,2023.24,0,35.56,447787.18000000005,100.94,106207.7,112863.72,64911.58,20.83,33096.53,130585.88,1,167.39999999999998,10.89,0.58,10.31,2067.91,1247.22,0.3,1246.92,10993.84,464334.24000000005,subsidy,1.2
1.3,पूंजीतर हस्‍तांतरण,177345,971,4013,134150,7115,57647,13228,25069,14356,11251,5485,624,84552,41210,8175,33035,6596,249438,5312,244126,118043,816942,Current Transfer ,1.3
1.3.1,स्थानीय निकायों को पूंजीतर हस्‍तांतरण,35676,0,283.81,16616.810000000005,2119.0800000000004,3350.75,1542.47,174.77,3285.1600000000003,4804.2,1340.38,82.9,53710.310000000005,7989.889999999999,3234.87,4755.02,756.69,72638.37,502.03,72136.34,17950.04,205704.82000000004,current transfers to local bodies,1.3.1
1.3.2,अन्य पूंजीतर हस्‍तांतरण,141668.89,971.1700000000001,3729.3,117533.6,4995.73,54295.95,11685.25,24894.52,11070.42,6446.97,4144.76,540.61,30841.3,33220.16,4940.349999999999,28279.81,5839.610000000001,176800.03999999998,4810.099999999999,171989.94,100092.78,611237.46,other current transfers,1.3.2
2,पूंजीगत व्यय ,78730,85372,13588,197798,35253,16820,13717,16548,21472,89388,4601,742,97756,12718,955,11762,5185,49695,3668,46027,18033,559617,Capital Expenditure,2
2.1,सकल पूंजी निर्माण ,35282,85342,10972,119281,1927,9668,8086,4521,16914,74803,3363,86,34904,9845,674,9171,3557,25648,480,25168,12790,337707,GCF ,2.1
2.1.1,सकल स्‍थायी पूंजी निर्माण,34993.729999999996,85030.68000000001,10971.98,121094.51999999999,1926.8100000000002,9616.7,8086.320000000001,4521.03,15907.16,71162.42,9874.08,86.49000000000001,34869.56,9840.1,674.16,9165.94,3556.5699999999997,25620.680000000004,479.77,25140.91,13268.699999999999,339333.00999999995,GFCF,2.1.1
2.1.2,स्‍टॉक में अंतर,288.53999999999996,311.36,0,-1813.3400000000001,0,51.400000000000006,0.14,0,1006.43,3640.26,-6511.57,0,33.94,5.05,0.01,5.04,0.04,27,0,27,-478.67,-1626.0800000000002,CIS,2.1.2
2.2,पूंजी हस्तांतरण,43448,30,2616,78517,33326,7152,5631,12027,4558,14585,1238,656,62852,2873,281,2591,1628,24047,3188,20859,5243,221910,Capital Transfer,2.2
2.2.1,स्थानीय निकायों को पूंजी हस्‍तांतरण,9146.630000000001,0,0,5392.23,17.47,1487.45,18.55,9.9,2086.18,1772.68,0,0,24353.13,105.1,8.46,96.64,1.77,810.77,0,810.77,1187.25,40996.88,capital transfers to local bodies,2.2.1
2.2.2,अन्य पूंजी हस्‍तांतरण,34301.78,30.11,2616.29,73124.46,33308.61,5664.0599999999995,5612.849999999999,12017.009999999998,2471.58,12812.72,1237.63,656,38498.520000000004,2767.69,272.99,2494.7,1625.8300000000002,23236.489999999998,3188.2999999999997,20048.190000000002,4055.9,180913.07,other capital transfers,2.2.2
3.1,स्टॉक में निवल निवेश,5554.14,0,157.66,67974.38,7073.52,15115.75,3431.23,30361.27,433.22,10473.869999999999,1085.52,0,1806.48,6,6,0,508.1,44.1,0,44.1,1300.49,77351.35000000002,Net Investment in Stock,3.1
3.2,ऋण और अग्रिम,12602,0,0,35470,16,1075,3067,26282,1890,1880,1260,0,8543,49,8,42,28,18,0,18,119,56829,Loans and Advances ,3.2
3.2.1,स्थानीय निकायों को ऋण व अग्रिम,0,0,0,700.89,0,0,157.59,137.86,274.9,128.39,2.15,0,1318.31,2.77,0,2.77,0,0,0,0,0,2021.9699999999998,loans & advances to local bodies,3.2.1
3.2.2,घरेलू क्षेत्र को ऋण और अग्रिम,12602.310000000001,0,0,34769.33,15.73,1075.18,2909.69,26143.9,1615.11,1751.83,1257.8899999999999,0,7224.200000000001,46.62,7.5,39.12,27.64,17.57,0,17.57,119.41,54807.08,loans & advances to domestic sector,3.2.2
4,कुल व्यय,394429,312407,180443,950841,58011,229791,145732,163515,49687,155394,148716,1656,215162,138476,22574,115902,20629,541890,19167,522724,194782,2950715,Total expenditure,4
5,अंतिम उपभोग व्यय,118175,226064,162648,67662,8452,32925,-575,343,11515,9304,5698,289,22338,84482,13429,71053,6244,241449,10187,231262,46293,975644,Final Consumption Expenditure,5
5.1,व्यक्तिगत उपभोग व्यय,0,0,0,0,0,0,0,,,0,0,0,0,71053,0,71053,6244,231262,0,231262,44650.86790329962,353209.86790329963,Individual Consumption Expenditure,5.1
5.2,सामूहिक उपभोग व्यय,118175,226064,162648,67662,8452,32925,-575,343,11515,9304,5698,289,22338,13429,13429,0,0,10187,10187,0,1642.1320967003776,622434.1320967004,Collective consumption expenditure,5.2
,,,,,,,,,,,,,,,,,,,,,,,,,
* व्यय में स्थानीय प्राधिकरणों का व्यय एवं स्थायी पूंजी अवक्षय सम्मिलित नहीं है।,,,,,,,,,,,,,,,*Expenditure excludes expenditure of local bodies and CFC.,,,,,,,,,,
