"विवरण 4.2: कार्यकलापों के वर्गीकरण के अनुसार सामान्य सरकार का व्यय* (प्रचलित भावों पर), 2018-19",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
"Statement 4.2: Expenditure of General Government classified by function*, 
COFOG (At current prices), 2018-19
",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,(₹ करोड़),,,,,,,,,,,,,,,,,,,,,,(₹ crore),,
क्र.सं.,मद,सामान्‍य सार्वजिनक सेवाएं ,रक्षा ,सार्वजनिक व्यवस्था और सुरक्षा ,आर्थिक कार्य ,"सामान्‍य प्रशासन, विनियमन और अनुसंधान ","कृषि, वानिकी और मत्‍स्‍यन ","खनन, विनिर्माण और निर्माण ","बिजली, गैस, भांप और अन्‍य स्रोत ",जलापूर्ति ,परिवहन और संचार ,अन्‍य आर्थिक सेवाएं ,पर्यावरण संरक्षण ,हाउसिंग और सामुदायिक सुविधाएं ,स्‍वास्‍थ्‍य ,"प्रशासन, विनियमन और अनुसंधान ",स्‍वास्‍थ्‍य सेवाएं ,"मनोरंजन, संस्‍कृति और धर्म ",शिक्षा ,"प्रशासन, विनियमन और अनुसंधान",शिक्षा संबंधी सेवाएं ,सामाजिक संरक्षण ,कुल ,item,S.No.
,,,,,,"general administration, regulation & research","agriculture,forestry & fishing ","mining, manufacturing &  construction","electricity,gas,steam and other sources of energy",water supply,transport and communication,other economic services,,,,"administration, regulation & research",health services,,,"administration,  regulation & research",educational services,,,,
1,2,3,4,5,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,7,8,9,9.1,9.2,10,11,11.1,11.2,12,13,2,1
1,पूंजीतर व्यय,457341.74,351976.4,273506.79,812438.76,30979.32,288256.55,129006.27,120966.88,26715.12,67105.52,149409.1,1385.08,200561.39,211798.54,33244.76,178553.79,23669.24,764837.52,42477.61,722359.91,290789.13,3388304.59,Current expenditure,1
1.1,उपभोग व्यय ,175229.77,350890.71,269468.7,96256.8,11017.95,47617.13,12790.46,446.27,16336.68,2493.46,5554.85,273.57,34820.13,136756.54,20780.25,115976.3,10506,434797.54,20865.13,413932.41,63696.26,1572696.02,consumption Expenditure ,1.1
1.1.1,कर्मचारियों का पारिश्रमिक,142237.892770118,288109.874424237,255782.868970494,85764.1954737975,10053.3975051617,37486.52212582,7399.95950508,4796.84328013,10624.80543562,8869.92169198,6532.74593001,134.96938913,27140.19085765,114139.89276108,13581.03679719,100558.85596389,5634.96887609,388501.36356637,16958.5187153,371542.84485106,28743.42668469,1336189.64377364,compensation of Employees,1.1.1
1.1.2,वस्तुओं और सेवाओं का निवल क्रय,32991.8807966219,62780.84,13685.83,10492.608786237,964.55,10130.61,5390.50008624,-4350.57,5711.8787,-6376.46,-977.9,138.6,7679.9389,22616.65107442,7199.21,15417.44107442,4871.03,46296.17873927,3906.61,42389.56873927,34952.83,236506.38829655,net purchase of commodities and services,1.1.2
