"विवरण 4.2: कार्यकलापों के वर्गीकरण के अनुसार सामान्य सरकार का व्यय* (प्रचलित भावों पर), 2016-17",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
"Statement 4.2: Expenditure of General Government classified by function*, 
COFOG (At current prices), 2016-17
",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,(₹ करोड़),,,,,,,,,,,,,,,,,,,,,,(₹ crore),,
क्र.सं.,मद,सामान्‍य सार्वजिनक सेवाएं ,रक्षा ,सार्वजनिक व्यवस्था और सुरक्षा ,आर्थिक कार्य ,"सामान्‍य प्रशासन, विनियमन और अनुसंधान ","कृषि, वानिकी और मत्‍स्‍यन ","खनन, विनिर्माण और निर्माण ","बिजली, गैस, भांप और अन्‍य स्रोत ",जलापूर्ति ,परिवहन और संचार ,अन्‍य आर्थिक सेवाएं ,पर्यावरण संरक्षण ,हाउसिंग और सामुदायिक सुविधाएं ,स्‍वास्‍थ्‍य ,"प्रशासन, विनियमन और अनुसंधान ",स्‍वास्‍थ्‍य सेवाएं ,"मनोरंजन, संस्‍कृति और धर्म ",शिक्षा ,"प्रशासन, विनियमन और अनुसंधान",शिक्षा संबंधी सेवाएं ,सामाजिक संरक्षण ,कुल ,item,S.No.
,,,,,,"general administration, regulation & research","agriculture,forestry & fishing ","mining, manufacturing &  construction","electricity,gas,steam and other sources of energy",water supply,transport and communication,other economic services,,,,"administration, regulation & research",health services,,,"administration,  regulation & research",educational services,,,,
1,2,3,4,5,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,7,8,9,9.1,9.2,10,11,11.1,11.2,12,13,2,1
1,पूंजीतर व्यय,347223,286780,203984,640796,19772,197773,112194,113872,25954,31144,140089,1323,164924,163626,22212,141412,19798,621569,22318,599251,233281,2683304,Current expenditure,1
1.1,उपभोग व्यय ,147939,285702,200941,45614,8956,38491,2927,1105,13924,-25067,5279,421,28924,111804,13010,98793,8480,310761,12718,298043,59179,1199765,consumption Expenditure ,1.1
1.1.1,कर्मचारियों का पारिश्रमिक,117999.158,229764.822,187655.894,69036.968,7813.577,30152.503,6327.42,3778.611,8566,7398.188,5000.669,95.9,20404.649,88024.269,8568.892,79455.376,4386.862,294686.601,11205.77,283480.831,25105.194,1037160.316,compensation of Employees,1.1.1
1.1.2,वस्तुओं और सेवाओं का निवल क्रय,29939.415,55937.44,13285.57,-23422.68,1142,8338.21,-3400.76,-2673.69,5358.05,-32464.89,278.4,324.68,8519.5,23779.364,4441.32,19338.044,4092.74,16074.249,1512.44,14561.809,34073.33,162603.608,net purchase of commodities and services,1.1.2
