"विवरण 4.2: कार्यकलापों के वर्गीकरण के अनुसार सामान्य सरकार का व्यय* (प्रचलित भावों पर), 2015-16",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
"Statement 4.2: Expenditure of General Government classified by function*, 
COFOG (At current prices), 2015-16
",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,(₹ करोड़),,,,,,,,,,,,,,,,,,,,,,(₹ crore),,
क्र.सं.,मद,सामान्‍य सार्वजिनक सेवाएं ,रक्षा ,सार्वजनिक व्यवस्था और सुरक्षा ,आर्थिक कार्य ,"सामान्‍य प्रशासन, विनियमन और अनुसंधान ","कृषि, वानिकी और मत्‍स्‍यन ","खनन, विनिर्माण और निर्माण ","बिजली, गैस, भांप और अन्‍य स्रोत ",जलापूर्ति ,परिवहन और संचार ,अन्‍य आर्थिक सेवाएं ,पर्यावरण संरक्षण ,हाउसिंग और सामुदायिक सुविधाएं ,स्‍वास्‍थ्‍य ,"प्रशासन, विनियमन और अनुसंधान ",स्‍वास्‍थ्‍य सेवाएं ,"मनोरंजन, संस्‍कृति और धर्म ",शिक्षा ,"प्रशासन, विनियमन और अनुसंधान",शिक्षा संबंधी सेवाएं ,सामाजिक संरक्षण ,कुल ,item,S.No.
,,,,,,"general administration, regulation & research","agriculture,forestry & fishing ","mining, manufacturing &  construction","electricity,gas,steam and other sources of energy",water supply,transport and communication,other economic services,,,,"administration, regulation & research",health services,,,"administration,  regulation & research",educational services,,,,
1,2,3,4,5,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,7,8,9,9.1,9.2,10,11,11.1,11.2,12,13,2,1
1,पूंजीतर व्यय,313246,240435,176831,655325,14783,196436,109692,104360,22086,41935,166035,1204,134829,147345,23334,124011,22396,558618,26424,532194,217053,2467282,Current expenditure,1
1.1,उपभोग व्यय ,129000,239391,174191,71976,7859,37181,11220,2643,11429,-3750,5394,478,26856,99783,13457,86326,1431,279505,15629,263876,53714,1076325,consumption Expenditure ,1.1
1.1.1,कर्मचारियों का पारिश्रमिक,107786.02963544184,185429.36417302059,163679.2353982291,61921.4719667764,6575.12831226208,27050.152921947774,5851.696488369479,3045.4182859871166,8064.622469171448,6837.174852948205,4497.278636090296,194.98079867937392,18641.227214211147,80404.05249843643,9196.993856900608,71207.05864153583,4218.782028386876,263772.57081173995,14822.60154600556,248949.96926573437,21862.637485078307,907910.35201,compensation of Employees,1.1.1
1.1.2,वस्तुओं और सेवाओं का निवल क्रय,21214.18,53961.75,10511.27,10054.499999999996,1283.62,10130.359999999999,5368.62,-402.9100000000001,3364.8,-10586.960000000001,896.97,283.18,8214.97,19378.98,4259.71,15119.269999999999,-2787.48,15732.02,806.01,14926.01,31850.91,168414.28,net purchase of commodities and services,1.1.2
