क्र. सं. ,आर्थिक क्रियाकलाप,2011-12,,,,,,,2012-13,,,,,,,2013-14,,,,,,,2014-15,,,,,,,2015-16,,,,,,,2016-17,,,,,,,2017-18,,,,,,,2018-19,,,,,,,2019-20,,,,,,,2020-21,,,,,,,Economic Activity,Sl.no.
,,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,,
,,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,,
2,खनन एवं उत्‍खनन,136722,98539,38183,2977,12659,2248,20299,181796,132260,49535,1286,13388,3394,31468,237665,175977,61688,2631,15752,4179,39127,228844,157293,71551,340,16812,4872,49528,181259,112736,68524,424,16622,4673,46805,213146.565,133841.552,79305.013,1745.25,16920.109,4843.097,55796.558,155149.1396,96613.396,58535.7437,1882.6108,17595.0834,5579.9163,33478.1332,161865.024,98009.539,63855.485,2336.309,19272.137,6450.653,35796.387,154458.762,97312.541,57146.221,2103.909,20137.106,6160.645,28744.561,164509.468,100546.895,63962.573,2047.42,21041.429,6751.955,34121.769,Mining & quarrying,2
3,विनिर्माण,5197341,4098874,1098466,9574,192093,222640,674159,5743841,4513619,1230222,11542,207308,258963,752409,6417944,5080899,1337045,14006,221791,281430,819818,7004465,5499885,1504580,15362,240620,334019,914579,6917121,5210333,1706788,17191,258134,359784,1071680,7425074.131,5563202.25,1861871.881,29126,276066.075,395619.212,1161060.594,8189067.53695,6135555.59648,2053511.94047,14798.80934,295565.84119,431819.90444,1311327.3855,9771863.3456,7520358.1938,2251505.1517,16765.9019,320071.4739,502552.6659,1412115.1101,9806768.9334,7620527.7313,2186241.2021,16494.2133,342139.2248,552720.8902,1274886.8737,9328511.1109,7136281.818,2192229.2929,15654.6679,358730.4447,537733.4253,1280110.7549,Manufacturing,3
4,"बिजली, गैस, जलआपूर्ति और अन्य उपयोगी सेवाएं",192957,145790,47167,209,15212,6356,25391,232518,176907,55611,236,22006,5297,28072,281896,210709,71187,415,28072,6098,36602,319305,237992,81313,437,33608,6864,40404,336974,236073,100901,525,37332,7947,55096,349828.149,247915.931,101912.218,731.412,41450.35,8368.756,51361.7,381937.3081,265102.0154,116835.2927,1652.439,45461.8845,9308.1921,60412.7771,426564.723,301838.0337,124726.6893,1581.9258,50312.8415,10918.4325,61913.4895,402549.0629,263830.131,138718.9319,805.8655,53422.139,12651.0598,71839.8677,377128.9156,237180.1438,139948.7718,760.6995,57683.6591,12589.539,68914.8742,"Electricity, gas, water supply and other utility services",4
5,निर्माण,513906,389742,124164,3161,28739,32526,59738,564335,434768,129567,3520,38834,37319,49894,577706,441779,135928,3860,39855,39287,52926,599303,431596,167707,4359,41250,42524,79574,637989,463323,174666,5003,40124,44996,84542,693300.4411,504976.1121,188324.329,4946,44223.39724,48148.86154,91006.0702,830653.39001,608031.612731,222621.77728,5064.69243,47362.3106,54707.36259,115487.41166,1006274.8432,762251.461378,244023.38182,6342.13044,51448.071719,63687.783503,122545.396153,926884.32351,683679.99511,243204.3284,5891.59291,57365.31859,63203.6371,116743.77981,830069.99163,602437.62166,227632.36997,4305.60114,59652.55475,58159.09542,105515.11866,Construction,5
6,"व्‍यापार, मरम्‍मत, होटल और जलपान गृह",579634,212530,367104,2132,24896,93790,246286,687792,246478,441314,2333,29159,112588,297234,775176,277734,497442,2693,32350,126823,335576,871509,311457,560051,2826,36468,142465,378293,941562,337156,604406,2922,40512,154440,406533,1053037.454,373934.11,679103.344,2910.265,44716.114,175552.925,455924.041,1246293.1380606,429513.485714533,816779.65234607,3579.58267524337,50451.2911287441,216030.057411203,546718.721130879,1434536.76892679,505472.785436026,929063.983490761,3353.37634014233,56585.0939727929,249283.690984974,619841.822192853,1542871.10168336,533014.415716674,1009856.68596669,3235.48400609608,60828.0247512311,267214.816531803,678578.36067756,1200627.25800901,404827.803656935,795799.454352072,2947.82628466709,64063.6122774341,222339.182693981,506448.83309599,"Trade, repair, hotels and restaurants",6
6.1,व्‍यापार और मरम्‍मत सेवाएं,475287,147218,328069,1735,18599,77870,229865,572415,174490,397925,1850,22137,94340,279598,651565,200555,451010,2161,24878,107078,316893,738549,228800,509749,2134,28422,121220,357973,794433,246216,548216,2272,31836,131064,383045,891038.009,275040.865,615997.144,2308.265,35418.538,148749.247,429521.094,1060119.72522234,316208.261389531,743911.463832804,2759.20735216489,40254.634073961,183894.934944798,517002.68746188,1216919.42868902,371418.93541243,845500.493276585,2501.22255287553,45402.6978359788,211909.298467394,585687.274420337,1306381.83607602,384057.364481947,922324.471594075,2257.09737683347,48636.2592594492,225594.948975776,645836.165982017,1086932.50241616,329598.423627163,757334.078788999,2260.1868763146,51435.732827781,197558.383906401,506079.775178502,Trade & Repair Services,6.1
6.2,होटल और जलपान गृह,104347,65312,39035,397,6297,15920,16421,115377,71988,43389,483,7022,18248,17636,123611,77179,46432,532,7472,19745,18683,132960,82658,50302,691,8046,21245,20320,147130,90939,56190,650,8675,23377,23488,161999.445,98893.245,63106.2,602,9297.576,26803.678,26402.947,186173.412838268,113305.224325002,72868.1885132659,820.375323078484,10196.6570547831,32135.1224664055,29716.0336689988,217617.340237772,134053.850023596,83563.490214176,852.153787266796,11182.396136814,37374.39251758,34154.5477725151,236489.265607341,148957.051234726,87532.214372615,978.386629262603,12191.765491782,41619.8675560275,32742.1946955429,113694.755592846,75229.380029772,38465.3755630735,687.639408352484,12627.8794496531,24780.7987875802,369.057917487688,Hotels & restaurants,6.2
7,"परिवहन, भंडारण, संचार एवं प्रसारण से संबंधित सेवाएं",571213,382056,189157,1805,26381,53827,107144,647053,424697,222357,2312,32066,59965,128014,729129,472122,257007,2823,52612,69544,132028,840095,532939,307156,3931,61613,79939,161672,871230,534122,337107,2829,71969,87512,174797,946927.259,584707.639,362219.62,2322.728,83559.073,96027.832,180310.392,1073805.0569692354,686942.7816142335,386862.2753550018,1876.239639824282,99560.37933201027,127845.89845391191,157579.75792925543,1172319.6994814547,768158.7053863355,404160.9940951187,1948.9137636302498,120814.65586665078,141942.38988028944,139455.0309515477,1209013.7044102156,761052.0447202037,447961.6596900108,1992.4546643936542,140774.66027470343,145534.36303550645,159660.18159940775,1081264.8999116651,634368.2024046136,446896.69650705234,1749.2344255191756,156010.1194819854,133355.86861609676,155781.47479445103,"Transport, storage, communication & services related to broadcasting",7
7.1,रेलवे,465,445,20,0,699,29,-708,584,481,103,0,1836,35,-1768,706,557,149,0,2970,19,-2840,1134,790,344,1,6512,36,-6205,873,625,248,2,8315,58,-8127,2057.795,1459.456,598.338,5.261,9949.251,69.232,-9425,4505.30028368384,3707.41180239954,797.888481284301,4.95521089086188,11457.106558085,201.462662433892,-10865.6359501255,4932.569,3604.815,1327.754,7.707767,13475.49,204.5536,-12360.001,3680.508,2406.332,1274.176,6.023084,15283.08,202.8908,-14217.818,3207.232,2173.602,1033.629,4.866111,16861.83,172.9597,-16006.026,Railways,7.1
7.2,सड़क परिवहन,119370,76733,42638,101,6367,13904,22266,136356,86433,49923,106,6898,16090,26828,152869,99400,53468,152,7632,18525,27160,164881,105937,58944,179,8382,20523,29860,172576,111304,61272,97,9394,22249,29532,185801.349,118882.302,66919.048,171,11119.085,24329.434,31299.529,239268.29986935,154757.64540082,84510.6544685295,138.642365513208,12374.1770895281,27742.8458278308,44254.9891856574,280459.080385353,185939.54368007,94519.536705283,183.020735231934,14327.5947918284,31560.7215411097,48448.1996371129,298141.923302297,199106.539518531,99035.3837837659,207.033425617381,15396.4849286046,33409.7148816811,50022.1505478628,231782.861555752,148246.276943953,83536.5846117999,121.546333391514,15996.0178033176,27561.9688712909,39857.0516037999,Road transport,7.2
