"विवरण 7.2 क: उद्योगों के अनुसार सार्वजनिक क्षेत्र में सकल पूंजी निर्माण, सकल स्‍थायी पूंजी निर्माण, स्‍टॉक में अंतर व स्‍थायी पूंजी अवक्षय ( ₹ करोड़)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83
"Statement 7.2A: GCF, GFCF, CIS, CFC by industry for Public Sector ( ₹ crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Rs Crore),,,,,,,,,,,,,,,,,,,,
,,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,स्थिर (2011-12) भावों पर  At constant (2011-12) Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं,आर्थिक क्रियाकलाप,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,Economic Activity,Sl.no.
,,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,,
,,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,,
1.,"कृषि, वानिकी और मत्‍स्‍यन",35576,120,35696,12672,39617,126,39743,14265,40467,360,40827,15827,47004,315,47319,17143,55870,297,56167,18637,66361.65,533.2497427406,66894.8997427406,20125.8932903167,66786.08,129.65729,66915.73729,21517.1063,79473.25104,603.78481,80077.03585,23096.49676,72696.101,426.5154,73122.6165,24753.0237,76851.711,-35.5909,76816.1201,26877.3986,35576,120,35696,12672,35905,114,36019,12990,33631,294,33925,13291,36919,253,37172,13641,42287,235,42522,14210,47379.4471588545,387.6375745497,47767.0847334042,14684.7424041369,45917.61548,113.89906,46031.51454,15140.10897,53030.26202,463.14778,53493.4098,15715.60358,46723.7585,315.7941,47039.5526,16204.703,46748.7696,-20.5864,46728.1832,16688.8244,"agriculture, forestry and fishing",1.
1.1,फसलें,33723,129,33852,11344,37420,234,37654,12797,38231,316,38547,14251,44374,253,44627,15493,53083,224,53306,16982,62288.9,559.3325579075,62848.2325579074,18333.2353093596,63089.08,6.27836,63095.35836,19544.21952,74464.59104,457.79936,74922.3904,20888.02348,67412.171,319.2008,67731.3718,22404.973,71359.481,-39.7018,71319.7793,24339.9962,33723,129,33852,11344,33877,210,34087,11633,31676,257,31932,11907,34647,198,34844,12221,39806,170,39977,12746,43889.5296763236,410.0285525224,44299.558228846,13137.094798294,42940.82824,4.54543,42945.37367,13533.93724,49198.77823,328.78058,49527.55881,14021.32766,42720.6819,212.8563,42933.5382,14419.2309,42710.0773,-25.7488,42684.3285,14814.9936,crops,1.1
1.2,पशुधन,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-2.0573418282000002,-2.0573418282000002,0,0,10.70248,10.70248,0,0,-1.68712,-1.68712,0,0,-10.6482,-10.6482,0,0,-11.3213,-11.3213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1.8429137864,-1.8429137864,0,0,9.31508,9.31508,0,0,-1.40815,-1.40815,0,0,-8.7409,-8.7409,0,0,-9.1748,-9.1748,0,livestock,1.2
1.3,वानिकी और लट्ठा बनाना,1847,-10,1837,1325,2187,-108,2079,1465,2227,44,2271,1573,2632,62,2694,1646,2783,72,2856,1651,4069.42,-24.3257115077,4045.0942884923,1789.2178712395,3692.65,112.20959,3804.85959,1969.33951,4993.89,144.91642,5138.80642,2204.50539,5274.46,116.9382,5391.3982,2343.8078,5482.76,14.7313,5497.4913,2532.8986,1847,-10,1837,1325,2019,-96,1922,1353,1948,37,1985,1380,2274,56,2330,1417,2477,63,2541,1461,3486.9472082219,-20.9466991102,3466.0005091117,1544.5791672631,2973.01595,99.48937,3072.50532,1603.03897,3819.42093,132.94931,3952.37024,1690.88498,3995.3079,110.5907,4105.8986,1781.9517,4031.1041,13.471,4044.5751,1870.1911,forestry & logging,1.3
