क्र. सं.,आर्थिक क्रियाकलाप,2011-12,,,,,,,2012-13,,,,,,,2013-14,,,,,,,2014-15,,,,,,,2015-16,,,,,,,2016-17,,,,,,,2017-18,,,,,,,2018-19,,,,,,,2019-20,,,,,,,2020-21,,,,,,,Economic Activity,Sl.no.
,,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,,
,,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,,
2,खनन एवं उत्‍खनन,231832,68097,163735,375,18190,44787,100383,233401,62373,171028,289,21214,49246,100278,245560,73386,172173,309,25653,48030,98181,247613,76620,170993,625,28042,48583,93744,238051,74103,163948,444,30755,48595,84154,251724.49,81735.045,169989.445,824.65,32159.188,56613.97,80391.637,272209.34,84278.3767,187930.9633,508.34,34043.9283,66972.21,86406.485,302610.21,90946.109,211664.101,730.76,35242.076,64597.09,111094.176,290614.08,87892.016,202722.064,715.35,36422.075,63444.37,102140.269,253505.99,84229.479,169276.511,736.16,37883.357,61505.97,69151.023,Mining & quarrying,2
3,विनिर्माण,765208,661056,104152,7872,23285,38520,34475,789925,686960,102966,3084,25130,43542,31210,826144,719932,106212,3132,26788,45039,31254,752226,658542,93684,2655,28383,46822,15823,623450,517379,106071,1551,30824,48337,25359,678147.57,541102.52,137045.05,1762.198,31986.347,52746.77,50549.735,782260,631997.03115,150262.96885,1625.26,33163.78118,56883.43,58590.49767,1005855.48,846491.1191,159364.3609,996.56,35091.3235,57368.26,65908.2174,918068.97,794196.7447,123872.2253,998.55,36929.2783,57194.84,28749.557,745106.38,563849.4853,181256.8947,1263.67,37867.832,60042.35,82083.0427,Manufacturing,3
4,"बिजली, गैस, जलआपूर्ति और अन्य उपयोगी सेवाएं",272236,160949,111287,523,40262,42365,28138,309965,182281,127683,529,44878,46088,36189,349893,197901,151992,685,49403,67143,34761,423445,265178,158267,991,56143,74451,26683,403891,216694,187197,1519,62022,78103,45554,440114.24,240635.658,199478.582,-3861.18,66801.374,83915.16,52623.228,488891.29,244772.712,244118.578,-4370.62,71536.0019,94672.59,82280.6061,531067.39,281525.618,249541.772,-2729.34,79507.6556,107545.83,65217.6264,594754.11,313866.2925,280887.8175,-1646.58,85158.1877,109385.96,87990.2498,579812.94,302195.8309,277617.1091,-1815.92,90657.0754,113180.99,75594.9637,"Electricity, gas, water supply and other utility services",4
5,निर्माण,20891,17351,3540,-103,3166,1752,-1275,25526,21377,4149,22,3735,2085,-1692,30553,25795,4758,-98,4377,2257,-1779,30406,25859,4547,-179,4799,2435,-2508,36565,31720,4845,-109,5480,2696,-3222,45305,38731.44201,6573.55799,54.65,6493.58202,2962.82,-2937.49403,47371.06,40453.2575966,6917.8024,118.66,8622.88252,3489.11,-5312.85,56282.12711,49265.35471,7016.7724,-272.94,11673.18201,3810.88436,-8194.35395,61836.54723,53212.98741,8623.55982,-291.98,13151.58614,4088.65238,-8324.6987,60192.64188,52025.94076,8166.70112,-191.5376,15911.28915,3968.4874,-11521.53782,Construction,5
6,"व्‍यापार, मरम्‍मत, होटल और जलपान गृह",37890,17230,20660,4178,514,7715,8253,43788,20853,22935,4760,521,8285,9369,44636,23839,20797,63,538,8957,11239,68949,45912,23037,280,576,9536,12645,53753,28667,25086,229,598,9218,15041,52244,27703.164,24540.836,189.447,636.355,10142.45,13572.584,53290.98,28543.7888887279,24747.1911112721,323.02,692.544626965242,10164.18,13567.4464843068,59689.04,30848.3626741468,28840.6773258532,269.36,763.503834338103,9823.15,17984.6634915151,97494.35,57071.7562298802,40422.5937701198,251.39,810.090680080616,12310.26,27050.8530900392,108495.84,61648.5266442796,46847.3133557204,106.240288130792,831.615630714275,10891.27,35018.1874368753,"Trade, repair, hotels and restaurants",6
6.1,व्‍यापार और मरम्‍मत सेवाएं,36591,16541,20050,4178,406,7160,8306,42459,20123,22336,4752,412,7716,9456,42830,22721,20109,26,423,8272,11388,67074,44758,22315,247,460,8843,12765,50369,26608,23761,141,480,8215,14926,48539.85,25449.109,23090.741,81.307,509.106,9030.61,13469.718,49801.64,26736.6808270374,23064.9591729626,69.05,555.495560214935,9014,13426.4136127477,55612.56,28580.1939632689,27032.3660367311,125.48,610.248807780065,8691.14,17605.4972289511,92968.16,54648.5356939343,38319.6243060657,90.77,655.624070258831,11112.4,26460.8302358069,106675.89,60726.6273138341,45949.2626861659,60.39,703.12436168382,10154.53,35031.2183244821,Trade & Repair Services,6.1
6.2,होटल और जलपान गृह,1299,689,610,0,108,555,-53,1329,730,599,8,109,569,-87,1806,1118,688,37,115,685,-149,1875,1154,721,33,116,693,-121,3384,2059,1325,87,119,1003,116,3704.15,2254.055,1450.095,108.14,127.249,1111.84,102.867,3489.34,1807.10806169056,1682.23193830944,253.97,137.049066750307,1150.18,141.032871559137,4076.48,2268.16871087791,1808.31128912209,143.88,153.255026558038,1132.01,379.166262564053,4526.19,2423.22053594595,2102.96946405405,160.62,154.466609821785,1197.86,590.022854232263,1819.95,921.899330445532,898.050669554468,45.850288130792,128.491269030455,736.74,-13.0308876067791,Hotels & restaurants,6.2
7,"परिवहन, भंडारण, संचार एवं प्रसारण से संबंधित सेवाएं",115247,62452,52795,707,17488,47997,-13397,119332,62741,56592,-851,18261,52458,-13276,133424,73420,60004,351,18336,54965,-13648,138261,73350,64911,-448,18801,57081,-10523,148483,73440,75045,-1017,18042,61674,-3655,159924.33000000002,82536.64500000002,77387.685,-659.8799999999997,18073.431000000004,68105.58,-8131.446,165546.08000000002,87451.7383865667,78094.34161343324,-558.0300000000002,19374.928858574953,72805.35,-13527.907245141645,175547.68000000002,99637.14563597667,75910.53436402344,22.5600000000004,21002.385864013802,74705.58,-19819.991499990378,177558.00999999998,98787.3359300901,78770.67406990995,-104.21000000000049,22021.097068286752,73675.15000000001,-16821.362998376855,131307.13,67780.34120978048,63526.78879021948,-323.3502832118288,21986.93102244396,57023,-15159.791949012642,"Transport, storage, communication & services related to broadcasting",7
7.1,रेलवे,2999,1745,1254,8,1564,520,-838,3439,2203,1236,22,1663,753,-1203,4328,2837,1491,49,1831,688,-1077,5772,3464,2307,48,2076,879,-696,6660,4281,2379,4,2295,918,-837,10663.59,8069.16,2594.43,4.37,2748.392,1143.45,-1301.78,10992.6,7328.85,3663.75,-191.91,3736.2408436957,1669.91,-1550.4908436957,13272.68,9137.61,4135.07,-112.31,4993.437021,1975.82,-2721.877021,13701.85,9087.93,4613.92,-156.63,5642.447242,2310.09,-3181.987242,8745.88,6214.52,2531.36,-111.374799,5916.773844,1625.87,-4899.909045,Railways,7.1
7.2,सड़क परिवहन,38241,20465,17776,1640,2624,16032,-2520,41431,21974,19456,1403,2665,17845,-2457,46291,25300,20991,2514,2717,19698,-3939,48378,25838,22540,2576,2800,22039,-4874,54920,27023,27898,2671,2776,27012,-4561,56935.58,28358.606,28576.974,2846.01,2760.934,31293.83,-8323.8,62014.86,30699.6642811721,31315.1957188279,2777.77,2857.68748985808,32487.84,-6808.10177103014,64913.98,32368.0863665742,32545.8936334258,2950.71,2999.15110143669,32914.23,-6318.19746801087,64600.15,32321.5569692175,32278.5930307825,2863.4,3456.27856711439,34878.04,-8919.12553633189,41488.51,21488.9571112405,19999.5528887595,2138.09104020514,3617.30068640997,28525.88,-14281.7188378556,Road transport,7.2
