क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item ,S.No.
3.5,अरंड़ी,11261,6086,6263,7081,5835,5333.847,7178.765,6089.41894,7970.62982,6388.86888,11261,9471,8281,9095,8640,6811.238,7909.11,5844.86204,8948.83494,8020.91558,castor,3.5
3.6,नारियल,13293,10993,14657,21448,20287,17051.738,22570.733,24677.83506,24678.4877,26327.38196,13293,12619,11797,12294,12756,11378.891,10889.78,11572.69492,11675.82308,12147.75543,coconut,3.6
3.7,नाइजर बीज,271,308,321,276,317,392.476,308.786,215.96554,214.7721,229.667,271,286,272,212,208,236.147,198.439,135.33931,123.49973,117.47535,niger seed,3.7
3.8,कुसुम,308,340,310,218,141,251.564,170.641,87.38886,171.78623,133.28329,308,265,276,220,142,235.427,149.408,66.76037,120.48127,106.79021,safflower,3.8
3.9,सूरजमुखी,1432,1734,1583,1376,988,799.273,668.192,726.43351,794.12049,917.68893,1432,1513,1404,1205,812,683.066,602.857,551.21522,580.77053,627.12311,sunflower,3.9
3.10,सोयाबीन,28307,40746,41323,36541,31305,40651.771,34018.668,43800.45946,41395.52101,50631.10507,28307,33321,26983,23430,19399,29894.688,24873.42,30168.89474,25482.93043,29276.0871,soyabean,3.10
3.11,तारामीरा,71,170,463,66,35,434.755,77.408,151.14324,131.40925,155.54708,71,151,462,49,22,285.377,48.046,103.03807,103.03807,114.19564,taramira,3.11
3.12,अन्‍य,708,337,479,1507,2594,2754.646,1482.949,3129.34379,3123.09383,3624.73038,708,375,443,1215,1810,2007.67,1098.877,2093.0368,2098.32216,2280.23022,other ,3.12
4,शर्करा,76048,83673,93685,96861,96138,94978.995,117417.408,121942.52436,117046.23602,136158.03505,76048,72325,75186,75928,74159,68270.128,81065.105,85877.08926,80621.4281,86056.46182,sugars,4
4.1,गन्ना,60139,68279,72777,78433,74660,72441.009,99604.512,101698.84473,96500.91527,117270.21042,60139,58614,56181,59456,54192,50013.018,67300.882,68376.54174,63942.6583,70964.09848,sugarcane,4.1
4.2,गुड़,15618,15104,20568,18096,21204,22256.834,17483.975,19943.78075,20228.70146,18549.47021,15618,13459,18735,16206,19754,18051.01,13530.336,17280.7209,16445.79681,14864.99406,gur,4.2
4.3,अन्‍य,291,290,339,333,275,281.152,328.922,299.89888,316.61929,338.35442,291,253,270,266,213,206.1,233.888,219.82662,232.97299,227.36928,others,4.3
5,रेशे,81944,72988,87847,76302,70845,90402.356,88391.637,83881.78501,103896.08308,94910.27166,81944,77999,82503,80163,68118,74385.732,75502.289,63217.76109,81001.41832,79417.50997,fibres,5
5.1,कपास,77426,68515,82535,70748,63173,82217.403,81218.314,75478.17034,93976.67761,83697.30207,77426,73688,77903,75802,64012,70081.125,71586.51,59347.69666,77086.43902,75630.84869,kapas,5.1
5.2,पटसन,4220,4205,5000,5279,7269,7767.862,6891.255,8123.91412,9548.25692,10809.19036,4220,4062,4342,4147,3860,4071.031,3724.608,3717.47688,3728.19698,3599.92427,jute,5.2
5.3,सन,40,31,35,35,45,48.913,46.038,50.48299,51.94057,56.33114,40,31,31,31,29,29.449,28.754,29.89605,30.71951,30.04951,sannhemp,5.3
5.4,पटुआ,189,196,224,189,287,288.705,181.806,189.35318,271.64391,303.96995,189,179,187,144,172,155.113,125.293,98.89332,129.56967,130.77217,mesta,5.4
5.5,अन्‍य,69,41,52,52,70,79.473,54.225,39.86438,47.56407,43.47815,69,39,39,39,45,49.015,37.124,23.79819,26.49314,25.91532,others,5.5
6,रंगाई और चर्म शोधन सामग्री,86,80,49,99,80,108.056,217.114,339.51556,338.58657,330.11529,86,80,77,81,79,80.833,87.963,90.18858,90.18568,90.18568,"indigo, dyes & tanning material",6
7,नशीले पदार्थ,38477,50307,58135,58510,59400,62308.072,63610.222,53933.15495,56041.23104,61457.95497,38477,44615,45719,45269,43450,42204.173,43813.03,35216.38806,36783.68878,36196.41513,drugs & narcotics,7
7.1,चाय,6171,9254,9770,10000,11175,13671.091,12902.741,14561.8765,14499.44593,19185.87308,6171,7193,7646,7523,7840,8087.724,8501.072,8695.21625,8763.63071,8262.72669,tea,7.1
7.2,कॉफ़ी,6662,7292,6745,8603,7370,8350.136,8314.531,8594.46715,6955.29377,8263.10121,6662,7054,6510,7024,7171,6380.356,6438.461,6391.62324,5990.82398,6714.54768,coffee,7.2
7.3,तंबाकू,7270,7580,9616,11506,10686,10117.401,10217.04,8555.58375,10212.59911,9675.17333,7270,6837,7540,8692,6769,6250.364,6150.521,4763.4123,5925.88228,5614.03983,tobacco,7.3
7.4,अफ़ीम,118,55,46,52,5,46.742,46.7,74.95084,55.3667,62.48952,118,55,48,51,5,43.124,41.806,60.53393,43.24634,47.63002,opium,7.4
7.5,पान के पत्ते,7484,9570,11186,10698,11276,11833.227,13291.897,12408.65613,12514.36982,12169.09368,7484,7558,7806,8755,7892,7897.914,8076.311,8015.79742,8015.79742,7493.44059,betel leaves,7.5
7.6,इसबगोल,599,626,753,1025,1402,2122.351,2292.938,1515.3077,1494.10874,1531.12056,599,556,533,578,693,874.02,1116.565,895.16319,792.3634,792.3634,isabgol,7.6
7.7,केसर,40,40,58,47,52,64.58,27.494,60.74482,58.94704,58.45017,40,36,40,25,22,23.723,8.598,18.45,18,18,saffron,7.7
7.8,कोको,148,139,138,299,511,419.658,457.293,469.61511,485.28671,504.92306,148,141,145,252,410,329.401,378.65,384.1108,399.97991,419.70218,cocoa,7.8
7.9,अन्‍य,9985,15750,19824,16280,16923,15682.887,16059.589,7691.95296,9765.81321,10007.73035,9985,15185,15451,12368,12648,12317.547,13101.045,5992.08094,6833.96474,6833.96474,others,7.9
8,मसाले,46400,46313,57738,73256,82245,90136.656,97707.416,121045.71651,143291.68767,152250.11846,46400,45802,49980,52992,51523,56901.572,62601.94,69279.63122,76693.62873,78497.57835,condiments & spices,8
8.1,इलायची,1220,1354,1443,2019,1850,2479.367,2676.618,2196.66326,3697.64616,4928.57933,1220,1239,1488,1679,1773,1744.225,1787.296,1316.63644,1204.44751,1948.43877,cardamom,8.1
8.2,मिर्च,10999,11214,16403,19237,17316,22069.879,21931.578,19729.74084,19814.68736,24909.17936,10999,11604,14411,15025,10884,15092.908,15689.669,13420.81223,13010.16971,14832.55766,chillies,8.2
8.3,काली मिर्च,1489,2266,1971,3809,4202,3753.57,2823.327,2177.70714,3143.47009,3512.98101,1489,1747,1295,1738,1903,1492.225,1624.81,1550.09576,2090.24398,2418.97194,black pepper,8.3
8.4,सूखी अदरक,2861,2986,4209,5657,8202,6917.135,6935.842,13183.52414,16546.75858,17320.05786,2861,2660,3008,3481,5521,4727.81,4949.817,8682.28487,8956.31397,9046.41705,dry ginger,8.4
8.5,हल्दी,7276,6408,6294,7193,7791,8450.015,9441.35,6943.27069,7662.49361,7166.2206,7276,6005,5259,5223,4922,5807.852,5840.309,4288.8481,5820.78779,5373.09701,turmeric,8.5
8.6,सुपारी,7935,8438,10279,14637,16559,15310.035,22941.114,28656.82189,34058.45109,36047.88886,7935,8061,8405,8796,8945,8839.255,10925.504,13706.46121,16044.45458,14998.90292,arecanut,8.6
8.7,लहसुन,3088,2953,4288,5090,8404,11043.679,7413.057,22419.63462,27432.65364,27630.51578,3088,3307,3336,3408,3789,3495.579,3493.886,6842.05159,6878.11838,7489.77687,garlic,8.7
8.8,धनिया,1921,2008,1981,3250,4132,4762.742,3714.649,3304.92426,5874.00187,7478.05511,1921,1585,1254,1796,2461,3992.48,3222.888,2603.88711,3238.12186,3842.38592,coriander,8.8
8.9,सोंफ,804,407,487,505,962,1158.941,734.542,1200.92568,816.29516,657.91057,804,367,350,342,645,757.186,500.012,765.93482,671.65547,611.10267,fennel,8.9
8.10,जीरा,5789,5212,5434,5411,6970,7512.832,11022.367,10660.59469,12126.97114,10084.76309,5789,6102,6757,6557,6646,6484.445,9052.841,9070.19725,11931.16747,11200.67715,cumin,8.10
8.11,अजवायन,213,111,113,119,169,230.585,141.319,134.88595,118.45927,79.10888,213,144,129,108,133,174.13,121.757,123.64018,99.30226,74.86232,ajwain,8.11
8.12,मेथी,288,253,252,518,1224,1026.626,522.773,453.6772,852.44411,839.93334,288,243,220,262,525,452.134,266.14,220.32676,232.72311,258.86087,methi,8.12
8.13,इमली,868,898,1025,1329,1394,1360.016,1697.229,1779.87004,1602.67033,1631.12211,868,828,908,1044,973,971.563,920.354,923.80107,733.11824,705.43493,tamarind,8.13
8.14,जायफल,423,423,397,390,335,298.6,274.906,298.20284,301.18522,302.92762,423,423,446,479,504,464.58,504.833,502.0814,493.29818,469.08916,nutmeg,8.14
8.15,लौंग,5,6,7,7,6,9.415,8.051,4.73959,4.00005,4.34025,5,6,7,6,6,8.637,8.258,5.24819,5.38202,5.52121,cloves,8.15
8.16,अन्‍य,1221,1375,3155,4084,2730,3753.221,5428.694,7900.53368,9239.5,9656.53469,1221,1480,2710,3048,1893,2396.562,3693.565,5257.32425,5284.32419,5221.48192,others,8.16
9,फल और सब्जियां,287427,339302,414814,478412,481405,510406.93,588077.153,607752.43853,704148.06744,743811.80117,287427,301067,315893,326584,335293,352869.384,369527.765,373637.09274,383321.65008,387134.39111,fruits & vegetables,9
9.1,केला,24986,26966,35048,45441,42570,55164.562,65594.285,69570.76285,70651.90468,70239.11022,24986,23937,25541,29632,28684,31436.351,34053.312,34626.28016,35443.92787,36294.76037,banana,9.1
9.2,काजू,4318,4505,5814,6879,7133,8009.675,8664.33,7846.62728,7121.0141,7473.88977,4318,4440,5112,5357,4868,5134.817,5195.89,4922.68617,4667.42964,4901.78944,cashewnut,9.2
9.3,आलू,21295,30456,40879,63257,39204,45048.791,41971.596,49213.53175,60252.34676,100874.8231,21295,23758,22505,27351,24411,29656.797,29546.058,28193.9188,28017.26457,31287.24535,potato,9.3
9.4,शकरकंदी,1361,1611,1836,2061,1950,2186.592,2500.391,2646.60869,2969.91831,3211.63884,1361,1386,1406,1534,1409,1461.289,1459.224,1491.43431,1450.79667,1539.69851,sweet potato,9.4
9.5,टैपिओका,5505,4803,7672,7959,6984,8389.738,9234.393,9042.98723,11493.92669,11155.46572,5505,4557,4368,5098,4353,3925.264,4717.32,4395.13698,4973.49239,4815.37874,tapioca,9.5
9.6,प्याज,13607,14592,24814,20847,28352,17529.703,32318.207,25928.76692,55369.30605,47407.53183,13607,11723,14445,13880,16546,17776.413,20398.299,20542.70285,24603.45929,25300.21709,onion,9.6
9.7,आम,33702,41814,41893,53770,57626,62720.206,73151.331,76166.77547,83257.44808,99276.84514,33702,37592,39217,39194,38511,41222.025,44050.91,43901.59257,41018.17705,42039.13932,mango,9.7
9.8,फूलों की खेती (फूल),17365,19299,21265,20297,23920,25974.782,30697.479,34775.89054,41390.1972,31716.68368,17365,17317,17838,17003,19719,21741.874,23638.353,26363.15579,26987.41117,23437.38551,floriculture,9.8
9.9,अंगूर,3710,6345,7137,8256,5934,7279.322,8189.917,8346.05155,10229.48017,9625.62612,3710,4086,4261,4599,4212,4706.877,4821.227,5022.17971,5206.81431,5284.2258,grapes,9.9
9.10,पपीता,4122,6198,7697,6815,7949,9201.76,9359.828,11041.27615,11126.14137,11937.38584,4122,4784,5141,5014,5273,5466.608,5442.81,5360.98323,5251.93453,5508.76649,papaya,9.10
9.11,सेब,3590,6393,7566,6534,6941,6467.322,6986.39,6704.31518,9039.20581,7230.31088,3590,3883,5339,4747,5277,3898.903,3850.587,3550.60848,5212.72142,3810.81808,apple,9.11
9.12,मौसमी,1417,1564,2179,1972,2091,2359.23,2501.6,2386.77376,6412.44747,5495.26683,1417,1655,2024,1691,1711,1732.172,2025.38,1903.88998,4973.69334,4708.93886,mosambi,9.12
9.13,नींबू,4754,5072,5723,8275,7736,7689.67,8697.791,10376.01821,8712.34766,6620.50501,4754,5113,5428,6141,5904,5934.275,6526.055,7165.08816,7297.85033,7422.86043,lemon,9.13
9.14,संतरा,9044,11464,13183,14926,15436,17669.452,20678.817,23248.19139,16612.62583,19090.37369,9044,11389,12778,13005,13057,13938.193,15492.378,17002.82524,14747.9051,14483.62218,orange,9.14
9.15,अन्य खट्टे फल,880,1191,1360,1847,1669,2179.446,2097.665,847.81782,1209.99737,847.60525,880,926,972,1283,1221,1527.702,1478.863,618.17762,838.54568,786.24221,other citrus fruit,9.15
9.16,लिची,2237,2553,2440,2601,2835,3025.748,3558.708,3531.83805,3689.91791,3542.9762,2237,2396,2440,2287,2256,2308.91,2697.777,2825.79885,2818.96805,2795.87194,lichi,9.16
9.17,अनानास,2363,2575,2932,3643,3708,4171.78,3971.018,4336.12104,4583.75601,3662.52776,2363,2463,2639,2947,2790,2687.756,2496.616,2505.37678,2501.94276,2562.57794,pine apple,9.17
