Product,Total_Output_crore,Total_Output_USD_M,Final_Demand_crore,Final_Demand_USD_M,Supply_Output_crore,Supply_Output_USD_M,Total_Output_2015prices,Total_Output_2015prices_USD_M,Deflator,USD_INR_Rate,Output_Sign_Corrected
Processed fruits & Processed Vegetables,362395.13253819774,56491.83671678842,65911.0,10274.51286048324,64140.0,9998.441153546375,362395.13253819774,56491.83671678842,1.0,64.15,0
Dairy products,307767.55007980973,47976.23539825561,146488.0,22835.229929851906,159755.0,24903.35151987529,307767.55007980973,47976.23539825561,1.0,64.15,0
Edible Oils and Fats,454559.0,70858.76851130163,136055.0,21208.885424785658,199576.0,31110.833982852688,454559.0,70858.76851130163,1.0,64.15,0
"Grain Mill products, starch and starch products",631135.053459736,98384.26398437038,260272.0,40572.40841777084,336702.0,52486.67186282151,631135.053459736,98384.26398437038,1.0,64.15,0
Sugar,400446.0,62423.38269680436,103694.0,16164.302416212002,98938.0,15422.915042868277,400446.0,62423.38269680436,1.0,64.15,0
Bread & Bakery products,344665.0,53727.98129384255,47913.0,7468.901013250194,40535.0,6318.784099766172,344665.0,53727.98129384255,1.0,64.15,0
Miscellaneous food products,457000.26228771685,71239.32381725905,154606.0,24100.70148090413,133548.0,20818.08261886204,457000.26228771685,71239.32381725905,1.0,64.15,0
Alcoholic beverages,144081.78496950213,22460.137953156995,81771.0,12746.84333593141,48528.0,7564.77007014809,144081.78496950213,22460.137953156995,1.0,64.15,0
Non alcoholic beverages,99097.79573202011,15447.824743884661,34899.0,5440.218238503507,29241.0,4558.2229150428675,99097.79573202011,15447.824743884661,1.0,64.15,0
Tea processed,317264.0,49456.58612626656,20512.0,3197.505845674201,37017.0,5770.381917381137,317264.0,49456.58612626656,1.0,64.15,0
Coffee processed,299877.0,46746.21979734996,3125.0,487.1395167575993,7165.0,1116.9134840218237,299877.0,46746.21979734996,1.0,64.15,0
Tobacco Products,140795.0,21947.778643803584,110831.0,17276.85113016368,62229.0,9700.545596258768,140795.0,21947.778643803584,1.0,64.15,0
Cotton Yarn and Cotton Textiles,809769.0,126230.55339049103,249280.0,38858.924395947,291607.0,45457.053780202645,809769.0,126230.55339049103,1.0,64.15,0
Synthetic yarn and synthetic  textiles,583454.3250819794,90951.57055058135,30929.0,4821.356196414653,40559.0,6322.525331254871,583454.3250819794,90951.57055058135,1.0,64.15,0
Wool yarn and woolen textiles,564813.0,88045.67420109118,4324.0,674.0452065471551,5358.0,835.2299298519096,564813.0,88045.67420109118,1.0,64.15,0
Silk yarn and silk textiles,565104.0,88091.03663289166,4615.0,719.4076383476227,6547.0,1020.5767731878409,565104.0,88091.03663289166,1.0,64.15,0
Carpet weaving,583719.0,90992.82930631332,23230.0,3621.2003117692902,15492.0,2414.964925954793,583719.0,90992.82930631332,1.0,64.15,0
Ready made garments,574548.3842470897,89563.27112191578,298484.0,46529.07248636009,255648.0,39851.59781761496,574548.3842470897,89563.27112191578,1.0,64.15,0
Misc. textile products,716989.5120598166,111767.65581602752,156892.0,24457.05378020265,174132.0,27144.50506625097,716989.5120598166,111767.65581602752,1.0,64.15,0
Leather footwear,153272.0,23892.751363990646,86969.0,13557.13172252533,53715.0,8373.343725643024,153272.0,23892.751363990646,1.0,64.15,0
Leather and leather products except footwear,101689.0,15851.753702260326,35386.0,5516.1340607950115,38786.0,6046.141855027279,101689.0,15851.753702260326,1.0,64.15,0
Wood and wood products except furniture,90000.02423129269,14029.621859905326,24122.0,3760.2494154325796,90379.0,14088.698363211222,90000.02423129269,14029.621859905326,1.0,64.15,0
"Paper, Paper products and newsprint",118784.42499677102,18516.66796520203,18091.0,2820.1091192517533,116135.0,18103.663289166016,118784.42499677102,18516.66796520203,1.0,64.15,0
"Publishing, printing and allied activities",66478.864672595,10363.034243584565,22634.0,3528.293063133281,68035.0,10605.611847233047,66478.864672595,10363.034243584565,1.0,64.15,0
Furniture & Fixtures,201335.04394002713,31385.04192362075,70382.0,10971.473109898674,98111.0,15293.998441153544,201335.04394002713,31385.04192362075,1.0,64.15,0
Rubber products,276737.0,43139.04910366329,41361.0,6447.5448168355415,87046.0,13569.134840218238,276737.0,43139.04910366329,1.0,64.15,0
Plastic products,327501.1480236823,51052.40031546099,92252.0,14380.670303975057,221093.0,34465.003897116134,327501.1480236823,51052.40031546099,1.0,64.15,0
Petroleum products,1204740.0,187800.46765393607,471514.0,73501.79267342166,699372.0,109021.35619641465,1204740.0,187800.46765393607,1.0,64.15,0
Coal tar products,741742.0,115626.18862042087,8516.0,1327.513639906469,8867.0,1382.2291504286827,741742.0,115626.18862042087,1.0,64.15,0
Inorganic chemicals,477323.0,74407.32657833202,12311.0,1919.0958690568978,47862.0,7460.95089633671,477323.0,74407.32657833202,1.0,64.15,0
Organic chemicals,629405.8648323207,98114.71002842099,109632.0,17089.945440374122,222568.0,34694.93374902572,629405.8648323207,98114.71002842099,1.0,64.15,0
Fertilizers,467929.0,72942.94621979735,2917.0,454.71551052221355,89269.0,13915.666406858923,467929.0,72942.94621979735,1.0,64.15,0
Pesticides,475924.0,74189.24395946998,10912.0,1701.0132501948556,54490.0,8494.154325798909,475924.0,74189.24395946998,1.0,64.15,0
"Paints, varnishes and lacquers",506654.0,78979.57911145751,41642.0,6491.348402182384,74133.0,11556.196414653155,506654.0,78979.57911145751,1.0,64.15,0
Drugs and medicine,302678.96869020583,47183.00369293933,136628.0,21298.20732657833,279082.0,43504.59859703819,302678.96869020583,47183.00369293933,1.0,64.15,0
"Soaps, cosmetics and glycerin",562557.2897331144,87694.04360609733,107028.0,16684.021823850348,90076.0,14041.465315666406,562557.2897331144,87694.04360609733,1.0,64.15,0
"Synthetic fibres, resin",536691.8793573186,83662.02328251263,-85.0,-13.250194855806702,67903.0,10585.035074045205,536691.8793573186,83662.02328251263,1.0,64.15,0
Other chemicals and chemical products,510150.732505801,79524.66601805159,14540.0,2266.5627435697584,71538.0,11151.675759937645,510150.732505801,79524.66601805159,1.0,64.15,0
Cement,267808.0,41747.15510522213,9072.0,1414.1855027279812,196924.0,30697.427903351516,267808.0,41747.15510522213,1.0,64.15,0
Non metallic mineral products,295567.0,46074.35697583787,36831.0,5741.387373343725,124878.0,19466.562743569757,295567.0,46074.35697583787,1.0,64.15,0
Iron and steel Ferro alloys,628370.0,97953.23460639126,1736.0,270.61574434918157,147064.0,22925.01948558067,628370.0,97953.23460639126,1.0,64.15,0
