,region,sector,indout
IN,0.0,0.0,46.2925974424
IN.1,0.0,0.0,2136.19509897
IN.2,0.0,0.0,5445.4303788
IN.3,0.0,0.0,6595.07965671
IN.4,0.0,0.0,1559.86988707
IN.5,0.0,0.0,32.4795545937
IN.6,0.0,0.0,0.679685353943
IN.7,0.0,0.0,111.038753308
IN.8,0.0,0.0,375.034340063
IN.9,0.0,0.0,775.829859784
IN.10,0.0,0.0,1440.31132647
IN.11,0.0,0.0,357.986983015
IN.12,0.0,0.0,60.40171055
IN.13,0.0,0.0,3501.08692337
IN.14,0.0,0.0,25.5862219303
IN.15,0.0,0.0,0.0
IN.16,0.0,0.0,0.0
IN.17,0.0,0.0,2162.82467977
IN.18,0.0,0.0,581.077493322
IN.19,0.0,0.0,208.03761431
IN.20,0.0,0.0,4342.34177138
IN.21,0.0,0.0,6198.84659935
IN.22,0.0,0.0,85.0423353234
IN.23,0.0,0.0,0.00159777120717
IN.24,0.0,0.0,0.0
IN.25,0.0,0.0,0.898936255911
IN.26,0.0,0.0,0.0
IN.27,0.0,0.0,0.0
IN.28,0.0,0.0,0.969432956092
IN.29,0.0,0.0,0.148196957761
IN.30,0.0,0.0,0.0223693166972
IN.31,0.0,0.0,0.573259991781
IN.32,0.0,0.0,1.26467777867
IN.33,0.0,0.0,0.98310930935
IN.34,0.0,0.0,507.309916725
IN.35,0.0,0.0,1215.36092494
IN.36,0.0,0.0,758.710955387
IN.37,0.0,0.0,427.423745646
IN.38,0.0,0.0,230.708593801
IN.39,0.0,0.0,2171.36119014
IN.40,0.0,0.0,7.70404393314
IN.41,0.0,0.0,5.51942317434
IN.42,0.0,0.0,7355.46429097
IN.43,0.0,0.0,7823.04027341
IN.44,0.0,0.0,129.534734957
IN.45,0.0,0.0,229.798187218
IN.46,0.0,0.0,3289.7176338
IN.47,0.0,0.0,3539.95914198
IN.48,0.0,0.0,1611.79821004
IN.49,0.0,0.0,3548.62834307
IN.50,0.0,0.0,0.0
IN.51,0.0,0.0,595.317975847
IN.52,0.0,0.0,0.0
IN.53,0.0,0.0,1254.20146029
IN.54,0.0,0.0,804.909080911
IN.55,0.0,0.0,0.00178831000541
IN.56,0.0,0.0,6626.33494431
IN.57,0.0,0.0,0.0
IN.58,0.0,0.0,2704.40532756
IN.59,0.0,0.0,0.0
IN.60,0.0,0.0,9.547574864
IN.61,0.0,0.0,2845.96456377
IN.62,0.0,0.0,870.893758295
IN.63,0.0,0.0,8634.51409073
IN.64,0.0,0.0,386.285534609
IN.65,0.0,0.0,0.0
IN.66,0.0,0.0,309.306523598
IN.67,0.0,0.0,200.891101932
IN.68,0.0,0.0,2518.49368074
IN.69,0.0,0.0,0.0
IN.70,0.0,0.0,175.816018266
IN.71,0.0,0.0,2452.09076655
IN.72,0.0,0.0,1265.92212057
IN.73,0.0,0.0,1.6255622653
IN.74,0.0,0.0,0.0
IN.75,0.0,0.0,1212.47208384
IN.76,0.0,0.0,0.0
IN.77,0.0,0.0,1333.11308469
IN.78,0.0,0.0,0.0
IN.79,0.0,0.0,1557.33321776
IN.80,0.0,0.0,0.0
IN.81,0.0,0.0,231.836988122
IN.82,0.0,0.0,0.0
IN.83,0.0,0.0,217.127234989
IN.84,0.0,0.0,8129.4949948
IN.85,0.0,0.0,10917.6758163
IN.86,0.0,0.0,5335.74187545
IN.87,0.0,0.0,0.0
IN.88,0.0,0.0,0.0
IN.89,0.0,0.0,0.0
IN.90,0.0,0.0,24216.6136419
IN.91,0.0,0.0,2068.90894908
IN.92,0.0,0.0,448.108921482
IN.93,0.0,0.0,0.294573963266
IN.94,0.0,0.0,0.0
IN.95,0.0,0.0,855.934333445
IN.96,0.0,0.0,710.611627883
IN.97,0.0,0.0,888.492585017
IN.98,0.0,0.0,1140.67182723
IN.99,0.0,0.0,542.636827832
IN.100,0.0,0.0,44.384076343
IN.101,0.0,0.0,5.1137865942
IN.102,0.0,0.0,128.521180437
IN.103,0.0,0.0,0.0
IN.104,0.0,0.0,0.0
IN.105,0.0,0.0,0.0
IN.106,0.0,0.0,0.0
IN.107,0.0,0.0,880.546371323
IN.108,0.0,0.0,2286.58366816
IN.109,0.0,0.0,19780.4575895
IN.110,0.0,0.0,354.118738811
IN.111,0.0,0.0,1586.12082334
IN.112,0.0,0.0,44912.1561939
IN.113,0.0,0.0,0.0
IN.114,0.0,0.0,5195.42810514
IN.115,0.0,0.0,31.5733070119
IN.116,0.0,0.0,20741.5898796
IN.117,0.0,0.0,20366.8261274
IN.118,0.0,0.0,8651.43102992
IN.119,0.0,0.0,11616.7168688
IN.120,0.0,0.0,24783.2046355
IN.121,0.0,0.0,1429.41844288
IN.122,0.0,0.0,694.543102196
IN.123,0.0,0.0,696.262039819
IN.124,0.0,0.0,2233.97242603
IN.125,0.0,0.0,9432.96219896
IN.126,0.0,0.0,2051.80204433
IN.127,0.0,0.0,7883.09598093
IN.128,0.0,0.0,1745.14068053
IN.129,0.0,0.0,1342.79959448
IN.130,0.0,0.0,20877.8771352
IN.131,0.0,0.0,1895.21670202
IN.132,0.0,0.0,29280.1573361
IN.133,0.0,0.0,2445.17516837
IN.134,0.0,0.0,13660.6483985
IN.135,0.0,0.0,13474.1093637
IN.136,0.0,0.0,10621.5472475
IN.137,0.0,0.0,18189.7009284
IN.138,0.0,0.0,0.638763141399
IN.139,0.0,0.0,0.665711192391
IN.140,0.0,0.0,0.152026282666
IN.141,0.0,0.0,2664.7262478
IN.142,0.0,0.0,0.12046839424
IN.143,0.0,0.0,0.164760091783
IN.144,0.0,0.0,680.653333325
IN.145,0.0,0.0,0.0
IN.146,0.0,0.0,0.0
IN.147,0.0,0.0,0.0
IN.148,0.0,0.0,302.195830124
IN.149,0.0,0.0,0.0
IN.150,0.0,0.0,1869.09328837
IN.151,0.0,0.0,2576.68873758
IN.152,0.0,0.0,2719.4250786
IN.153,0.0,0.0,1889.1530437
IN.154,0.0,0.0,166.224558892
IN.155,0.0,0.0,898.633607266
IN.156,0.0,0.0,393.380711525
IN.157,0.0,0.0,477.019370416
IN.158,0.0,0.0,3024.39711675
IN.159,0.0,0.0,2313.70851616
IN.160,0.0,0.0,3609.29937405
IN.161,0.0,0.0,0.0
IN.162,0.0,0.0,0.0
