,Final_Consumption_Households,Final_Consumption_NonProfit,Final_Consumption_Government,Gross_Fixed_Capital_Formation,Changes_in_Inventories,Changes_in_Valuables,Exports
IN.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.79,0.0,0.0,0.0,0.0,0.0,0.0,1.15341684133e-11
IN.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.81,0.0,0.0,0.0,0.0,0.0,0.0,9.78962666478e-12
IN.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.83,0.0,0.0,0.00636104270375,0.0,0.0,0.0,4.4812810208e-12
IN.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.86,0.0,0.0,3.75575030955,0.0,0.0,5.37858209378,6.35124479563
IN.87,0.0,0.0,2.95469098009,0.0,0.0,122.313484023,-16.449948477
IN.88,0.0,0.0,0.0,0.0,0.0,0.0,4.37607684198
IN.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.92,0.0,0.0,108.716197978,0.0,0.0,123.079327153,-45.9165521347
IN.93,0.0,0.0,15.5793065117,0.0,0.0,0.0,1.11094146601
IN.94,0.0,0.0,1.40795512824e-06,0.0,0.0,0.0,2.01287215465e-08
IN.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.110,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.114,0.0,0.0,0.187100465539,0.0,0.0,7.5178688474,0.0
IN.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.116,0.0,0.0,0.163291078451,0.0,0.0,0.0356217277133,0.0
IN.117,0.0,0.0,0.0140306183877,0.0,0.0,0.0192312561798,0.0
IN.118,0.0,0.0,0.332520337915,0.0,0.0394588438844,0.180836444048,0.0
IN.119,0.0,0.0,1.72883544909,0.0,0.067495625677,0.123742536463,0.0
IN.120,0.0,0.0,40.7517260674,0.0,0.0131643907922,0.0,0.0
IN.121,0.0,0.0,0.0,0.0,1.17672335181,0.0,0.0
IN.122,0.0,0.0,68.5158680949,0.0,0.0,0.0,0.0
IN.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.124,0.0,0.0,0.282330222417,0.0,8.64146714941e-06,0.0201167088509,0.0
IN.125,0.0,0.0,0.352323861762,0.0,9.96379454649e-07,0.00366450408261,0.0
IN.126,0.0,0.0,1.8616408335,0.0,0.00196678422731,0.0,0.0
IN.127,0.0,0.0,10.7455832861,0.0,10.3989693523,0.0,0.0
IN.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.129,0.0,0.0,1.17179124277,0.0,0.0,0.0,0.0
IN.130,0.0,0.0,6.00168622453,0.0,0.000454961046789,0.0055938266635,0.0
IN.131,0.0,0.0,0.211571194991,0.0,0.0,0.0,0.0
IN.132,0.0,0.0,7.7771711633,0.0,0.0,0.213561251953,0.0
IN.133,0.0,0.0,0.0,0.0,0.0136807201817,0.0,0.0
IN.134,0.0,0.0,0.0897221957888,0.0,0.0,20.2635586732,2.41844553511
IN.135,0.0,0.0,0.0,0.0,0.390890287766,0.0,0.107005168341
IN.136,0.0,0.0,7.40322860628,0.0,2.83480806072,10.7440858348,1.70630566295
IN.137,0.0,0.0,0.00567443653015,0.0,1.75763708712,0.0,0.0
IN.138,0.0,0.0,0.0400727834673,0.0140473788342,0.344321574489,0.0,0.0
IN.139,0.0,0.0,0.823597568953,0.113902086837,0.0,0.0,0.0
IN.140,0.0,0.0,0.0,0.0,9.73922590178e-05,0.0,0.0
IN.141,0.0,0.0,0.0,0.0,9.67891822032e-05,0.0,0.0
IN.142,0.0,0.0,0.0,0.0,1.14692232909e-08,0.0,0.0
IN.143,0.0,0.0,0.0,0.0,0.00982080449176,0.0,0.0
IN.144,0.0,0.0,0.0,0.0,9.43451691852e-09,0.0,0.0
IN.145,0.0,0.0,0.0,0.0,1.06667027471e-08,0.0,0.0
IN.146,0.0,0.0,0.0,0.0,0.00261450286656,0.0,0.0
IN.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.150,0.0,0.0,0.0,0.0,0.001971120151,0.0,0.0
IN.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.152,0.0,0.0,0.0,0.0,0.00736796566339,0.0,0.0
IN.153,0.0,0.0,0.0,0.0,0.0100338277087,0.0,0.0
IN.154,0.0,0.0,0.0,0.0,0.0086576431394,0.0,0.0
IN.155,0.0,0.0,0.0,0.0,0.00606834452989,0.0,0.0
IN.156,0.0,0.0,0.0,0.0,0.000441212740129,0.0,0.0
IN.157,0.0,0.0,0.0,0.0,0.00281618944475,0.0,0.0
IN.158,0.0,0.0,0.0,0.0,0.000831368612139,0.0,0.0
IN.159,0.0,0.0,0.0,0.0,0.00162011372613,0.0,0.0
IN.160,0.0,0.0,0.00180603490055,0.0146520274926,0.0285033352065,0.0,0.0
IN.161,0.0,0.0,0.0,0.0554378149324,0.0,0.24587651164,0.0
IN.162,0.0,0.0,0.0722808863873,0.0,0.00137995850631,0.0,0.0
