Product,Total_Output_crore,Total_Output_USD_M,Final_Demand_crore,Final_Demand_USD_M,Supply_Output_crore,Supply_Output_USD_M,Total_Output_2015prices,Total_Output_2015prices_USD_M,Deflator,USD_INR_Rate
Paddy,788747.0,100285.69612205974,241316.0,30682.263191354097,380514.0,48380.673871582956,600468.5647130647,93603.82926158451,1.3135525260625502,78.65
Wheat,713833.0,90760.71201525746,166402.0,21157.27908455181,236835.0,30112.523839796566,543436.9664224663,84713.47878760193,1.3135525260625502,78.65
Coarse cereals,626463.0,79652.00254291162,79032.0,10048.569612205974,99225.0,12616.02034329307,476922.6868131868,74344.92389917174,1.3135525260625502,78.65
Gram,573519.0,72920.40686586141,26088.0,3316.973935155753,71120.0,9042.593769866497,436616.7234432234,68061.84309325383,1.3135525260625502,78.65
Arhar,567868.0,72201.90718372536,20437.0,2598.4742530197072,25598.0,3254.6726001271454,432314.6495726495,67391.21583361644,1.3135525260625502,78.65
Other pulses,586612.0,74585.12396694215,39181.0,4981.691036236491,56222.0,7148.378893833439,446584.3492063492,69615.64290044413,1.3135525260625502,78.65
Groundnut,594095.0,75536.55435473617,46664.0,5933.121424030514,57103.0,7260.394151303241,452281.1141636141,70503.6810855205,1.3135525260625502,78.65
Rapeseed and mustard,550798.0,70031.53210425937,3367.0,428.09917355371897,76064.0,9671.20152574698,419319.35653235647,65365.44918664949,1.3135525260625502,78.65
Other oil seeds,566917.0,72080.99173553719,19486.0,2477.558804831532,105650.0,13432.930705657978,431590.6587301587,67278.35677788912,1.3135525260625502,78.65
kapas,551136.0,70074.50731087095,3705.0,471.0743801652892,118387.0,15052.383979656706,419576.673992674,65405.56102769664,1.3135525260625502,78.65
"jute, hemp and mesta",548018.0,69678.06738715828,587.0,74.63445645263826,10656.0,1354.863318499682,417202.95848595846,65035.535227740984,1.3135525260625502,78.65
Sugarcane,601889.0,76527.5270184361,54458.0,6924.094087730451,142614.0,18132.73998728544,458214.6416361416,71428.6269113237,1.3135525260625502,78.65
Coconut,574262.0,73014.87603305785,26831.0,3411.443102352193,29936.0,3806.2301335028606,437182.36507936503,68150.017939106,1.3135525260625502,78.65
Tobacco,558658.0,71030.89637635092,11227.0,1427.4634456452636,12826.0,1630.7692307692307,425303.1294261294,66298.2275021246,1.3135525260625502,78.65
Tea,549883.0,69915.19389701207,2452.0,311.7609663064208,18025.0,2291.799109980928,418622.77228327224,65256.86239801593,1.3135525260625502,78.65
Coffee,552904.0,70299.3006993007,5473.0,695.8677685950413,8714.0,1107.9465988556897,420922.6422466422,65615.37681163558,1.3135525260625502,78.65
Rubber,547988.0,69674.25301970755,557.0,70.82008900190718,12200.0,1551.176096630642,417180.1196581196,65031.97500516283,1.3135525260625502,78.65
Fruits,968868.0,123187.28544183089,421437.0,53583.85251112523,378908.0,48176.47806738716,737593.6483516482,114979.52429487891,1.3135525260625502,78.65
Vegetables,987807.0,125595.29561347743,440376.0,55991.86268277177,407446.0,51804.95867768594,752011.8003663003,117227.09280846457,1.3135525260625502,78.65
Other food crops,857885.0,109076.28734901462,310454.0,39472.85441830896,519055.0,65995.54990464081,653102.9273504273,101808.7182151874,1.3135525260625502,78.65
Milk,1086042.0,138085.44183089636,750295.0,95396.69421487603,1023005.0,130070.56579783851,826797.5421245421,128885.0416406145,1.3135525260625502,78.65
Wool,335605.0,42670.69294342021,-142.0,-18.054672600127144,364.0,46.280991735537185,255494.16056166054,39827.61661132666,1.3135525260625502,78.65
Egg and poultry,525030.0,66755.24475524476,189283.0,24066.49713922441,226620.0,28813.73172282263,399702.32600732596,62307.4553401911,1.3135525260625502,78.65
Other livestock products,649048.0,82523.58550540368,313301.0,39834.83788938334,324160.0,41215.51176096631,494116.51770451764,77025.17813008849,1.3135525260625502,78.65
Industry Wood,73771.0,9379.656706929434,16035.0,2038.7794024157658,232924.0,29615.257469802924,56161.43894993894,8754.705993755097,1.3135525260625502,78.65
Firewood,143289.0,18218.56325492689,85553.0,10877.685950413223,73281.0,9317.355371900825,109085.0934065934,17004.69110001456,1.3135525260625502,78.65
Other forestry products,80959.0,10293.579148124601,23223.0,2952.7018436109342,48869.0,6213.477431659249,61633.62210012209,9607.73532347967,1.3135525260625502,78.65
Inland Fish,237025.0,30136.681500317864,186315.0,23689.129052765416,184473.0,23454.926891290525,180445.77228327226,28128.72521952802,1.3135525260625502,78.65
Marine Fish,244285.0,31059.758423394785,193575.0,24612.20597584234,149660.0,19028.607755880483,185972.76862026862,28990.299083440157,1.3135525260625502,78.65
Coal and Lignite,93873.0,11935.537190082643,26634.0,3386.395422759059,152979.0,19450.603941513033,71464.97619047618,11140.292469287013,1.3135525260625502,78.65
Natural Gas,9860.0,1253.6554354736172,665.0,84.55181182453909,21702.0,2759.313413858868,7506.361416361416,1170.1264873517405,1.3135525260625502,78.65
Crude petroleum,17820.0,2265.7342657342656,-9760.0,-1240.9408773045136,133310.0,16949.77749523204,13566.263736263734,2114.7722114206913,1.3135525260625502,78.65
Iron ore,107132.0,13621.360457724093,25900.0,3293.0705657978383,142310.0,18094.087730451367,81558.97680097679,12713.792174743068,1.3135525260625502,78.65
Manganese ore,31134.0,3958.550540368722,692.0,87.98474253019707,6242.0,793.6427209154481,23702.13553113553,3694.7989916033557,1.3135525260625502,78.65
Bauxite,30982.0,3939.2244119516845,540.0,68.65861411315956,7151.0,909.2180546726,23586.4188034188,3676.7605305407324,1.3135525260625502,78.65
Copper ore,32302.0,4107.056579783853,1860.0,236.49078194532737,3118.0,396.43992371265097,24591.327228327227,3833.410323979302,1.3135525260625502,78.65
Other Metallic minerals,33796.0,4297.01207883026,3354.0,426.44628099173553,51944.0,6604.450095359186,25728.70085470085,4010.7094083711377,1.3135525260625502,78.65
Limestone,71969.0,9150.540368722186,4136.0,525.8741258741259,39801.0,5060.521296884933,54789.58669108668,8540.85529089426,1.3135525260625502,78.65
Mica,1024.0,130.1970756516211,-1024.0,-130.1970756516211,0.0,0.0,779.5653235653235,121.52226400082985,1.3135525260625502,78.65
Other non metallic minerals,103805.0,13198.347107438016,35972.0,4573.6808645899555,164304.0,20890.527654164016,79026.15079365078,12318.963490826309,1.3135525260625502,78.65
Processed poultry meat & poultry meat products,582114.0,74013.22314049586,5922.0,752.9561347743165,4188.0,532.4856961220597,443160.0476190476,69081.84686189362,1.3135525260625502,78.65
Processed other meat & meat products,601608.0,76491.79910998093,25416.0,3231.532104259377,19841.0,2522.6954863318497,458000.7179487179,71395.27949317504,1.3135525260625502,78.65
Processed fish & fish products,639799.0,81347.61602034328,63607.0,8087.349014621741,65822.0,8368.976478067387,487075.30708180706,75927.56150924505,1.3135525260625502,78.65
Processed fruits & Processed Vegetables,559710.7805823172,71164.75277588266,30008.0,3815.3846153846152,28129.0,3576.4780673871583,426104.60524184944,66423.16527542469,1.3135525260625502,78.65
Dairy products,433353.80393770034,55099.02147968218,219005.0,27845.51811824539,211494.0,26890.527654164016,329909.7640478097,51427.86657019636,1.3135525260625502,78.65
Edible Oils and Fats,1006964.0,128031.0235219326,430772.0,54770.756516211055,407055.0,51755.24475524475,766595.9145299145,119500.5322727848,1.3135525260625502,78.65
"Grain Mill products, starch and starch products",910718.2856695445,115793.80618811754,393835.0,50074.38016528925,440628.0,56023.90336935791,693324.6045359719,108078.66009913824,1.3135525260625502,78.65
Sugar,644334.0,81924.22123331214,179129.0,22775.46090273363,193099.0,24551.684678957405,490527.7765567765,76465.74848897528,1.3135525260625502,78.65
Bread & Bakery products,515548.0,65549.65034965034,50343.0,6400.890019071837,43901.0,5581.818181818181,392483.7338217338,61182.18765732405,1.3135525260625502,78.65
Miscellaneous food products,641686.040352639,81587.54486365402,169859.0,21596.82136045772,148367.0,18864.20851875397,488511.90007310186,76151.5042982232,1.3135525260625502,78.65
Alcoholic beverages,180007.0,22887.09472345836,88750.0,11284.170375079466,68365.0,8692.307692307691,137038.29609279608,21362.16618749744,1.3135525260625502,78.65
Non alcoholic beverages,143886.19658871705,18294.49416258322,35660.0,4534.011443102352,29549.0,3757.0247933884293,109539.7357424482,17075.562859306032,1.3135525260625502,78.65
Tea processed,569546.0,72415.25746980292,104341.0,13266.497139224412,121812.0,15487.857596948505,433592.1013431013,67590.35094982092,1.3135525260625502,78.65
Coffee processed,472561.0,60084.04322949777,7356.0,935.2828989192625,8491.0,1079.5931341385885,359757.97741147736,56080.74472509389,1.3135525260625502,78.65
Tobacco Products,120743.0,15351.938970120787,79982.0,10169.357914812459,66679.0,8477.940241576605,91920.95299145298,14329.065158449412,1.3135525260625502,78.65
Cotton Yarn and Cotton Textiles,1309597.0,166509.47234583597,444894.0,56566.30642085187,568322.0,72259.6312778131,996988.6807081806,155415.2269225535,1.3135525260625502,78.65
Synthetic yarn and synthetic textiles,956933.0129855679,121669.80457540596,68892.0,8759.313413858868,89869.0,11426.446280991735,728507.6112289396,113563.15062025558,1.3135525260625502,78.65
Wool yarn and woolen textiles,875834.0,111358.42339478702,11131.0,1415.2574698029243,10662.0,1355.6261919898282,666767.398046398,103938.79938369415,1.3135525260625502,78.65
Silk yarn and silk textiles,868378.0,110410.42593769866,3675.0,467.2600127145581,3744.0,476.0330578512396,661091.188034188,103053.9653989381,1.3135525260625502,78.65
Carpet weaving,903469.0,114872.0915448188,38766.0,4928.92561983471,28104.0,3573.2994278448823,687805.7649572649,107218.35774859936,1.3135525260625502,78.65
Ready made garments,534833.3833211059,68001.70163014696,306088.0,38917.736808645896,248074.0,31541.51303242212,407165.58547095174,63470.86289492622,1.3135525260625502,78.65
Misc. textile products,1093111.7439866855,138984.3285424902,230102.0,29256.452638270817,239136.0,30405.08582326764,832179.6976504254,129724.03704605225,1.3135525260625502,78.65
Leather footwear,186033.0,23653.273998728542,100077.0,12724.348378893832,79370.0,10091.544818817545,141625.8553113553,22077.2962293617,1.3135525260625502,78.65
Leather and leather products except footwear,109013.0,13860.521296884932,23057.0,2931.595677050222,28714.0,3650.8582326764144,82990.9713064713,12937.01813039303,1.3135525260625502,78.65
Wood and wood products except furniture,141530.10844476582,17994.927965005187,46871.0,5959.440559440559,129974.0,16525.619834710742,107746.05935935468,16795.95625243253,1.3135525260625502,78.65
"Paper, Paper products and newsprint",353290.91460569727,44919.37884369958,165870.0,21089.63763509218,215190.0,27360.457724094085,268958.34585671825,41926.4763611408,1.3135525260625502,78.65
"Publishing, printing and allied activities",83702.35566988392,10642.384700557395,36193.0,4601.780038143675,47038.0,5980.673871582962,63722.1230282938,9933.300550006827,1.3135525260625502,78.65
Furniture & Fixtures,333570.97630521946,42412.07581757399,126436.0,16075.778766687856,281581.0,35801.780038143675,253945.66999548755,39586.23070857172,1.3135525260625502,78.65
Rubber products,615077.1578012279,78204.3430135064,134730.0,17130.32422123331,158161.0,20109.47234583598,468254.7104872595,72993.71948359461,1.3135525260625502,78.65
Plastic products,653962.0,83148.37889383343,173587.0,22070.820089001907,398257.0,50636.61792752701,497857.51770451764,77608.34258838934,1.3135525260625502,78.65
Petroleum products,2655474.0,337631.7863954227,1197546.0,152262.68277177366,1343464.0,170815.5117609663,2021597.117216117,315135.9496829488,1.3135525260625502,78.65
Coal tar products,1467311.0,186562.11061665605,9383.0,1193.0069930069928,22898.0,2911.3795295613477,1117055.4438339437,174131.79171222815,1.3135525260625502,78.65
Inorganic chemicals,1045697.6509936076,132955.8361085324,41219.0,5240.813731722822,149556.0,19015.384615384613,796083.6207503227,124097.21289950471,1.3135525260625502,78.65
Organic chemicals,1373888.6883612298,174683.87646042334,241600.0,30718.372536554354,473959.0,60261.79275270184,1045933.574106504,163044.98427225315,1.3135525260625502,78.65
Fertilizers,998262.0,126924.60267005721,1558.0,198.09281627463443,177833.0,22610.680228862046,759971.1318681318,118467.83037694961,1.3135525260625502,78.65
Pesticides,1009959.0,128411.82453909726,13255.0,1685.3146853146852,83538.0,10621.487603305784,768875.9908424908,119855.96116017003,1.3135525260625502,78.65
"Paints, varnishes and lacquers",1096282.0,139387.41258741257,99578.0,12660.902733630006,114866.0,14604.704386522568,834593.1953601952,130100.2642806228,1.3135525260625502,78.65
Drugs and medicine,824073.8032302994,104777.34306806095,459604.0,58436.61792752701,517661.0,65818.3089637635,627362.6572821632,97796.20534406285,1.3135525260625502,78.65
"Soaps, cosmetics and glycerin",1116835.3859354993,142000.684797902,145755.0,18532.104259376985,131224.0,16684.551811824538,850240.3701230572,132539.4185694555,1.3135525260625502,78.65
"Synthetic fibres, resin",956087.9683206446,121562.36087992939,1305.0,165.92498410680227,102843.0,13076.033057851238,727864.2835749962,113462.86571706875,1.3135525260625502,78.65
Other chemicals and chemical products,1087696.4084707492,138295.79255826434,49268.0,6264.208518753973,93451.0,11881.881754609027,828057.03379916,129081.37705364927,1.3135525260625502,78.65
Cement,488224.0,62075.52447552447,40937.0,5204.95867768595,328976.0,41827.84488239033,371682.1294261294,57939.53693314565,1.3135525260625502,78.65
Non metallic mineral products,507550.0,64532.73998728544,60263.0,7662.174189446916,235051.0,29885.696122059755,386394.90231990226,60233.03231798944,1.3135525260625502,78.65
Iron and steel Ferro alloys,1600220.0,203460.90273363,75585.0,9610.298792116973,534185.0,67919.26255562619,1218238.3028083027,189904.64580020306,1.3135525260625502,78.65
Iron and steel casting and forging,1642921.261749558,208890.17949771872,118463.0,15062.047043865225,672387.0,85491.03623649078,1250746.5283282653,194972.17900674438,1.3135525260625502,78.65
Iron and steel foundries,1620215.0,206003.17863954225,95580.0,12152.574698029242,528238.0,67163.1277813096,1233460.3815628814,192277.53414853956,1.3135525260625502,78.65
Non ferrous basic metals (including alloys),532447.7287931676,67698.3761974784,136019.0,17294.214876033056,404787.0,51466.87857596948,405349.4003694017,63187.74752445855,1.3135525260625502,78.65
"Hand tools, hardware",424606.9772040274,53986.901106678626,63221.0,8038.270820089001,227935.0,28980.928162746342,323250.85505092924,50389.84490271695,1.3135525260625502,78.65
Miscellaneous metal products,396018.7194871021,50352.0304497269,43051.0,5473.7444373808,165725.0,21071.20152574698,301486.77851063263,46997.15954959199,1.3135525260625502,78.65
Tractors and other agricultural implements,623468.0194786595,79271.20400237247,104445.0,13279.720279720279,94257.0,11984.361093452002,474642.62532960216,73989.49732339861,1.3135525260625502,78.65
Industrial machinery for food and textile industry,634223.2811977249,80638.68800988236,100565.0,12786.395422759058,35868.0,4560.457724094087,482830.5443550445,75265.86817693601,1.3135525260625502,78.65
Industrial machinery (except food and textile),798548.508301118,101531.91459645492,273231.0,34740.11443102352,124682.0,15852.765416401779,607930.3967347338,94767.01430003645,1.3135525260625502,78.65
Machine tools,769246.194329535,97806.25484164462,189570.0,24102.987921169737,165348.0,21023.26764144946,585622.7132655251,91289.58897358146,1.3135525260625502,78.65
